folder,filename,num_atoms,a,b,c,aspect_ratio_ab,aspect_ratio_ac,aspect_ratio_bc
disorder_1877,MODPAW_charged.cif,102,11.129000000000001,15.2774,15.2774,0.7284616492335084,0.7284616492335084,1.0
disorder_1877,NAXKOO01_SL.cif,42,6.608,7.7998,10.616974446674698,0.8472012102874432,0.6223995388883757,0.7346537414378864
disorder_1877,YAQZAT_ion_b.cif,132,9.1844,11.5401,21.615,0.7958683200318888,0.42490862826740694,0.5338931297709925
disorder_1877,TEQPEM_SL.cif,142,20.626999999999995,20.626999999999995,20.626999999999995,1.0,1.0,1.0
disorder_1877,DANZOJ_neutral.cif,180,18.8072,18.8072,18.8072,1.0,1.0,1.0
disorder_1877,ACECIV_ion_b.cif,228,10.601,11.464,26.841,0.9247208653175157,0.39495547855892105,0.4271077828694907
disorder_1877,PUWCEP_charged.cif,180,13.4677,13.4677,13.4677,1.0,1.0,1.0
disorder_1877,QUQGEP_neutral.cif,222,11.908,16.3176,16.31754581487849,0.7297641810070109,0.7297666043102006,1.0000033206661176
structure_10143,WEGDIX_charged.cif,110,7.8398,14.425,14.4884,0.5434870017331023,0.5411087490682202,0.9956240854752768
disorder_1877,MODMUN_charged.cif,228,10.946,15.847,23.705,0.6907301066447908,0.4617591225479857,0.668508753427547
disorder_1877,LIKCOY_charged.cif,208,15.316300000000002,15.3163,16.881,1.0000000000000002,0.9073099934837985,0.9073099934837984
disorder_1877,VAKRIK_ion_b.cif,162,9.767015962937672,17.318799999999996,18.311,0.5639545443643713,0.5333960986804474,0.9458139915897545
disorder_1877,MIQLEE_charged.cif,348,11.3684,17.0175,24.5043,0.6680417217570148,0.4639349012214182,0.6944699501720105
disorder_1877,FEVNEA_charged.cif,436,17.5661,23.432700000000004,27.091,0.7496404596994796,0.6484109113727805,0.864962533682773
structure_10143,YUVGOL_SL.cif,324,20.306720684988054,20.3067,20.3067,1.0000010186287311,1.0000010186287311,1.0
structure_10143,XICYIT_SL.cif,332,13.57,19.8,28.39,0.6853535353535354,0.4779852060584713,0.6974286720676295
structure_10143,SOYWOT_neutral_b.cif,156,18.6069,18.6069,18.6069,1.0,1.0,1.0
structure_10143,VEQBOJ_charged.cif,376,10.547,22.651,24.627,0.4656306564831575,0.4282697851951111,0.9197628618995412
structure_10143,ICITUK_charged.cif,356,17.6646,17.6646,28.0569,1.0,0.6295991360414016,0.6295991360414016
structure_10143,HIXDOH01_manual.cif,46,9.745,9.745,10.774176754683406,1.0,0.9044774577105359,0.9044774577105359
structure_10143,LAJDUV02_charged.cif,54,8.931000000000001,8.931,10.893,1.0000000000000002,0.8198843293858441,0.819884329385844
structure_10143,KAGCAY_charged.cif,272,21.3514,21.3514,21.3514,1.0,1.0,1.0
structure_10143,OKIVIO01_charged.cif,428,15.844,15.844,21.837,1.0,0.7255575399551221,0.7255575399551221
structure_10143,DANZID_charged.cif,422,9.9941,29.2846,29.2846,0.34127493631465,0.34127493631465,1.0
structure_10143,ZAYJOA_charged.cif,380,12.283000000000001,21.743,22.757,0.5649174446948444,0.5397460122160215,0.9554422814958033
structure_10143,MINVUA_SL.cif,38,6.812,11.139899277035678,11.139899277035678,0.6114956545471272,0.6114956545471272,1.0
structure_10143,ECUFAL_charged.cif,86,9.533,12.9239,12.9239,0.7376256393194005,0.7376256393194005,1.0
structure_10143,YUSGOJ_SL.cif,122,9.5591,9.782,18.288,0.9772132488243713,0.5226979440069992,0.5348862642169728
structure_10143,NEVPUA_charged.cif,264,13.256,18.193,18.193,0.7286318913867971,0.7286318913867971,1.0
structure_10143,SOKKOT_ion_b.cif,176,13.5065,13.5065,15.9076,1.0,0.8490595690110387,0.8490595690110387
structure_10143,HAFVUH_SL.cif,76,12.301,12.440337089283393,12.440337089283393,0.9887995728505281,0.9887995728505281,1.0
disorder_1877,CAXSUR_SL.cif,264,19.0518,19.0518,19.0518,1.0,1.0,1.0
structure_10143,CAVPIA_manual.cif,516,27.449,27.449,27.449,1.0,1.0,1.0
structure_10143,IKOSUW_charged.cif,280,10.815,16.413,22.7861,0.6589288978248948,0.4746314639187926,0.7203075559222508
structure_10143,FEVNIE_charged.cif,420,20.495,22.701,27.435,0.9028236641557641,0.7470384545288865,0.82744669218152
structure_10143,NOQLOV_charged.cif,80,8.661800000000001,9.0311,16.172792616439086,0.9591079713434688,0.5355784993616737,0.5584131457185816
structure_10143,OGOJOJ_charged.cif,484,15.0699,15.7002,27.248,0.9598540145985401,0.5530644450968878,0.5761964180857311
disorder_1877,ISAYOQ_charged.cif,292,13.4623,13.462299999999999,25.110289732459783,1.0000000000000002,0.5361268286202783,0.5361268286202783
structure_10143,IFAREN_charged.cif,688,18.217400000000005,20.2987,28.4749,0.8974663402089791,0.6397704645143619,0.7128629073324225
disorder_1877,LUXFEQ_charged.cif,606,26.832800000000002,26.832800000000002,26.8328,1.0,1.0000000000000002,1.0000000000000002
structure_10143,TAMZUE_charged.cif,210,11.145000000000001,12.424,22.18,0.8970540888602706,0.5024797114517584,0.5601442741208296
structure_10143,ILUFEB_charged.cif,237,13.7819,15.1675,15.169,0.9086467776495797,0.9085569253081943,0.999901114114312
structure_10143,QEPZUH_charged.cif,702,23.8713,23.8713,32.565,1.0,0.7330354675264856,0.7330354675264856
structure_10143,FEZCOD_charged.cif,484,15.132799999999998,15.7292,27.2884,0.9620832591613049,0.554550651558904,0.576406091965817
disorder_1877,WAVQIV_ion_b.cif,675,27.1319,27.1319,27.1319,1.0,1.0,1.0
structure_10143,OKIYIR02_charged.cif,428,15.8029,15.8029,21.845,1.0,0.7234103913939116,0.7234103913939116
structure_10143,PEJMUN_charged.cif,436,21.464033776207586,21.4638,21.463799999999996,1.0000108916504806,1.0000108916504808,1.0000000000000002
disorder_1877,FIHHUB_SL.cif,432,19.8941,25.412500000000005,25.4125,0.7828470241023118,0.7828470241023119,1.0000000000000002
structure_10143,HAFWAO_charged.cif,424,21.800085819522007,21.8004,21.8004,0.9999855883159028,0.9999855883159028,1.0
structure_10143,WENKIL_manual.cif,208,9.2706,15.663,22.31,0.591878950392645,0.41553563424473333,0.7020618556701032
structure_10143,ZARMAI_charged.cif,252,18.829340164540785,18.8292,18.829199999999997,1.0000074439987245,1.0000074439987248,1.0000000000000002
structure_10143,KUBQAA_charged.cif,480,17.939799999999998,19.7466,25.7517,0.9085007039186491,0.6966452700210083,0.7668076282342525
structure_10143,FAWCEN01_SL.cif,138,14.646414919243849,14.6464,14.646399999999998,1.0000010186287311,1.0000010186287314,1.0000000000000002
structure_10143,HUZFOY_charged.cif,155,13.979300000000002,13.979300000000002,13.9793,1.0,1.0000000000000002,1.0000000000000002
structure_10143,TADWIG_manual.cif,344,12.7526,26.64653675576304,26.6465,0.47858376932386537,0.4785844294747903,1.0000013793842735
structure_10143,HUZFIS_charged.cif,250,13.0315,13.031500000000001,25.0942,0.9999999999999999,0.5193032652963633,0.5193032652963633
structure_10143,TONBUU_charged.cif,344,14.1157,17.866899999999998,19.8394,0.7900475180361451,0.7114983316027702,0.9005766303416433
structure_10143,FUTKEL_manual.cif,196,15.2904,15.2904,17.667498058035143,1.0,0.8654536114719399,0.8654536114719399
structure_10143,WUNVIL_charged.cif,408,15.8506,15.8506,21.576,1.0,0.7346403411197627,0.7346403411197627
structure_10143,ITIWIS_charged.cif,408,15.8746,15.8746,21.497,1.0,0.7384565288179745,0.7384565288179745
structure_10143,IDAGEA_charged.cif,180,9.0518,16.8846,16.8846,0.5360979827772053,0.5360979827772053,1.0
structure_10143,YAQZEX_ion_b.cif,256,13.198,14.852,23.407,0.8886345273363857,0.563848421412398,0.6345110437048747
structure_10143,UDOVUG_charged.cif,288,10.481,23.986,23.986,0.4369632285499875,0.4369632285499875,1.0
structure_10143,VEHROR_charged.cif,228,15.698,17.3214,17.9367,0.9062777835509832,0.875188858597178,0.9656960310424996
structure_10143,KIBYAW_charged.cif,184,13.627,14.044,16.321,0.9703076046710339,0.8349365847680902,0.8604864897984191
structure_10143,LIRVAK_charged.cif,274,11.5557,14.099900000000002,25.6278,0.819559003964567,0.4509048767354201,0.5501798827835398
structure_10143,FECZAQ_manual.cif,252,17.3043,17.9565,18.377,0.9636788906524102,0.9416281221091584,0.9771181368014366
structure_10143,AXUBAW_manual.cif,178,18.1115,18.1115,18.1115,1.0,1.0,1.0
structure_10143,OKIXIQ_charged.cif,408,15.8832,15.8832,21.7,1.0,0.7319447004608295,0.7319447004608295
structure_10143,NANYUX02_charged.cif,120,9.4801,11.551000000000002,16.3027,0.8207168210544541,0.5815049040956406,0.7085329423960449
structure_10143,ja4050828_auto.cif,546,16.4829,39.38750000000001,39.3875,0.4184804823865439,0.41848048238654395,1.0000000000000002
structure_10143,WILGEE_charged.cif,288,7.738499999999999,19.472799999999996,25.696342317669934,0.3974004765621791,0.3011518100254551,0.7578043504895886
structure_10143,MINVUA01_SL.cif,38,6.812,11.139899277035678,11.139899277035678,0.6114956545471272,0.6114956545471272,1.0
structure_10143,ADOBUR_charged.cif,274,14.6533,17.0616,17.0616,0.8588467670089558,0.8588467670089558,1.0
structure_10143,YAPRUE_charged.cif,340,15.454,18.7345,18.734471421461304,0.8248952467373029,0.824896505075486,1.000001525452096
structure_10143,XOQXOR_SL.cif,346,12.0891,14.828774646359017,28.0555358148809,0.8152460529143113,0.4308989170539326,0.5285507553376937
structure_10143,KEHGAH_charged.cif,264,14.3967,18.5633,18.563299999999998,0.775546373758976,0.7755463737589761,1.0000000000000002
structure_10143,CAJWIV_ion_b.cif,132,9.737972843178667,9.944,23.1185,0.9792812593703406,0.4212199253056499,0.4301317126976231
disorder_1877,LAJKUE_charged.cif,996,26.732791161046478,26.7325,26.7325,1.0000108916504808,1.0000108916504808,1.0
structure_10143,YAPSAL_charged.cif,504,17.4843,17.4843,22.5856,1.0,0.774134846982148,0.774134846982148
structure_10143,RUHCED_SL.cif,38,6.712,11.022838750656422,11.022838750656422,0.6089175530759073,0.6089175530759073,1.0
structure_10143,WIYMOG_charged.cif,300,19.853,24.151199999999996,30.5734,0.8220295471860614,0.6493553219465288,0.7899415832063165
structure_10143,XESKEN_SL.cif,90,6.2202,16.438713805830428,16.438713805830435,0.37838726760933333,0.37838726760933317,0.9999999999999996
structure_10143,SONTAR_manual.cif,56,10.4951,11.339600000000003,12.7954,0.9255264735969522,0.8202244556637541,0.8862247370148648
structure_10143,PUNSUN_charged.cif,98,8.929400000000001,12.4238,12.4238,0.7187333987990793,0.7187333987990793,1.0
structure_10143,SIZPAT_charged.cif,316,14.127,15.532,16.645,0.909541591552923,0.8487233403424452,0.9331330729948933
disorder_1877,LAJLEP_charged.cif,1020,26.915493150951015,26.915199999999995,26.915199999999995,1.0000108916504808,1.0000108916504808,1.0
structure_10143,SINXET_charged.cif,336,11.559,20.748,23.684,0.557113938692886,0.4880510048978213,0.8760344536395879
structure_10143,LECFUW_charged.cif,351,16.9906,19.4438,19.44392436279526,0.8738312469784714,0.8738256579783069,0.9999936040280274
structure_10143,BOYCEY_auto.cif,486,18.341100000000004,18.3411,52.6041,1.0000000000000002,0.3486629369193657,0.3486629369193656
structure_10143,EHODOV_SL.cif,240,13.966787972599564,13.9668,25.18209116318191,0.9999991388578318,0.5546317770868865,0.5546322547041089
structure_10143,SOXHUI_SL.cif,90,5.543,14.915000000000001,14.915,0.3716392893060677,0.37163928930606777,1.0000000000000002
structure_10143,LETQAE01_ion_b.cif,522,10.0376,41.10707457664678,41.10707457664678,0.24418181306685421,0.24418181306685421,1.0
structure_10143,IKETOH_manual.cif,156,18.6238,18.623799999999996,18.623799999999996,1.0000000000000002,1.0000000000000002,1.0
structure_10143,NANYUX_charged.cif,120,9.455,11.0347,16.0074,0.8568425059131648,0.5906643177530392,0.6893499256593826
structure_10143,VEHKOK_charged.cif,572,17.398,17.441,35.188,0.9975345450375552,0.4944299192906672,0.4956519267932249
