folder,filename,num_atoms,a,b,c,aspect_ratio_ab,aspect_ratio_ac,aspect_ratio_bc
,WUZQOZ_clean.cif,66,6.5228,13.8413,15.6405,0.47125631262959405,0.417045490873054,0.8849653144081072
,EVURAP_clean.cif,64,9.604699999999998,10.042700000000002,11.4589,0.956386230794507,0.8381869114836501,0.876410475700111
,JETNOL_clean.cif,28,7.705300000000001,7.7053,14.8155,1.0000000000000002,0.5200836961290541,0.520083696129054
,RUWXAJ_clean.cif,66,9.491,10.052,11.344,0.9441902109033028,0.8366537376586742,0.8861071932299013
,PUWCAL_clean.cif,114,10.8212,10.8212,10.8212,1.0,1.0,1.0
,LAGNUE_clean.cif,100,9.6292,11.1006,16.0263,0.8674486063816371,0.600837373567199,0.6926489582748357
,RENWEM01_clean.cif,22,7.497,7.7376,7.7376,0.9689050868486353,0.9689050868486353,1.0
,KEDJAG26_clean.cif,80,8.8347,8.8533,33.7162,0.9978990884754836,0.26203130839181166,0.26258297198379416
,WEGDIX_charged.cif,110,7.8398,14.425,14.4884,0.5434870017331023,0.5411087490682202,0.9956240854752768
,KIKFIV_clean.cif,158,9.935500000000001,12.166100000000002,23.473,0.8166544743179819,0.4232735483321263,0.5183018787543135
,UJOJOU01_clean.cif,116,8.032,13.484600000000002,13.4846,0.5956424365572578,0.5956424365572579,1.0000000000000002
,QUKYUR_clean.cif,100,8.2368,9.4063,20.366,0.8756684349850633,0.4044387704998527,0.4618629087695178
,WIDZOA_clean.cif,180,12.1229,12.6099,14.2819,0.961379550987716,0.8488296375132159,0.8829287419741071
,NEYYUN_clean.cif,50,7.5454,12.527714914141365,12.527714914141367,0.602296592132912,0.6022965921329119,0.9999999999999999
,HUXHEP_clean.cif,78,6.9955,11.93198038476849,14.4043,0.5862815538089514,0.48565358955311955,0.8283623907283583
,WEBKOD_clean.cif,136,12.0495,12.2773,19.1028,0.9814454318131837,0.6307714052390226,0.6426963586489939
,ZUMNAY_clean.cif,94,6.765,11.482,17.49214254459273,0.5891830691517157,0.38674507612512193,0.6564090116879009
,PEFTAX_clean.cif,216,9.6972,10.7957,26.9671,0.8982465240790315,0.35959372717125687,0.40032854849056815
,ECUFAL_charged.cif,86,9.533,12.9239,12.9239,0.7376256393194005,0.7376256393194005,1.0
,DIMKUH_clean.cif,132,9.1816,12.985099999999997,18.4627,0.7070873539672394,0.4973053778699756,0.7033153330769604
,BOVHEB_clean.cif,116,8.386,9.567269686279362,25.132,0.8765301151724145,0.33367817921375137,0.38068079286484807
,WASNIO_clean.cif,164,8.7362,8.9023,24.059,0.9813419004077598,0.3631156739681616,0.370019535309032
,RUGXOI_clean.cif,136,13.2643,14.3288,14.3563,0.9257090614706047,0.9239358330489055,0.9980844646601144
,UJIZET_clean.cif,96,8.7253,12.7809,19.4746,0.682682753170747,0.448034876197714,0.656285623324741
,QARTEK_clean.cif,184,6.4232,15.4953,23.7594,0.41452569488812735,0.2703435271934476,0.6521755599888887
,WALBOC01_clean.cif,208,12.9639,13.8034,16.8318,0.939181650897605,0.7702028303568246,0.8200786606304732
,NAWWOA_clean.cif,262,11.259,18.618000000000002,19.86,0.6047373509506928,0.5669184290030211,0.937462235649547
,IRAYOQ_clean.cif,106,9.9595,11.48340830557287,23.715,0.867294773030641,0.41996626607632304,0.4842255241649956
,EQOXIT_clean.cif,300,14.740900000000002,15.3429,22.1924,0.9607636105299521,0.6642318992087383,0.6913583028424145
,DIDDOK_clean.cif,160,16.2493,16.2493,22.99,1.0,0.7067986080904742,0.7067986080904742
,UYAQAN_clean.cif,171,10.329,16.0121,16.01209361263488,0.6450746622866458,0.645074919612608,1.0000003989088044
,EWIPIL_clean.cif,80,11.3504,12.1923,12.335876663920876,0.9309482214184364,0.9201129606943032,0.9883610490091231
,ZILBIH_clean.cif,376,12.7035,22.6591,22.6591,0.5606356827941092,0.5606356827941092,1.0
,ja507269n_si_002_clean.cif,269,16.9536,31.269400000000005,31.2694,0.542178615515488,0.5421786155154881,1.0000000000000002
,DOFTID_clean.cif,164,15.152,19.596464151729005,19.59646415172901,0.7732007102242029,0.7732007102242028,0.9999999999999998
,XAZGEK_clean.cif,288,10.31,20.002,22.95,0.5154484551544846,0.4492374727668846,0.8715468409586057
,SUFROA_clean.cif,88,10.337,15.055938139152937,16.285,0.6865729590850703,0.634755910346945,0.9245279790698764
,ZIMJOW_clean.cif,108,11.7992,11.8606,13.6301,0.9948231961283578,0.8656722988092531,0.8701770346512497
,TEDXOR_clean.cif,332,12.8491,16.2244,20.9869,0.7919614901013289,0.6122438282928875,0.7730727263197519
,XUVQOW_clean.cif,376,18.633,20.399,20.852,0.9134271287808226,0.8935833493190101,0.9782754651831959
,DANZID_charged.cif,422,9.9941,29.2846,29.2846,0.34127493631465,0.34127493631465,1.0
,EHAGEB_clean.cif,65,10.6427,11.500800000000002,13.4731,0.925387799109627,0.7899221411553391,0.8536120120833365
,MOVHEM_clean.cif,150,12.023123340047707,12.02312334004771,20.3385,0.9999999999999997,0.5911509373871086,0.5911509373871088
,WITJOA_clean.cif,368,15.999499999999998,18.1852,24.8199,0.8798088555528671,0.6446238703620883,0.7326862719027876
