---- START at 2025-08-08 15:20:13, Target=8268/8268 ----
[23/8268] QUSSAA_clean_argon_273.0K_0.01bar_14.0 FAILED: Command '/home/yongsang/PSID_SIMULATION_TOOLS/RASPA/bin/simulate simulation.input' died with <Signals.SIGINT: 2>.
[3/8268] FITHIA_clean_argon_273.0K_0.01bar_14.0 FAILED: Command '/home/yongsang/PSID_SIMULATION_TOOLS/RASPA/bin/simulate simulation.input' died with <Signals.SIGINT: 2>.

---- RESTART at 2025-08-08 15:20:18, Remain=8268/8268 ----
[25/8268] YIWLIZ_clean_argon_273.0K_0.01bar_14.0 Done. TimeForThis=29.7s, Completed=1/8268, ETA=2025-08-11 11:31:47
[26/8268] RUHFOR_clean_argon_273.0K_0.01bar_14.0 Done. TimeForThis=38.3s, Completed=2/8268, ETA=2025-08-10 11:22:01
[17/8268] WABVOL_clean_argon_273.0K_0.01bar_14.0 Done. TimeForThis=40.8s, Completed=3/8268, ETA=2025-08-09 22:35:17
[1/8268] DUDKUK_clean_argon_273.0K_0.01bar_14.0 Done. TimeForThis=44.1s, Completed=4/8268, ETA=2025-08-09 16:38:17
[19/8268] BEXVIL_clean_argon_273.0K_0.01bar_14.0 Done. TimeForThis=49.8s, Completed=5/8268, ETA=2025-08-09 14:13:10
[6/8268] NAYGUR_clean_argon_273.0K_0.01bar_14.0 Done. TimeForThis=52.2s, Completed=6/8268, ETA=2025-08-09 11:19:48
[27/8268] WIYMOG_charged_argon_273.0K_0.01bar_14.0 Done. TimeForThis=53.4s, Completed=7/8268, ETA=2025-08-09 08:51:56
[12/8268] TOVHUJ_clean_argon_273.0K_0.01bar_14.0 Done. TimeForThis=58.8s, Completed=8/8268, ETA=2025-08-09 08:13:32
[20/8268] NOCLUN_clean_argon_273.0K_0.01bar_14.0 Done. TimeForThis=64.4s, Completed=9/8268, ETA=2025-08-09 07:45:46
[5/8268] CUVHIL01_clean_argon_273.0K_0.01bar_14.0 Done. TimeForThis=65.3s, Completed=10/8268, ETA=2025-08-09 06:20:10
[33/8268] WILREO_clean_argon_273.0K_0.01bar_14.0 Done. TimeForThis=25.1s, Completed=11/8268, ETA=2025-08-09 05:06:20
[4/8268] JIXWUJ_clean_argon_273.0K_0.01bar_14.0 Done. TimeForThis=79.1s, Completed=12/8268, ETA=2025-08-09 06:28:29
[13/8268] LABNIO_clean_argon_273.0K_0.01bar_14.0 Done. TimeForThis=84.4s, Completed=13/8268, ETA=2025-08-09 06:15:19
[11/8268] ECEDAU_clean_argon_273.0K_0.01bar_14.0 Done. TimeForThis=98.4s, Completed=14/8268, ETA=2025-08-09 07:28:58
[18/8268] FARBIL_clean_argon_273.0K_0.01bar_14.0 Done. TimeForThis=98.9s, Completed=15/8268, ETA=2025-08-09 06:28:29
[9/8268] XIHSAJ01_clean_argon_273.0K_0.01bar_14.0 Done. TimeForThis=100.4s, Completed=16/8268, ETA=2025-08-09 05:45:19
[29/8268] EZUCIM_clean_argon_273.0K_0.01bar_14.0 Done. TimeForThis=101.1s, Completed=17/8268, ETA=2025-08-09 04:59:58
[30/8268] WANHOL_clean_argon_273.0K_0.01bar_14.0 Done. TimeForThis=112.2s, Completed=18/8268, ETA=2025-08-09 05:39:39
[36/8268] cm503311x_alf225K_clean_argon_273.0K_0.01bar_14.0 Done. TimeForThis=62.2s, Completed=19/8268, ETA=2025-08-09 05:10:26
[42/8268] KEYYET_clean_argon_273.0K_0.01bar_14.0 Done. TimeForThis=36.9s, Completed=20/8268, ETA=2025-08-09 04:39:40
[10/8268] LUBMAW_clean_argon_273.0K_0.01bar_14.0 Done. TimeForThis=118.4s, Completed=21/8268, ETA=2025-08-09 04:17:17
