name,gas,temp,pressure,cutoff,path,abs_mol_per_kg_framework,abs_molecules_per_uc,abs_mg_per_g_framework,abs_cm3STP_per_g,abs_cm3STP_per_cm3
DANZEZ_charged,argon,273.0,0.5,14.0,DANZEZ_charged_argon_273.0K_0.5bar_14.0/Output/System_0,0.1817955549,0.9061333333,7.2623688258,4.0747611578,4.0018774839
GIFKIP_clean,argon,273.0,0.5,14.0,GIFKIP_clean_argon_273.0K_0.5bar_14.0/Output/System_0,0.207724092,0.0812989583,8.2981620265,4.6559227599,5.886008973
GULBAR_clean,argon,273.0,0.5,14.0,GULBAR_clean_argon_273.0K_0.5bar_14.0/Output/System_0,0.6227030531,1.3528625,24.8757415662,13.9572511306,20.1979415638
HUZSUR_clean,argon,273.0,0.5,14.0,HUZSUR_clean_argon_273.0K_0.5bar_14.0/Output/System_0,0.281686724,0.6929375,11.252821249,6.3137193994,5.6192388424
IHILUI_clean,argon,273.0,0.5,14.0,IHILUI_clean_argon_273.0K_0.5bar_14.0/Output/System_0,0.0876279718,0.1161458333,3.5005622171,1.9640912345,4.2154657308
cm503311x_aloh225K_clean,argon,273.0,0.5,14.0,cm503311x_aloh225K_clean_argon_273.0K_0.5bar_14.0/Output/System_0,0.3895807456,0.31644,15.5629716238,8.7320533828,8.2913657686
AZEBUE_clean,argon,273.0,0.5,14.0,AZEBUE_clean_argon_273.0K_0.5bar_14.0/Output/System_0,0.3942667499,1.3251916667,15.7501681241,8.8370853698,16.0682306952
CUVHIL02_clean_h,argon,273.0,0.5,14.0,CUVHIL02_clean_h_argon_273.0K_0.5bar_14.0/Output/System_0,0.1263508011,0.5648375,5.0474618019,2.8320237913,4.6950794556
HUCXIO_clean,argon,273.0,0.5,14.0,HUCXIO_clean_argon_273.0K_0.5bar_14.0/Output/System_0,0.2582535473,0.583484375,10.316712707,5.7884887456,7.3953557767
DUXMAL_clean,argon,273.0,0.5,14.0,DUXMAL_clean_argon_273.0K_0.5bar_14.0/Output/System_0,0.8132153111,2.2064958333,32.4863252478,18.2273882606,21.1239537126
HAWWAF_clean,argon,273.0,0.5,14.0,HAWWAF_clean_argon_273.0K_0.5bar_14.0/Output/System_0,0.485624362,0.9766583333,19.3997220119,10.8847726716,17.6088331772
COTXOA_clean,argon,273.0,0.5,14.0,COTXOA_clean_argon_273.0K_0.5bar_14.0/Output/System_0,0.531537417,1.899275,21.2338567337,11.9138667732,12.9208214473
EREFEN01_SL,argon,273.0,0.5,14.0,EREFEN01_SL_argon_273.0K_0.5bar_14.0/Output/System_0,0.6237331559,1.0222481481,24.9168921135,13.9803398302,15.8937786994
EXEQAA_clean,argon,273.0,0.5,14.0,EXEQAA_clean_argon_273.0K_0.5bar_14.0/Output/System_0,0.3453669605,0.9327833333,13.7967193397,7.7410466776,7.9342044586
DURDIF_clean,argon,273.0,0.5,14.0,DURDIF_clean_argon_273.0K_0.5bar_14.0/Output/System_0,0.3137945171,0.3458916667,12.5354633702,7.0333826966,5.1705441821
ZESFUY_clean,argon,273.0,0.5,14.0,ZESFUY_clean_argon_273.0K_0.5bar_14.0/Output/System_0,0.2715884085,0.1411861111,10.8494137431,6.0873760016,5.2703905395
LABNUA_clean,argon,273.0,0.5,14.0,LABNUA_clean_argon_273.0K_0.5bar_14.0/Output/System_0,0.1515676908,2.534125,6.0548261113,3.3972345453,5.829632312
GAJZIC_clean,argon,273.0,0.5,14.0,GAJZIC_clean_argon_273.0K_0.5bar_14.0/Output/System_0,0.1023767913,0.151725,4.0897480592,2.2946709175,3.6290490744
FUTYEA_clean,argon,273.0,0.5,14.0,FUTYEA_clean_argon_273.0K_0.5bar_14.0/Output/System_0,0.4778297228,0.5208833333,19.088341767,10.7100638186,11.1060260757
RAXBOJ_clean,argon,273.0,0.5,14.0,RAXBOJ_clean_argon_273.0K_0.5bar_14.0/Output/System_0,0.0700590207,0.3872041667,2.7987177606,1.5703011918,3.8309721025
CUWXAV_clean,argon,273.0,0.5,14.0,CUWXAV_clean_argon_273.0K_0.5bar_14.0/Output/System_0,0.4050074959,1.7829666667,16.1792394477,9.0778281915,11.8801271911
GIQXIO_clean,argon,273.0,0.5,14.0,GIQXIO_clean_argon_273.0K_0.5bar_14.0/Output/System_0,0.1929931544,0.2966777778,7.7096905332,4.3257438828,7.8092352235
EVIMUT_clean,argon,273.0,0.5,14.0,EVIMUT_clean_argon_273.0K_0.5bar_14.0/Output/System_0,0.2025816633,0.3121416667,8.0927322862,4.5406604885,4.492604791
TADWOM_clean,argon,273.0,0.5,14.0,TADWOM_clean_argon_273.0K_0.5bar_14.0/Output/System_0,0.3709266403,3.2092333333,14.817777425,8.3139407189,7.3082092011
IWELIG01_clean,argon,273.0,0.5,14.0,IWELIG01_clean_argon_273.0K_0.5bar_14.0/Output/System_0,1.0708791504,2.188896875,42.7794803004,24.0026593058,44.8363192844
FAVDEO_clean,argon,273.0,0.5,14.0,FAVDEO_clean_argon_273.0K_0.5bar_14.0/Output/System_0,0.2096639153,4.7376,8.3756540882,4.6994019125,11.1935287356
IWAYIO_clean,argon,273.0,0.5,14.0,IWAYIO_clean_argon_273.0K_0.5bar_14.0/Output/System_0,0.1549952173,2.7878,6.1917489426,3.4740590426,4.2459776401
FEBXIV_clean,argon,273.0,0.5,14.0,FEBXIV_clean_argon_273.0K_0.5bar_14.0/Output/System_0,0.2302094543,0.8755,9.1964072784,5.1599091245,1.5153901466
WEBJIY_clean,argon,273.0,0.5,14.0,WEBJIY_clean_argon_273.0K_0.5bar_14.0/Output/System_0,0.3839946844,4.8292,15.3398196511,8.6068475426,8.4970956654
CAZNEY_clean,argon,273.0,0.5,14.0,CAZNEY_clean_argon_273.0K_0.5bar_14.0/Output/System_0,0.3183112343,0.7293555556,12.7158971882,7.134620286,5.9363851551
FUHNIH_clean,argon,273.0,0.5,14.0,FUHNIH_clean_argon_273.0K_0.5bar_14.0/Output/System_0,0.5290102016,1.8223875,21.1328995348,11.8572218296,13.7977031785
BUCWAZ_clean,argon,273.0,0.5,14.0,BUCWAZ_clean_argon_273.0K_0.5bar_14.0/Output/System_0,0.2450606409,0.77085625,9.7896824837,5.4927832624,5.4190143072
WANBIY_clean,argon,273.0,0.5,14.0,WANBIY_clean_argon_273.0K_0.5bar_14.0/Output/System_0,0.016914433,0.601725,0.6756977705,0.3791196916,1.2581120295
cm500700z_si_002_clean,argon,273.0,0.5,14.0,cm500700z_si_002_clean_argon_273.0K_0.5bar_14.0/Output/System_0,0.4659710461,1.10595,18.6146113478,10.4442637253,9.6688013489
WILGUV_clean,argon,273.0,0.5,14.0,WILGUV_clean_argon_273.0K_0.5bar_14.0/Output/System_0,0.226847087,0.512828125,9.0620874312,5.0845451063,6.2310571332
ENEQUL_clean,argon,273.0,0.5,14.0,ENEQUL_clean_argon_273.0K_0.5bar_14.0/Output/System_0,0.2563833621,0.5969194444,10.2420025505,5.7465704609,5.5626595356
GULWAM_clean,argon,273.0,0.5,14.0,GULWAM_clean_argon_273.0K_0.5bar_14.0/Output/System_0,0.2662313402,1.705275,10.6354095793,5.967302803,4.5163958326
FOFCIO_clean,argon,273.0,0.5,14.0,FOFCIO_clean_argon_273.0K_0.5bar_14.0/Output/System_0,0.3101145691,0.5631416667,12.3884568066,6.9509004309,12.1222901535
ETEKAQ01_manual,argon,273.0,0.5,14.0,ETEKAQ01_manual_argon_273.0K_0.5bar_14.0/Output/System_0,0.1926355959,0.1739203704,7.6954067841,4.3177295741,5.0578632213
EBATUY_clean,argon,273.0,0.5,14.0,EBATUY_clean_argon_273.0K_0.5bar_14.0/Output/System_0,0.3400017376,0.4502861111,13.5823894154,7.6207907017,9.5719221387
ADOCEC_clean,argon,273.0,0.5,14.0,ADOCEC_clean_argon_273.0K_0.5bar_14.0/Output/System_0,0.1957270573,0.77240625,7.8189044848,4.3870215154,6.7359490943
HOZXEB_clean,argon,273.0,0.5,14.0,HOZXEB_clean_argon_273.0K_0.5bar_14.0/Output/System_0,0.1965045526,1.5746,7.8499638667,4.404448276,8.8607134956
EBAVAH_auto,argon,273.0,0.5,14.0,EBAVAH_auto_argon_273.0K_0.5bar_14.0/Output/System_0,0.2581223911,1.47635,10.3114732795,5.785549014,3.3055690711
ja101440z_si_001_clean,argon,273.0,0.5,14.0,ja101440z_si_001_clean_argon_273.0K_0.5bar_14.0/Output/System_0,0.452557806,0.5585722222,18.078779234,10.143619688,13.2594813263
acs.jpcc.6b08594_Zn2Cd6MOF5_opt_clean,argon,273.0,0.5,14.0,acs.jpcc.6b08594_Zn2Cd6MOF5_opt_clean_argon_273.0K_0.5bar_14.0/Output/System_0,0.1188658308,0.6497125,4.7484522071,2.6642558478,1.67466881
AQUDAS_clean,argon,273.0,0.5,14.0,AQUDAS_clean_argon_273.0K_0.5bar_14.0/Output/System_0,0.1514446182,0.3018972222,6.0499096081,3.3944759996,3.5288074724
cm1008587_si_003_clean,argon,273.0,0.5,14.0,cm1008587_si_003_clean_argon_273.0K_0.5bar_14.0/Output/System_0,0.3448798089,0.1627555556,13.7772586048,7.7301276719,8.6668966417
IDUDIW_clean,argon,273.0,0.5,14.0,IDUDIW_clean_argon_273.0K_0.5bar_14.0/Output/System_0,0.4678305198,0.5721259259,18.6888936057,10.4859419252,11.4683027944
EVAKIV_clean,argon,273.0,0.5,14.0,EVAKIV_clean_argon_273.0K_0.5bar_14.0/Output/System_0,0.342872122,2.00805625,13.6970555291,7.6851274267,5.6118537921
ja408959g_si_003_clean,argon,273.0,0.5,14.0,ja408959g_si_003_clean_argon_273.0K_0.5bar_14.0/Output/System_0,0.1729423973,1.914575,6.9087028887,3.8763266996,2.9084055885
ic502643m_si_003_clean,argon,273.0,0.5,14.0,ic502643m_si_003_clean_argon_273.0K_0.5bar_14.0/Output/System_0,0.283595278,1.0505708333,11.3290641649,6.3564976828,5.2098591915
DAWBIO_clean,argon,273.0,0.5,14.0,DAWBIO_clean_argon_273.0K_0.5bar_14.0/Output/System_0,0.3555983473,0.40125125,14.2054427786,7.9703727326,11.1954728465
DAMYOI_clean,argon,273.0,0.5,14.0,DAMYOI_clean_argon_273.0K_0.5bar_14.0/Output/System_0,0.2399660528,1.5087125,9.586163878,5.3785932881,4.4820393495
VAMYIU_clean,argon,273.0,0.5,14.0,VAMYIU_clean_argon_273.0K_0.5bar_14.0/Output/System_0,0.2057395753,1.6384,8.2188845529,4.6114418504,3.0955395962
AYOQEM_clean,argon,273.0,0.5,14.0,AYOQEM_clean_argon_273.0K_0.5bar_14.0/Output/System_0,0.2376034891,2.893425,9.4917841837,5.3256388429,4.1261512482
