name,gas,temp,pressure,cutoff,path,abs_mol_per_kg_framework,abs_molecules_per_uc,abs_mg_per_g_framework,abs_cm3STP_per_g,abs_cm3STP_per_cm3
UJOKIP04_clean,argon,293.0,0.5,14.0,UJOKIP04_clean_argon_293.0K_0.5bar_14.0/Output/System_0,0.0015808395,0.0021569444,0.0631513754,0.0354328977,0.0620138455
WEMCAU_clean,argon,293.0,0.5,14.0,WEMCAU_clean_argon_293.0K_0.5bar_14.0/Output/System_0,0.1572127329,0.2195166667,6.280334254,3.5237623825,6.1833485147
UTADIE_clean,argon,293.0,0.5,14.0,UTADIE_clean_argon_293.0K_0.5bar_14.0/Output/System_0,0.0995641505,0.2612583333,3.9773886832,2.2316284541,3.4956433237
WOBCAT_clean,argon,293.0,0.5,14.0,WOBCAT_clean_argon_293.0K_0.5bar_14.0/Output/System_0,0.1844617066,0.13541875,7.3688762537,4.1345202172,7.5783596689
RUYTUC_clean,argon,293.0,0.5,14.0,RUYTUC_clean_argon_293.0K_0.5bar_14.0/Output/System_0,0.1093665026,0.5051708333,4.368973046,2.4513381369,2.8559019172
RETVIW_clean,argon,293.0,0.5,14.0,RETVIW_clean_argon_293.0K_0.5bar_14.0/Output/System_0,0.1735241541,0.72271875,6.9319429067,3.8893661809,7.9956655149
REWNEO_clean,argon,293.0,0.5,14.0,REWNEO_clean_argon_293.0K_0.5bar_14.0/Output/System_0,0.1855299218,1.419225,7.4115493151,4.1584631672,2.4049854085
cm1008587_si_003_clean,argon,293.0,0.5,14.0,cm1008587_si_003_clean_argon_293.0K_0.5bar_14.0/Output/System_0,0.2310257063,0.1090255556,9.2290149133,5.178204577,5.8057202292
RIRDED_clean,argon,293.0,0.5,14.0,RIRDED_clean_argon_293.0K_0.5bar_14.0/Output/System_0,0.1864161242,1.59729375,7.4469513304,4.1783264873,5.1243242224
LEPLEZ_clean,argon,293.0,0.5,14.0,LEPLEZ_clean_argon_293.0K_0.5bar_14.0/Output/System_0,0.0038585984,0.0046833333,0.1541432876,0.0864865303,0.1865019975
XALCAP_clean,argon,293.0,0.5,14.0,XALCAP_clean_argon_293.0K_0.5bar_14.0/Output/System_0,0.1913733538,1.476825,7.6449827372,4.2894377106,3.8282924671
WOGHOP_clean,argon,293.0,0.5,14.0,WOGHOP_clean_argon_293.0K_0.5bar_14.0/Output/System_0,0.3911876238,0.7630462963,15.627163195,8.7680699123,16.6623503932
XAGCIS_clean,argon,293.0,0.5,14.0,XAGCIS_clean_argon_293.0K_0.5bar_14.0/Output/System_0,0.2973450832,2.71174375,11.8783413836,6.6646854835,11.7239183768
KOKKOL_clean,argon,293.0,0.5,14.0,KOKKOL_clean_argon_293.0K_0.5bar_14.0/Output/System_0,0.3039035426,0.5056138889,12.1403387209,6.811686634,9.2248821507
MOHSEJ_clean,argon,293.0,0.5,14.0,MOHSEJ_clean_argon_293.0K_0.5bar_14.0/Output/System_0,0.0882543309,0.41364375,3.5255840127,1.9781304335,3.1336802209
VECWUX_clean,argon,293.0,0.5,14.0,VECWUX_clean_argon_293.0K_0.5bar_14.0/Output/System_0,0.2326765377,0.5910722222,9.2949623275,5.2152062728,6.3369338986
QEBKUF_SL,argon,293.0,0.5,14.0,QEBKUF_SL_argon_293.0K_0.5bar_14.0/Output/System_0,0.2259639797,2.14605,9.0268090603,5.0647511604,3.4751553416
UFITEJ_clean,argon,293.0,0.5,14.0,UFITEJ_clean_argon_293.0K_0.5bar_14.0/Output/System_0,0.0977513832,0.1468777778,3.9049722579,2.1909971334,3.2916757258
FIJDIM_clean,argon,293.0,0.5,14.0,FIJDIM_clean_argon_293.0K_0.5bar_14.0/Output/System_0,0.2416501423,0.3176055556,9.6534398864,5.4163404299,6.746964299
FIJDIM02_clean,argon,293.0,0.5,14.0,FIJDIM02_clean_argon_293.0K_0.5bar_14.0/Output/System_0,0.2435128155,0.3200537037,9.7278499544,5.4580903413,6.7754575915
RUBTAK06_clean,argon,293.0,0.5,14.0,RUBTAK06_clean_argon_293.0K_0.5bar_14.0/Output/System_0,0.3477607349,3.032575,13.8923458395,7.794700679,12.6580499601
EGELUY01_manual,argon,293.0,0.5,14.0,EGELUY01_manual_argon_293.0K_0.5bar_14.0/Output/System_0,0.2034998894,0.1693966667,8.129413583,4.5612415864,4.3212599834
VAKNED_clean,argon,293.0,0.5,14.0,VAKNED_clean_argon_293.0K_0.5bar_14.0/Output/System_0,0.2171398477,0.45853125,8.6743026375,4.866967281,3.7588712636
XUNSAC_clean,argon,293.0,0.5,14.0,XUNSAC_clean_argon_293.0K_0.5bar_14.0/Output/System_0,0.4293131491,0.4431944444,17.1502016806,9.6226145122,10.1079167607
TISNEQ_clean,argon,293.0,0.5,14.0,TISNEQ_clean_argon_293.0K_0.5bar_14.0/Output/System_0,0.0098635835,0.0228,0.3940304342,0.2210821217,0.2976012781
HABRUZ_clean,argon,293.0,0.5,14.0,HABRUZ_clean_argon_293.0K_0.5bar_14.0/Output/System_0,0.2635456963,0.4481125,10.5281234758,5.9071068453,7.1966016261
YEDKUO_clean,argon,293.0,0.5,14.0,YEDKUO_clean_argon_293.0K_0.5bar_14.0/Output/System_0,0.1910324646,0.3317972222,7.6313648966,4.281797029,3.5431098407
KEYYET_clean,argon,293.0,0.5,14.0,KEYYET_clean_argon_293.0K_0.5bar_14.0/Output/System_0,0.0220203665,0.177475,0.8796696023,0.4935639615,1.3483195104
LUMYOJ_clean,argon,293.0,0.5,14.0,LUMYOJ_clean_argon_293.0K_0.5bar_14.0/Output/System_0,0.199386432,0.5203583333,7.9650891846,4.4690426507,5.8624216997
MECLEL_clean,argon,293.0,0.5,14.0,MECLEL_clean_argon_293.0K_0.5bar_14.0/Output/System_0,0.2005430528,0.6326833333,8.0112938739,4.4949671222,7.7684375358
QOLVET_clean,argon,293.0,0.5,14.0,QOLVET_clean_argon_293.0K_0.5bar_14.0/Output/System_0,0.317954892,0.46530625,12.7016620265,7.1266332386,13.070061115
NIRGAY_clean,argon,293.0,0.5,14.0,NIRGAY_clean_argon_293.0K_0.5bar_14.0/Output/System_0,0.168570194,0.4382625,6.7340421099,3.7783282401,3.0466880186
RAYLAG_clean,argon,293.0,0.5,14.0,RAYLAG_clean_argon_293.0K_0.5bar_14.0/Output/System_0,0.162963786,0.62476875,6.5100773218,3.6526663464,3.8699724637
XOPJAO_clean,argon,293.0,0.5,14.0,XOPJAO_clean_argon_293.0K_0.5bar_14.0/Output/System_0,0.5470931109,0.5880516667,21.8552755961,12.2625317205,15.23631993
XEYMAR_clean,argon,293.0,0.5,14.0,XEYMAR_clean_argon_293.0K_0.5bar_14.0/Output/System_0,0.1087092841,0.60620625,4.3427184821,2.4366072579,3.2736390785
ILUJIJ_clean,argon,293.0,0.5,14.0,ILUJIJ_clean_argon_293.0K_0.5bar_14.0/Output/System_0,0.0715513681,0.2087708333,2.858334054,1.6037506299,2.4461697144
WEVZUT_clean,argon,293.0,0.5,14.0,WEVZUT_clean_argon_293.0K_0.5bar_14.0/Output/System_0,0.0833264155,0.44801875,3.3287236453,1.8676762555,2.9747328348
VIGNOQ_clean,argon,293.0,0.5,14.0,VIGNOQ_clean_argon_293.0K_0.5bar_14.0/Output/System_0,0.0548498307,0.1655055556,2.1911410348,1.229402774,1.75776866
WOVDES_clean,argon,293.0,0.5,14.0,WOVDES_clean_argon_293.0K_0.5bar_14.0/Output/System_0,0.2010564813,0.5262041667,8.0318043145,4.5064750955,5.5040774702
POVXII_clean,argon,293.0,0.5,14.0,POVXII_clean_argon_293.0K_0.5bar_14.0/Output/System_0,0.0512720758,0.1052166667,2.0482168829,1.1492110629,1.8105992109
RONWIA_clean,argon,293.0,0.5,14.0,RONWIA_clean_argon_293.0K_0.5bar_14.0/Output/System_0,0.0554722996,0.0472986111,2.2160074228,1.243354777,1.3895371665
WOJYEB_clean,argon,293.0,0.5,14.0,WOJYEB_clean_argon_293.0K_0.5bar_14.0/Output/System_0,0.556637478,5.2129125,22.2365539698,12.4764589313,18.9164228897
NUDMEG_clean,argon,293.0,0.5,14.0,NUDMEG_clean_argon_293.0K_0.5bar_14.0/Output/System_0,0.2357849386,0.4122805556,9.4191367253,5.2848778944,6.3317726668
