name,gas,temp,pressure,cutoff,path,abs_mol_per_kg_framework,abs_molecules_per_uc,abs_mg_per_g_framework,abs_cm3STP_per_g,abs_cm3STP_per_cm3
LOQSIU_clean,argon,293.0,15.0,14.0,LOQSIU_clean_argon_293.0K_15.0bar_14.0/Output/System_0,3.0454159873,19.05436875,121.6582778615,68.2598800811,64.457056026
NUHRAL_clean,argon,293.0,15.0,14.0,NUHRAL_clean_argon_293.0K_15.0bar_14.0/Output/System_0,3.659711121,12.8428888889,146.1981398631,82.0286763101,100.3476835177
MAJKAM_clean,argon,293.0,15.0,14.0,MAJKAM_clean_argon_293.0K_15.0bar_14.0/Output/System_0,4.9144517187,19.972025,196.32251726,110.1524016364,120.243909428
INEXIK_clean,argon,293.0,15.0,14.0,INEXIK_clean_argon_293.0K_15.0bar_14.0/Output/System_0,2.0588217674,4.6379388889,82.245811966,46.1463811642,64.2697298228
KEDJAG04_clean,argon,293.0,15.0,14.0,KEDJAG04_clean_argon_293.0K_15.0bar_14.0/Output/System_0,2.7593983499,4.317346875,110.2324452809,61.8490876921,66.1952859372
KAHYEY_clean,argon,293.0,15.0,14.0,KAHYEY_clean_argon_293.0K_15.0bar_14.0/Output/System_0,1.3337682296,0.8986291667,53.2813732368,29.8950487516,58.3969793635
ZIDVAL_clean,argon,293.0,15.0,14.0,ZIDVAL_clean_argon_293.0K_15.0bar_14.0/Output/System_0,1.9198047327,5.5215027778,76.6923594616,43.0304567187,57.624217524
ZIHFUR_clean,argon,293.0,15.0,14.0,ZIHFUR_clean_argon_293.0K_15.0bar_14.0/Output/System_0,1.7838300224,3.6841270833,71.2604417356,39.9827228603,46.9499329866
c5ce00561b_c5ce00561b2_clean,argon,293.0,15.0,14.0,c5ce00561b_c5ce00561b2_clean_argon_293.0K_15.0bar_14.0/Output/System_0,3.1193948221,4.51812,124.6135843519,69.918039889,69.2941515728
LAWGOG_clean,argon,293.0,15.0,14.0,LAWGOG_clean_argon_293.0K_15.0bar_14.0/Output/System_0,3.5277537208,5.4326,140.9267056387,79.0709863416,46.6110522974
