,MOF,Ar_293_0.01,Ar_293_0.05,Ar_293_0.1,Ar_293_0.5,Ar_293_15,Ar_293_1,Ar_293_5
0,00958972.2016.1250260_1436516_clean,0.0010224025,0.0050606068,0.0103230287,0.051217225,1.1680748728,0.1013492183,0.4704841211
1,00958972.2016.1250260_1436519_clean,0.0025047802,0.0133038982,0.027102161,0.1304133574,1.793717395,0.2472243669,0.8988187612
2,00958972.2016.1253069_1472494_clean,0.0004578549,0.002121091,0.0044550826,0.0219501264,0.5079981379,0.0436078114,0.1980905124
3,1499489-acs.cgd.6b01265_1499490_clean,0.007366829,0.037363951,0.0745529818,0.3608552024,5.6023018675,0.6850410886,2.7848547681
4,ABAVIJ_clean,0.0110572342,0.0543591349,0.1051491046,0.4253003247,1.5268161921,0.6767546592,1.2829171252
5,ABAYIO_clean,0.0048727968,0.0249054056,0.0491029734,0.2272079692,3.671125751,0.4283068665,1.6578633762
6,ABAYOU_clean,0.005065193,0.025253709,0.049884001,0.231984494,3.7263375094,0.4391740199,1.6997534074
7,ABEFUL_clean,0.0070608352,0.033795107,0.0670731472,0.300494364,1.6465438829,0.5364951698,1.2712625002
8,ABESUX_clean,0.0013043806,0.0065033259,0.0128872273,0.0638372448,1.1825318159,0.1258946227,0.5351189356
9,ABETAE_clean,0.0012849188,0.0064383059,0.0129420741,0.0631972181,1.1852737133,0.1256071193,0.5331537396
10,ABETIN_clean,0.003346392,0.0171078326,0.0346731356,0.1717328468,4.778442982,0.3370940938,1.6720536503
11,ABEXEM_clean,0.0022195955,0.0111835376,0.0217820811,0.107862788,1.6419932416,0.2070471668,0.8099682857
12,ABEXEN_clean,0.0052760473,0.0262433768,0.0526732003,0.2600397115,4.4613462796,0.4972277909,1.9751022007
13,ABEXIQ_clean,0.0022327455,0.0107968908,0.0217980203,0.1039555184,1.6148886779,0.206030256,0.798044897
14,ABEXOW_clean,0.0021831935,0.0108783773,0.0214055838,0.1044717923,1.5852813743,0.2021249382,0.7785859464
15,ABEXUC_clean,0.0022283403,0.0108859419,0.0214769276,0.1044909316,1.5581919139,0.2040607002,0.7776907503
16,ABEYAJ_clean,0.0021268695,0.0105351322,0.0210712276,0.1040143221,1.4874427577,0.1978007907,0.759608362
17,ABEYEN_clean,0.0021539245,0.0105241171,0.0208065651,0.1027592674,1.4705396652,0.1992677425,0.742560186
18,ABEYIR_clean,0.0020888932,0.0104387949,0.0207811794,0.1014861838,1.4544765071,0.1953984755,0.7371997222
19,ABIXOZ_clean,0.0009644543,0.0047830471,0.0095787845,0.0471128989,1.2090864816,0.0948291586,0.4437251057
20,ABIYIV_clean,0.0021674224,0.0108403893,0.0217506954,0.1044568682,1.4176340764,0.2031936641,0.7508818563
21,ABULOB_clean,0.0157230486,0.0780583161,0.1554321075,0.6930705997,4.8668929978,1.2500514138,3.4780452244
22,ABUWOJ_clean,0.0057820774,0.0288370204,0.0573904889,0.2800619376,4.415984271,0.5470190228,2.1693656377
23,ACAJIY_clean,0.0054875122,0.0272759614,0.0530837725,0.2643873753,3.9145250832,0.5094223305,2.0272884923
24,ACAJIZ_clean,0.0020249101,0.0100379768,0.0200841554,0.099426548,1.7333275869,0.1947066779,0.8022516954
25,ACAJOF_clean,0.00189991,0.0092504981,0.0183960387,0.0900838414,1.8789487304,0.1796108741,0.7974943397
26,ACAKUM_clean,0.0022167934,0.0108573384,0.021762868,0.1044693209,1.439865943,0.2026138774,0.7535117913
27,ACALIB_clean,0.0011538392,0.0057803264,0.0112514783,0.0541822121,0.9054546135,0.1098843261,0.446577826
28,ACECIV_ion_b,0.001099095,0.0056554632,0.011267094,0.0515506261,0.5004783549,0.0948947488,0.3029798506
29,ACIBIY_clean,0.0019660709,0.0098513323,0.0193378868,0.0952606239,1.3938324159,0.1833503916,0.7102002978
30,ACIBOE_clean,0.0042999603,0.0208712691,0.0411589009,0.2060289569,4.1580117384,0.4037148933,1.7808071134
31,ACMPCD_SL,0.0002657751,0.0014888218,0.002936755,0.0143927455,0.2852981766,0.0283729983,0.1262311604
32,ACOCOM_clean,0.0038389121,0.0189505222,0.0383328048,0.1897868052,5.3346588326,0.3845435468,1.8304430514
33,ACOCUS_clean,0.0038719424,0.0199462284,0.0391867679,0.1949570912,5.5016843466,0.3943165599,1.8819603012
34,ACODAZ_clean,0.0038341697,0.0192490971,0.0378295264,0.1936006749,5.4105849606,0.3801447703,1.8313934314
35,ACODON_clean,0.0041438463,0.0207829285,0.042073664,0.2034695765,3.5766506959,0.394150203,1.6532018101
36,ACODUT_clean,0.0119129205,0.0553158565,0.1066455794,0.3938247206,1.9461237438,0.5945398259,1.285398255
37,ACOGAB_clean,0.0063405971,0.0316354125,0.0629577369,0.3018732374,3.6508009334,0.5709352926,2.0499747304
38,ACOGEF_clean,0.0058006229,0.0286902857,0.0575441421,0.2781988561,3.3390507791,0.5273353034,1.8858873973
39,ACOLEL_clean,0.0004047374,0.0019372149,0.004088208,0.0175622403,0.2470435413,0.0363555068,0.1275247076
40,ACOLIP_clean,0.0066372227,0.0327565447,0.0661382656,0.3153093101,3.9693046542,0.5984067075,2.1594887785
41,ACOLOV_clean,0.0033161725,0.0161485957,0.0328985367,0.1622659513,3.8200281494,0.32458135,1.4804756257
42,ACUBAB_clean,0.0040234126,0.0200180697,0.0389243705,0.1865895649,1.7484212787,0.3352010781,1.0980745741
43,ACUFEK_clean,0.0033200546,0.0171506877,0.0330102431,0.1673202124,4.4615063647,0.3347077629,1.5608560438
44,ACUJOZ_manual,0.0032099285,0.0160392011,0.0322394953,0.159517932,4.0999840518,0.3192924197,1.495456747
45,ACUTOI_clean,0.002861444,0.0148284629,0.0295400954,0.1372962884,1.5529291978,0.2644750717,0.8902991136
46,ADABIS_clean,0.0018136811,0.0086348915,0.0166454217,0.0839841784,1.1680637175,0.166744912,0.6646439805
