---- START at 2025-08-09 17:32:56, Target=8268/8268 ----
[9/8268] LEJBUX_clean_argon_313.0K_0.1bar_14.0 Done. TimeForThis=50.5s, Completed=1/8268, ETA=2025-08-14 13:31:23
[29/8268] LAJTIC_clean_argon_313.0K_0.1bar_14.0 Done. TimeForThis=50.8s, Completed=2/8268, ETA=2025-08-12 03:54:33
[25/8268] KEYYET_clean_argon_313.0K_0.1bar_14.0 Done. TimeForThis=51.9s, Completed=3/8268, ETA=2025-08-11 09:18:45
[30/8268] CUNQUZ_clean_argon_313.0K_0.1bar_14.0 Done. TimeForThis=84.2s, Completed=4/8268, ETA=2025-08-11 17:54:29
[21/8268] FUSMEM_clean_argon_313.0K_0.1bar_14.0 Done. TimeForThis=91.5s, Completed=5/8268, ETA=2025-08-11 11:34:36
[3/8268] NAYMOQ_clean_argon_313.0K_0.1bar_14.0 Done. TimeForThis=99.7s, Completed=6/8268, ETA=2025-08-11 07:42:28
[18/8268] BEXPAX_clean_argon_313.0K_0.1bar_14.0 Done. TimeForThis=103.7s, Completed=7/8268, ETA=2025-08-11 03:34:49
[11/8268] NEDWEA_clean_argon_313.0K_0.1bar_14.0 Done. TimeForThis=106.1s, Completed=8/8268, ETA=2025-08-11 00:00:30
[5/8268] DUQYEU_clean_argon_313.0K_0.1bar_14.0 Done. TimeForThis=106.7s, Completed=9/8268, ETA=2025-08-10 20:47:04
[28/8268] IXIPIO_clean_argon_313.0K_0.1bar_14.0 Done. TimeForThis=113.9s, Completed=10/8268, ETA=2025-08-10 19:41:54
[6/8268] ARAFEF_clean_argon_313.0K_0.1bar_14.0 Done. TimeForThis=134.1s, Completed=11/8268, ETA=2025-08-10 21:33:27
[7/8268] DAXHIV01_clean_argon_313.0K_0.1bar_14.0 Done. TimeForThis=136.0s, Completed=12/8268, ETA=2025-08-10 19:34:37
[1/8268] CIPLIX_clean_argon_313.0K_0.1bar_14.0 Done. TimeForThis=138.4s, Completed=13/8268, ETA=2025-08-10 18:00:01
[26/8268] TOBKEC_clean_argon_313.0K_0.1bar_14.0 Done. TimeForThis=152.8s, Completed=14/8268, ETA=2025-08-10 18:37:21
[15/8268] LAGDII_ion_b_argon_313.0K_0.1bar_14.0 Done. TimeForThis=158.0s, Completed=15/8268, ETA=2025-08-10 17:44:18
[16/8268] GIRYAJ_clean_argon_313.0K_0.1bar_14.0 Done. TimeForThis=164.9s, Completed=16/8268, ETA=2025-08-10 17:12:51
[40/8268] RIZXUT_clean_argon_313.0K_0.1bar_14.0 Done. TimeForThis=59.1s, Completed=17/8268, ETA=2025-08-10 16:55:02
[36/8268] YIWNAT_clean_argon_313.0K_0.1bar_14.0 Done. TimeForThis=77.5s, Completed=18/8268, ETA=2025-08-10 16:09:16
[27/8268] ZAFXAI_clean_argon_313.0K_0.1bar_14.0 Done. TimeForThis=183.3s, Completed=19/8268, ETA=2025-08-10 15:42:25
[24/8268] HIDDAB_clean_argon_313.0K_0.1bar_14.0 Done. TimeForThis=196.9s, Completed=20/8268, ETA=2025-08-10 16:09:38
[12/8268] LELROL_clean_argon_313.0K_0.1bar_14.0 Done. TimeForThis=209.7s, Completed=21/8268, ETA=2025-08-10 16:29:13
[35/8268] QIWPET_clean_argon_313.0K_0.1bar_14.0 Done. TimeForThis=132.2s, Completed=22/8268, ETA=2025-08-10 16:53:53
[10/8268] VONDEJ_clean_argon_313.0K_0.1bar_14.0 Done. TimeForThis=227.6s, Completed=23/8268, ETA=2025-08-10 16:16:34
[37/8268] TORJIV_clean_argon_313.0K_0.1bar_14.0 Done. TimeForThis=139.8s, Completed=24/8268, ETA=2025-08-10 16:50:58
[38/8268] FURQOZ01_ion_b_argon_313.0K_0.1bar_14.0 Done. TimeForThis=140.9s, Completed=25/8268, ETA=2025-08-10 16:14:25
[47/8268] KEDJAG18_clean_argon_313.0K_0.1bar_14.0 Done. TimeForThis=76.4s, Completed=26/8268, ETA=2025-08-10 15:34:47
[45/8268] ORUKET_clean_argon_313.0K_0.1bar_14.0 Done. TimeForThis=99.9s, Completed=27/8268, ETA=2025-08-10 15:28:54
[32/8268] ANUGEW_clean_argon_313.0K_0.1bar_14.0 Done. TimeForThis=209.3s, Completed=28/8268, ETA=2025-08-10 14:52:53
[31/8268] PAPROO_clean_argon_313.0K_0.1bar_14.0 Done. TimeForThis=211.7s, Completed=29/8268, ETA=2025-08-10 14:18:45
[23/8268] ZAVQAQ_clean_argon_313.0K_0.1bar_14.0 Done. TimeForThis=277.9s, Completed=30/8268, ETA=2025-08-10 14:49:16
[14/8268] IJENIV_clean_argon_313.0K_0.1bar_14.0 Done. TimeForThis=279.5s, Completed=31/8268, ETA=2025-08-10 14:15:22
