name,gas,temp,pressure,cutoff,path,abs_mol_per_kg_framework,abs_molecules_per_uc,abs_mg_per_g_framework,abs_cm3STP_per_g,abs_cm3STP_per_cm3
jacs.6b09113_ja6b09113_si_002_clean,argon,313.0,15.0,14.0,jacs.6b09113_ja6b09113_si_002_clean_argon_313.0K_15.0bar_14.0/Output/System_0,2.8750741131,6.4655375,114.8534606708,64.441841444,37.0386876818
UVOBUE_clean,argon,313.0,15.0,14.0,UVOBUE_clean_argon_313.0K_15.0bar_14.0/Output/System_0,0.6500487924,1.4589481481,25.9681491569,14.5701778665,30.9458375979
KOFPEB02_clean,argon,313.0,15.0,14.0,KOFPEB02_clean_argon_313.0K_15.0bar_14.0/Output/System_0,1.1799246181,2.9615416667,47.1356286446,26.4468017745,46.850592186
MALSOK_clean,argon,313.0,15.0,14.0,MALSOK_clean_argon_313.0K_15.0bar_14.0/Output/System_0,3.178156593,3.6410675,126.9609995755,71.2351247966,47.7026342413
COKMIA_clean,argon,313.0,15.0,14.0,COKMIA_clean_argon_313.0K_15.0bar_14.0/Output/System_0,2.3526719972,6.6055525,93.9845409435,52.7327330869,61.8282760123
ja500330a_si_006_auto,argon,313.0,15.0,14.0,ja500330a_si_006_auto_argon_313.0K_15.0bar_14.0/Output/System_0,2.5115396953,23.23305,100.330987747,56.2935898191,44.6656162856
EWUKIS_clean,argon,313.0,15.0,14.0,EWUKIS_clean_argon_313.0K_15.0bar_14.0/Output/System_0,3.4154582382,11.423075,136.4407256978,76.5539981169,81.0015846154
CUWHUZ_clean,argon,313.0,15.0,14.0,CUWHUZ_clean_argon_313.0K_15.0bar_14.0/Output/System_0,3.9556869847,42.69404375,158.021783663,88.6626721391,83.2364989981
SOPLEQ_clean,argon,313.0,15.0,14.0,SOPLEQ_clean_argon_313.0K_15.0bar_14.0/Output/System_0,3.4098004959,23.2814125,136.2147102104,76.4271856193,55.9243911829
NUNCEG_clean,argon,313.0,15.0,14.0,NUNCEG_clean_argon_313.0K_15.0bar_14.0/Output/System_0,2.9769378139,3.1928759259,118.9227117884,66.7250119621,56.1718901071
TOJLOT_clean,argon,313.0,15.0,14.0,TOJLOT_clean_argon_313.0K_15.0bar_14.0/Output/System_0,2.8206517612,8.1232125,112.6793965579,63.2220201687,49.8138135144
REGMOH_clean,argon,313.0,15.0,14.0,REGMOH_clean_argon_313.0K_15.0bar_14.0/Output/System_0,1.4877433502,6.94175,59.4323713531,33.3462433696,40.4505185805
JORVET_clean,argon,313.0,15.0,14.0,JORVET_clean_argon_313.0K_15.0bar_14.0/Output/System_0,3.818405002,20.7613375,152.5376430181,85.5856371083,71.8961632981
VUKRUQ_clean,argon,313.0,15.0,14.0,VUKRUQ_clean_argon_313.0K_15.0bar_14.0/Output/System_0,2.9227324267,1.9228888889,116.7573149825,65.5100537292,55.9800778316
PAMTUU_clean,argon,313.0,15.0,14.0,PAMTUU_clean_argon_313.0K_15.0bar_14.0/Output/System_0,2.6470168722,7.4989625,105.7430300091,59.3301719761,53.8968508575
CUKXIR_clean,argon,313.0,15.0,14.0,CUKXIR_clean_argon_313.0K_15.0bar_14.0/Output/System_0,2.5477227931,6.7774625,101.7764301391,57.1045968963,78.3034597843
DEKHUX_clean,argon,313.0,15.0,14.0,DEKHUX_clean_argon_313.0K_15.0bar_14.0/Output/System_0,3.0335994552,2.4346148148,121.1862310379,67.9950246176,71.5301033269
QODHUO07_clean,argon,313.0,15.0,14.0,QODHUO07_clean_argon_313.0K_15.0bar_14.0/Output/System_0,1.5371123621,10.3342375,61.4045646409,34.4527992053,45.7978155654
EWUCOP_clean,argon,313.0,15.0,14.0,EWUCOP_clean_argon_313.0K_15.0bar_14.0/Output/System_0,3.4975979729,4.1369425926,139.72204382,78.3950761386,89.3979569176
DUNXUH13_clean,argon,313.0,15.0,14.0,DUNXUH13_clean_argon_313.0K_15.0bar_14.0/Output/System_0,4.1454505356,5.1167962963,165.6024579947,92.916027767,114.5172345359
ja406030p_si_008_manual,argon,313.0,15.0,14.0,ja406030p_si_008_manual_argon_313.0K_15.0bar_14.0/Output/System_0,3.2709944506,15.5947,130.6696863121,73.315990286,50.4838574613
DEGJIK_clean,argon,313.0,15.0,14.0,DEGJIK_clean_argon_313.0K_15.0bar_14.0/Output/System_0,1.6636880103,1.39534,66.4610086352,37.2898627143,59.1630868158
cm501138g_si_002_clean,argon,313.0,15.0,14.0,cm501138g_si_002_clean_argon_313.0K_15.0bar_14.0/Output/System_0,3.1137279559,7.533625,124.3872043812,69.7910228876,61.857907809
GUQWOG_clean,argon,313.0,15.0,14.0,GUQWOG_clean_argon_313.0K_15.0bar_14.0/Output/System_0,3.3289619599,13.656625,132.9853723726,74.615272633,71.4781462506
SAJSAA_clean,argon,313.0,15.0,14.0,SAJSAA_clean_argon_313.0K_15.0bar_14.0/Output/System_0,3.548925019,11.8262791667,141.7724566605,79.5455193067,86.7315144389
IVEKEA_clean,argon,313.0,15.0,14.0,IVEKEA_clean_argon_313.0K_15.0bar_14.0/Output/System_0,4.0956167415,141.8345,163.6116975876,91.7990543144,53.707467238
EKIDIL_clean,argon,313.0,15.0,14.0,EKIDIL_clean_argon_313.0K_15.0bar_14.0/Output/System_0,2.0733621196,10.1931791667,82.8266699556,46.4722882657,119.2061728962
FOQNUW01_clean,argon,313.0,15.0,14.0,FOQNUW01_clean_argon_313.0K_15.0bar_14.0/Output/System_0,2.1557775581,8.4598083333,86.1190018923,48.3195459052,65.354633597
ic051810ksi20060220_094504_clean,argon,313.0,15.0,14.0,ic051810ksi20060220_094504_clean_argon_313.0K_15.0bar_14.0/Output/System_0,2.7601663588,11.8245166667,110.2631257019,61.8663018258,78.1654551262
AVAGUB_clean,argon,313.0,15.0,14.0,AVAGUB_clean_argon_313.0K_15.0bar_14.0/Output/System_0,1.2795239895,4.178271875,51.1144243337,28.6792196698,38.3685712177
BAWROI_clean,argon,313.0,15.0,14.0,BAWROI_clean_argon_313.0K_15.0bar_14.0/Output/System_0,3.0528391461,31.6476,121.9548182087,68.4262625821,43.103163576
ENAFAB_clean,argon,313.0,15.0,14.0,ENAFAB_clean_argon_313.0K_15.0bar_14.0/Output/System_0,0.5751698951,22.73965,22.9768869687,12.8918440791,32.777107643
PARSAF_clean,argon,313.0,15.0,14.0,PARSAF_clean_argon_313.0K_15.0bar_14.0/Output/System_0,4.0568823875,26.6192625,162.0643376175,90.9308634452,107.222957059
LAPLUM_clean,argon,313.0,15.0,14.0,LAPLUM_clean_argon_313.0K_15.0bar_14.0/Output/System_0,6.4452084839,68.8157625,257.4731885147,144.4627466462,208.4887210737
YUKCAJ_clean,argon,313.0,15.0,14.0,YUKCAJ_clean_argon_313.0K_15.0bar_14.0/Output/System_0,1.9147763624,1.8535652778,76.4914861241,42.9177509483,49.8065969702
ic502921j_si_003_clean,argon,313.0,15.0,14.0,ic502921j_si_003_clean_argon_313.0K_15.0bar_14.0/Output/System_0,1.9241973895,9.957625,76.8678373155,43.1289136217,58.1778599843
XOCWET_clean,argon,313.0,15.0,14.0,XOCWET_clean_argon_313.0K_15.0bar_14.0/Output/System_0,1.3012855057,2.2671685185,51.9837533832,29.1669817663,59.8506917456
ORAGEU_clean,argon,313.0,15.0,14.0,ORAGEU_clean_argon_313.0K_15.0bar_14.0/Output/System_0,0.1735019176,1.1164861111,6.9310546037,3.8888677729,12.6796771258
ic200054b_si_002_clean,argon,313.0,15.0,14.0,ic200054b_si_002_clean_argon_313.0K_15.0bar_14.0/Output/System_0,4.1381618115,15.628275,165.3112880467,92.7526584831,135.698178511
OHIHET_clean,argon,313.0,15.0,14.0,OHIHET_clean_argon_313.0K_15.0bar_14.0/Output/System_0,1.5821485322,1.5120755556,63.2036695642,35.4622388297,46.2561669589
