---- START at 2025-08-11 00:24:01, Target=2595/2595 ----
[18/2595] jacs.6b09113_ja6b09113_si_002_clean_argon_313.0K_15.0bar_14.0 Done. TimeForThis=518.5s, Completed=1/2595, ETA=2025-08-26 14:08:21
[8/2595] UVOBUE_clean_argon_313.0K_15.0bar_14.0 Done. TimeForThis=534.8s, Completed=2/2595, ETA=2025-08-19 01:09:42
[23/2595] GUQWOG_clean_argon_313.0K_15.0bar_14.0 Done. TimeForThis=557.3s, Completed=3/2595, ETA=2025-08-16 14:18:44
[28/2595] FOQNUW01_clean_argon_313.0K_15.0bar_14.0 Done. TimeForThis=559.3s, Completed=4/2595, ETA=2025-08-15 05:11:15
[14/2595] VUKRUQ_clean_argon_313.0K_15.0bar_14.0 Done. TimeForThis=561.6s, Completed=5/2595, ETA=2025-08-14 09:22:06
[25/2595] cm501138g_si_002_clean_argon_313.0K_15.0bar_14.0 Done. TimeForThis=577.1s, Completed=6/2595, ETA=2025-08-13 21:44:07
[21/2595] PAMTUU_clean_argon_313.0K_15.0bar_14.0 Done. TimeForThis=602.0s, Completed=7/2595, ETA=2025-08-13 14:23:24
[1/2595] MALSOK_clean_argon_313.0K_15.0bar_14.0 Done. TimeForThis=710.2s, Completed=8/2595, ETA=2025-08-13 16:23:47
[34/2595] BAWROI_clean_argon_313.0K_15.0bar_14.0 Done. TimeForThis=161.4s, Completed=9/2595, ETA=2025-08-13 10:07:22
[15/2595] ja406030p_si_008_manual_argon_313.0K_15.0bar_14.0 Done. TimeForThis=725.9s, Completed=10/2595, ETA=2025-08-13 04:43:23
[20/2595] DEGJIK_clean_argon_313.0K_15.0bar_14.0 Done. TimeForThis=787.5s, Completed=11/2595, ETA=2025-08-13 04:00:28
[37/2595] ENAFAB_clean_argon_313.0K_15.0bar_14.0 Done. TimeForThis=210.7s, Completed=12/2595, ETA=2025-08-13 01:13:02
[5/2595] TOJLOT_clean_argon_313.0K_15.0bar_14.0 Done. TimeForThis=850.5s, Completed=13/2595, ETA=2025-08-12 23:33:26
[12/2595] DEKHUX_clean_argon_313.0K_15.0bar_14.0 Done. TimeForThis=850.7s, Completed=14/2595, ETA=2025-08-12 20:12:13
