name,gas,temp,pressure,cutoff,path,abs_mol_per_kg_framework,abs_molecules_per_uc,abs_mg_per_g_framework,abs_cm3STP_per_g,abs_cm3STP_per_cm3
DONNIE_clean,H2,293.0,0.01,14.0,DONNIE_clean_H2_293.0K_0.01bar_14.0/Output/System_0,0.0034539097,0.0034516667,0.0069626674,0.0774158477,0.0886549112
am301365h_si_002_clean,H2,293.0,0.01,14.0,am301365h_si_002_clean_H2_293.0K_0.01bar_14.0/Output/System_0,0.0015288159,0.0042125,0.0030819093,0.0342668418,0.0310824645
HOGJIX_clean,H2,293.0,0.01,14.0,HOGJIX_clean_H2_293.0K_0.01bar_14.0/Output/System_0,0.0026200292,0.007625,0.0052816645,0.0587252719,0.0460567146
POKVES_clean,H2,293.0,0.01,14.0,POKVES_clean_H2_293.0K_0.01bar_14.0/Output/System_0,0.0006687083,0.00138,0.0013480358,0.0149884124,0.0308141005
WUDVEY_clean,H2,293.0,0.01,14.0,WUDVEY_clean_H2_293.0K_0.01bar_14.0/Output/System_0,0.0007616198,0.00422,0.0015353342,0.0170709285,0.0237640781
cm503311x_alf100K_clean,H2,293.0,0.01,14.0,cm503311x_alf100K_clean_H2_293.0K_0.01bar_14.0/Output/System_0,0.00182185,0.0015016667,0.0036726311,0.0408349026,0.0394316789
ic5021302_si_002_clean,H2,293.0,0.01,14.0,ic5021302_si_002_clean_H2_293.0K_0.01bar_14.0/Output/System_0,0.0027363672,0.01013125,0.0055161878,0.061332867,0.0633691535
APAYUN_clean,H2,293.0,0.01,14.0,APAYUN_clean_H2_293.0K_0.01bar_14.0/Output/System_0,0.0031591972,0.0125916667,0.0063685625,0.07081017,0.0741171863
ja106851d_si_001_clean,H2,293.0,0.01,14.0,ja106851d_si_001_clean_H2_293.0K_0.01bar_14.0/Output/System_0,0.0028835888,0.0092208333,0.005812969,0.0646326897,0.0824874216
XAKZOZ_clean,H2,293.0,0.01,14.0,XAKZOZ_clean_H2_293.0K_0.01bar_14.0/Output/System_0,0.0024490726,0.018075,0.0049370365,0.0548934543,0.0468244215
MAGVOG05_clean,H2,293.0,0.01,14.0,MAGVOG05_clean_H2_293.0K_0.01bar_14.0/Output/System_0,7.57977e-05,5.09259e-05,0.0001527991,0.0016989283,0.0031136234
VUCCUT_clean,H2,293.0,0.01,14.0,VUCCUT_clean_H2_293.0K_0.01bar_14.0/Output/System_0,0.001993309,0.006175,0.0040182717,0.0446779794,0.0820282378
ENITIF_clean,H2,293.0,0.01,14.0,ENITIF_clean_H2_293.0K_0.01bar_14.0/Output/System_0,0.002360524,0.0057277778,0.0047585331,0.0529087271,0.0525794249
XOMCIN_clean,H2,293.0,0.01,14.0,XOMCIN_clean_H2_293.0K_0.01bar_14.0/Output/System_0,0.0038572606,0.0149083333,0.0077757745,0.0864565458,0.0860332749
GITVEL_clean,H2,293.0,0.01,14.0,GITVEL_clean_H2_293.0K_0.01bar_14.0/Output/System_0,0.0016841452,0.008975,0.0033950346,0.0377483888,0.0293368259
TAKYEL_clean,H2,293.0,0.01,14.0,TAKYEL_clean_H2_293.0K_0.01bar_14.0/Output/System_0,0.0013508021,0.003975,0.002723055,0.0302768466,0.0474993872
HICZAW_clean,H2,293.0,0.01,14.0,HICZAW_clean_H2_293.0K_0.01bar_14.0/Output/System_0,0.0044928304,0.01828125,0.009057007,0.100702192,0.1681626078
BIQVII_clean,H2,293.0,0.01,14.0,BIQVII_clean_H2_293.0K_0.01bar_14.0/Output/System_0,0.0016131026,0.0041,0.0032518212,0.0361560418,0.0586599216
MIDRAT_clean,H2,293.0,0.01,14.0,MIDRAT_clean_H2_293.0K_0.01bar_14.0/Output/System_0,0.0031838604,0.0061375,0.0064182805,0.0713629696,0.0901731309
IBITEU_clean,H2,293.0,0.01,14.0,IBITEU_clean_H2_293.0K_0.01bar_14.0/Output/System_0,0.0038150155,0.0150416667,0.0076906135,0.0855096655,0.0955222886
LABJUV_clean,H2,293.0,0.01,14.0,LABJUV_clean_H2_293.0K_0.01bar_14.0/Output/System_0,0.0004367831,0.0011694444,0.0008805024,0.0097900468,0.0230650287
OKOQOW_clean,H2,293.0,0.01,14.0,OKOQOW_clean_H2_293.0K_0.01bar_14.0/Output/System_0,0.000793973,0.0068625,0.0016005543,0.0177960918,0.042651367
EZOFEF_clean,H2,293.0,0.01,14.0,EZOFEF_clean_H2_293.0K_0.01bar_14.0/Output/System_0,0.0045869426,0.0133125,0.0092467258,0.1028116191,0.1053730231
MIMSUY_clean,H2,293.0,0.01,14.0,MIMSUY_clean_H2_293.0K_0.01bar_14.0/Output/System_0,0.0022699581,0.00635,0.0045759632,0.0508787865,0.0496085907
OKAYOQ_clean,H2,293.0,0.01,14.0,OKAYOQ_clean_H2_293.0K_0.01bar_14.0/Output/System_0,0.0035641963,0.0021263889,0.007184992,0.0798878093,0.0951874187
QEKLID_clean,H2,293.0,0.01,14.0,QEKLID_clean_H2_293.0K_0.01bar_14.0/Output/System_0,0.0026712337,0.0024138889,0.0053848866,0.0598729671,0.0953243841
HABKOM_clean,H2,293.0,0.01,14.0,HABKOM_clean_H2_293.0K_0.01bar_14.0/Output/System_0,0.0086545929,0.0164541667,0.0174466207,0.1939838348,0.4223542169
KIRTUC_clean,H2,293.0,0.01,14.0,KIRTUC_clean_H2_293.0K_0.01bar_14.0/Output/System_0,0.0069233053,0.0096083333,0.0139565527,0.1551787977,0.2067600314
OSAVEK_clean,H2,293.0,0.01,14.0,OSAVEK_clean_H2_293.0K_0.01bar_14.0/Output/System_0,0.0024302958,0.001985,0.0048991848,0.0544725921,0.0540085532
XIDSUZ_clean,H2,293.0,0.01,14.0,XIDSUZ_clean_H2_293.0K_0.01bar_14.0/Output/System_0,0.0025200652,0.0196,0.0050801491,0.0564846807,0.0278618056
COYTEQ_clean,H2,293.0,0.01,14.0,COYTEQ_clean_H2_293.0K_0.01bar_14.0/Output/System_0,0.0056789367,0.0106333333,0.0114480549,0.127287549,0.2275589306
DITJOH_clean,H2,293.0,0.01,14.0,DITJOH_clean_H2_293.0K_0.01bar_14.0/Output/System_0,0.0022366941,0.005075,0.0045089069,0.0501332075,0.0224968477
HEGPAL_clean,H2,293.0,0.01,14.0,HEGPAL_clean_H2_293.0K_0.01bar_14.0/Output/System_0,0.0008703043,0.0066916667,0.001754429,0.0195069792,0.0378404222
DITYEM_clean,H2,293.0,0.01,14.0,DITYEM_clean_H2_293.0K_0.01bar_14.0/Output/System_0,0.0004135191,0.0003104167,0.0008336048,0.009268606,0.0170760017
CEXHET_clean,H2,293.0,0.01,14.0,CEXHET_clean_H2_293.0K_0.01bar_14.0/Output/System_0,0.0021377558,0.02115,0.0043094592,0.0479156069,0.0515908071
EZOBUR_clean,H2,293.0,0.01,14.0,EZOBUR_clean_H2_293.0K_0.01bar_14.0/Output/System_0,0.0015439572,0.0101375,0.0031124325,0.0346062196,0.0437861152
FEZTIP_clean,H2,293.0,0.01,14.0,FEZTIP_clean_H2_293.0K_0.01bar_14.0/Output/System_0,0.0027971598,0.0047041667,0.0056387384,0.0626954709,0.0696474316
JADBIC_clean,H2,293.0,0.01,14.0,JADBIC_clean_H2_293.0K_0.01bar_14.0/Output/System_0,0.0021446885,0.0021592593,0.0043234346,0.0480709959,0.0557679866
EKOPOK_clean,H2,293.0,0.01,14.0,EKOPOK_clean_H2_293.0K_0.01bar_14.0/Output/System_0,0.0028063897,0.0057555556,0.0056573449,0.0629023506,0.0783102816
ELEROD_clean,H2,293.0,0.01,14.0,ELEROD_clean_H2_293.0K_0.01bar_14.0/Output/System_0,9.84454e-05,0.000465625,0.0001984541,0.0022065528,0.00558037
