name,gas,temp,pressure,cutoff,path,abs_mol_per_kg_framework,abs_molecules_per_uc,abs_mg_per_g_framework,abs_cm3STP_per_g,abs_cm3STP_per_cm3
OGAGEJ_clean,H2,293.0,5.0,14.0,OGAGEJ_clean_H2_293.0K_5.0bar_14.0/Output/System_0,1.016373301,1.9881944444,2.04888661,22.7809665185,24.1184740307
ZALMIL_clean,H2,293.0,5.0,14.0,ZALMIL_clean_H2_293.0K_5.0bar_14.0/Output/System_0,0.5371608901,0.5797583333,1.0828518952,12.039911164,20.2496082807
OPUDOT_clean,H2,293.0,5.0,14.0,OPUDOT_clean_H2_293.0K_5.0bar_14.0/Output/System_0,0.6815891343,1.3637925926,1.374001904,15.2771223253,36.7372196706
JITQEI_clean,H2,293.0,5.0,14.0,JITQEI_clean_H2_293.0K_5.0bar_14.0/Output/System_0,0.9005152597,3.4360222222,1.8153307016,20.1841271902,19.4922286603
LAWFOF_clean,H2,293.0,5.0,14.0,LAWFOF_clean_H2_293.0K_5.0bar_14.0/Output/System_0,0.9380366772,5.77815625,1.8909693768,21.0251313332,12.3954325964
VUKSAX_clean,H2,293.0,5.0,14.0,VUKSAX_clean_H2_293.0K_5.0bar_14.0/Output/System_0,0.948207628,1.2476666667,1.9114727931,21.2531027772,14.1251826435
XANZAQ05_clean,H2,293.0,5.0,14.0,XANZAQ05_clean_H2_293.0K_5.0bar_14.0/Output/System_0,0.9507732639,1.246775,1.9166448072,21.310608878,20.084395423
DOLRAZ_clean,H2,293.0,5.0,14.0,DOLRAZ_clean_H2_293.0K_5.0bar_14.0/Output/System_0,1.5705955618,4.5447666667,3.1661321812,35.2032908324,39.7697675506
BUCSIC01_clean,H2,293.0,5.0,14.0,BUCSIC01_clean_H2_293.0K_5.0bar_14.0/Output/System_0,1.7094707224,5.0710833333,3.4460878398,38.3160353123,57.7096917517
APARAM_clean,H2,293.0,5.0,14.0,APARAM_clean_H2_293.0K_5.0bar_14.0/Output/System_0,0.959111873,1.83978125,1.9334544425,21.4975102607,20.7547506144
XAPCOJ02_clean,H2,293.0,5.0,14.0,XAPCOJ02_clean_H2_293.0K_5.0bar_14.0/Output/System_0,1.2793269419,2.3647708333,2.5789695956,28.6748030485,32.023977436
RUHCED_SL,H2,293.0,5.0,14.0,RUHCED_SL_H2_293.0K_5.0bar_14.0/Output/System_0,1.4066372623,1.411395,2.8356119243,31.5283334826,38.7522481981
SOPLAM_clean,H2,293.0,5.0,14.0,SOPLAM_clean_H2_293.0K_5.0bar_14.0/Output/System_0,1.1896370899,1.92828125,2.3981656167,26.6644968808,20.966044801
BAKGIF_manual,H2,293.0,5.0,14.0,BAKGIF_manual_H2_293.0K_5.0bar_14.0/Output/System_0,0.7580519574,0.5776083333,1.52814178,16.9909581895,17.2751427146
PEPKOL_clean,H2,293.0,5.0,14.0,PEPKOL_clean_H2_293.0K_5.0bar_14.0/Output/System_0,0.9071866876,0.97204125,1.8287794998,20.3336604143,31.0133646497
CUMLUT_clean,H2,293.0,5.0,14.0,CUMLUT_clean_H2_293.0K_5.0bar_14.0/Output/System_0,1.4411328608,1.8419314815,2.9051509113,32.3015169901,39.3175740537
NIZZAY_clean,H2,293.0,5.0,14.0,NIZZAY_clean_H2_293.0K_5.0bar_14.0/Output/System_0,0.8547409714,10.819725,1.7230552294,19.1581434032,23.205085049
ic402692p_si_005_clean,H2,293.0,5.0,14.0,ic402692p_si_005_clean_H2_293.0K_5.0bar_14.0/Output/System_0,1.1033738068,2.764875,2.2242691897,24.7309937464,26.9633846692
MATTOR_clean,H2,293.0,5.0,14.0,MATTOR_clean_H2_293.0K_5.0bar_14.0/Output/System_0,1.4414407789,1.7736416667,2.9057716373,32.3084186595,40.0668073523
XIHSEN01_clean,H2,293.0,5.0,14.0,XIHSEN01_clean_H2_293.0K_5.0bar_14.0/Output/System_0,1.2837531577,2.1036138889,2.5878923156,28.7740121428,31.2132347068
