name,gas,temp,pressure,cutoff,path,abs_mol_per_kg_framework,abs_molecules_per_uc,abs_mg_per_g_framework,abs_cm3STP_per_g,abs_cm3STP_per_cm3
AZOHEC_clean,helium,273.0,0.5,14.0,AZOHEC_clean_helium_273.0K_0.5bar_14.0/Output/System_0,0.005926063,0.0142166667,0.0237196715,0.1328266315,0.1967196984
ACODUT_clean,helium,273.0,0.5,14.0,ACODUT_clean_helium_273.0K_0.5bar_14.0/Output/System_0,0.0045098911,0.00960625,0.0180512991,0.1010845895,0.1535585324
am301365h_si_002_clean,helium,273.0,0.5,14.0,am301365h_si_002_clean_helium_273.0K_0.5bar_14.0/Output/System_0,0.0126660348,0.0349,0.0506970963,0.2838961971,0.2575140683
acs.chemmater.5b03723_cm5b03723_si_005_clean,helium,273.0,0.5,14.0,acs.chemmater.5b03723_cm5b03723_si_005_clean_helium_273.0K_0.5bar_14.0/Output/System_0,0.0277917809,0.26405,0.111239438,0.6229243039,0.4018722484
acscombsci.5b00188_5013797_clean,helium,273.0,0.5,14.0,acscombsci.5b00188_5013797_clean_helium_273.0K_0.5bar_14.0/Output/System_0,0.0237350945,0.0349125,0.0950021367,0.5319978325,0.3537728398
acs.inorgchem.6b01416_ic6b01416_si_004_clean,helium,273.0,0.5,14.0,acs.inorgchem.6b01416_ic6b01416_si_004_clean_helium_273.0K_0.5bar_14.0/Output/System_0,0.008310611,0.0575375,0.0332640683,0.1862738339,0.2501416692
AFEKAX_clean,helium,273.0,0.5,14.0,AFEKAX_clean_helium_273.0K_0.5bar_14.0/Output/System_0,0.0160258207,0.0093625,0.0641449821,0.3592023571,0.3546260347
ACECIV_ion_b,helium,273.0,0.5,14.0,ACECIV_ion_b_helium_273.0K_0.5bar_14.0/Output/System_0,0.0007867898,0.0039888889,0.0031492065,0.0176350882,0.0458872606
ADOBIF_clean,helium,273.0,0.5,14.0,ADOBIF_clean_helium_273.0K_0.5bar_14.0/Output/System_0,0.006126852,0.02496875,0.0245233501,0.1373271124,0.2181751835
acs.inorgchem.6b01211_ic6b01211_si_002_clean,helium,273.0,0.5,14.0,acs.inorgchem.6b01211_ic6b01211_si_002_clean_helium_273.0K_0.5bar_14.0/Output/System_0,0.0199714833,0.1138625,0.0799378989,0.4476403419,0.3683202122
AQEGUY_clean,helium,273.0,0.5,14.0,AQEGUY_clean_helium_273.0K_0.5bar_14.0/Output/System_0,0.00724091,0.019125,0.0289824809,0.1622975816,0.237529627
AKUHOD03_clean,helium,273.0,0.5,14.0,AKUHOD03_clean_helium_273.0K_0.5bar_14.0/Output/System_0,0.0012899055,0.0016888889,0.0051629783,0.0289119102,0.0691639587
acscombsci.5b00188_34903_clean,helium,273.0,0.5,14.0,acscombsci.5b00188_34903_clean_helium_273.0K_0.5bar_14.0/Output/System_0,0.0099130509,0.0133388889,0.0396779972,0.2221908814,0.481224484
acs.inorgchem.6b01762_ic6b01762_si_002_clean,helium,273.0,0.5,14.0,acs.inorgchem.6b01762_ic6b01762_si_002_clean_helium_273.0K_0.5bar_14.0/Output/System_0,0.0054870953,0.17845,0.0219626586,0.122987621,0.2843463205
AGUBUA_clean,helium,273.0,0.5,14.0,AGUBUA_clean_helium_273.0K_0.5bar_14.0/Output/System_0,0.0079392289,0.0182944444,0.0317775736,0.1779496847,0.3262455355
AVEMOE_clean,helium,273.0,0.5,14.0,AVEMOE_clean_helium_273.0K_0.5bar_14.0/Output/System_0,0.002002498,0.003115,0.0080152024,0.044883941,0.0973879093
AKOXIJ_clean,helium,273.0,0.5,14.0,AKOXIJ_clean_helium_273.0K_0.5bar_14.0/Output/System_0,0.0110010483,0.0853333333,0.0440328178,0.2465772291,0.3520145568
