,name,gas,pressure,temp,cutoff,path,Average loading absolute [mol/kg framework],Average loading excess [mol/kg framework],Average loading absolute [molecules/unit cell],Average loading excess [molecules/unit cell]
0,00958972.2016.1250260_1436516_clean,helium,0.05,293.0,14.0,00958972.2016.1250260_1436516_clean_helium_293.0K_0.05bar_14.0/Output/System_0,0.0005369041,0.0005369041,0.0003133333,0.0003133333
1,00958972.2016.1250260_1436519_clean,helium,0.05,293.0,14.0,00958972.2016.1250260_1436519_clean_helium_293.0K_0.05bar_14.0/Output/System_0,0.0003423932,0.0003423932,0.0007791667,0.0007791667
2,00958972.2016.1253069_1472494_clean,helium,0.05,293.0,14.0,00958972.2016.1253069_1472494_clean_helium_293.0K_0.05bar_14.0/Output/System_0,0.0002156706,0.0002156706,0.00340625,0.00340625
3,ABAYOU_clean,helium,0.05,293.0,14.0,ABAYOU_clean_helium_293.0K_0.05bar_14.0/Output/System_0,0.0013034064,0.0013034064,0.01454375,0.01454375
4,ABETAE_clean,helium,0.05,293.0,14.0,ABETAE_clean_helium_293.0K_0.05bar_14.0/Output/System_0,0.0003326193,0.0003326193,0.0020888889,0.0020888889
5,ABEXEM_clean,helium,0.05,293.0,14.0,ABEXEM_clean_helium_293.0K_0.05bar_14.0/Output/System_0,0.0004278019,0.0004278019,0.0011944444,0.0011944444
6,ABEYEN_clean,helium,0.05,293.0,14.0,ABEYEN_clean_helium_293.0K_0.05bar_14.0/Output/System_0,0.0003346926,0.0003346926,0.0009694444,0.0009694444
7,ABEYIR_clean,helium,0.05,293.0,14.0,ABEYIR_clean_helium_293.0K_0.05bar_14.0/Output/System_0,0.0003242038,0.0003242038,0.0009527778,0.0009527778
8,ABIYIV_clean,helium,0.05,293.0,14.0,ABIYIV_clean_helium_293.0K_0.05bar_14.0/Output/System_0,0.0002534486,0.0002534486,0.0009666667,0.0009666667
9,ABUWOJ_clean,helium,0.05,293.0,14.0,ABUWOJ_clean_helium_293.0K_0.05bar_14.0/Output/System_0,0.000890313,0.000890313,0.00280625,0.00280625
10,ac403674p_si_001_clean,helium,0.05,293.0,14.0,ac403674p_si_001_clean_helium_293.0K_0.05bar_14.0/Output/System_0,0.0007728925,0.0007728925,0.0017,0.0017
11,ACAJIZ_clean,helium,0.05,293.0,14.0,ACAJIZ_clean_helium_293.0K_0.05bar_14.0/Output/System_0,0.0004228435,0.0004228435,0.0009666667,0.0009666667
12,ACAKUM_clean,helium,0.05,293.0,14.0,ACAKUM_clean_helium_293.0K_0.05bar_14.0/Output/System_0,0.0003438504,0.0003438504,0.0007333333,0.0007333333
13,ACECIV_ion_b,helium,0.05,293.0,14.0,ACECIV_ion_b_helium_293.0K_0.05bar_14.0/Output/System_0,6.46526e-05,6.46526e-05,0.0003277778,0.0003277778
14,ACOCOM_clean,helium,0.05,293.0,14.0,ACOCOM_clean_helium_293.0K_0.05bar_14.0/Output/System_0,0.0051928561,0.0051928561,0.11065,0.11065
15,ACODAZ_clean,helium,0.05,293.0,14.0,ACODAZ_clean_helium_293.0K_0.05bar_14.0/Output/System_0,0.005515324,0.005515324,0.1163,0.1163
16,ACOGAB_clean,helium,0.05,293.0,14.0,ACOGAB_clean_helium_293.0K_0.05bar_14.0/Output/System_0,0.0007387978,0.0007387978,0.0013666667,0.0013666667
17,ACOGEF_clean,helium,0.05,293.0,14.0,ACOGEF_clean_helium_293.0K_0.05bar_14.0/Output/System_0,0.0006542825,0.0006542825,0.0013333333,0.0013333333
18,ACOLEL_clean,helium,0.05,293.0,14.0,ACOLEL_clean_helium_293.0K_0.05bar_14.0/Output/System_0,4.9241e-05,4.9241e-05,0.00025625,0.00025625
19,ACOLIP_clean,helium,0.05,293.0,14.0,ACOLIP_clean_helium_293.0K_0.05bar_14.0/Output/System_0,0.0007977708,0.0007977708,0.0007703704,0.0007703704
20,ACOLOV_clean,helium,0.05,293.0,14.0,ACOLOV_clean_helium_293.0K_0.05bar_14.0/Output/System_0,0.0015344675,0.0015344675,0.0080166667,0.0080166667
21,acs.cgd.5b00681_AJUPEC1449470_clean,helium,0.05,293.0,14.0,acs.cgd.5b00681_AJUPEC1449470_clean_helium_293.0K_0.05bar_14.0/Output/System_0,0.0004969015,0.0004969015,0.0006354167,0.0006354167
22,acs.cgd.5b01178_MAHFOT1419063_clean,helium,0.05,293.0,14.0,acs.cgd.5b01178_MAHFOT1419063_clean_helium_293.0K_0.05bar_14.0/Output/System_0,0.0010664185,0.0010664185,0.001428125,0.001428125
23,acs.cgd.5b01554_VAGNUP1452791_clean,helium,0.05,293.0,14.0,acs.cgd.5b01554_VAGNUP1452791_clean_helium_293.0K_0.05bar_14.0/Output/System_0,0.0004946022,0.0004946022,0.00335,0.00335
24,acs.cgd.5b01632_ZAHKOL1438120_clean,helium,0.05,293.0,14.0,acs.cgd.5b01632_ZAHKOL1438120_clean_helium_293.0K_0.05bar_14.0/Output/System_0,0.0015583731,0.0015583731,0.00553125,0.00553125
25,acs.cgd.5b01684_CUTGIJ1438510_clean,helium,0.05,293.0,14.0,acs.cgd.5b01684_CUTGIJ1438510_clean_helium_293.0K_0.05bar_14.0/Output/System_0,0.0019823357,0.0019823357,0.0029125,0.0029125
26,acs.cgd.6b00119_OLISUZ1440339_clean,helium,0.05,293.0,14.0,acs.cgd.6b00119_OLISUZ1440339_clean_helium_293.0K_0.05bar_14.0/Output/System_0,0.001594466,0.001594466,0.00750625,0.00750625
27,acs.cgd.6b00151_AKECEA1449783_clean,helium,0.05,293.0,14.0,acs.cgd.6b00151_AKECEA1449783_clean_helium_293.0K_0.05bar_14.0/Output/System_0,0.0007427389,0.0007427389,0.001825,0.001825
28,acs.cgd.6b00151_AKECOK1449785_clean,helium,0.05,293.0,14.0,acs.cgd.6b00151_AKECOK1449785_clean_helium_293.0K_0.05bar_14.0/Output/System_0,0.0002136646,0.0002136646,0.0002625,0.0002625
29,acs.cgd.6b00151_AKEDAX1449787_clean,helium,0.05,293.0,14.0,acs.cgd.6b00151_AKEDAX1449787_clean_helium_293.0K_0.05bar_14.0/Output/System_0,0.000666453,0.000666453,0.000675,0.000675
30,acs.cgd.6b00151_AKEDEB1449788_clean,helium,0.05,293.0,14.0,acs.cgd.6b00151_AKEDEB1449788_clean_helium_293.0K_0.05bar_14.0/Output/System_0,0.000557969,0.000557969,0.001575,0.001575
31,acs.cgd.6b00163_UKEBAP1448505_clean,helium,0.05,293.0,14.0,acs.cgd.6b00163_UKEBAP1448505_clean_helium_293.0K_0.05bar_14.0/Output/System_0,0.0013763832,0.0013763832,0.0018416667,0.0018416667
32,acs.cgd.6b00163_UKEBOD1448508_clean,helium,0.05,293.0,14.0,acs.cgd.6b00163_UKEBOD1448508_clean_helium_293.0K_0.05bar_14.0/Output/System_0,0.0002872666,0.0002872666,0.0014388889,0.0014388889
