,name,gas,pressure,temp,cutoff,path,Average loading absolute [mol/kg framework],Average loading excess [mol/kg framework],Average loading absolute [molecules/unit cell],Average loading excess [molecules/unit cell]
0,ABAYOU_clean,helium,0.1,293.0,14.0,ABAYOU_clean_helium_293.0K_0.1bar_14.0/Output/System_0,0.0025692845,0.0025692845,0.02866875,0.02866875
1,ABETAE_clean,helium,0.1,293.0,14.0,ABETAE_clean_helium_293.0K_0.1bar_14.0/Output/System_0,0.000684258,0.000684258,0.0042972222,0.0042972222
2,ABEXEM_clean,helium,0.1,293.0,14.0,ABEXEM_clean_helium_293.0K_0.1bar_14.0/Output/System_0,0.0008347112,0.0008347112,0.0023305556,0.0023305556
3,ABEYEN_clean,helium,0.1,293.0,14.0,ABEYEN_clean_helium_293.0K_0.1bar_14.0/Output/System_0,0.0007192535,0.0007192535,0.0020833333,0.0020833333
4,ABEYIR_clean,helium,0.1,293.0,14.0,ABEYIR_clean_helium_293.0K_0.1bar_14.0/Output/System_0,0.0007079552,0.0007079552,0.0020805556,0.0020805556
5,ABIYIV_clean,helium,0.1,293.0,14.0,ABIYIV_clean_helium_293.0K_0.1bar_14.0/Output/System_0,0.0005090821,0.0005090821,0.0019416667,0.0019416667
6,ac403674p_si_001_clean,helium,0.1,293.0,14.0,ac403674p_si_001_clean_helium_293.0K_0.1bar_14.0/Output/System_0,0.0013923431,0.0013923431,0.0030625,0.0030625
7,ACAJIZ_clean,helium,0.1,293.0,14.0,ACAJIZ_clean_helium_293.0K_0.1bar_14.0/Output/System_0,0.0009040103,0.0009040103,0.0020666667,0.0020666667
8,ACAKUM_clean,helium,0.1,293.0,14.0,ACAKUM_clean_helium_293.0K_0.1bar_14.0/Output/System_0,0.0006968181,0.0006968181,0.0014861111,0.0014861111
9,ACECIV_ion_b,helium,0.1,293.0,14.0,ACECIV_ion_b_helium_293.0K_0.1bar_14.0/Output/System_0,0.0001271137,0.0001271137,0.0006444444,0.0006444444
10,ACODAZ_clean,helium,0.1,293.0,14.0,ACODAZ_clean_helium_293.0K_0.1bar_14.0/Output/System_0,0.0107176545,0.0107176545,0.226,0.226
11,ACOLEL_clean,helium,0.1,293.0,14.0,ACOLEL_clean_helium_293.0K_0.1bar_14.0/Output/System_0,9.60801e-05,9.60801e-05,0.0005,0.0005
12,ACOLOV_clean,helium,0.1,293.0,14.0,ACOLOV_clean_helium_293.0K_0.1bar_14.0/Output/System_0,0.0030529842,0.0030529842,0.01595,0.01595
13,acs.cgd.5b00681_AJUPEC1449470_clean,helium,0.1,293.0,14.0,acs.cgd.5b00681_AJUPEC1449470_clean_helium_293.0K_0.1bar_14.0/Output/System_0,0.0008813892,0.0008813892,0.0011270833,0.0011270833
14,acs.cgd.5b01554_VAGNUP1452791_clean,helium,0.1,293.0,14.0,acs.cgd.5b01554_VAGNUP1452791_clean_helium_293.0K_0.1bar_14.0/Output/System_0,0.0009255336,0.0009255336,0.00626875,0.00626875
15,acs.cgd.5b01684_CUTGIJ1438510_clean,helium,0.1,293.0,14.0,acs.cgd.5b01684_CUTGIJ1438510_clean_helium_293.0K_0.1bar_14.0/Output/System_0,0.0040696018,0.0040696018,0.0059791667,0.0059791667
