,name,gas,pressure,temp,cutoff,path,Average loading absolute [mol/kg framework],Average loading excess [mol/kg framework],Average loading absolute [molecules/unit cell],Average loading excess [molecules/unit cell]
0,ABAYOU_clean,helium,15.0,293.0,14.0,ABAYOU_clean_helium_293.0K_15.0bar_14.0/Output/System_0,0.3663737034,0.3663737034,4.08809375,4.08809375
1,ABETAE_clean,helium,15.0,293.0,14.0,ABETAE_clean_helium_293.0K_15.0bar_14.0/Output/System_0,0.0968324567,0.0968324567,0.6081194444,0.6081194444
2,ABEXEM_clean,helium,15.0,293.0,14.0,ABEXEM_clean_helium_293.0K_15.0bar_14.0/Output/System_0,0.1206849065,0.1206849065,0.3369583333,0.3369583333
3,ABEYEN_clean,helium,15.0,293.0,14.0,ABEYEN_clean_helium_293.0K_15.0bar_14.0/Output/System_0,0.103500578,0.103500578,0.2997916667,0.2997916667
4,ABEYIR_clean,helium,15.0,293.0,14.0,ABEYIR_clean_helium_293.0K_15.0bar_14.0/Output/System_0,0.102872793,0.102872793,0.302325,0.302325
5,ABIYIV_clean,helium,15.0,293.0,14.0,ABIYIV_clean_helium_293.0K_15.0bar_14.0/Output/System_0,0.0747465763,0.0747465763,0.2850875,0.2850875
6,ac403674p_si_001_clean,helium,15.0,293.0,14.0,ac403674p_si_001_clean_helium_293.0K_15.0bar_14.0/Output/System_0,0.2108481097,0.2108481097,0.4637666667,0.4637666667
7,ACAJIZ_clean,helium,15.0,293.0,14.0,ACAJIZ_clean_helium_293.0K_15.0bar_14.0/Output/System_0,0.1294803327,0.1294803327,0.29600625,0.29600625
8,ACAKUM_clean,helium,15.0,293.0,14.0,ACAKUM_clean_helium_293.0K_15.0bar_14.0/Output/System_0,0.0967300808,0.0967300808,0.2062972222,0.2062972222
9,ACECIV_ion_b,helium,15.0,293.0,14.0,ACECIV_ion_b_helium_293.0K_15.0bar_14.0/Output/System_0,0.0195256482,0.0195256482,0.0989916667,0.0989916667
10,ACODAZ_clean,helium,15.0,293.0,14.0,ACODAZ_clean_helium_293.0K_15.0bar_14.0/Output/System_0,1.5558856906,1.5558856906,32.8085,32.8085
11,ACOLEL_clean,helium,15.0,293.0,14.0,ACOLEL_clean_helium_293.0K_15.0bar_14.0/Output/System_0,0.0144168182,0.0144168182,0.075025,0.075025
12,ACOLOV_clean,helium,15.0,293.0,14.0,ACOLOV_clean_helium_293.0K_15.0bar_14.0/Output/System_0,0.4409281218,0.4409281218,2.3035833333,2.3035833333
13,acs.cgd.5b00681_AJUPEC1449470_clean,helium,15.0,293.0,14.0,acs.cgd.5b00681_AJUPEC1449470_clean_helium_293.0K_15.0bar_14.0/Output/System_0,0.1400186962,0.1400186962,0.17905,0.17905
14,acs.cgd.5b01554_VAGNUP1452791_clean,helium,15.0,293.0,14.0,acs.cgd.5b01554_VAGNUP1452791_clean_helium_293.0K_15.0bar_14.0/Output/System_0,0.1437659189,0.1437659189,0.97374375,0.97374375
15,acs.cgd.5b01684_CUTGIJ1438510_clean,helium,15.0,293.0,14.0,acs.cgd.5b01684_CUTGIJ1438510_clean_helium_293.0K_15.0bar_14.0/Output/System_0,0.5862041612,0.5862041612,0.8612666667,0.8612666667
16,acs.cgd.6b00119_OLISUZ1440339_clean,helium,15.0,293.0,14.0,acs.cgd.6b00119_OLISUZ1440339_clean_helium_293.0K_15.0bar_14.0/Output/System_0,0.4357379488,0.4357379488,2.05131875,2.05131875
17,acs.cgd.6b00151_AKECOK1449785_clean,helium,15.0,293.0,14.0,acs.cgd.6b00151_AKECOK1449785_clean_helium_293.0K_15.0bar_14.0/Output/System_0,0.0672310996,0.0672310996,0.0825975,0.0825975
18,acs.cgd.6b00151_AKEDAX1449787_clean,helium,15.0,293.0,14.0,acs.cgd.6b00151_AKEDAX1449787_clean_helium_293.0K_15.0bar_14.0/Output/System_0,0.1931040742,0.1931040742,0.1955805556,0.1955805556
19,acs.cgd.6b00163_UKEBAP1448505_clean,helium,15.0,293.0,14.0,acs.cgd.6b00163_UKEBAP1448505_clean_helium_293.0K_15.0bar_14.0/Output/System_0,0.4114908239,0.4114908239,0.5505944444,0.5505944444
20,acs.cgd.6b00163_UKEBOD1448508_clean,helium,15.0,293.0,14.0,acs.cgd.6b00163_UKEBOD1448508_clean_helium_293.0K_15.0bar_14.0/Output/System_0,0.0873357001,0.0873357001,0.4374555556,0.4374555556
21,acs.chemmater.5b03723_cm5b03723_si_005_clean,helium,15.0,293.0,14.0,acs.chemmater.5b03723_cm5b03723_si_005_clean_helium_293.0K_15.0bar_14.0/Output/System_0,0.715523964,0.715523964,6.7982,6.7982
22,acs.chemrev.6b00346_cr6b00346_si_001_clean,helium,15.0,293.0,14.0,acs.chemrev.6b00346_cr6b00346_si_001_clean_helium_293.0K_15.0bar_14.0/Output/System_0,0.4609979773,0.4609979773,1.6056375,1.6056375
23,acs.inorgchem.5b02464_ic5b02464_si_002_clean,helium,15.0,293.0,14.0,acs.inorgchem.5b02464_ic5b02464_si_002_clean_helium_293.0K_15.0bar_14.0/Output/System_0,0.3242645766,0.3242645766,2.168075,2.168075
24,acs.inorgchem.5b02666_ic5b02666_si_002_clean,helium,15.0,293.0,14.0,acs.inorgchem.5b02666_ic5b02666_si_002_clean_helium_293.0K_15.0bar_14.0/Output/System_0,0.1112242673,0.1112242673,0.2574916667,0.2574916667
25,acs.inorgchem.5b02786_ic5b02786_si_002_clean,helium,15.0,293.0,14.0,acs.inorgchem.5b02786_ic5b02786_si_002_clean_helium_293.0K_15.0bar_14.0/Output/System_0,0.1847137631,0.1847137631,1.0424791667,1.0424791667
26,acs.inorgchem.6b00001_ic6b00001_si_004_clean,helium,15.0,293.0,14.0,acs.inorgchem.6b00001_ic6b00001_si_004_clean_helium_293.0K_15.0bar_14.0/Output/System_0,0.0478905872,0.0478905872,0.1362833333,0.1362833333
27,acs.inorgchem.6b00158_ic6b00158_si_002_clean,helium,15.0,293.0,14.0,acs.inorgchem.6b00158_ic6b00158_si_002_clean_helium_293.0K_15.0bar_14.0/Output/System_0,0.2372384359,0.2372384359,1.49624375,1.49624375
