,name,gas,pressure,temp,cutoff,path,Average loading absolute [mol/kg framework],Average loading excess [mol/kg framework],Average loading absolute [molecules/unit cell],Average loading excess [molecules/unit cell]
0,1499489-acs.cgd.6b01265_1499490_clean,helium,0.1,293.0,14.0,1499489-acs.cgd.6b01265_1499490_clean_helium_293.0K_0.1bar_14.0/Output/System_0,0.0027566741,0.0027566741,0.0204875,0.0204875
1,ABAVIJ_clean,helium,0.1,293.0,14.0,ABAVIJ_clean_helium_293.0K_0.1bar_14.0/Output/System_0,0.0006093697,0.0006093697,0.0007388889,0.0007388889
2,ABESUX_clean,helium,0.1,293.0,14.0,ABESUX_clean_helium_293.0K_0.1bar_14.0/Output/System_0,0.0006378151,0.0006378151,0.0040055556,0.0040055556
3,ABEXIQ_clean,helium,0.1,293.0,14.0,ABEXIQ_clean_helium_293.0K_0.1bar_14.0/Output/System_0,0.0008675188,0.0008675188,0.0024305556,0.0024305556
4,ABEXOW_clean,helium,0.1,293.0,14.0,ABEXOW_clean_helium_293.0K_0.1bar_14.0/Output/System_0,0.0007636726,0.0007636726,0.0021444444,0.0021444444
5,ABEXUC_clean,helium,0.1,293.0,14.0,ABEXUC_clean_helium_293.0K_0.1bar_14.0/Output/System_0,0.000719262,0.000719262,0.0020388889,0.0020388889
6,ABEYAJ_clean,helium,0.1,293.0,14.0,ABEYAJ_clean_helium_293.0K_0.1bar_14.0/Output/System_0,0.000782164,0.000782164,0.0022555556,0.0022555556
7,ABIXOZ_clean,helium,0.1,293.0,14.0,ABIXOZ_clean_helium_293.0K_0.1bar_14.0/Output/System_0,0.0011928777,0.0011928777,0.0028722222,0.0028722222
8,ABULOB_clean,helium,0.1,293.0,14.0,ABULOB_clean_helium_293.0K_0.1bar_14.0/Output/System_0,0.0016242447,0.0016242447,0.0022541667,0.0022541667
9,ACAJIY_clean,helium,0.1,293.0,14.0,ACAJIY_clean_helium_293.0K_0.1bar_14.0/Output/System_0,0.0010968148,0.0010968148,0.0039875,0.0039875
10,ACAJOF_clean,helium,0.1,293.0,14.0,ACAJOF_clean_helium_293.0K_0.1bar_14.0/Output/System_0,0.0010460179,0.0010460179,0.00245,0.00245
11,ACIBOE_clean,helium,0.1,293.0,14.0,ACIBOE_clean_helium_293.0K_0.1bar_14.0/Output/System_0,0.0023569968,0.0023569968,0.00590625,0.00590625
12,ACMPCD_SL,helium,0.1,293.0,14.0,ACMPCD_SL_helium_293.0K_0.1bar_14.0/Output/System_0,0.0002477361,0.0002477361,0.0004291667,0.0004291667
13,ACOCUS_clean,helium,0.1,293.0,14.0,ACOCUS_clean_helium_293.0K_0.1bar_14.0/Output/System_0,0.010804986,0.010804986,0.2312,0.2312
14,ACODON_clean,helium,0.1,293.0,14.0,ACODON_clean_helium_293.0K_0.1bar_14.0/Output/System_0,0.001900295,0.001900295,0.004475,0.004475
15,acs.cgd.5b01178_MAHFUZ1419064_clean,helium,0.1,293.0,14.0,acs.cgd.5b01178_MAHFUZ1419064_clean_helium_293.0K_0.1bar_14.0/Output/System_0,0.0010386167,0.0010386167,0.0013944444,0.0013944444
16,acs.cgd.5b01835_ULIMUZ1444615_clean,helium,0.1,293.0,14.0,acs.cgd.5b01835_ULIMUZ1444615_clean_helium_293.0K_0.1bar_14.0/Output/System_0,0.0006110052,0.0006110052,0.0005074074,0.0005074074
17,acs.cgd.6b00151_AKECIE1449784_clean,helium,0.1,293.0,14.0,acs.cgd.6b00151_AKECIE1449784_clean_helium_293.0K_0.1bar_14.0/Output/System_0,0.0016202901,0.0016202901,0.0079625,0.0079625
18,acs.cgd.6b00151_AKECUQ1449786_clean,helium,0.1,293.0,14.0,acs.cgd.6b00151_AKECUQ1449786_clean_helium_293.0K_0.1bar_14.0/Output/System_0,0.0018905773,0.0018905773,0.0054611111,0.0054611111
19,acs.cgd.6b00163_UKEBET1448506_clean,helium,0.1,293.0,14.0,acs.cgd.6b00163_UKEBET1448506_clean_helium_293.0K_0.1bar_14.0/Output/System_0,0.0012091924,0.0012091924,0.0118375,0.0118375
20,acs.cgd.6b00429_1438789-1438792_clean,helium,0.1,293.0,14.0,acs.cgd.6b00429_1438789-1438792_clean_helium_293.0K_0.1bar_14.0/Output/System_0,0.0025277929,0.0025277929,0.0030148148,0.0030148148
21,acs.cgd.6b00463_OLOMUZ1451936_clean,helium,0.1,293.0,14.0,acs.cgd.6b00463_OLOMUZ1451936_clean_helium_293.0K_0.1bar_14.0/Output/System_0,0.0022700062,0.0022700062,0.0459375,0.0459375
22,acs.cgd.6b00488_ANAVUI1457968_clean,helium,0.1,293.0,14.0,acs.cgd.6b00488_ANAVUI1457968_clean_helium_293.0K_0.1bar_14.0/Output/System_0,0.0003021284,0.0003021284,0.0004458333,0.0004458333
23,acs.chemmater.5b04306_cm5b04306_si_001_clean,helium,0.1,293.0,14.0,acs.chemmater.5b04306_cm5b04306_si_001_clean_helium_293.0K_0.1bar_14.0/Output/System_0,0.0033369133,0.0033369133,0.0078694444,0.0078694444
24,acs.chemmater.6b02817_cm6b02817_si_004_clean,helium,0.1,293.0,14.0,acs.chemmater.6b02817_cm6b02817_si_004_clean_helium_293.0K_0.1bar_14.0/Output/System_0,0.0032752581,0.0032752581,0.01873125,0.01873125
25,acs.inorgchem.5b02316_ic5b02316_si_002_clean,helium,0.1,293.0,14.0,acs.inorgchem.5b02316_ic5b02316_si_002_clean_helium_293.0K_0.1bar_14.0/Output/System_0,0.0031222172,0.0031222172,0.0098583333,0.0098583333
26,acs.inorgchem.5b02434_ic5b02434_si_002_clean,helium,0.1,293.0,14.0,acs.inorgchem.5b02434_ic5b02434_si_002_clean_helium_293.0K_0.1bar_14.0/Output/System_0,0.0008700277,0.0008700277,0.0009854167,0.0009854167
27,acs.inorgchem.5b02434_ic5b02434_si_004_clean,helium,0.1,293.0,14.0,acs.inorgchem.5b02434_ic5b02434_si_004_clean_helium_293.0K_0.1bar_14.0/Output/System_0,0.0023699267,0.0023699267,0.0064583333,0.0064583333
28,acs.inorgchem.5b02434_ic5b02434_si_009_clean,helium,0.1,293.0,14.0,acs.inorgchem.5b02434_ic5b02434_si_009_clean_helium_293.0K_0.1bar_14.0/Output/System_0,0.001692445,0.001692445,0.0007083333,0.0007083333
29,acs.inorgchem.5b02434_ic5b02434_si_010_clean,helium,0.1,293.0,14.0,acs.inorgchem.5b02434_ic5b02434_si_010_clean_helium_293.0K_0.1bar_14.0/Output/System_0,0.003011021,0.003011021,0.00208125,0.00208125
30,acs.inorgchem.5b02434_ic5b02434_si_011_clean,helium,0.1,293.0,14.0,acs.inorgchem.5b02434_ic5b02434_si_011_clean_helium_293.0K_0.1bar_14.0/Output/System_0,0.0009525252,0.0009525252,0.00111875,0.00111875
31,acs.inorgchem.5b02434_ic5b02434_si_013_clean,helium,0.1,293.0,14.0,acs.inorgchem.5b02434_ic5b02434_si_013_clean_helium_293.0K_0.1bar_14.0/Output/System_0,0.0007763643,0.0007763643,0.00423125,0.00423125
32,acs.inorgchem.6b00001_ic6b00001_si_003_clean,helium,0.1,293.0,14.0,acs.inorgchem.6b00001_ic6b00001_si_003_clean_helium_293.0K_0.1bar_14.0/Output/System_0,0.0003158336,0.0003158336,0.0006333333,0.0006333333
33,acs.inorgchem.6b00105_ic6b00105_si_002_clean,helium,0.1,293.0,14.0,acs.inorgchem.6b00105_ic6b00105_si_002_clean_helium_293.0K_0.1bar_14.0/Output/System_0,0.0012538014,0.0012538014,0.0008708333,0.0008708333
34,acs.inorgchem.6b00186_ic6b00186_si_003_clean,helium,0.1,293.0,14.0,acs.inorgchem.6b00186_ic6b00186_si_003_clean_helium_293.0K_0.1bar_14.0/Output/System_0,0.000235148,0.000235148,0.0006925,0.0006925
35,acs.inorgchem.6b00276_ic6b00276_si_006_clean,helium,0.1,293.0,14.0,acs.inorgchem.6b00276_ic6b00276_si_006_clean_helium_293.0K_0.1bar_14.0/Output/System_0,0.0041386175,0.0041386175,0.10395,0.10395
36,acs.inorgchem.6b00332_ic6b00332_si_003_clean,helium,0.1,293.0,14.0,acs.inorgchem.6b00332_ic6b00332_si_003_clean_helium_293.0K_0.1bar_14.0/Output/System_0,0.0003795206,0.0003795206,0.0015583333,0.0015583333
37,acs.inorgchem.6b00894_ic6b00894_si_002_clean,helium,0.1,293.0,14.0,acs.inorgchem.6b00894_ic6b00894_si_002_clean_helium_293.0K_0.1bar_14.0/Output/System_0,0.0015957817,0.0015957817,0.00886875,0.00886875
38,acs.inorgchem.6b00894_ic6b00894_si_003_clean,helium,0.1,293.0,14.0,acs.inorgchem.6b00894_ic6b00894_si_003_clean_helium_293.0K_0.1bar_14.0/Output/System_0,0.0006506955,0.0006506955,0.0039833333,0.0039833333
39,acs.inorgchem.6b01168_ic6b01168_si_002_clean,helium,0.1,293.0,14.0,acs.inorgchem.6b01168_ic6b01168_si_002_clean_helium_293.0K_0.1bar_14.0/Output/System_0,0.0006936478,0.0006936478,0.0013518519,0.0013518519
40,acs.inorgchem.6b01199_ic6b01199_si_002_clean,helium,0.1,293.0,14.0,acs.inorgchem.6b01199_ic6b01199_si_002_clean_helium_293.0K_0.1bar_14.0/Output/System_0,0.0004057353,0.0004057353,0.0033833333,0.0033833333
41,acs.inorgchem.6b01416_ic6b01416_si_002_clean,helium,0.1,293.0,14.0,acs.inorgchem.6b01416_ic6b01416_si_002_clean_helium_293.0K_0.1bar_14.0/Output/System_0,0.0025200605,0.0025200605,0.00899375,0.00899375
42,acs.inorgchem.6b01569_ic6b01569_si_002_clean,helium,0.1,293.0,14.0,acs.inorgchem.6b01569_ic6b01569_si_002_clean_helium_293.0K_0.1bar_14.0/Output/System_0,0.0009300968,0.0009300968,0.00285,0.00285
43,acs.inorgchem.6b01740_ic6b01740_si_002_clean,helium,0.1,293.0,14.0,acs.inorgchem.6b01740_ic6b01740_si_002_clean_helium_293.0K_0.1bar_14.0/Output/System_0,0.0071248132,0.0071248132,0.10115,0.10115
44,acs.inorgchem.6b01936_ic6b01936_si_002_clean,helium,0.1,293.0,14.0,acs.inorgchem.6b01936_ic6b01936_si_002_clean_helium_293.0K_0.1bar_14.0/Output/System_0,0.0003705525,0.0003705525,0.00185,0.00185
45,acs.inorgchem.6b02007_delta-Ru_phen_2_2_PF6_2_clean,helium,0.1,293.0,14.0,acs.inorgchem.6b02007_delta-Ru_phen_2_2_PF6_2_clean_helium_293.0K_0.1bar_14.0/Output/System_0,0.0007737424,0.0007737424,0.0048,0.0048
46,acs.inorgchem.6b02007_Ru-Cd_clean,helium,0.1,293.0,14.0,acs.inorgchem.6b02007_Ru-Cd_clean_helium_293.0K_0.1bar_14.0/Output/System_0,0.0027697893,0.0027697893,0.010975,0.010975
47,acs.inorgchem.6b02007_Ru_phen_2_1_PF6_2_clean,helium,0.1,293.0,14.0,acs.inorgchem.6b02007_Ru_phen_2_1_PF6_2_clean_helium_293.0K_0.1bar_14.0/Output/System_0,0.0014012387,0.0014012387,0.0078083333,0.0078083333
48,acs.inorgchem.6b02007_Ru_phen_2_2_PF6_2_clean,helium,0.1,293.0,14.0,acs.inorgchem.6b02007_Ru_phen_2_2_PF6_2_clean_helium_293.0K_0.1bar_14.0/Output/System_0,0.0009299013,0.0009299013,0.00576875,0.00576875
49,acs.inorgchem.6b02007_Ru_phen_2_3_PF6_2_clean,helium,0.1,293.0,14.0,acs.inorgchem.6b02007_Ru_phen_2_3_PF6_2_clean_helium_293.0K_0.1bar_14.0/Output/System_0,0.0010195588,0.0010195588,0.0028333333,0.0028333333
50,acs.inorgchem.6b02007_Ru_phen_2_4_PF6_2_clean,helium,0.1,293.0,14.0,acs.inorgchem.6b02007_Ru_phen_2_4_PF6_2_clean_helium_293.0K_0.1bar_14.0/Output/System_0,0.001176858,0.001176858,0.0018166667,0.0018166667
51,acs.inorgchem.6b02007_Ru_phen_2_5_PF6_2_clean,helium,0.1,293.0,14.0,acs.inorgchem.6b02007_Ru_phen_2_5_PF6_2_clean_helium_293.0K_0.1bar_14.0/Output/System_0,0.0018521316,0.0018521316,0.0026625,0.0026625
52,acs.inorgchem.6b02332_ic6b02332_si_003_clean,helium,0.1,293.0,14.0,acs.inorgchem.6b02332_ic6b02332_si_003_clean_helium_293.0K_0.1bar_14.0/Output/System_0,0.0010723721,0.0010723721,0.0024875,0.0024875
53,acs.inorgchem.6b02349_ic6b02349_si_002_clean,helium,0.1,293.0,14.0,acs.inorgchem.6b02349_ic6b02349_si_002_clean_helium_293.0K_0.1bar_14.0/Output/System_0,0.0010369142,0.0010369142,0.0011703704,0.0011703704
54,acs.jchemed.6b00258_ed6b00258_si_005_clean,helium,0.1,293.0,14.0,acs.jchemed.6b00258_ed6b00258_si_005_clean_helium_293.0K_0.1bar_14.0/Output/System_0,0.000513771,0.000513771,0.0011291667,0.0011291667
55,acsami.6b11116_am6b11116_si_002_clean,helium,0.1,293.0,14.0,acsami.6b11116_am6b11116_si_002_clean_helium_293.0K_0.1bar_14.0/Output/System_0,0.0051691799,0.0051691799,0.0157083333,0.0157083333
56,acscombsci.5b00188_24205_clean,helium,0.1,293.0,14.0,acscombsci.5b00188_24205_clean_helium_293.0K_0.1bar_14.0/Output/System_0,0.0020424569,0.0020424569,0.00105,0.00105
57,acscombsci.5b00188_5013797_clean,helium,0.1,293.0,14.0,acscombsci.5b00188_5013797_clean_helium_293.0K_0.1bar_14.0/Output/System_0,0.0040677407,0.0040677407,0.0059833333,0.0059833333
58,acscombsci.5b00188_5040209_clean,helium,0.1,293.0,14.0,acscombsci.5b00188_5040209_clean_helium_293.0K_0.1bar_14.0/Output/System_0,0.0024196457,0.0024196457,0.0022194444,0.0022194444
