,name,gas,pressure,temp,cutoff,path,Average loading absolute [mol/kg framework],Average loading excess [mol/kg framework],Average loading absolute [molecules/unit cell],Average loading excess [molecules/unit cell]
0,00958972.2016.1250260_1436516_clean,helium,0.2,293.0,14.0,00958972.2016.1250260_1436516_clean_helium_293.0K_0.2bar_14.0/Output/System_0,0.0022789866,0.0022789866,0.00133,0.00133
1,00958972.2016.1250260_1436519_clean,helium,0.2,293.0,14.0,00958972.2016.1250260_1436519_clean_helium_293.0K_0.2bar_14.0/Output/System_0,0.0014922484,0.0014922484,0.0033958333,0.0033958333
2,00958972.2016.1253069_1472494_clean,helium,0.2,293.0,14.0,00958972.2016.1253069_1472494_clean_helium_293.0K_0.2bar_14.0/Output/System_0,0.0008891962,0.0008891962,0.01404375,0.01404375
3,ABAYOU_clean,helium,0.2,293.0,14.0,ABAYOU_clean_helium_293.0K_0.2bar_14.0/Output/System_0,0.0051816986,0.0051816986,0.05781875,0.05781875
4,ABETAE_clean,helium,0.2,293.0,14.0,ABETAE_clean_helium_293.0K_0.2bar_14.0/Output/System_0,0.0012628032,0.0012628032,0.0079305556,0.0079305556
5,ABEXEM_clean,helium,0.2,293.0,14.0,ABEXEM_clean_helium_293.0K_0.2bar_14.0/Output/System_0,0.0015788875,0.0015788875,0.0044083333,0.0044083333
6,ABEYEN_clean,helium,0.2,293.0,14.0,ABEYEN_clean_helium_293.0K_0.2bar_14.0/Output/System_0,0.0014730312,0.0014730312,0.0042666667,0.0042666667
7,ABEYIR_clean,helium,0.2,293.0,14.0,ABEYIR_clean_helium_293.0K_0.2bar_14.0/Output/System_0,0.0014697869,0.0014697869,0.0043194444,0.0043194444
8,ABIYIV_clean,helium,0.2,293.0,14.0,ABIYIV_clean_helium_293.0K_0.2bar_14.0/Output/System_0,0.0010421981,0.0010421981,0.003975,0.003975
9,ABUWOJ_clean,helium,0.2,293.0,14.0,ABUWOJ_clean_helium_293.0K_0.2bar_14.0/Output/System_0,0.003727814,0.003727814,0.01175,0.01175
10,ac403674p_si_001_clean,helium,0.2,293.0,14.0,ac403674p_si_001_clean_helium_293.0K_0.2bar_14.0/Output/System_0,0.0028528827,0.0028528827,0.006275,0.006275
11,ACAJIZ_clean,helium,0.2,293.0,14.0,ACAJIZ_clean_helium_293.0K_0.2bar_14.0/Output/System_0,0.0018226013,0.0018226013,0.0041666667,0.0041666667
12,ACAKUM_clean,helium,0.2,293.0,14.0,ACAKUM_clean_helium_293.0K_0.2bar_14.0/Output/System_0,0.001314186,0.001314186,0.0028027778,0.0028027778
13,ACECIV_ion_b,helium,0.2,293.0,14.0,ACECIV_ion_b_helium_293.0K_0.2bar_14.0/Output/System_0,0.0002860058,0.0002860058,0.00145,0.00145
14,ACOCOM_clean,helium,0.2,293.0,14.0,ACOCOM_clean_helium_293.0K_0.2bar_14.0/Output/System_0,0.0214753813,0.0214753813,0.4576,0.4576
15,ACODAZ_clean,helium,0.2,293.0,14.0,ACODAZ_clean_helium_293.0K_0.2bar_14.0/Output/System_0,0.021961707,0.021961707,0.4631,0.4631
16,ACOGAB_clean,helium,0.2,293.0,14.0,ACOGAB_clean_helium_293.0K_0.2bar_14.0/Output/System_0,0.0030723177,0.0030723177,0.0056833333,0.0056833333
17,ACOGEF_clean,helium,0.2,293.0,14.0,ACOGEF_clean_helium_293.0K_0.2bar_14.0/Output/System_0,0.0028297716,0.0028297716,0.0057666667,0.0057666667
18,ACOLEL_clean,helium,0.2,293.0,14.0,ACOLEL_clean_helium_293.0K_0.2bar_14.0/Output/System_0,0.0001909592,0.0001909592,0.00099375,0.00099375
19,ACOLIP_clean,helium,0.2,293.0,14.0,ACOLIP_clean_helium_293.0K_0.2bar_14.0/Output/System_0,0.0031354693,0.0031354693,0.0030277778,0.0030277778
20,ACOLOV_clean,helium,0.2,293.0,14.0,ACOLOV_clean_helium_293.0K_0.2bar_14.0/Output/System_0,0.0060278095,0.0060278095,0.0314916667,0.0314916667
21,acs.cgd.5b00681_AJUPEC1449470_clean,helium,0.2,293.0,14.0,acs.cgd.5b00681_AJUPEC1449470_clean_helium_293.0K_0.2bar_14.0/Output/System_0,0.0019045175,0.0019045175,0.0024354167,0.0024354167
22,acs.cgd.5b01178_MAHFOT1419063_clean,helium,0.2,293.0,14.0,acs.cgd.5b01178_MAHFOT1419063_clean_helium_293.0K_0.2bar_14.0/Output/System_0,0.0045386958,0.0045386958,0.006078125,0.006078125
23,acs.cgd.5b01554_VAGNUP1452791_clean,helium,0.2,293.0,14.0,acs.cgd.5b01554_VAGNUP1452791_clean_helium_293.0K_0.2bar_14.0/Output/System_0,0.0019442666,0.0019442666,0.01316875,0.01316875
24,acs.cgd.5b01632_ZAHKOL1438120_clean,helium,0.2,293.0,14.0,acs.cgd.5b01632_ZAHKOL1438120_clean_helium_293.0K_0.2bar_14.0/Output/System_0,0.005780948,0.005780948,0.02051875,0.02051875
25,acs.cgd.5b01684_CUTGIJ1438510_clean,helium,0.2,293.0,14.0,acs.cgd.5b01684_CUTGIJ1438510_clean_helium_293.0K_0.2bar_14.0/Output/System_0,0.0080144214,0.0080144214,0.011775,0.011775
26,acs.cgd.6b00119_OLISUZ1440339_clean,helium,0.2,293.0,14.0,acs.cgd.6b00119_OLISUZ1440339_clean_helium_293.0K_0.2bar_14.0/Output/System_0,0.0061110133,0.0061110133,0.02876875,0.02876875
27,acs.cgd.6b00151_AKECEA1449783_clean,helium,0.2,293.0,14.0,acs.cgd.6b00151_AKECEA1449783_clean_helium_293.0K_0.2bar_14.0/Output/System_0,0.0029217789,0.0029217789,0.0071791667,0.0071791667
28,acs.cgd.6b00151_AKECOK1449785_clean,helium,0.2,293.0,14.0,acs.cgd.6b00151_AKECOK1449785_clean_helium_293.0K_0.2bar_14.0/Output/System_0,0.0008587283,0.0008587283,0.001055,0.001055
29,acs.cgd.6b00151_AKEDAX1449787_clean,helium,0.2,293.0,14.0,acs.cgd.6b00151_AKEDAX1449787_clean_helium_293.0K_0.2bar_14.0/Output/System_0,0.0025423948,0.0025423948,0.002575,0.002575
30,acs.cgd.6b00151_AKEDEB1449788_clean,helium,0.2,293.0,14.0,acs.cgd.6b00151_AKEDEB1449788_clean_helium_293.0K_0.2bar_14.0/Output/System_0,0.0023745665,0.0023745665,0.0067027778,0.0067027778
31,acs.cgd.6b00163_UKEBAP1448505_clean,helium,0.2,293.0,14.0,acs.cgd.6b00163_UKEBAP1448505_clean_helium_293.0K_0.2bar_14.0/Output/System_0,0.0055470526,0.0055470526,0.0074222222,0.0074222222
32,acs.cgd.6b00163_UKEBOD1448508_clean,helium,0.2,293.0,14.0,acs.cgd.6b00163_UKEBOD1448508_clean_helium_293.0K_0.2bar_14.0/Output/System_0,0.0011612669,0.0011612669,0.0058166667,0.0058166667
