,name,gas,pressure,temp,cutoff,path,Average loading absolute [mol/kg framework],Average loading excess [mol/kg framework],Average loading absolute [molecules/unit cell],Average loading excess [molecules/unit cell]
0,1499489-acs.cgd.6b01265_1499490_clean,helium,1.0,293.0,14.0,1499489-acs.cgd.6b01265_1499490_clean_helium_293.0K_1.0bar_14.0/Output/System_0,0.0286364452,0.0286364452,0.212825,0.212825
1,ABAVIJ_clean,helium,1.0,293.0,14.0,ABAVIJ_clean_helium_293.0K_1.0bar_14.0/Output/System_0,0.0055072357,0.0055072357,0.0066777778,0.0066777778
2,ABESUX_clean,helium,1.0,293.0,14.0,ABESUX_clean_helium_293.0K_1.0bar_14.0/Output/System_0,0.0064644023,0.0064644023,0.0405972222,0.0405972222
3,ABEXIQ_clean,helium,1.0,293.0,14.0,ABEXIQ_clean_helium_293.0K_1.0bar_14.0/Output/System_0,0.0078850021,0.0078850021,0.0220916667,0.0220916667
4,ABEXOW_clean,helium,1.0,293.0,14.0,ABEXOW_clean_helium_293.0K_1.0bar_14.0/Output/System_0,0.0075318691,0.0075318691,0.02115,0.02115
5,ABEXUC_clean,helium,1.0,293.0,14.0,ABEXUC_clean_helium_293.0K_1.0bar_14.0/Output/System_0,0.0076306445,0.0076306445,0.0216305556,0.0216305556
6,ABEYAJ_clean,helium,1.0,293.0,14.0,ABEYAJ_clean_helium_293.0K_1.0bar_14.0/Output/System_0,0.0073457912,0.0073457912,0.0211833333,0.0211833333
7,ABIXOZ_clean,helium,1.0,293.0,14.0,ABIXOZ_clean_helium_293.0K_1.0bar_14.0/Output/System_0,0.0110231586,0.0110231586,0.0265416667,0.0265416667
8,ABULOB_clean,helium,1.0,293.0,14.0,ABULOB_clean_helium_293.0K_1.0bar_14.0/Output/System_0,0.0157740877,0.0157740877,0.0218916667,0.0218916667
9,ACAJIY_clean,helium,1.0,293.0,14.0,ACAJIY_clean_helium_293.0K_1.0bar_14.0/Output/System_0,0.0107738844,0.0107738844,0.03916875,0.03916875
10,ACAJOF_clean,helium,1.0,293.0,14.0,ACAJOF_clean_helium_293.0K_1.0bar_14.0/Output/System_0,0.0107448094,0.0107448094,0.0251666667,0.0251666667
11,ACIBOE_clean,helium,1.0,293.0,14.0,ACIBOE_clean_helium_293.0K_1.0bar_14.0/Output/System_0,0.0232033241,0.0232033241,0.05814375,0.05814375
12,ACMPCD_SL,helium,1.0,293.0,14.0,ACMPCD_SL_helium_293.0K_1.0bar_14.0/Output/System_0,0.002519452,0.002519452,0.0043645833,0.0043645833
13,ACOCUS_clean,helium,1.0,293.0,14.0,ACOCUS_clean_helium_293.0K_1.0bar_14.0/Output/System_0,0.1069001943,0.1069001943,2.2874,2.2874
14,ACODON_clean,helium,1.0,293.0,14.0,ACODON_clean_helium_293.0K_1.0bar_14.0/Output/System_0,0.0194152115,0.0194152115,0.0457208333,0.0457208333
15,acs.cgd.5b01178_MAHFUZ1419064_clean,helium,1.0,293.0,14.0,acs.cgd.5b01178_MAHFUZ1419064_clean_helium_293.0K_1.0bar_14.0/Output/System_0,0.0107999585,0.0107999585,0.0145,0.0145
16,acs.cgd.5b01835_ULIMUZ1444615_clean,helium,1.0,293.0,14.0,acs.cgd.5b01835_ULIMUZ1444615_clean_helium_293.0K_1.0bar_14.0/Output/System_0,0.0061814105,0.0061814105,0.0051333333,0.0051333333
17,acs.cgd.6b00151_AKECIE1449784_clean,helium,1.0,293.0,14.0,acs.cgd.6b00151_AKECIE1449784_clean_helium_293.0K_1.0bar_14.0/Output/System_0,0.0173882305,0.0173882305,0.08545,0.08545
