,name,0.01 bar,0.05 bar,0.1 bar,0.2 bar,0.35 bar,0.5 bar,1.0 bar,5.0 bar,15.0 bar,filename,LCD,PLD,LFPD,cm3_g,ASA_m2_cm3,ASA_m2_g,NASA_m2_cm3,NASA_m2_g,AV_VF,AV_cm3_g,NAV_cm3_g,All_Metals,Has_OMS,Open_Metal_Sites,Extension,FSR_overlap,from_CSD,public,CSD_overlap_inCoRE,CSD_of_WoS_inCoRE,DISORDER,CSD_overlap_inCCDC,date_CSD,DOI_public,Note,Matched_CSD_of_CoRE,Possible_List_CSD_of_CoRE
0,00958972.2016.1250260_1436516_clean,0.0001142349,0.0005369041,0.0012032745,0.0022789866,0.004000126,0.0057345928,0.0114177799,0.057601053,0.1699092076,00958972.2016.1250260_1436516_clean,4.71855,3.37,4.71855,1.10264,1023.35,928.091,0.0,0.0,0.5514,0.500072,0.0,Cu,Yes,Cu,clean,Y,N,Y,N,,,Y,12/11/2015,10.1080/00958972.2016.1250260,"1 SI, 1 Structure",EBICEA,
1,00958972.2016.1250260_1436519_clean,7.50702e-05,0.0003423932,0.0007946452,0.0014922484,0.002607315,0.0037754801,0.0076736358,0.0365408611,0.1096738508,00958972.2016.1250260_1436519_clean,5.14924,3.51868,5.14924,1.25408,747.346,595.932,0.0,0.0,0.4898,0.390566,0.0,Cd,Yes,Cd,clean,Y,N,Y,N,,,Y,12/11/2015,10.1080/00958972.2016.1250260,"1 SI, 1 Structure",EBICUQ,
2,00958972.2016.1253069_1472494_clean,4.55085e-05,0.0002156706,0.0004531062,0.0008891962,0.0016117918,0.0022766113,0.0044910937,0.0223288362,0.0663525555,00958972.2016.1253069_1472494_clean,7.53123,5.2725,7.53123,3.48449,1077.33,309.178,93.8221,26.9256,0.4754,0.136433,0.0,"W,Cu,Na",Yes,"W,Cu,Na",clean,Y,N,Y,N,,,Y,06/04/2016,10.1080/00958972.2016.1253069,"1 SI, 1 Structure",DANLOW,
3,ABAYOU_clean,0.0002520554,0.0013034064,0.0025692845,0.0051816986,0.0090062189,0.0129091565,0.0254867202,0.1288781584,0.3663737034,ABAYOU_clean,11.27344,4.5108,11.27344,0.979267,1463.42,1494.4,419.062,427.935,0.6638,0.677854,0.0,Co,No, ,clean,Y,Y,Y,N,,,,,,,,
4,ABETAE_clean,6.23661e-05,0.0003326193,0.000684258,0.0012628032,0.0023137385,0.003332385,0.0065179222,0.032626323,0.0968324567,ABETAE_clean,5.88295,4.42033,5.88295,3.69928,1821.75,492.461,0.0,0.0,0.572,0.154625,0.0,U,Yes,U,clean,Y,Y,Y,N,,,,,,,,
5,ABEXEM_clean,7.95911e-05,0.0004278019,0.0008347112,0.0015788875,0.0028025999,0.0040830209,0.0082038476,0.0403427143,0.1206849065,ABEXEM_clean,4.82084,4.14331,4.80387,1.76082,968.791,550.193,3.54724,2.01454,0.494,0.280551,0.0,La,Yes,La,clean,Y,Y,Y,N,,,,,,,,
6,ABEYEN_clean,8.34334e-05,0.0003346926,0.0007192535,0.0014730312,0.002460806,0.0035253011,0.0070189551,0.0352635604,0.103500578,ABEYEN_clean,4.70447,3.94356,4.68752,1.9293,894.021,463.392,4.63057,2.40013,0.4642,0.240606,0.0,Eu,Yes,Eu,clean,Y,Y,Y,N,,,,,,,,
7,ABEYIR_clean,5.86024e-05,0.0003242038,0.0007079552,0.0014697869,0.002394193,0.0035558445,0.0067988276,0.0341633289,0.102872793,ABEYIR_clean,4.69665,3.92183,4.69665,1.96962,879.845,446.707,3.91969,1.99007,0.464,0.235578,0.0,Gd,Yes,Gd,clean,Y,Y,Y,N,,,,,,,,
8,ABIYIV_clean,5.13452e-05,0.0002534486,0.0005090821,0.0010421981,0.0018615362,0.002520284,0.0051006528,0.0257064598,0.0747465763,ABIYIV_clean,4.33176,3.82431,4.32093,1.34661,564.007,418.836,0.0,0.0,0.4458,0.331055,0.0,Co,No, ,clean,Y,Y,Y,N,,,,,,,,
9,ABUWOJ_clean,0.0002300141,0.000890313,0.001764763,0.003727814,0.006349181,0.0087425169,0.0180977436,0.089959289,0.2651586133,ABUWOJ_clean,5.07969,4.03039,4.98773,1.15833,1745.23,1506.68,0.0,0.0,0.621,0.536118,0.0,Zn,Yes,Zn,clean,N,Y,Y,N,,,,,,,,
10,ac403674p_si_001_clean,0.0001420758,0.0007728925,0.0013923431,0.0028528827,0.0050124353,0.0073708941,0.0141507527,0.0708352203,0.2108481097,ac403674p_si_001_clean,8.50423,8.27985,8.50423,1.12072,1220.76,1089.26,0.0,0.0,0.5906,0.526983,0.0,Zn,No, ,clean,Y,N,Y,Y,APUVIS,,Y,08/05/2013,10.1021/ac403674p,"1 SI, 1 Structure",APUVIS,
11,ACAJIZ_clean,8.74849e-05,0.0004228435,0.0009040103,0.0018226013,0.0030920432,0.0044589942,0.0088295922,0.0434900017,0.1294803327,ACAJIZ_clean,6.1865,5.74044,6.1865,1.30148,981.157,753.879,0.0,0.0,0.4824,0.370656,0.0,Cu,No, ,clean,Y,Y,Y,N,,,,,,,,
