name,gas,temp,pressure,cutoff,path,abs_mol_per_kg_framework,abs_molecules_per_uc,abs_mg_per_g_framework,abs_cm3STP_per_g,abs_cm3STP_per_cm3
XUCNOZ_clean,helium,313.0,15.0,14.0,XUCNOZ_clean_helium_313.0K_15.0bar_14.0/Output/System_0,0.1390181105,0.5336527778,0.5564341669,3.1159485562,4.6475851958
POXHUG_clean,helium,313.0,15.0,14.0,POXHUG_clean_helium_313.0K_15.0bar_14.0/Output/System_0,0.0273676033,0.0648125,0.1095416236,0.6134167962,1.3689015398
LUXFOA_clean,helium,313.0,15.0,14.0,LUXFOA_clean_helium_313.0K_15.0bar_14.0/Output/System_0,0.3599883956,3.752525,1.440890272,8.0687711674,7.6854656354
NIZNAN_clean,helium,313.0,15.0,14.0,NIZNAN_clean_helium_313.0K_15.0bar_14.0/Output/System_0,0.1954445819,0.483453125,0.7822868745,4.3806901195,5.1403366124
OTUDIS_clean,helium,313.0,15.0,14.0,OTUDIS_clean_helium_313.0K_15.0bar_14.0/Output/System_0,0.3950725554,0.7746666667,1.5813182004,8.8551466752,7.6608978502
BEPNER_clean,helium,313.0,15.0,14.0,BEPNER_clean_helium_313.0K_15.0bar_14.0/Output/System_0,0.0545911434,0.105235,0.2185066196,1.2236045633,1.4272740271
AZEBUE_clean,helium,313.0,15.0,14.0,AZEBUE_clean_helium_313.0K_15.0bar_14.0/Output/System_0,0.1271723151,0.4274458333,0.5090201628,2.8504371868,5.1828716045
FIVYEP01_clean,helium,313.0,15.0,14.0,FIVYEP01_clean_helium_313.0K_15.0bar_14.0/Output/System_0,0.1038793754,0.2431583333,0.4157877958,2.328349801,4.7342615158
BOWDIC_clean,helium,313.0,15.0,14.0,BOWDIC_clean_helium_313.0K_15.0bar_14.0/Output/System_0,0.2728989981,1.5239916667,1.0923060756,6.116751525,6.1589355
WASMUB01_clean,helium,313.0,15.0,14.0,WASMUB01_clean_helium_313.0K_15.0bar_14.0/Output/System_0,0.2575774114,0.868425,1.0309798618,5.7733338512,7.1286227654
QARTAG_clean,helium,313.0,15.0,14.0,QARTAG_clean_helium_313.0K_15.0bar_14.0/Output/System_0,0.0398812028,0.1132833333,0.1596285821,0.8938963122,1.4184440621
