---- START at 2025-08-16 12:11:23, Target=2039/2039 ----
[24/2039] WILRAK_clean_helium_313.0K_5.0bar_14.0 Done. TimeForThis=82.5s, Completed=1/2039, ETA=2025-08-18 10:55:46
[11/2039] DUKDOD_clean_helium_313.0K_5.0bar_14.0 Done. TimeForThis=137.9s, Completed=2/2039, ETA=2025-08-18 03:15:16
[20/2039] ja5b02777_si_007_clean_helium_313.0K_5.0bar_14.0 Done. TimeForThis=163.3s, Completed=3/2039, ETA=2025-08-17 19:01:36
[14/2039] OKAYUW_clean_helium_313.0K_5.0bar_14.0 Done. TimeForThis=170.5s, Completed=4/2039, ETA=2025-08-17 12:19:41
[18/2039] FUDHAP_clean_helium_313.0K_5.0bar_14.0 Done. TimeForThis=170.6s, Completed=5/2039, ETA=2025-08-17 07:30:44
[21/2039] RAGMOE_clean_helium_313.0K_5.0bar_14.0 Done. TimeForThis=180.3s, Completed=6/2039, ETA=2025-08-17 05:12:25
[19/2039] LIBJAJ_clean_helium_313.0K_5.0bar_14.0 Done. TimeForThis=191.5s, Completed=7/2039, ETA=2025-08-17 03:41:15
[16/2039] CISLUN_clean_helium_313.0K_5.0bar_14.0 Done. TimeForThis=195.7s, Completed=8/2039, ETA=2025-08-17 02:02:32
[2/2039] CEXHET_clean_helium_313.0K_5.0bar_14.0 Done. TimeForThis=197.2s, Completed=9/2039, ETA=2025-08-17 00:36:10
[12/2039] VUCCUT_clean_helium_313.0K_5.0bar_14.0 Done. TimeForThis=207.5s, Completed=10/2039, ETA=2025-08-16 23:56:26
[25/2039] KONYOB_clean_helium_313.0K_5.0bar_14.0 Done. TimeForThis=215.6s, Completed=11/2039, ETA=2025-08-16 23:17:19
[5/2039] UNOJUD_clean_helium_313.0K_5.0bar_14.0 Done. TimeForThis=220.9s, Completed=12/2039, ETA=2025-08-16 22:37:06
[15/2039] NAXKOO_clean_helium_313.0K_5.0bar_14.0 Done. TimeForThis=225.8s, Completed=13/2039, ETA=2025-08-16 22:01:47
[10/2039] OTOVIE_clean_helium_313.0K_5.0bar_14.0 Done. TimeForThis=226.3s, Completed=14/2039, ETA=2025-08-16 21:20:49
[4/2039] HOGQAX_clean_helium_313.0K_5.0bar_14.0 Done. TimeForThis=227.3s, Completed=15/2039, ETA=2025-08-16 20:46:23
[8/2039] HAJMAH_clean_helium_313.0K_5.0bar_14.0 Done. TimeForThis=232.1s, Completed=16/2039, ETA=2025-08-16 20:24:19
[7/2039] IWEVAJ_clean_helium_313.0K_5.0bar_14.0 Done. TimeForThis=271.1s, Completed=17/2039, ETA=2025-08-16 21:13:22
[23/2039] GIVNOQ_clean_helium_313.0K_5.0bar_14.0 Done. TimeForThis=296.8s, Completed=18/2039, ETA=2025-08-16 21:31:49
[1/2039] SIZPUN_clean_helium_313.0K_5.0bar_14.0 Done. TimeForThis=299.7s, Completed=19/2039, ETA=2025-08-16 21:07:30
[9/2039] SANJAV_clean_helium_313.0K_5.0bar_14.0 Done. TimeForThis=302.1s, Completed=20/2039, ETA=2025-08-16 20:44:43
[13/2039] VIWLIY_clean_helium_313.0K_5.0bar_14.0 Done. TimeForThis=311.8s, Completed=21/2039, ETA=2025-08-16 20:35:59
[26/2039] ADARAA_clean_helium_313.0K_5.0bar_14.0 Done. TimeForThis=241.5s, Completed=22/2039, ETA=2025-08-16 20:31:51
[35/2039] FUTYEA_clean_helium_313.0K_5.0bar_14.0 Done. TimeForThis=154.1s, Completed=23/2039, ETA=2025-08-16 21:05:35
[17/2039] ORIWET_clean_helium_313.0K_5.0bar_14.0 Done. TimeForThis=362.4s, Completed=24/2039, ETA=2025-08-16 20:44:28
[29/2039] NAQREE_clean_helium_313.0K_5.0bar_14.0 Done. TimeForThis=203.3s, Completed=25/2039, ETA=2025-08-16 20:39:25
[36/2039] XOTGUI_clean_helium_313.0K_5.0bar_14.0 Done. TimeForThis=183.1s, Completed=26/2039, ETA=2025-08-16 20:52:24
[31/2039] CUSZEX_clean_helium_313.0K_5.0bar_14.0 Done. TimeForThis=230.1s, Completed=27/2039, ETA=2025-08-16 20:47:51
