name,gas,temp,pressure,cutoff,path,abs_mol_per_kg_framework,abs_molecules_per_uc,abs_mg_per_g_framework,abs_cm3STP_per_g,abs_cm3STP_per_cm3
XAKZOZ_clean,N2,293.0,5.0,14.0,XAKZOZ_clean_N2_293.0K_5.0bar_14.0/Output/System_0,1.2584710394,9.28795,35.2541532929,28.2073393562,24.0610171841
HOGJIX_clean,N2,293.0,5.0,14.0,HOGJIX_clean_N2_293.0K_5.0bar_14.0/Output/System_0,1.6414826812,4.7771625,45.9836422599,36.7921530063,28.8551356885
ENITIF_clean,N2,293.0,5.0,14.0,ENITIF_clean_N2_293.0K_5.0bar_14.0/Output/System_0,1.3338929452,3.2366722222,37.3669833431,29.897844124,29.7117609512
JADBIC_clean,N2,293.0,5.0,14.0,JADBIC_clean_N2_293.0K_5.0bar_14.0/Output/System_0,1.7194662936,1.7311481481,48.1682346275,38.5400758044,44.7110027773
WUDVEY_clean,N2,293.0,5.0,14.0,WUDVEY_clean_N2_293.0K_5.0bar_14.0/Output/System_0,0.526263063,2.91593,14.7424597895,11.7956475304,16.4204711532
WAMRIN_clean,N2,293.0,5.0,14.0,WAMRIN_clean_N2_293.0K_5.0bar_14.0/Output/System_0,2.2397927969,3.6977416667,62.7443907204,50.2026614296,47.6427154929
ic5021302_si_002_clean,N2,293.0,5.0,14.0,ic5021302_si_002_clean_N2_293.0K_5.0bar_14.0/Output/System_0,1.5978071499,5.91579375,44.7601386381,35.8132107076,37.0022299467
MIZPUI_clean,N2,293.0,5.0,14.0,MIZPUI_clean_N2_293.0K_5.0bar_14.0/Output/System_0,1.841212663,3.289425,51.5787741107,41.2688959747,31.003781973
XIDSUZ_clean,N2,293.0,5.0,14.0,XIDSUZ_clean_N2_293.0K_5.0bar_14.0/Output/System_0,1.431053107,11.130125,40.0887775912,32.0755896333,15.8217030072
FEZTIP_clean,N2,293.0,5.0,14.0,FEZTIP_clean_N2_293.0K_5.0bar_14.0/Output/System_0,1.9266435037,3.2401625,53.9719892574,43.1837407657,47.9721515148
HICZAW_clean,N2,293.0,5.0,14.0,HICZAW_clean_N2_293.0K_5.0bar_14.0/Output/System_0,1.5245164327,6.20323125,42.7070105975,34.1704743496,57.0612810411
MIMSUY_clean,N2,293.0,5.0,14.0,MIMSUY_clean_N2_293.0K_5.0bar_14.0/Output/System_0,1.2035291205,3.3667625,33.7150389479,26.9758725195,26.3024161846
EZOFEF_clean,N2,293.0,5.0,14.0,EZOFEF_clean_N2_293.0K_5.0bar_14.0/Output/System_0,1.9916655308,5.78033125,55.7934825139,44.6411429048,45.7533129345
RITGUY_clean,N2,293.0,5.0,14.0,RITGUY_clean_N2_293.0K_5.0bar_14.0/Output/System_0,0.4684954973,1.38790625,13.1241892437,10.5008467143,23.9325814554
KIRTUC_clean,N2,293.0,5.0,14.0,KIRTUC_clean_N2_293.0K_5.0bar_14.0/Output/System_0,3.0064468388,4.1724208333,84.2210383889,67.3864265306,89.7855884689
XOMCIN_clean,N2,293.0,5.0,14.0,XOMCIN_clean_N2_293.0K_5.0bar_14.0/Output/System_0,2.2738130864,8.7883,63.6974174209,50.9651913742,50.7156777875
ICIKAH_clean,N2,293.0,5.0,14.0,ICIKAH_clean_N2_293.0K_5.0bar_14.0/Output/System_0,0.2442781351,15.54575,6.8430806514,5.4752441953,9.215152124
GITVEL_clean,N2,293.0,5.0,14.0,GITVEL_clean_N2_293.0K_5.0bar_14.0/Output/System_0,0.9938438499,5.29630625,27.8410248114,22.2759919479,17.3121798741
APAYUN_clean,N2,293.0,5.0,14.0,APAYUN_clean_N2_293.0K_5.0bar_14.0/Output/System_0,2.0780534479,8.2825333333,58.2135087006,46.5774395826,48.7527253153
YINXIE_clean,N2,293.0,5.0,14.0,YINXIE_clean_N2_293.0K_5.0bar_14.0/Output/System_0,0.8629766462,1.0092,24.1749790191,19.3427376189,24.7079863645
PAKXIK_clean,N2,293.0,5.0,14.0,PAKXIK_clean_N2_293.0K_5.0bar_14.0/Output/System_0,1.2016538881,2.5134194444,33.6625071621,26.9338411055,33.7097679954
FAGMEI_clean,N2,293.0,5.0,14.0,FAGMEI_clean_N2_293.0K_5.0bar_14.0/Output/System_0,1.0520687392,5.797,29.4721065833,23.5810432045,26.8100086545
EKOPOK_clean,N2,293.0,5.0,14.0,EKOPOK_clean_N2_293.0K_5.0bar_14.0/Output/System_0,1.8967401939,3.8899777778,53.1342934884,42.5134887067,52.9271678631
