---- START at 2025-08-17 23:16:27, Target=1780/1780 ----
[24/1780] LEJCAE_clean_O2_293.0K_0.01bar_14.0 Done. TimeForThis=182.4s, Completed=1/1780, ETA=2025-08-21 17:27:13
[11/1780] MAHCIK_clean_O2_293.0K_0.01bar_14.0 Done. TimeForThis=197.6s, Completed=2/1780, ETA=2025-08-20 00:06:53
[5/1780] UBULIO_SL_O2_293.0K_0.01bar_14.0 Done. TimeForThis=243.4s, Completed=3/1780, ETA=2025-08-19 15:23:30
[19/1780] YIWNAT_clean_O2_293.0K_0.01bar_14.0 Done. TimeForThis=281.8s, Completed=4/1780, ETA=2025-08-19 10:06:16
[4/1780] BIBXOB_clean_O2_293.0K_0.01bar_14.0 Done. TimeForThis=290.1s, Completed=5/1780, ETA=2025-08-19 03:57:37
[12/1780] PUDSOX_clean_O2_293.0K_0.01bar_14.0 Done. TimeForThis=320.5s, Completed=6/1780, ETA=2025-08-19 01:41:22
[15/1780] LAMFIO_clean_O2_293.0K_0.01bar_14.0 Done. TimeForThis=335.5s, Completed=7/1780, ETA=2025-08-18 22:58:25
[26/1780] CIDKUX_clean_O2_293.0K_0.01bar_14.0 Done. TimeForThis=335.7s, Completed=8/1780, ETA=2025-08-18 20:01:25
[9/1780] CUMDEU_clean_O2_293.0K_0.01bar_14.0 Done. TimeForThis=371.6s, Completed=9/1780, ETA=2025-08-18 19:41:23
[17/1780] DITXOU_clean_O2_293.0K_0.01bar_14.0 Done. TimeForThis=382.5s, Completed=10/1780, ETA=2025-08-18 18:11:14
[29/1780] USUPUV_clean_O2_293.0K_0.01bar_14.0 Done. TimeForThis=397.9s, Completed=11/1780, ETA=2025-08-18 17:09:36
[6/1780] RIBTAZ_clean_O2_293.0K_0.01bar_14.0 Done. TimeForThis=448.7s, Completed=12/1780, ETA=2025-08-18 17:45:44
[23/1780] LOMLUW_clean_O2_293.0K_0.01bar_14.0 Done. TimeForThis=485.0s, Completed=13/1780, ETA=2025-08-18 17:43:14
[28/1780] WUPZUE_clean_O2_293.0K_0.01bar_14.0 Done. TimeForThis=496.4s, Completed=14/1780, ETA=2025-08-18 16:48:19
[2/1780] LACNUB_clean_O2_293.0K_0.01bar_14.0 Done. TimeForThis=522.7s, Completed=15/1780, ETA=2025-08-18 16:30:12
[20/1780] MAKRAU_clean_O2_293.0K_0.01bar_14.0 Done. TimeForThis=531.6s, Completed=16/1780, ETA=2025-08-18 15:42:10
[18/1780] DEKHUX_clean_O2_293.0K_0.01bar_14.0 Done. TimeForThis=531.6s, Completed=17/1780, ETA=2025-08-18 14:44:13
[21/1780] XISKUF_clean_O2_293.0K_0.01bar_14.0 Done. TimeForThis=534.1s, Completed=18/1780, ETA=2025-08-18 13:56:44
[47/1780] BIWSEG_ion_b_O2_293.0K_0.01bar_14.0 Done. TimeForThis=7.1s, Completed=19/1780, ETA=2025-08-18 13:17:40
[16/1780] LUFNAC04_clean_O2_293.0K_0.01bar_14.0 Done. TimeForThis=556.7s, Completed=20/1780, ETA=2025-08-18 13:02:18
[25/1780] AZAVOO_clean_O2_293.0K_0.01bar_14.0 Done. TimeForThis=564.2s, Completed=21/1780, ETA=2025-08-18 12:33:34
[32/1780] cm503311x_alf100K_clean_O2_293.0K_0.01bar_14.0 Done. TimeForThis=373.4s, Completed=22/1780, ETA=2025-08-18 12:06:24
[10/1780] UXUPEJ_clean_O2_293.0K_0.01bar_14.0 Done. TimeForThis=573.9s, Completed=23/1780, ETA=2025-08-18 11:36:42
[22/1780] WUYYEW_clean_O2_293.0K_0.01bar_14.0 Done. TimeForThis=577.9s, Completed=24/1780, ETA=2025-08-18 11:10:51
[1/1780] RESSAK_clean_O2_293.0K_0.01bar_14.0 Done. TimeForThis=583.8s, Completed=25/1780, ETA=2025-08-18 10:49:11
