name,gas,temp,pressure,cutoff,path,abs_mol_per_kg_framework,abs_molecules_per_uc,abs_mg_per_g_framework,abs_cm3STP_per_g,abs_cm3STP_per_cm3
jacs.6b06759_ja6b06759_si_004_clean,O2,293.0,0.01,14.0,jacs.6b06759_ja6b06759_si_004_clean_O2_293.0K_0.01bar_14.0/Output/System_0,0.0025448412,0.0617,0.081431866,0.0570400099,0.031861929
CUTBIE_clean,O2,293.0,0.01,14.0,CUTBIE_clean_O2_293.0K_0.01bar_14.0/Output/System_0,0.0024466273,0.0094166667,0.0782891372,0.0548386447,0.0546567656
LABNUA_clean,O2,293.0,0.01,14.0,LABNUA_clean_O2_293.0K_0.01bar_14.0/Output/System_0,0.0020006666,0.03345,0.0640189311,0.0448428931,0.0769501113
IKETAU_clean,O2,293.0,0.01,14.0,IKETAU_clean_O2_293.0K_0.01bar_14.0/Output/System_0,0.0027704325,0.0019633333,0.0886505165,0.0620964076,0.0962959767
UMEDIB_clean,O2,293.0,0.01,14.0,UMEDIB_clean_O2_293.0K_0.01bar_14.0/Output/System_0,0.0015424438,0.019525,0.0493563498,0.0345722974,0.0466877047
VURNED02_clean,O2,293.0,0.01,14.0,VURNED02_clean_O2_293.0K_0.01bar_14.0/Output/System_0,0.0058193484,0.0076277778,0.1862121648,0.1304347333,0.1283168629
EMIGOX_clean,O2,293.0,0.01,14.0,EMIGOX_clean_O2_293.0K_0.01bar_14.0/Output/System_0,0.0050943723,0.07725,0.163013799,0.1141851362,0.1752063664
UKUPUL_clean,O2,293.0,0.01,14.0,UKUPUL_clean_O2_293.0K_0.01bar_14.0/Output/System_0,0.001081684,0.00444375,0.0346125888,0.0242448381,0.0347619137
RORRIB_clean,O2,293.0,0.01,14.0,RORRIB_clean_O2_293.0K_0.01bar_14.0/Output/System_0,0.0013765083,0.0015697917,0.0440466136,0.0308530235,0.0647779996
TUBCEA_clean,O2,293.0,0.01,14.0,TUBCEA_clean_O2_293.0K_0.01bar_14.0/Output/System_0,0.0035798329,0.0054083333,0.1145503585,0.0802382888,0.1394498101
HAZWIP_clean,O2,293.0,0.01,14.0,HAZWIP_clean_O2_293.0K_0.01bar_14.0/Output/System_0,0.0028048352,0.0043361111,0.0897513618,0.062867509,0.0479558947
LIDSEY_clean,O2,293.0,0.01,14.0,LIDSEY_clean_O2_293.0K_0.01bar_14.0/Output/System_0,0.0091505608,0.026425,0.2928069639,0.2051004471,0.223093321
DEJCIF_clean,O2,293.0,0.01,14.0,DEJCIF_clean_O2_293.0K_0.01bar_14.0/Output/System_0,0.0058837373,0.00538125,0.1882725333,0.1318779453,0.1810663762
ESUTIX_clean,O2,293.0,0.01,14.0,ESUTIX_clean_O2_293.0K_0.01bar_14.0/Output/System_0,0.0035174935,0.0225,0.1125555707,0.0788410138,0.1067022531
HIBGEF_clean,O2,293.0,0.01,14.0,HIBGEF_clean_O2_293.0K_0.01bar_14.0/Output/System_0,0.0025994608,0.0035666667,0.0831796262,0.0582642513,0.0827104075
MATPUV_clean,O2,293.0,0.01,14.0,MATPUV_clean_O2_293.0K_0.01bar_14.0/Output/System_0,0.002879499,0.0174083333,0.0921405135,0.0645410214,0.0753238355
LAGNEO_clean,O2,293.0,0.01,14.0,LAGNEO_clean_O2_293.0K_0.01bar_14.0/Output/System_0,0.0046133438,0.0030916667,0.1476214658,0.1034033762,0.1084986021
AVIVOQ_clean,O2,293.0,0.01,14.0,AVIVOQ_clean_O2_293.0K_0.01bar_14.0/Output/System_0,0.0037286813,0.02985,0.119313327,0.0835745721,0.0592651133
CUKYAJ_clean,O2,293.0,0.01,14.0,CUKYAJ_clean_O2_293.0K_0.01bar_14.0/Output/System_0,0.0024441164,0.0038777778,0.0782087927,0.0547823663,0.0908317237
FIXVUE_clean,O2,293.0,0.01,14.0,FIXVUE_clean_O2_293.0K_0.01bar_14.0/Output/System_0,0.0003931507,0.01335,0.0125803503,0.00881207,0.0141466967
QEBGEL_clean,O2,293.0,0.01,14.0,QEBGEL_clean_O2_293.0K_0.01bar_14.0/Output/System_0,0.0047723473,0.0109458333,0.1527093877,0.1069672772,0.1090976359
SAMYEN_clean,O2,293.0,0.01,14.0,SAMYEN_clean_O2_293.0K_0.01bar_14.0/Output/System_0,0.001775069,0.01256875,0.0568000764,0.0397863524,0.0819311145
