name,gas,temp,pressure,cutoff,path,abs_mol_per_kg_framework,abs_molecules_per_uc,abs_mg_per_g_framework,abs_cm3STP_per_g,abs_cm3STP_per_cm3
EREGOY_clean,O2,293.0,5.0,14.0,EREGOY_clean_O2_293.0K_5.0bar_14.0/Output/System_0,1.5394406641,5.15626875,49.2602539215,34.5049857094,30.3487947844
HUJGEA_clean,O2,293.0,5.0,14.0,HUJGEA_clean_O2_293.0K_5.0bar_14.0/Output/System_0,2.0459476136,9.14,65.4678684986,45.8578201925,37.725273817
HACDOH_clean,O2,293.0,5.0,14.0,HACDOH_clean_O2_293.0K_5.0bar_14.0/Output/System_0,3.3736181219,28.314125,107.9517315579,75.6161947651,84.7803320567
SEYNAM_clean,O2,293.0,5.0,14.0,SEYNAM_clean_O2_293.0K_5.0bar_14.0/Output/System_0,0.9439614536,3.2241,30.2056337604,21.1579291269,25.616373502
FUQJUX_clean,O2,293.0,5.0,14.0,FUQJUX_clean_O2_293.0K_5.0bar_14.0/Output/System_0,0.9785836838,5.0497,31.3135035797,21.9339509546,15.7544485561
PAVMAB_clean,O2,293.0,5.0,14.0,PAVMAB_clean_O2_293.0K_5.0bar_14.0/Output/System_0,2.4104086187,3.2209111111,77.1301833074,54.0268403209,72.6750446946
ZAYJUG_clean,O2,293.0,5.0,14.0,ZAYJUG_clean_O2_293.0K_5.0bar_14.0/Output/System_0,0.1214463734,1.9419,3.8861382147,2.7220960691,12.0185096361
TEHRUU_clean,O2,293.0,5.0,14.0,TEHRUU_clean_O2_293.0K_5.0bar_14.0/Output/System_0,0.5287774249,1.2035958333,16.9202430624,11.8520043765,18.4070734182
GUKYUI_clean,O2,293.0,5.0,14.0,GUKYUI_clean_O2_293.0K_5.0bar_14.0/Output/System_0,0.4357384912,0.40654375,13.9431088334,9.7666319749,11.7783582832
VIQQUJ_clean,O2,293.0,5.0,14.0,VIQQUJ_clean_O2_293.0K_5.0bar_14.0/Output/System_0,2.6264920891,7.2053625,84.0445950603,58.8701299861,69.1764179122
PEJFOA_clean,O2,293.0,5.0,14.0,PEJFOA_clean_O2_293.0K_5.0bar_14.0/Output/System_0,2.4526164432,8.94215,78.4807830431,54.9728854763,121.5333121155
ATEYUV_clean,O2,293.0,5.0,14.0,ATEYUV_clean_O2_293.0K_5.0bar_14.0/Output/System_0,1.8949393286,26.61995,60.6357845891,42.4731241552,31.9026573004
FARFUA_clean,O2,293.0,5.0,14.0,FARFUA_clean_O2_293.0K_5.0bar_14.0/Output/System_0,0.6858325158,4.3408,21.9458175072,15.3722333765,21.1395946099
WAZQIZ_clean,O2,293.0,5.0,14.0,WAZQIZ_clean_O2_293.0K_5.0bar_14.0/Output/System_0,1.0952821483,2.1787777778,35.0477144066,24.5496275085,30.0800405844
VUCTUK_clean,O2,293.0,5.0,14.0,VUCTUK_clean_O2_293.0K_5.0bar_14.0/Output/System_0,0.6300296979,0.4257539063,20.160194298,14.1214703696,27.187111293
XUNHAQ_clean,O2,293.0,5.0,14.0,XUNHAQ_clean_O2_293.0K_5.0bar_14.0/Output/System_0,2.257676814,1.165337963,72.2429488354,50.6035133546,51.1654854093
XADDIR_manual,O2,293.0,5.0,14.0,XADDIR_manual_O2_293.0K_5.0bar_14.0/Output/System_0,1.5283300393,3.697775,48.9047272603,34.2559524343,29.9438020109
IWEVUD_clean,O2,293.0,5.0,14.0,IWEVUD_clean_O2_293.0K_5.0bar_14.0/Output/System_0,0.9412665333,18.633725,30.1193995471,21.0975252504,43.7214993982
QARMAA_clean,O2,293.0,5.0,14.0,QARMAA_clean_O2_293.0K_5.0bar_14.0/Output/System_0,0.7605117514,12.341175,24.3354634309,17.0460919518,29.4184745755
LEHXUT_clean,O2,293.0,5.0,14.0,LEHXUT_clean_O2_293.0K_5.0bar_14.0/Output/System_0,1.6343721178,14.54475,52.297946522,36.6327770102,14.9156727201
KEGZOL02_clean,O2,293.0,5.0,14.0,KEGZOL02_clean_O2_293.0K_5.0bar_14.0/Output/System_0,0.8360926525,0.7793203704,26.7539615704,18.740160437,18.5769833884
PORVID_clean,O2,293.0,5.0,14.0,PORVID_clean_O2_293.0K_5.0bar_14.0/Output/System_0,1.3028646192,2.05445,41.6901043763,29.2023759767,41.0582893954
ECIWIW_clean,O2,293.0,5.0,14.0,ECIWIW_clean_O2_293.0K_5.0bar_14.0/Output/System_0,0.5893894397,7.0935,18.8597548016,13.2105606063,17.492170441
UMOYOM08_clean,O2,293.0,5.0,14.0,UMOYOM08_clean_O2_293.0K_5.0bar_14.0/Output/System_0,1.5637172781,12.775625,50.0370764399,35.0491211484,19.1947180507
TUTHOG_clean,O2,293.0,5.0,14.0,TUTHOG_clean_O2_293.0K_5.0bar_14.0/Output/System_0,1.9765069135,2.5708722222,63.2458494234,44.3013780239,45.8759995188
IXOFAD_clean,O2,293.0,5.0,14.0,IXOFAD_clean_O2_293.0K_5.0bar_14.0/Output/System_0,1.5660912052,1.44742,50.1130392574,35.1023302922,35.4640208715
YOCCIE_clean,O2,293.0,5.0,14.0,YOCCIE_clean_O2_293.0K_5.0bar_14.0/Output/System_0,1.9747596727,13.6191375,63.1899398159,44.262215412,62.6968087832
IQEWOQ_clean,O2,293.0,5.0,14.0,IQEWOQ_clean_O2_293.0K_5.0bar_14.0/Output/System_0,0.5663075698,0.9851916667,18.1211626641,12.6932041349,20.1582772006
PIZNOB_clean_h,O2,293.0,5.0,14.0,PIZNOB_clean_h_O2_293.0K_5.0bar_14.0/Output/System_0,0.8444619832,0.5456052083,27.0217701092,18.927750412,28.4877775698
KAVKIC_clean,O2,293.0,5.0,14.0,KAVKIC_clean_O2_293.0K_5.0bar_14.0/Output/System_0,0.4759708764,2.40325,15.2304968789,10.6683996796,27.4508138781
cg500121f_si_004_clean,O2,293.0,5.0,14.0,cg500121f_si_004_clean_O2_293.0K_5.0bar_14.0/Output/System_0,1.858669638,1.9487111111,59.4751980123,41.6601761888,49.1929332344
VUMBIQ_clean,O2,293.0,5.0,14.0,VUMBIQ_clean_O2_293.0K_5.0bar_14.0/Output/System_0,1.2395329868,5.9029583333,39.6635681389,27.7828623051,43.1255444167
CANYIB_clean,O2,293.0,5.0,14.0,CANYIB_clean_O2_293.0K_5.0bar_14.0/Output/System_0,1.1864566264,4.050925,37.9651882982,26.5932100506,28.5005688288
