---- START at 2025-08-18 09:57:06, Target=1779/1779 ----
[8/1779] LEHXUT_clean_O2_293.0K_5.0bar_14.0 Done. TimeForThis=671.6s, Completed=1/1779, ETA=2025-09-01 05:49:09
[29/1779] EDUSIF_clean_O2_293.0K_5.0bar_14.0 Done. TimeForThis=698.9s, Completed=2/1779, ETA=2025-08-25 14:37:50
[9/1779] KEGZOL02_clean_O2_293.0K_5.0bar_14.0 Done. TimeForThis=916.5s, Completed=3/1779, ETA=2025-08-24 16:55:16
[25/1779] FARFUA_clean_O2_293.0K_5.0bar_14.0 Done. TimeForThis=1124.5s, Completed=4/1779, ETA=2025-08-24 04:52:37
[4/1779] UMOYOM08_clean_O2_293.0K_5.0bar_14.0 Done. TimeForThis=1369.3s, Completed=5/1779, ETA=2025-08-24 01:17:12
[10/1779] KAVKIC_clean_O2_293.0K_5.0bar_14.0 Done. TimeForThis=1432.8s, Completed=6/1779, ETA=2025-08-23 07:57:24
[16/1779] QARMAA_clean_O2_293.0K_5.0bar_14.0 Done. TimeForThis=1438.1s, Completed=7/1779, ETA=2025-08-22 15:28:33
[23/1779] XADDIR_manual_O2_293.0K_5.0bar_14.0 Done. TimeForThis=1503.0s, Completed=8/1779, ETA=2025-08-22 06:47:38
[24/1779] IQEWOQ_clean_O2_293.0K_5.0bar_14.0 Done. TimeForThis=1540.9s, Completed=9/1779, ETA=2025-08-21 22:33:26
[6/1779] PIZNOB_clean_h_O2_293.0K_5.0bar_14.0 Done. TimeForThis=1607.2s, Completed=10/1779, ETA=2025-08-21 17:22:28
[14/1779] HUJGEA_clean_O2_293.0K_5.0bar_14.0 Done. TimeForThis=1670.7s, Completed=11/1779, ETA=2025-08-21 13:00:27
[21/1779] GUKYUI_clean_O2_293.0K_5.0bar_14.0 Done. TimeForThis=1822.5s, Completed=12/1779, ETA=2025-08-21 13:00:13
[22/1779] IWEVUD_clean_O2_293.0K_5.0bar_14.0 Done. TimeForThis=2215.5s, Completed=13/1779, ETA=2025-08-21 22:10:08
[1/1779] SEYNAM_clean_O2_293.0K_5.0bar_14.0 Done. TimeForThis=2371.9s, Completed=14/1779, ETA=2025-08-21 21:40:28
[37/1779] PIQFIG_clean_O2_293.0K_5.0bar_14.0 Done. TimeForThis=940.3s, Completed=15/1779, ETA=2025-08-21 16:18:31
[13/1779] TEHRUU_clean_O2_293.0K_5.0bar_14.0 Done. TimeForThis=2553.2s, Completed=16/1779, ETA=2025-08-21 16:48:34
[2/1779] cg500121f_si_004_clean_O2_293.0K_5.0bar_14.0 Done. TimeForThis=2603.6s, Completed=17/1779, ETA=2025-08-21 13:38:04
[39/1779] WOLYON_clean_O2_293.0K_5.0bar_14.0 Done. TimeForThis=1102.1s, Completed=18/1779, ETA=2025-08-21 10:30:38
