name,gas,temp,pressure,cutoff,path,abs_mol_per_kg_framework,abs_molecules_per_uc,abs_mg_per_g_framework,abs_cm3STP_per_g,abs_cm3STP_per_cm3
ic1010083_si_002_clean,CO2,293.0,1.0,14.0,ic1010083_si_002_clean_CO2_293.0K_1.0bar_14.0/Output/System_0,2.4208751403,27.69625,106.5156011218,54.261436682,70.5306867991
QAVPOU_clean,CO2,293.0,1.0,14.0,QAVPOU_clean_CO2_293.0K_1.0bar_14.0/Output/System_0,4.1038159391,24.02,180.562976742,91.982830932,192.9056531414
jacs.5b12516_ja5b12516_si_003_clean,CO2,293.0,1.0,14.0,jacs.5b12516_ja5b12516_si_003_clean_CO2_293.0K_1.0bar_14.0/Output/System_0,0.4419973433,3.77,19.4473527099,9.906917734,13.8493433118
ALEJIM_clean,CO2,293.0,1.0,14.0,ALEJIM_clean_CO2_293.0K_1.0bar_14.0/Output/System_0,1.7404298771,26.03,76.576826077,39.0099530559,23.0980720205
SUWZOB_clean,CO2,293.0,1.0,14.0,SUWZOB_clean_CO2_293.0K_1.0bar_14.0/Output/System_0,3.6789096878,17.1458333333,161.86761157,82.4589925191,89.9612680773
FUSNEN_clean,CO2,293.0,1.0,14.0,FUSNEN_clean_CO2_293.0K_1.0bar_14.0/Output/System_0,0.5050287457,2.655,22.2206587757,11.3197020576,11.292652816
cg501012e_si_002_clean,CO2,293.0,1.0,14.0,cg501012e_si_002_clean_CO2_293.0K_1.0bar_14.0/Output/System_0,2.52334713,7.445,111.0242457044,56.5582413751,47.1917697864
CIYZUG_clean,CO2,293.0,1.0,14.0,CIYZUG_clean_CO2_293.0K_1.0bar_14.0/Output/System_0,0.5585819617,0.7641666667,24.5769360165,12.5200425426,17.6714072031
CAXZUY_clean,CO2,293.0,1.0,14.0,CAXZUY_clean_CO2_293.0K_1.0bar_14.0/Output/System_0,4.0362975848,58.78,177.5922501742,90.4694761758,86.0336629662
IGEXOH_clean,CO2,293.0,1.0,14.0,IGEXOH_clean_CO2_293.0K_1.0bar_14.0/Output/System_0,2.888901032,2.9507407407,127.1081787253,64.7517576677,81.874751197
CUYWUP_clean,CO2,293.0,1.0,14.0,CUYWUP_clean_CO2_293.0K_1.0bar_14.0/Output/System_0,4.9839122134,14.745,219.2861566964,111.70928748,105.3259571751
GIVNIK_clean,CO2,293.0,1.0,14.0,GIVNIK_clean_CO2_293.0K_1.0bar_14.0/Output/System_0,1.3953016129,7.365,61.3915966039,31.2742565112,27.1289979826
ALUKOI_clean,CO2,293.0,1.0,14.0,ALUKOI_clean_CO2_293.0K_1.0bar_14.0/Output/System_0,0.9334794842,2.06375,41.0719771285,20.9229865193,12.1340884514
c5dt02651b_c5dt02651b2_clean,CO2,293.0,1.0,14.0,c5dt02651b_c5dt02651b2_clean_CO2_293.0K_1.0bar_14.0/Output/System_0,0.4227745653,0.997,18.6015735422,9.4760588526,15.4707451688
VOXTOT_clean,CO2,293.0,1.0,14.0,VOXTOT_clean_CO2_293.0K_1.0bar_14.0/Output/System_0,4.1890335271,79.65,184.3124483536,93.892895883,81.1934306183
COQTEJ_clean,CO2,293.0,1.0,14.0,COQTEJ_clean_CO2_293.0K_1.0bar_14.0/Output/System_0,3.6025336722,9.2083333333,158.5071585355,80.7471023581,56.3457838987
IJENIV_clean,CO2,293.0,1.0,14.0,IJENIV_clean_CO2_293.0K_1.0bar_14.0/Output/System_0,0.8474901343,5.3425,37.2885489218,18.9956233169,37.9212563757
ja076167asi20070815_063752_clean,CO2,293.0,1.0,14.0,ja076167asi20070815_063752_clean_CO2_293.0K_1.0bar_14.0/Output/System_0,2.040655184,12.8775,89.7863793102,45.7391958036,38.7902933649
EZIVAM_clean,CO2,293.0,1.0,14.0,EZIVAM_clean_CO2_293.0K_1.0bar_14.0/Output/System_0,1.1309774272,4.95,49.7616496259,25.3497006254,34.6790065107
LAZXIV_clean,CO2,293.0,1.0,14.0,LAZXIV_clean_CO2_293.0K_1.0bar_14.0/Output/System_0,1.6409832442,7.485,72.2012935628,36.7809586366,31.3951826697
BOHXIH_clean,CO2,293.0,1.0,14.0,BOHXIH_clean_CO2_293.0K_1.0bar_14.0/Output/System_0,1.6331858382,9.77125,71.8582170579,36.6061877688,63.6915661018
ENIHUG01_clean,CO2,293.0,1.0,14.0,ENIHUG01_clean_CO2_293.0K_1.0bar_14.0/Output/System_0,1.4445667198,7.885,63.5592021892,32.3784834224,18.9423204325
ARUYES_clean,CO2,293.0,1.0,14.0,ARUYES_clean_CO2_293.0K_1.0bar_14.0/Output/System_0,3.1367106032,7.02875,138.0115024877,70.3061553871,103.9517850893
SUGSEU_clean,CO2,293.0,1.0,14.0,SUGSEU_clean_CO2_293.0K_1.0bar_14.0/Output/System_0,1.1486990318,20.48,50.5413789592,25.7469122395,21.3145019168
EWECOY_clean,CO2,293.0,1.0,14.0,EWECOY_clean_CO2_293.0K_1.0bar_14.0/Output/System_0,1.9053711959,6.29125,83.8340461759,42.706943776,57.8120636142
FUWXOL_SL,CO2,293.0,1.0,14.0,FUWXOL_SL_CO2_293.0K_1.0bar_14.0/Output/System_0,3.4947350072,3.74,153.7641466344,78.3309056955,117.3255602394
AVIMIC_clean,CO2,293.0,1.0,14.0,AVIMIC_clean_CO2_293.0K_1.0bar_14.0/Output/System_0,0.8376582573,2.2425,36.8559581328,18.7752518646,28.5148305305
MUFZIY_clean,CO2,293.0,1.0,14.0,MUFZIY_clean_CO2_293.0K_1.0bar_14.0/Output/System_0,3.837447018,10.67,168.8430638576,86.0124443951,111.6001060515
ic5029383_si_002_clean,CO2,293.0,1.0,14.0,ic5029383_si_002_clean_CO2_293.0K_1.0bar_14.0/Output/System_0,1.7009877764,14.115,74.8414209742,38.1258987661,23.4600797375
ASUKEE01_clean,CO2,293.0,1.0,14.0,ASUKEE01_clean_CO2_293.0K_1.0bar_14.0/Output/System_0,1.7150527233,16.345,75.4602617607,38.4411501453,45.6993955978
FALPOY_clean,CO2,293.0,1.0,14.0,FALPOY_clean_CO2_293.0K_1.0bar_14.0/Output/System_0,4.1918080849,14.3941666667,184.4345255651,93.9550847531,178.4352093747
COTVUE_clean,CO2,293.0,1.0,14.0,COTVUE_clean_CO2_293.0K_1.0bar_14.0/Output/System_0,2.4025520624,8.48,105.7094076813,53.8507436581,71.3763389002
BETFEN_clean,CO2,293.0,1.0,14.0,BETFEN_clean_CO2_293.0K_1.0bar_14.0/Output/System_0,3.0362485885,5.4791666667,133.5912943939,68.0544022254,73.4041123327
IFENOY03_SL,CO2,293.0,1.0,14.0,IFENOY03_SL_CO2_293.0K_1.0bar_14.0/Output/System_0,0.3071110039,0.9083333333,13.5125156387,6.8835785934,9.0778016166
OJUNIS_clean,CO2,293.0,1.0,14.0,OJUNIS_clean_CO2_293.0K_1.0bar_14.0/Output/System_0,4.5204841281,17.5116666667,198.8958770567,101.3220216152,232.4770264109
ic402058f_si_002_clean,CO2,293.0,1.0,14.0,ic402058f_si_002_clean_CO2_293.0K_1.0bar_14.0/Output/System_0,2.3302548678,6.0775,102.5284178758,52.2302760918,71.8119375129
FAHQIQ_clean,CO2,293.0,1.0,14.0,FAHQIQ_clean_CO2_293.0K_1.0bar_14.0/Output/System_0,3.539795331,67.425,155.7467468093,79.3408867003,67.6911495346
FIFNUE_clean,CO2,293.0,1.0,14.0,FIFNUE_clean_CO2_293.0K_1.0bar_14.0/Output/System_0,1.7373459607,0.9038888889,76.4411374543,38.9408302276,39.7287472735
LUDVAH_clean,CO2,293.0,1.0,14.0,LUDVAH_clean_CO2_293.0K_1.0bar_14.0/Output/System_0,1.4351607801,10.17625,63.1453521316,32.1676589191,60.2073798357
FIRNAX01_clean,CO2,293.0,1.0,14.0,FIRNAX01_clean_CO2_293.0K_1.0bar_14.0/Output/System_0,2.164856015,3.7091666667,95.2510668337,48.5230302177,34.8591831031
CODMUF_clean,CO2,293.0,1.0,14.0,CODMUF_clean_CO2_293.0K_1.0bar_14.0/Output/System_0,2.3091825561,4.7675,101.6012614512,51.7579618101,90.5333859897
AFOVIB_clean,CO2,293.0,1.0,14.0,AFOVIB_clean_CO2_293.0K_1.0bar_14.0/Output/System_0,2.3535495876,2.43625,103.5533575954,52.7524033775,57.7533662186
PUWCIT_clean,CO2,293.0,1.0,14.0,PUWCIT_clean_CO2_293.0K_1.0bar_14.0/Output/System_0,1.5089137784,4.97,66.3903955512,33.8207568333,26.4868883273
FEWXIQ_clean,CO2,293.0,1.0,14.0,FEWXIQ_clean_CO2_293.0K_1.0bar_14.0/Output/System_0,1.663343714,27.01,73.185127402,37.2821456647,18.0033061149
ja500330a_si_009_auto,CO2,293.0,1.0,14.0,ja500330a_si_009_auto_CO2_293.0K_1.0bar_14.0/Output/System_0,0.3829233716,2.7575,16.8481688408,8.5828351634,8.8106884895
IDIXAU_clean,CO2,293.0,1.0,14.0,IDIXAU_clean_CO2_293.0K_1.0bar_14.0/Output/System_0,2.0972865663,5.525,92.278092172,47.0085302321,45.4066145558
UKOZOL_clean,CO2,293.0,1.0,14.0,UKOZOL_clean_CO2_293.0K_1.0bar_14.0/Output/System_0,2.4005811181,6.86375,105.6226884987,53.806566961,47.1072578938
HUVHOX_clean,CO2,293.0,1.0,14.0,HUVHOX_clean_CO2_293.0K_1.0bar_14.0/Output/System_0,2.9107241931,6.46125,128.0683716293,65.2409014731,96.9091945941
CODNAM_clean,CO2,293.0,1.0,14.0,CODNAM_clean_CO2_293.0K_1.0bar_14.0/Output/System_0,3.4298686892,7.08125,150.9101064817,76.8769936168,125.7245039446
GEKVEZ_clean,CO2,293.0,1.0,14.0,GEKVEZ_clean_CO2_293.0K_1.0bar_14.0/Output/System_0,0.2699634789,0.3466666667,11.8780691133,6.0509548677,10.6488269909
GOBSUM_clean,CO2,293.0,1.0,14.0,GOBSUM_clean_CO2_293.0K_1.0bar_14.0/Output/System_0,2.7725568825,8.665,121.9891757631,62.1440227239,68.4130681843
CODRUJ_clean,CO2,293.0,1.0,14.0,CODRUJ_clean_CO2_293.0K_1.0bar_14.0/Output/System_0,1.2480615891,1.5091666667,54.9132122445,27.9740221886,53.798845517
AGUVOO_charged,CO2,293.0,1.0,14.0,AGUVOO_charged_CO2_293.0K_1.0bar_14.0/Output/System_0,1.5672328637,11.06,68.9563653239,35.1279193981,40.9076592466
GUWDUY_clean,CO2,293.0,1.0,14.0,GUWDUY_clean_CO2_293.0K_1.0bar_14.0/Output/System_0,2.8384041179,3.6088888889,124.8863751032,63.6199210608,62.2332740502
ZOQSUV_clean,CO2,293.0,1.0,14.0,ZOQSUV_clean_CO2_293.0K_1.0bar_14.0/Output/System_0,1.7111663709,33.875,75.2892669181,38.3540415365,76.7100515853
GESFAN_clean,CO2,293.0,1.0,14.0,GESFAN_clean_CO2_293.0K_1.0bar_14.0/Output/System_0,0.4550309776,0.55625,20.0208169757,10.1990532955,10.7703674811
OJOSIR_clean,CO2,293.0,1.0,14.0,OJOSIR_clean_CO2_293.0K_1.0bar_14.0/Output/System_0,7.3944179132,26.885,325.3455148801,165.7383037744,195.4583898626
IHIMAP01_clean,CO2,293.0,1.0,14.0,IHIMAP01_clean_CO2_293.0K_1.0bar_14.0/Output/System_0,0.6584982086,0.8191666667,28.9731309805,14.7595628774,28.1564410801
GEZZAO_clean,CO2,293.0,1.0,14.0,GEZZAO_clean_CO2_293.0K_1.0bar_14.0/Output/System_0,2.5914791338,11.7044444444,114.0219721102,58.0853504543,101.4572473006
GAJZAU_clean,CO2,293.0,1.0,14.0,GAJZAU_clean_CO2_293.0K_1.0bar_14.0/Output/System_0,0.6871207691,0.9923333333,30.2324892937,15.4011082534,23.3516644045
