---- START at 2025-09-08 15:20:44, Target=369/369 ----
[3/369] RONZOJ_clean_DDEC_CO2_298.0K_5.0bar_12.5 Done. TimeForThis=667.1s, Completed=1/369, ETA=2025-09-11 11:43:20
[8/369] TIQGIK_clean_DDEC_CO2_298.0K_5.0bar_12.5 Done. TimeForThis=1081.9s, Completed=2/369, ETA=2025-09-10 22:47:30
[20/369] YARYUL_clean_DDEC_CO2_298.0K_5.0bar_12.5 Done. TimeForThis=1221.4s, Completed=3/369, ETA=2025-09-10 09:04:40
[17/369] EDAVOV_clean_DDEC_CO2_298.0K_5.0bar_12.5 Done. TimeForThis=1259.7s, Completed=4/369, ETA=2025-09-09 23:37:32
[13/369] QUGBUQ_clean_DDEC_CO2_298.0K_5.0bar_12.5 Done. TimeForThis=1538.5s, Completed=5/369, ETA=2025-09-09 22:53:09
[28/369] SOPPOD_clean_DDEC_CO2_298.0K_5.0bar_12.5 Done. TimeForThis=2343.9s, Completed=6/369, ETA=2025-09-10 07:23:14
[9/369] WOHBIF_clean_DDEC_CO2_298.0K_5.0bar_12.5 Done. TimeForThis=3390.8s, Completed=7/369, ETA=2025-09-10 16:59:49
[18/369] ATIRUS_clean_DDEC_CO2_298.0K_5.0bar_12.5 Done. TimeForThis=3527.9s, Completed=8/369, ETA=2025-09-10 12:32:50
[1/369] REYCEF_clean_DDEC_CO2_298.0K_5.0bar_12.5 Done. TimeForThis=3696.4s, Completed=9/369, ETA=2025-09-10 09:26:37
[11/369] LORMOW_clean_DDEC_CO2_298.0K_5.0bar_12.5 Done. TimeForThis=3784.7s, Completed=10/369, ETA=2025-09-10 06:08:19
