filename,Ar_273K,Ar_293K,Ar_313K,rel_273K,rel_293K,rel_313K
acs.cgd.5b01554_VAGNUP1452791_clean,0.182295049,0.041510599,0.095646467,1.9059255894940688,0.4340003379319803,1.0
CAXSUR_SL,0.470378168,0.229830389,0.246719106,1.9065332054178243,0.9315467809777164,1.0
TEPJAB_clean,3.157813243,1.557015301,1.558926653,2.0256329808224787,0.9987739307706864,1.0
TILPUA_clean,1.972594883,0.920860844,1.200905251,1.642589939012599,0.7668055770704595,1.0
BEFLUV_clean,3.327169805,0.385860207,1.942792077,1.7125712238531021,0.1986111697530873,1.0
BEFMAC_clean,4.013167114,0.43630446,2.154246628,1.862909781005817,0.20253227013522798,1.0
BICPOT_clean,3.009625073,0.30467224,1.380788227,2.1796427679130264,0.22065095431900722,1.0
BIWSEG_ion_b,0.398968402,1.956182426,0.227084852,1.7569133233070078,8.614323715436553,1.0
BOHJOZ_auto,0.042870262,0.242853601,0.027013902,1.5869703680719653,8.989948989968203,1.0
BUSQIQ_clean,2.732204771,0.709693006,1.56119819,1.750069138243108,0.4545822628708018,1.0
CAXTAY_clean,0.307422505,0.158058908,0.181512486,1.6936713929420812,0.8707880734992522,1.0
CAXTEC_clean,0.473672282,0.187772334,0.25080653,1.888596289737751,0.7486740237584723,1.0
cg5010616_si_003_clean,1.238794655,0.37265073,0.519522691,2.384486137873042,0.7172944251630387,1.0
cg5010616_si_007_clean,1.167868224,0.35259397,0.492934553,2.369215582256008,0.7152957078259433,1.0
cm503311x_alf100K_clean,0.722716317,0.288794573,0.354302281,2.0398297040599638,0.815107857010946,1.0
cm503311x_alf11K_clean,0.711115925,0.285654358,0.350100501,2.031176542075271,0.8159210203472402,1.0
cm503311x_alf125K_clean,0.712298813,0.287233565,0.353103217,2.017253819015758,0.8134549649260205,1.0
cm503311x_alf150K_clean,0.719760107,0.281586032,0.353010204,2.0389215349707004,0.7976710837514487,1.0
cm503311x_alf175K_clean,0.735740218,0.284271289,0.352429881,2.087621560102618,0.8066038219954453,1.0
cm503311x_alf200K_clean,0.714379483,0.289006886,0.358554612,1.9923868194449552,0.8060331015906721,1.0
cm503311x_alf225K_clean,0.726509647,0.283165238,0.353060754,2.057746829034416,0.8020297775719359,1.0
cm503311x_alf250K_clean,0.729918791,0.285106388,0.355964391,2.0505387883025636,0.8009407547734178,1.0
cm503311x_alf275K_clean,0.728466973,0.289611473,0.362810988,2.0078415403449688,0.7982433900265447,1.0
cm503311x_alf290K_clean,0.731918579,0.295119486,0.361088217,2.026979958196753,0.8173057776626369,1.0
cm503311x_alf300K_clean,0.736189109,0.284416875,0.360564511,2.0417680790553456,0.7888099530682875,1.0
cm503311x_alf325K_clean,0.730537532,0.283452366,0.348757873,2.094683987248655,0.8127482931403244,1.0
cm503311x_alf350K_clean,0.716607761,0.278429641,0.347455685,2.0624436206879158,0.8013385678234046,1.0
cm503311x_alf375K_clean,0.699384102,0.274923439,0.336469991,2.078592803837891,0.8170816011939679,1.0
cm503311x_alf400K_clean,0.706447056,0.278526699,0.351002327,2.012656332047622,0.7935180982432631,1.0
cm503311x_alf40K_clean,0.706246875,0.286758387,0.345362883,2.044941450758042,0.8303103810955852,1.0
cm503311x_alf425K_clean,0.718247628,0.277180026,0.345372993,2.0796288145205377,0.8025526940955687,1.0
cm503311x_alf475K_clean,0.724728237,0.281705331,0.355978545,2.035876170570898,0.7913548020148238,1.0
cm503311x_alf500K_clean,0.701909618,0.276573416,0.342629097,2.048598978153919,0.8072093655256606,1.0
cm503311x_alf70K_clean,0.711908561,0.292533308,0.350933578,2.0286134061528873,0.8335859727848555,1.0
cm503311x_aloh150K_clean,0.744574771,0.300596307,0.36848933,2.0206141952604164,0.8157530829997167,1.0
cm503311x_aloh175K_clean,0.743388776,0.300897936,0.367399775,2.0233784193253794,0.8189932506082781,1.0
cm503311x_aloh200K_clean,0.742215093,0.299307718,0.366316375,2.026158653158762,0.8170743609263986,1.0
cm503311x_aloh225K_clean,0.759350458,0.299484181,0.368048173,2.0631822508734476,0.8137091907259651,1.0
cm503311x_aloh250K_clean,0.744603497,0.301858222,0.370229336,2.011195290586049,0.8153276703064934,1.0
cm503311x_aloh275K_clean,0.750094365,0.30348127,0.365415594,2.052715804460168,0.8305099042926997,1.0
cm503311x_aloh300K_clean,0.732019233,0.297854977,0.367816309,1.990176115328263,0.8097927408651149,1.0
cm503311x_aloh325K_clean,0.74506107,0.299363119,0.361436972,2.0613858783655368,0.8282581534021926,1.0
cm503311x_aloh350K_clean,0.747909098,0.300725577,0.365936775,2.0438205424967197,0.8217965439521623,1.0
cm503311x_aloh375K_clean,0.745842841,0.299882248,0.366427177,2.035446298242229,0.8183952141737566,1.0
cm503311x_aloh400K_clean,0.760099399,0.299441091,0.364925191,2.082891008201185,0.8205547284347383,1.0
cm503311x_aloh425K_clean,0.747453578,0.301361664,0.369476291,2.0230082313996163,0.8156454726346702,1.0
cm503311x_aloh450K_clean,0.751343968,0.302406078,0.365998331,2.052861732858558,0.8262498825438633,1.0
cm503311x_aloh475K_clean,0.757887457,0.303813677,0.367434657,2.0626455413540374,0.8268509004582004,1.0
cm503311x_aloh500K_clean,0.756192593,0.304029126,0.365690547,2.067848346651411,0.8313836069708413,1.0
cm503311x_F-mil-53-Al-lp-mono_clean,0.916733834,0.380482296,0.436073784,2.102244775164012,0.8725181608257376,1.0
cm503311x_F-mil-53-Al-lp-ortho_clean,0.908962886,0.374407007,0.437908269,2.0756924459903265,0.8549895800209244,1.0
cm503311x_OH-mil-53-Al-lp-ortho_clean,0.864112242,0.376492548,0.41773787,2.0685513669134186,0.9012650636630095,1.0
cm901983a_si_001_clean,1.144908127,0.547257118,0.64479374,1.775619172419385,0.8487320580996955,1.0
COQNIF_clean,1.816960759,0.315901553,0.725603218,2.5040693231875935,0.4353640463044363,1.0
DONNAW01_SL,0.816592692,0.272799582,0.386472669,2.1129377508451963,0.7058703082571668,1.0
DOYBEA_clean,1.219685242,0.362759912,0.57338332,2.12717252047025,0.6326656171302646,1.0
EGELUY01_manual,0.943726155,0.400788946,0.45680251,2.06593907507207,0.8773790362929486,1.0
EGELUY_SL,0.939845887,0.406092781,0.454532012,2.067722101386338,0.8934305401574224,1.0
EHALOP_manual,0.954532042,0.404527058,0.454592079,2.0997551125390372,0.8898682504320539,1.0
ERIRIG_auto,0.19079601,0.297859266,0.139150095,1.3711525673051101,2.1405609963830785,1.0
FECCIZ_clean,4.085853074,0.542521232,2.413755927,1.6927366302019649,0.22476225782873036,1.0
FIJYED_clean,2.738688791,0.521299576,1.795781003,1.525068361022193,0.29029128559057377,1.0
FIJZEE_clean,1.372473914,0.178857077,0.614724317,2.2326657268057937,0.29095494037532926,1.0
GOMREG_clean,1.75155094,0.389446092,0.935350251,1.8726150317780799,0.4163639145695809,1.0
HIHGEM_manual,0.492992851,0.511979736,0.240765639,2.0476046874778504,2.126465130682539,1.0
ic5b00096_auto,0.220132057,0.277236077,0.133923462,1.6437154006666883,2.0701083503949445,1.0
ic7025158-file001_clean,0.190810008,0.042714625,0.097932546,1.948381981205717,0.43616373457706287,1.0
IJUTEM_clean,2.908294448,0.365254669,1.433904705,2.0282341203420486,0.2547272965395563,1.0
IXECET_clean,2.404707561,0.337883603,1.02470473,2.346732176204554,0.3297375264384697,1.0
IZISEQ_clean,0.923497802,0.185040825,0.345151707,2.675628667830984,0.5361144715416402,1.0
ja406030p_si_002_manual,0.587355148,0.723271273,0.302494128,1.9417076023373254,2.391025828441867,1.0
ja406030p_si_007_manual,0.671836563,0.816635121,0.328605833,2.0445058959132965,2.4851510198238023,1.0
ja500330a_si_006_auto,0.205757313,0.24924678,0.126873249,1.621754898071539,1.96453375289538,1.0
ja500330a_si_007_auto,0.084881546,0.272785071,0.058755811,1.4446493811480197,4.642690933157232,1.0
