name,gas,temp,pressure,cutoff,path,henry_coeff
jp102463p_si_004_clean,argon,273.0,5.0,14.0,jp102463p_si_004_clean_argon_273.0K_5.0bar_14.0/Output/System_0,6.00924e-06
FUDHET_clean,argon,273.0,5.0,14.0,FUDHET_clean_argon_273.0K_5.0bar_14.0/Output/System_0,7.01259e-06
FEZTIP_clean,argon,273.0,5.0,14.0,FEZTIP_clean_argon_273.0K_5.0bar_14.0/Output/System_0,7.48849e-06
ICIKAH_clean,argon,273.0,5.0,14.0,ICIKAH_clean_argon_273.0K_5.0bar_14.0/Output/System_0,1.06342e-06
APAYUN_clean,argon,273.0,5.0,14.0,APAYUN_clean_argon_273.0K_5.0bar_14.0/Output/System_0,8.63236e-06
am301365h_si_002_clean,argon,273.0,5.0,14.0,am301365h_si_002_clean_argon_273.0K_5.0bar_14.0/Output/System_0,3.19349e-06
cm503311x_alf100K_clean,argon,273.0,5.0,14.0,cm503311x_alf100K_clean_argon_273.0K_5.0bar_14.0/Output/System_0,4.15906e-06
GITVEL_clean,argon,273.0,5.0,14.0,GITVEL_clean_argon_273.0K_5.0bar_14.0/Output/System_0,3.62317e-06
MIMSUY_clean,argon,273.0,5.0,14.0,MIMSUY_clean_argon_273.0K_5.0bar_14.0/Output/System_0,7.10094e-06
XIDSUZ_clean,argon,273.0,5.0,14.0,XIDSUZ_clean_argon_273.0K_5.0bar_14.0/Output/System_0,4.71583e-06
HOGJIX_clean,argon,273.0,5.0,14.0,HOGJIX_clean_argon_273.0K_5.0bar_14.0/Output/System_0,5.55755e-06
OKAYOQ_clean,argon,273.0,5.0,14.0,OKAYOQ_clean_argon_273.0K_5.0bar_14.0/Output/System_0,1.45603e-05
HICZAW_clean,argon,273.0,5.0,14.0,HICZAW_clean_argon_273.0K_5.0bar_14.0/Output/System_0,1.11285e-05
MIZPUI_clean,argon,273.0,5.0,14.0,MIZPUI_clean_argon_273.0K_5.0bar_14.0/Output/System_0,9.35532e-06
LABJUV_clean,argon,273.0,5.0,14.0,LABJUV_clean_argon_273.0K_5.0bar_14.0/Output/System_0,1.11727e-06
ic5021302_si_002_clean,argon,273.0,5.0,14.0,ic5021302_si_002_clean_argon_273.0K_5.0bar_14.0/Output/System_0,7.27666e-06
EZOFEF_clean,argon,273.0,5.0,14.0,EZOFEF_clean_argon_273.0K_5.0bar_14.0/Output/System_0,1.58467e-05
XAKZOZ_clean,argon,273.0,5.0,14.0,XAKZOZ_clean_argon_273.0K_5.0bar_14.0/Output/System_0,6.31054e-06
ENITIF_clean,argon,273.0,5.0,14.0,ENITIF_clean_argon_273.0K_5.0bar_14.0/Output/System_0,6.15904e-06
OSAVEK_clean,argon,273.0,5.0,14.0,OSAVEK_clean_argon_273.0K_5.0bar_14.0/Output/System_0,5.99128e-06
XOMCIN_clean,argon,273.0,5.0,14.0,XOMCIN_clean_argon_273.0K_5.0bar_14.0/Output/System_0,1.17037e-05
WUDVEY_clean,argon,273.0,5.0,14.0,WUDVEY_clean_argon_273.0K_5.0bar_14.0/Output/System_0,2.06907e-06
JADBIC_clean,argon,273.0,5.0,14.0,JADBIC_clean_argon_273.0K_5.0bar_14.0/Output/System_0,5.25711e-06
KIRTUC_clean,argon,273.0,5.0,14.0,KIRTUC_clean_argon_273.0K_5.0bar_14.0/Output/System_0,2.98114e-05
RITGUY_clean,argon,273.0,5.0,14.0,RITGUY_clean_argon_273.0K_5.0bar_14.0/Output/System_0,1.48339e-06
DONNIE_clean,argon,273.0,5.0,14.0,DONNIE_clean_argon_273.0K_5.0bar_14.0/Output/System_0,9.87683e-06
SEGMEW_clean,argon,273.0,5.0,14.0,SEGMEW_clean_argon_273.0K_5.0bar_14.0/Output/System_0,9.63945e-07
BIQVII_clean,argon,273.0,5.0,14.0,BIQVII_clean_argon_273.0K_5.0bar_14.0/Output/System_0,4.25156e-06
WAMRIN_clean,argon,273.0,5.0,14.0,WAMRIN_clean_argon_273.0K_5.0bar_14.0/Output/System_0,1.08059e-05
FAGMEI_clean,argon,273.0,5.0,14.0,FAGMEI_clean_argon_273.0K_5.0bar_14.0/Output/System_0,7.62009e-06
PAKXIK_clean,argon,273.0,5.0,14.0,PAKXIK_clean_argon_273.0K_5.0bar_14.0/Output/System_0,5.61096e-06
WIYWOS_clean,argon,273.0,5.0,14.0,WIYWOS_clean_argon_273.0K_5.0bar_14.0/Output/System_0,4.39773e-06
ICISAP_clean,argon,273.0,5.0,14.0,ICISAP_clean_argon_273.0K_5.0bar_14.0/Output/System_0,6.29611e-06
XATZOK_clean,argon,273.0,5.0,14.0,XATZOK_clean_argon_273.0K_5.0bar_14.0/Output/System_0,7.74555e-06
KULLAG_clean,argon,273.0,5.0,14.0,KULLAG_clean_argon_273.0K_5.0bar_14.0/Output/System_0,4.14041e-06
HAJYEZ_clean,argon,273.0,5.0,14.0,HAJYEZ_clean_argon_273.0K_5.0bar_14.0/Output/System_0,1.45368e-05
YINXIE_clean,argon,273.0,5.0,14.0,YINXIE_clean_argon_273.0K_5.0bar_14.0/Output/System_0,4.40448e-06
EKOPOK_clean,argon,273.0,5.0,14.0,EKOPOK_clean_argon_273.0K_5.0bar_14.0/Output/System_0,8.53255e-06
FUDGES_clean,argon,273.0,5.0,14.0,FUDGES_clean_argon_273.0K_5.0bar_14.0/Output/System_0,5.59819e-06
VUGXUS_clean,argon,273.0,5.0,14.0,VUGXUS_clean_argon_273.0K_5.0bar_14.0/Output/System_0,9.22125e-06
HEGPAL_clean,argon,273.0,5.0,14.0,HEGPAL_clean_argon_273.0K_5.0bar_14.0/Output/System_0,3.04724e-06
HIWLOQ_clean,argon,273.0,5.0,14.0,HIWLOQ_clean_argon_273.0K_5.0bar_14.0/Output/System_0,7.0758e-06
JOHQUT_clean,argon,273.0,5.0,14.0,JOHQUT_clean_argon_273.0K_5.0bar_14.0/Output/System_0,4.88973e-06
VEBHUG_SL,argon,273.0,5.0,14.0,VEBHUG_SL_argon_273.0K_5.0bar_14.0/Output/System_0,3.74616e-06
DITJOH_clean,argon,273.0,5.0,14.0,DITJOH_clean_argon_273.0K_5.0bar_14.0/Output/System_0,3.44518e-06
IXECET_clean,argon,273.0,5.0,14.0,IXECET_clean_argon_273.0K_5.0bar_14.0/Output/System_0,5.59034e-06
DITYEM_clean,argon,273.0,5.0,14.0,DITYEM_clean_argon_273.0K_5.0bar_14.0/Output/System_0,1.48526e-06
EZOBUR_clean,argon,273.0,5.0,14.0,EZOBUR_clean_argon_273.0K_5.0bar_14.0/Output/System_0,4.32862e-06
TAJXIO04_clean,argon,273.0,5.0,14.0,TAJXIO04_clean_argon_273.0K_5.0bar_14.0/Output/System_0,1.4711e-07
ZARTAP03_clean,argon,273.0,5.0,14.0,ZARTAP03_clean_argon_273.0K_5.0bar_14.0/Output/System_0,3.30243e-06
CEXHET_clean,argon,273.0,5.0,14.0,CEXHET_clean_argon_273.0K_5.0bar_14.0/Output/System_0,6.60929e-06
TIDKAS_clean,argon,273.0,5.0,14.0,TIDKAS_clean_argon_273.0K_5.0bar_14.0/Output/System_0,5.90502e-06
QIXNES_clean,argon,273.0,5.0,14.0,QIXNES_clean_argon_273.0K_5.0bar_14.0/Output/System_0,7.19023e-06
EKOPUQ_clean,argon,273.0,5.0,14.0,EKOPUQ_clean_argon_273.0K_5.0bar_14.0/Output/System_0,4.33589e-06
SANHIB_clean,argon,273.0,5.0,14.0,SANHIB_clean_argon_273.0K_5.0bar_14.0/Output/System_0,1.13042e-05
PYDCUT_clean,argon,273.0,5.0,14.0,PYDCUT_clean_argon_273.0K_5.0bar_14.0/Output/System_0,6.13386e-06
MAKFIQ_clean,argon,273.0,5.0,14.0,MAKFIQ_clean_argon_273.0K_5.0bar_14.0/Output/System_0,4.08519e-06
DONKOI_clean,argon,273.0,5.0,14.0,DONKOI_clean_argon_273.0K_5.0bar_14.0/Output/System_0,5.57587e-06
REHHUJ_clean,argon,273.0,5.0,14.0,REHHUJ_clean_argon_273.0K_5.0bar_14.0/Output/System_0,7.99712e-06
BEXQIF_clean,argon,273.0,5.0,14.0,BEXQIF_clean_argon_273.0K_5.0bar_14.0/Output/System_0,3.24087e-06
TILBOH_clean,argon,273.0,5.0,14.0,TILBOH_clean_argon_273.0K_5.0bar_14.0/Output/System_0,2.62426e-06
ZEVXAB_clean,argon,273.0,5.0,14.0,ZEVXAB_clean_argon_273.0K_5.0bar_14.0/Output/System_0,5.15259e-06
KOVGOT_clean,argon,273.0,5.0,14.0,KOVGOT_clean_argon_273.0K_5.0bar_14.0/Output/System_0,1.38019e-06
OFODET_clean,argon,273.0,5.0,14.0,OFODET_clean_argon_273.0K_5.0bar_14.0/Output/System_0,6.21782e-06
LIVTIT_clean,argon,273.0,5.0,14.0,LIVTIT_clean_argon_273.0K_5.0bar_14.0/Output/System_0,6.72971e-06
UCOJAZ_clean,argon,273.0,5.0,14.0,UCOJAZ_clean_argon_273.0K_5.0bar_14.0/Output/System_0,3.72848e-06
RIPKIM_clean,argon,273.0,5.0,14.0,RIPKIM_clean_argon_273.0K_5.0bar_14.0/Output/System_0,1.95652e-06
LAFRIV_manual,argon,273.0,5.0,14.0,LAFRIV_manual_argon_273.0K_5.0bar_14.0/Output/System_0,9.45944e-06
XUGROI_clean,argon,273.0,5.0,14.0,XUGROI_clean_argon_273.0K_5.0bar_14.0/Output/System_0,7.20966e-06
KALGEL_clean,argon,273.0,5.0,14.0,KALGEL_clean_argon_273.0K_5.0bar_14.0/Output/System_0,9.49011e-06
BIWSEG_ion_b,argon,273.0,5.0,14.0,BIWSEG_ion_b_argon_273.0K_5.0bar_14.0/Output/System_0,2.13166e-05
TIRHIL_clean,argon,273.0,5.0,14.0,TIRHIL_clean_argon_273.0K_5.0bar_14.0/Output/System_0,1.67981e-06
CUXJAI_clean,argon,273.0,5.0,14.0,CUXJAI_clean_argon_273.0K_5.0bar_14.0/Output/System_0,3.88012e-06
OREZES_clean,argon,273.0,5.0,14.0,OREZES_clean_argon_273.0K_5.0bar_14.0/Output/System_0,7.20195e-07
TUJGAI_clean,argon,273.0,5.0,14.0,TUJGAI_clean_argon_273.0K_5.0bar_14.0/Output/System_0,6.3465e-05
jacs.6b08724_ja6b08724_si_013_clean,argon,273.0,5.0,14.0,jacs.6b08724_ja6b08724_si_013_clean_argon_273.0K_5.0bar_14.0/Output/System_0,4.44953e-06
GAJZEY_clean,argon,273.0,5.0,14.0,GAJZEY_clean_argon_273.0K_5.0bar_14.0/Output/System_0,2.0564e-06
DEBWAK_clean,argon,273.0,5.0,14.0,DEBWAK_clean_argon_273.0K_5.0bar_14.0/Output/System_0,3.07647e-06
XUFWIF_clean,argon,273.0,5.0,14.0,XUFWIF_clean_argon_273.0K_5.0bar_14.0/Output/System_0,1.54722e-05
COWDEZ_clean,argon,273.0,5.0,14.0,COWDEZ_clean_argon_273.0K_5.0bar_14.0/Output/System_0,3.98806e-06
GAHXUL_clean,argon,273.0,5.0,14.0,GAHXUL_clean_argon_273.0K_5.0bar_14.0/Output/System_0,5.56429e-06
IBABUL_clean,argon,273.0,5.0,14.0,IBABUL_clean_argon_273.0K_5.0bar_14.0/Output/System_0,8.52655e-06
VUHMOC_clean,argon,273.0,5.0,14.0,VUHMOC_clean_argon_273.0K_5.0bar_14.0/Output/System_0,4.23091e-06
VUGWUR_clean,argon,273.0,5.0,14.0,VUGWUR_clean_argon_273.0K_5.0bar_14.0/Output/System_0,9.95702e-06
TAJXIO01_clean,argon,273.0,5.0,14.0,TAJXIO01_clean_argon_273.0K_5.0bar_14.0/Output/System_0,2.17404e-07
XICNOO02_clean,argon,273.0,5.0,14.0,XICNOO02_clean_argon_273.0K_5.0bar_14.0/Output/System_0,2.65868e-06
UMODEH_clean,argon,273.0,5.0,14.0,UMODEH_clean_argon_273.0K_5.0bar_14.0/Output/System_0,5.3242e-06
XITYOP_clean,argon,273.0,5.0,14.0,XITYOP_clean_argon_273.0K_5.0bar_14.0/Output/System_0,9.47546e-06
XOFPEP_clean,argon,273.0,5.0,14.0,XOFPEP_clean_argon_273.0K_5.0bar_14.0/Output/System_0,2.55943e-06
HIFTOG01_clean,argon,273.0,5.0,14.0,HIFTOG01_clean_argon_273.0K_5.0bar_14.0/Output/System_0,3.18074e-06
OZUKUR01_clean,argon,273.0,5.0,14.0,OZUKUR01_clean_argon_273.0K_5.0bar_14.0/Output/System_0,2.86886e-06
KEYMUY_clean,argon,273.0,5.0,14.0,KEYMUY_clean_argon_273.0K_5.0bar_14.0/Output/System_0,7.45316e-06
GUVKUE_clean,argon,273.0,5.0,14.0,GUVKUE_clean_argon_273.0K_5.0bar_14.0/Output/System_0,3.75221e-06
RIFGAQ_clean,argon,273.0,5.0,14.0,RIFGAQ_clean_argon_273.0K_5.0bar_14.0/Output/System_0,7.68768e-06
FIPWOS_clean,argon,273.0,5.0,14.0,FIPWOS_clean_argon_273.0K_5.0bar_14.0/Output/System_0,1.54226e-05
acs.inorgchem.6b00136_ic6b00136_si_002_clean,argon,273.0,5.0,14.0,acs.inorgchem.6b00136_ic6b00136_si_002_clean_argon_273.0K_5.0bar_14.0/Output/System_0,1.74688e-05
XAPSIS_clean,argon,273.0,5.0,14.0,XAPSIS_clean_argon_273.0K_5.0bar_14.0/Output/System_0,6.44498e-06
KINROQ_clean,argon,273.0,5.0,14.0,KINROQ_clean_argon_273.0K_5.0bar_14.0/Output/System_0,1.28466e-06
XOHTUJ_clean,argon,273.0,5.0,14.0,XOHTUJ_clean_argon_273.0K_5.0bar_14.0/Output/System_0,3.17765e-06
IYUHOA_clean,argon,273.0,5.0,14.0,IYUHOA_clean_argon_273.0K_5.0bar_14.0/Output/System_0,1.17043e-05
MADVUJ_clean,argon,273.0,5.0,14.0,MADVUJ_clean_argon_273.0K_5.0bar_14.0/Output/System_0,4.99098e-06
BUXZAX_clean,argon,273.0,5.0,14.0,BUXZAX_clean_argon_273.0K_5.0bar_14.0/Output/System_0,3.5244e-06
YIXZEM_clean,argon,273.0,5.0,14.0,YIXZEM_clean_argon_273.0K_5.0bar_14.0/Output/System_0,2.59509e-06
JIVQOU_clean,argon,273.0,5.0,14.0,JIVQOU_clean_argon_273.0K_5.0bar_14.0/Output/System_0,7.18046e-05
YIWNIB_clean,argon,273.0,5.0,14.0,YIWNIB_clean_argon_273.0K_5.0bar_14.0/Output/System_0,1.39158e-06
NOSTUM01_clean,argon,273.0,5.0,14.0,NOSTUM01_clean_argon_273.0K_5.0bar_14.0/Output/System_0,8.9338e-06
MOYZIK_clean,argon,273.0,5.0,14.0,MOYZIK_clean_argon_273.0K_5.0bar_14.0/Output/System_0,7.23505e-06
GEDRAK_clean,argon,273.0,5.0,14.0,GEDRAK_clean_argon_273.0K_5.0bar_14.0/Output/System_0,9.60576e-06
QISNAJ_clean,argon,273.0,5.0,14.0,QISNAJ_clean_argon_273.0K_5.0bar_14.0/Output/System_0,2.82982e-06
MITSAK_clean,argon,273.0,5.0,14.0,MITSAK_clean_argon_273.0K_5.0bar_14.0/Output/System_0,6.6832e-06
BIQHEQ_clean,argon,273.0,5.0,14.0,BIQHEQ_clean_argon_273.0K_5.0bar_14.0/Output/System_0,1.29705e-05
WUSXEP_clean,argon,273.0,5.0,14.0,WUSXEP_clean_argon_273.0K_5.0bar_14.0/Output/System_0,9.95801e-06
FOKYEL_clean,argon,273.0,5.0,14.0,FOKYEL_clean_argon_273.0K_5.0bar_14.0/Output/System_0,8.71254e-06
ETEJIX01_clean,argon,273.0,5.0,14.0,ETEJIX01_clean_argon_273.0K_5.0bar_14.0/Output/System_0,4.94954e-06
SUCLOT_clean,argon,273.0,5.0,14.0,SUCLOT_clean_argon_273.0K_5.0bar_14.0/Output/System_0,4.45083e-06
EHAGEB_clean,argon,273.0,5.0,14.0,EHAGEB_clean_argon_273.0K_5.0bar_14.0/Output/System_0,2.75536e-06
ESURER01_clean,argon,273.0,5.0,14.0,ESURER01_clean_argon_273.0K_5.0bar_14.0/Output/System_0,6.35665e-06
WEVRUK_clean,argon,273.0,5.0,14.0,WEVRUK_clean_argon_273.0K_5.0bar_14.0/Output/System_0,8.70878e-07
GAXQIH_clean,argon,273.0,5.0,14.0,GAXQIH_clean_argon_273.0K_5.0bar_14.0/Output/System_0,4.56236e-06
VAKNED_clean,argon,273.0,5.0,14.0,VAKNED_clean_argon_273.0K_5.0bar_14.0/Output/System_0,6.27642e-06
HAWWAF_clean,argon,273.0,5.0,14.0,HAWWAF_clean_argon_273.0K_5.0bar_14.0/Output/System_0,1.13291e-05
FEYQUW_clean,argon,273.0,5.0,14.0,FEYQUW_clean_argon_273.0K_5.0bar_14.0/Output/System_0,3.64651e-06
SOVHOA_clean,argon,273.0,5.0,14.0,SOVHOA_clean_argon_273.0K_5.0bar_14.0/Output/System_0,4.06395e-06
RUYQOT_clean,argon,273.0,5.0,14.0,RUYQOT_clean_argon_273.0K_5.0bar_14.0/Output/System_0,3.12153e-06
VASFUT_clean,argon,273.0,5.0,14.0,VASFUT_clean_argon_273.0K_5.0bar_14.0/Output/System_0,3.17714e-06
IWAYEK_clean,argon,273.0,5.0,14.0,IWAYEK_clean_argon_273.0K_5.0bar_14.0/Output/System_0,1.88281e-06
ARINUL_clean,argon,273.0,5.0,14.0,ARINUL_clean_argon_273.0K_5.0bar_14.0/Output/System_0,6.0874e-06
FAHQIR_clean,argon,273.0,5.0,14.0,FAHQIR_clean_argon_273.0K_5.0bar_14.0/Output/System_0,1.01277e-05
LOTDIJ_clean,argon,273.0,5.0,14.0,LOTDIJ_clean_argon_273.0K_5.0bar_14.0/Output/System_0,1.11177e-05
KOJZOZ_clean,argon,273.0,5.0,14.0,KOJZOZ_clean_argon_273.0K_5.0bar_14.0/Output/System_0,2.45109e-06
AWIBAL_clean,argon,273.0,5.0,14.0,AWIBAL_clean_argon_273.0K_5.0bar_14.0/Output/System_0,9.59597e-06
KEYFUR_clean,argon,273.0,5.0,14.0,KEYFUR_clean_argon_273.0K_5.0bar_14.0/Output/System_0,1.53618e-06
XAMDUM02_clean,argon,273.0,5.0,14.0,XAMDUM02_clean_argon_273.0K_5.0bar_14.0/Output/System_0,7.84213e-06
LUDVOV_clean,argon,273.0,5.0,14.0,LUDVOV_clean_argon_273.0K_5.0bar_14.0/Output/System_0,2.53383e-06
IXIPIO_clean,argon,273.0,5.0,14.0,IXIPIO_clean_argon_273.0K_5.0bar_14.0/Output/System_0,6.33495e-07
QEPZOB_clean,argon,273.0,5.0,14.0,QEPZOB_clean_argon_273.0K_5.0bar_14.0/Output/System_0,4.14098e-06
LUQGAG_clean,argon,273.0,5.0,14.0,LUQGAG_clean_argon_273.0K_5.0bar_14.0/Output/System_0,6.94956e-06
HELDOT_clean,argon,273.0,5.0,14.0,HELDOT_clean_argon_273.0K_5.0bar_14.0/Output/System_0,4.15398e-06
FALROB_clean,argon,273.0,5.0,14.0,FALROB_clean_argon_273.0K_5.0bar_14.0/Output/System_0,1.07585e-05
ZECKID_clean,argon,273.0,5.0,14.0,ZECKID_clean_argon_273.0K_5.0bar_14.0/Output/System_0,2.69463e-06
QARLON_clean,argon,273.0,5.0,14.0,QARLON_clean_argon_273.0K_5.0bar_14.0/Output/System_0,3.30989e-06
IHUTIQ_clean,argon,273.0,5.0,14.0,IHUTIQ_clean_argon_273.0K_5.0bar_14.0/Output/System_0,2.4295e-06
HUQHUY_clean,argon,273.0,5.0,14.0,HUQHUY_clean_argon_273.0K_5.0bar_14.0/Output/System_0,5.01008e-06
LEDLAJ_clean,argon,273.0,5.0,14.0,LEDLAJ_clean_argon_273.0K_5.0bar_14.0/Output/System_0,5.18685e-06
HAJMIQ_clean,argon,273.0,5.0,14.0,HAJMIQ_clean_argon_273.0K_5.0bar_14.0/Output/System_0,7.31235e-06
c5gc02393a_c5gc02393a2_clean,argon,273.0,5.0,14.0,c5gc02393a_c5gc02393a2_clean_argon_273.0K_5.0bar_14.0/Output/System_0,6.27294e-06
WEHJOK_clean,argon,273.0,5.0,14.0,WEHJOK_clean_argon_273.0K_5.0bar_14.0/Output/System_0,4.95739e-06
RUYTIQ_clean,argon,273.0,5.0,14.0,RUYTIQ_clean_argon_273.0K_5.0bar_14.0/Output/System_0,3.0216e-06
LABRUE_clean,argon,273.0,5.0,14.0,LABRUE_clean_argon_273.0K_5.0bar_14.0/Output/System_0,5.96462e-06
LUDVIP_clean,argon,273.0,5.0,14.0,LUDVIP_clean_argon_273.0K_5.0bar_14.0/Output/System_0,3.13293e-06
DUQRUD_clean,argon,273.0,5.0,14.0,DUQRUD_clean_argon_273.0K_5.0bar_14.0/Output/System_0,2.95566e-06
HURGUX_clean,argon,273.0,5.0,14.0,HURGUX_clean_argon_273.0K_5.0bar_14.0/Output/System_0,1.0723e-05
MINVUA_SL,argon,273.0,5.0,14.0,MINVUA_SL_argon_273.0K_5.0bar_14.0/Output/System_0,5.43548e-06
NUYQUU_clean,argon,273.0,5.0,14.0,NUYQUU_clean_argon_273.0K_5.0bar_14.0/Output/System_0,9.46271e-06
GURPIT_clean,argon,273.0,5.0,14.0,GURPIT_clean_argon_273.0K_5.0bar_14.0/Output/System_0,1.97145e-06
DOMFUI_clean,argon,273.0,5.0,14.0,DOMFUI_clean_argon_273.0K_5.0bar_14.0/Output/System_0,7.70997e-06
QIYDOT_clean,argon,273.0,5.0,14.0,QIYDOT_clean_argon_273.0K_5.0bar_14.0/Output/System_0,4.3816e-06
RUPTED_clean,argon,273.0,5.0,14.0,RUPTED_clean_argon_273.0K_5.0bar_14.0/Output/System_0,1.584e-06
GUXSEY_clean,argon,273.0,5.0,14.0,GUXSEY_clean_argon_273.0K_5.0bar_14.0/Output/System_0,1.40811e-05
WAVQIV_ion_b,argon,273.0,5.0,14.0,WAVQIV_ion_b_argon_273.0K_5.0bar_14.0/Output/System_0,2.24154e-06
WUTCET_clean,argon,273.0,5.0,14.0,WUTCET_clean_argon_273.0K_5.0bar_14.0/Output/System_0,9.92325e-06
SUHBAA_clean,argon,273.0,5.0,14.0,SUHBAA_clean_argon_273.0K_5.0bar_14.0/Output/System_0,2.92538e-06
XIGHEB_clean,argon,273.0,5.0,14.0,XIGHEB_clean_argon_273.0K_5.0bar_14.0/Output/System_0,2.18637e-06
LAQZOV_clean,argon,273.0,5.0,14.0,LAQZOV_clean_argon_273.0K_5.0bar_14.0/Output/System_0,4.79745e-06
DEKPUF_clean,argon,273.0,5.0,14.0,DEKPUF_clean_argon_273.0K_5.0bar_14.0/Output/System_0,4.93361e-06
KAGWEW_clean,argon,273.0,5.0,14.0,KAGWEW_clean_argon_273.0K_5.0bar_14.0/Output/System_0,1.14339e-06
QUNVIG_clean,argon,273.0,5.0,14.0,QUNVIG_clean_argon_273.0K_5.0bar_14.0/Output/System_0,3.13607e-06
ROYJUM_clean,argon,273.0,5.0,14.0,ROYJUM_clean_argon_273.0K_5.0bar_14.0/Output/System_0,1.24252e-05
GONSUZ_clean,argon,273.0,5.0,14.0,GONSUZ_clean_argon_273.0K_5.0bar_14.0/Output/System_0,6.27598e-06
LADQOZ_clean,argon,273.0,5.0,14.0,LADQOZ_clean_argon_273.0K_5.0bar_14.0/Output/System_0,6.43449e-06
OPAMOI_clean,argon,273.0,5.0,14.0,OPAMOI_clean_argon_273.0K_5.0bar_14.0/Output/System_0,5.26813e-06
WUZDOL_clean,argon,273.0,5.0,14.0,WUZDOL_clean_argon_273.0K_5.0bar_14.0/Output/System_0,1.55366e-06
QAWDID_clean,argon,273.0,5.0,14.0,QAWDID_clean_argon_273.0K_5.0bar_14.0/Output/System_0,3.3194e-06
OTEHAY_clean,argon,273.0,5.0,14.0,OTEHAY_clean_argon_273.0K_5.0bar_14.0/Output/System_0,9.94375e-06
BELJIL_clean,argon,273.0,5.0,14.0,BELJIL_clean_argon_273.0K_5.0bar_14.0/Output/System_0,2.28541e-06
POFGUO_clean,argon,273.0,5.0,14.0,POFGUO_clean_argon_273.0K_5.0bar_14.0/Output/System_0,1.20443e-05
JADBEY_clean,argon,273.0,5.0,14.0,JADBEY_clean_argon_273.0K_5.0bar_14.0/Output/System_0,6.99585e-06
XADGAM_clean,argon,273.0,5.0,14.0,XADGAM_clean_argon_273.0K_5.0bar_14.0/Output/System_0,2.62526e-05
FUSNIR_clean,argon,273.0,5.0,14.0,FUSNIR_clean_argon_273.0K_5.0bar_14.0/Output/System_0,1.97788e-06
PEMREG_clean,argon,273.0,5.0,14.0,PEMREG_clean_argon_273.0K_5.0bar_14.0/Output/System_0,4.00989e-06
YAGHUM_clean,argon,273.0,5.0,14.0,YAGHUM_clean_argon_273.0K_5.0bar_14.0/Output/System_0,4.99618e-06
INOMIJ_clean,argon,273.0,5.0,14.0,INOMIJ_clean_argon_273.0K_5.0bar_14.0/Output/System_0,5.67666e-06
XAKZEP_clean,argon,273.0,5.0,14.0,XAKZEP_clean_argon_273.0K_5.0bar_14.0/Output/System_0,6.36502e-06
ILIFUE_clean,argon,273.0,5.0,14.0,ILIFUE_clean_argon_273.0K_5.0bar_14.0/Output/System_0,7.18306e-06
CUWXID_clean,argon,273.0,5.0,14.0,CUWXID_clean_argon_273.0K_5.0bar_14.0/Output/System_0,5.58228e-06
ic501849g_si_002_clean,argon,273.0,5.0,14.0,ic501849g_si_002_clean_argon_273.0K_5.0bar_14.0/Output/System_0,5.15826e-06
UDAMET_clean,argon,273.0,5.0,14.0,UDAMET_clean_argon_273.0K_5.0bar_14.0/Output/System_0,5.49753e-07
FUSMOW_clean,argon,273.0,5.0,14.0,FUSMOW_clean_argon_273.0K_5.0bar_14.0/Output/System_0,2.02115e-06
VIYMAT_clean,argon,273.0,5.0,14.0,VIYMAT_clean_argon_273.0K_5.0bar_14.0/Output/System_0,5.76241e-06
BUSNAF_clean,argon,273.0,5.0,14.0,BUSNAF_clean_argon_273.0K_5.0bar_14.0/Output/System_0,2.44032e-06
EGOXII_clean,argon,273.0,5.0,14.0,EGOXII_clean_argon_273.0K_5.0bar_14.0/Output/System_0,9.61892e-06
MUGHED_clean,argon,273.0,5.0,14.0,MUGHED_clean_argon_273.0K_5.0bar_14.0/Output/System_0,8.5913e-06
MODJOG_clean,argon,273.0,5.0,14.0,MODJOG_clean_argon_273.0K_5.0bar_14.0/Output/System_0,2.89336e-06
YAVVID_clean,argon,273.0,5.0,14.0,YAVVID_clean_argon_273.0K_5.0bar_14.0/Output/System_0,6.07685e-06
ATEZEG_clean,argon,273.0,5.0,14.0,ATEZEG_clean_argon_273.0K_5.0bar_14.0/Output/System_0,6.84468e-06
EKUPEG_clean,argon,273.0,5.0,14.0,EKUPEG_clean_argon_273.0K_5.0bar_14.0/Output/System_0,1.70414e-06
FOQNOQ02_clean,argon,273.0,5.0,14.0,FOQNOQ02_clean_argon_273.0K_5.0bar_14.0/Output/System_0,9.53573e-06
HUBQEC_clean,argon,273.0,5.0,14.0,HUBQEC_clean_argon_273.0K_5.0bar_14.0/Output/System_0,8.9001e-07
XISVUR_clean,argon,273.0,5.0,14.0,XISVUR_clean_argon_273.0K_5.0bar_14.0/Output/System_0,9.12584e-06
VUKTEC_clean,argon,273.0,5.0,14.0,VUKTEC_clean_argon_273.0K_5.0bar_14.0/Output/System_0,7.94384e-06
ECAFOG_clean,argon,273.0,5.0,14.0,ECAFOG_clean_argon_273.0K_5.0bar_14.0/Output/System_0,2.48131e-06
