name,gas,temp,pressure,cutoff,path,henry_coeff
TIXMET_clean,helium,273.0,5.0,14.0,TIXMET_clean_helium_273.0K_5.0bar_14.0/Output/System_0,1.82886e-07
VAHVOR_clean,helium,273.0,5.0,14.0,VAHVOR_clean_helium_273.0K_5.0bar_14.0/Output/System_0,2.57381e-07
REZXOK_clean,helium,273.0,5.0,14.0,REZXOK_clean_helium_273.0K_5.0bar_14.0/Output/System_0,7.95624e-07
REYPIW_clean,helium,273.0,5.0,14.0,REYPIW_clean_helium_273.0K_5.0bar_14.0/Output/System_0,1.7964e-07
ATUZEW_clean,helium,273.0,5.0,14.0,ATUZEW_clean_helium_273.0K_5.0bar_14.0/Output/System_0,3.22906e-07
FASGAK_clean,helium,273.0,5.0,14.0,FASGAK_clean_helium_273.0K_5.0bar_14.0/Output/System_0,7.15599e-08
HAQRID_clean,helium,273.0,5.0,14.0,HAQRID_clean_helium_273.0K_5.0bar_14.0/Output/System_0,2.99406e-07
HUYJUG_clean,helium,273.0,5.0,14.0,HUYJUG_clean_helium_273.0K_5.0bar_14.0/Output/System_0,1.9752e-07
NAFSOF_clean,helium,273.0,5.0,14.0,NAFSOF_clean_helium_273.0K_5.0bar_14.0/Output/System_0,8.71618e-07
SOMFIK_clean,helium,273.0,5.0,14.0,SOMFIK_clean_helium_273.0K_5.0bar_14.0/Output/System_0,3.32244e-07
DOQHIB_clean,helium,273.0,5.0,14.0,DOQHIB_clean_helium_273.0K_5.0bar_14.0/Output/System_0,5.00735e-08
CENKAJ_clean,helium,273.0,5.0,14.0,CENKAJ_clean_helium_273.0K_5.0bar_14.0/Output/System_0,1.4346e-07
WIKXAQ_clean,helium,273.0,5.0,14.0,WIKXAQ_clean_helium_273.0K_5.0bar_14.0/Output/System_0,3.14141e-07
RUVKAV_clean,helium,273.0,5.0,14.0,RUVKAV_clean_helium_273.0K_5.0bar_14.0/Output/System_0,6.13035e-07
ISUGIN_clean,helium,273.0,5.0,14.0,ISUGIN_clean_helium_273.0K_5.0bar_14.0/Output/System_0,4.27952e-08
