,MOF,Ar_273_0.01,Ar_273_0.05,Ar_273_0.1,Ar_273_0.5,Ar_273_1,Ar_273_5,Ar_273_15,Ar_293_0.01,Ar_293_0.05,Ar_293_0.1,Ar_293_0.5,Ar_293_1,Ar_293_5,Ar_293_15,Ar_313_0.01,Ar_313_0.05,Ar_313_0.1,Ar_313_0.5,Ar_313_1,Ar_313_5,Ar_313_15
0,00958972.2016.1250260_1436516_clean,,,,,,,,0.001022403,0.005060607,0.010323029,0.051217225,0.101349218,0.470484121,1.168074873,,,,,,,
1,00958972.2016.1250260_1436519_clean,,,,,,,,0.00250478,0.013303898,0.027102161,0.130413357,0.247224367,0.898818761,1.793717395,,,,,,,
2,00958972.2016.1253069_1472494_clean,,,,,,,,0.000457855,0.002121091,0.004455083,0.021950126,0.043607811,0.198090512,0.507998138,,,,,,,
3,1499489-acs.cgd.6b01265_1499490_clean,0.011670873,0.057572269,0.114340577,0.553120987,1.023810865,3.8107426,6.917356523,0.007366829,0.037363951,0.074552982,0.360855202,0.685041089,2.784854768,5.602301868,0.005118096,0.025238956,0.050200394,0.247012448,0.483105843,2.03632088,4.848057999
4,ABAVIJ_clean,,,,,,,,0.011057234,0.054359135,0.105149105,0.425300325,0.676754659,1.282917125,1.526816192,,,,,,,
5,ABAYIO_clean,0.007911589,0.0389829,0.077785706,0.339927056,0.633378513,2.267293234,4.700846301,0.004872797,0.024905406,0.049102973,0.227207969,0.428306867,1.657863376,3.671125751,0.003323187,0.016539564,0.033154928,0.159001173,0.300699092,1.244671028,2.893932336
6,ABAYOU_clean,0.008160984,0.039798941,0.079424244,0.353343167,0.655721352,2.31559831,4.748437531,0.005065193,0.025253709,0.049884001,0.231984494,0.43917402,1.699753407,3.726337509,0.003392102,0.016703972,0.033630312,0.163657138,0.303282223,1.278927899,2.941795522
7,ABEFUL_clean,,,,,,,,0.007060835,0.033795107,0.067073147,0.300494364,0.53649517,1.2712625,1.646543883,,,,,,,
8,ABESUX_clean,0.001919638,0.009596419,0.019126049,0.094252883,0.178453322,0.744885766,1.484064369,0.001304381,0.006503326,0.012887227,0.063837245,0.125894623,0.535118936,1.182531816,0.000884626,0.004574842,0.009089529,0.045936841,0.0891079,0.393614629,0.937537823
9,ABETAE_clean,0.001858156,0.009471687,0.019050856,0.093917168,0.176926016,0.745107364,1.499672785,0.001284919,0.006438306,0.012942074,0.063197218,0.125607119,0.53315374,1.185273713,0.00086251,0.004510264,0.009054586,0.045434816,0.088870378,0.390603363,0.934428364
10,ABETIN_clean,0.004756998,0.022805813,0.046336461,0.22826039,0.447318418,2.239523548,6.356170912,0.003346392,0.017107833,0.034673136,0.171732847,0.337094094,1.67205365,4.778442982,0.00267885,0.013368207,0.026226859,0.132432051,0.262634042,1.282293123,3.704002
11,ABEXEM_clean,0.003433359,0.017035468,0.034447004,0.164686805,0.308042215,1.139905925,2.077981084,0.002219596,0.011183538,0.021782081,0.107862788,0.207047167,0.809968286,1.641993242,0.001484373,0.007306458,0.014549243,0.072530324,0.142011316,0.582063237,1.287760333
12,ABEXEN_clean,0.008372253,0.04292441,0.083232614,0.395729299,0.729593974,2.618492136,5.603602091,0.005276047,0.026243377,0.0526732,0.260039712,0.497227791,1.975102201,4.46134628,0.003598026,0.018573272,0.036884725,0.18082163,0.353207535,1.487287856,3.607255375
13,ABEXIQ_clean,,,,,,,,0.002232746,0.010796891,0.02179802,0.103955518,0.206030256,0.798044897,1.614888678,,,,,,,
14,ABEXOW_clean,0.003424656,0.017094591,0.034321737,0.163311167,0.311144116,1.110309582,2.00845391,0.002183194,0.010878377,0.021405584,0.104471792,0.202124938,0.778585946,1.585281374,0.001427435,0.007194547,0.014384148,0.070519022,0.138222744,0.564823855,1.257129689
15,ABEXUC_clean,0.003509097,0.017411234,0.034529472,0.166104427,0.311734388,1.093916047,1.960428717,0.00222834,0.010885942,0.021476928,0.104490932,0.2040607,0.77769075,1.558191914,0.001396387,0.007170081,0.014340162,0.070850239,0.140123785,0.559424087,1.231037463
16,ABEYAJ_clean,0.003278924,0.017102611,0.033572363,0.162256626,0.306427157,1.06238375,1.887931901,0.00212687,0.010535132,0.021071228,0.104014322,0.197800791,0.759608362,1.487442758,0.001405391,0.006951819,0.014159864,0.069271594,0.135481961,0.540360674,1.193426167
17,ABEYEN_clean,0.00344954,0.017164264,0.033655307,0.159238874,0.299941149,1.045904779,1.863119571,0.002153925,0.010524117,0.020806565,0.102759267,0.199267743,0.742560186,1.470539665,0.001379049,0.006985389,0.013754044,0.069109706,0.131365406,0.53944583,1.164242208
18,ABEYIR_clean,0.003367749,0.016942719,0.033375029,0.16004418,0.297245701,1.027655986,1.821786169,0.002088893,0.010438795,0.020781179,0.101486184,0.195398476,0.737199722,1.454476507,0.001361089,0.006967073,0.013891611,0.06820094,0.133141884,0.530896468,1.136498752
19,ABIXOZ_clean,0.001218258,0.006683114,0.012988983,0.064895306,0.129857523,0.602620033,1.594596903,0.000964454,0.004783047,0.009578785,0.047112899,0.094829159,0.443725106,1.209086482,0.000733724,0.003636315,0.007062666,0.035699802,0.07036593,0.345410722,0.931975466
20,ABIYIV_clean,0.00376677,0.017821149,0.035050189,0.172100319,0.316138855,1.049702042,1.75056392,0.002167422,0.010840389,0.021750695,0.104456868,0.203193664,0.750881856,1.417634076,0.001380858,0.006928323,0.013944041,0.067560431,0.129298099,0.524109793,1.127711836
21,ABULOB_clean,0.028289172,0.138104302,0.273692676,1.138574262,1.965937605,4.299602926,5.394606308,0.015723049,0.078058316,0.155432108,0.6930706,1.250051414,3.478045224,4.866892998,0.009550317,0.047481376,0.095833418,0.449791085,0.810900231,2.712008211,4.263984489
22,ABUWOJ_clean,0.009321517,0.045988926,0.090637425,0.442227749,0.826446355,3.119146883,5.572936546,0.005782077,0.02883702,0.057390489,0.280061938,0.547019023,2.169365638,4.415984271,0.00368419,0.019130822,0.03730193,0.186636556,0.365880937,1.551020447,3.458844244
23,ACAJIY_clean,0.009288543,0.04676935,0.093932384,0.441896004,0.829900239,2.981182031,4.81767799,0.005487512,0.027275961,0.053083773,0.264387375,0.509422331,2.027288492,3.914525083,0.003381559,0.016854501,0.033800117,0.16275665,0.321045242,1.384888544,3.026146369
24,ACAJIZ_clean,0.003086575,0.015616047,0.031045277,0.148930208,0.286452755,1.128469882,2.181496834,0.00202491,0.010037977,0.020084155,0.099426548,0.194706678,0.802251695,1.733327587,0.001431653,0.006968716,0.014310153,0.069963279,0.137651041,0.581752475,1.360310353
25,ACAJOF_clean,0.002654181,0.013409663,0.026758842,0.134267409,0.26073238,1.119335068,2.433468063,0.00189991,0.009250498,0.018396039,0.090083841,0.179610874,0.79749434,1.87894873,0.001268386,0.006457559,0.012888433,0.064892238,0.126148319,0.5910588,1.448309579
26,ACAKUM_clean,,,,,,,,0.002216793,0.010857338,0.021762868,0.104469321,0.202613877,0.753511791,1.439865943,,,,,,,
27,ACALIB_clean,,,,,,,,0.001153839,0.005780326,0.011251478,0.054182212,0.109884326,0.446577826,0.905454614,,,,,,,
28,ACECIV_ion_b,,,,,,,,0.001099095,0.005655463,0.011267094,0.051550626,0.094894749,0.302979851,0.500478355,,,,,,,
29,ACIBIY_clean,,,,,,,,0.001966071,0.009851332,0.019337887,0.095260624,0.183350392,0.710200298,1.393832416,,,,,,,
30,ACIBOE_clean,0.006073319,0.030159579,0.060640907,0.299468259,0.589905106,2.508335681,5.325655486,0.00429996,0.020871269,0.041158901,0.206028957,0.403714893,1.780807113,4.158011738,0.003105249,0.014720628,0.029087083,0.148248848,0.291359692,1.30539961,3.238341515
31,ACMPCD_SL,,,,,,,,0.000265775,0.001488822,0.002936755,0.014392746,0.028372998,0.12623116,0.285298177,,,,,,,
32,ACOCOM_clean,0.00479864,0.024488316,0.048429891,0.243848339,0.487727183,2.322344574,6.698340854,0.003838912,0.018950522,0.038332805,0.189786805,0.384543547,1.830443051,5.334658833,0.003167806,0.0156912,0.030913096,0.154236967,0.311217019,1.473823132,4.358106227
33,ACOCUS_clean,0.005164147,0.025122058,0.051078325,0.251087387,0.501413005,2.418237014,6.942941891,0.003871942,0.019946228,0.039186768,0.194957091,0.39431656,1.881960301,5.501684347,0.003187284,0.016324314,0.032288773,0.159597857,0.313515152,1.522108001,4.469896982
34,ACODAZ_clean,0.004872739,0.024674315,0.04879615,0.246484695,0.491669993,2.36743723,6.844950945,0.00383417,0.019249097,0.037829526,0.193600675,0.38014477,1.831393431,5.410584961,0.003023232,0.015725549,0.031372849,0.156731459,0.315276856,1.498885316,4.444118099
35,ACODON_clean,0.006412168,0.03184144,0.06304237,0.307053322,0.588381889,2.309173188,4.48628827,0.004143846,0.020782929,0.042073664,0.203469577,0.394150203,1.65320181,3.576650696,0.002924756,0.014593698,0.029327176,0.145115998,0.281567431,1.21198116,2.829236712
36,ACODUT_clean,,,,,,,,0.011912921,0.055315857,0.106645579,0.393824721,0.594539826,1.285398255,1.946123744,,,,,,,
37,ACOGAB_clean,0.010491829,0.051398251,0.101357199,0.480155487,0.873051749,2.773431087,4.362296794,0.006340597,0.031635413,0.062957737,0.301873237,0.570935293,2.04997473,3.650800933,0.004164747,0.020609755,0.040994267,0.202763951,0.385404672,1.50507748,2.995268786
38,ACOGEF_clean,0.009362373,0.046521525,0.09246033,0.436394111,0.790501984,2.527544131,3.986334275,0.005800623,0.028690286,0.057544142,0.278198856,0.527335303,1.885887397,3.339050779,0.003749856,0.019117315,0.037451535,0.184552626,0.35523651,1.366059985,2.743234594
39,ACOLEL_clean,,,,,,,,0.000404737,0.001937215,0.004088208,0.01756224,0.036355507,0.127524708,0.247043541,,,,,,,
40,ACOLIP_clean,0.011120847,0.055312742,0.109706898,0.5130778,0.913063929,3.013070694,4.896996657,0.006637223,0.032756545,0.066138266,0.31530931,0.598406708,2.159488779,3.969304654,0.0042861,0.020793817,0.041775571,0.20168641,0.387123994,1.550630397,3.154746174
41,ACOLOV_clean,0.004675181,0.02300425,0.046565183,0.228083739,0.452387138,2.047056025,4.993754953,0.003316173,0.016148596,0.032898537,0.162265951,0.32458135,1.480475626,3.820028149,0.002513847,0.012266168,0.02468706,0.121443043,0.243497001,1.10350864,2.985359174
42,ACUBAB_clean,0.006604154,0.032264823,0.063791006,0.281441494,0.506601612,1.399031195,2.025949557,0.004023413,0.02001807,0.038924371,0.186589565,0.335201078,1.098074574,1.748421279,0.002712272,0.013064318,0.026076025,0.124844125,0.236824688,0.841672017,1.485669317
43,ACUFEK_clean,0.004578982,0.02233571,0.044299597,0.221538972,0.440299521,2.061572243,5.798621762,0.003320055,0.017150688,0.033010243,0.167320212,0.334707763,1.560856044,4.461506365,0.00261447,0.012838129,0.025863633,0.130319453,0.260322711,1.225211316,3.549978638
44,ACUJOZ_manual,0.004277915,0.021740104,0.043378778,0.21555145,0.426932379,2.003615684,5.335354555,0.003209929,0.016039201,0.032239495,0.159517932,0.31929242,1.495456747,4.099984052,0.002407446,0.012161034,0.024310134,0.122667882,0.240647659,1.158071083,3.227427944
