name,H2_293_0.01,H2_293_5
1499489-acs.cgd.6b01265_1499490_clean,0.004006344,1.7096492622
ABEFUL_clean,0.0028362075,0.8422291446
ABESUX_clean,0.0007046044,0.3163076519
ABETAE_clean,0.0006935466,0.3128704387
ABEXEN_clean,0.0030466198,1.3348498908
ABEXIQ_clean,0.0014029018,0.5597360024
ABIXOZ_clean,0.0007244944,0.3381496654
ABULOB_clean,0.0067536753,2.1936519945
ACECIV_ion_b,0.000694742,0.2544333811
ACOCOM_clean,0.002973045,1.3916455392
ACOCUS_clean,0.0030494175,1.4455314019
ACODAZ_clean,0.0030374591,1.4275512632
ACODON_clean,0.0023461743,1.0191933274
ACODUT_clean,0.0039406533,1.0342586326
ACOGAB_clean,0.0031128615,1.2333351061
ACOGEF_clean,0.0026518886,1.1247217669
ACOLIP_clean,0.0038143415,1.4869181547
ACUBAB_clean,0.0018123355,0.6979783158
ACUFEK_clean,0.002333407,1.144973824
ACUJOZ_manual,0.002220996,1.0343024935
ACUTOI_clean,0.0013633199,0.50658972
ADABIS_clean,0.0008720836,0.3879849378
ADABUE_clean,0.0008284794,0.3426283754
ADARAA_clean,0.0025825996,1.1721618676
ADASEF_clean,0.0023786983,1.1855204723
ADASIJ_clean,0.0024866845,1.1665101533
ADASOP_clean,0.0025787151,1.3378204717
ADASUV_clean,0.0022977746,1.1612281669
ADATAC_clean,0.0029878514,1.4275642073
ADATEG_manual,0.0029249153,1.4885320187
ADATIK_clean,0.0023522639,1.1943630721
ADATUW_clean,0.0019352693,0.9535637443
ADAVAE_clean,0.0020708737,0.9906883696
ADAVEI_clean,0.0021551422,1.0122795046
ADAVIM_clean,0.0019688026,0.9430292006
ADAXEK_clean,0.0036283487,1.2959335963
ADAXIO_clean,0.002438789,0.9595575362
ADIQEL_clean,0.008191526,2.3597674865
ADOBIF_clean,0.0020673329,0.8538207739
ADOCEC_clean,0.0019353354,0.8038705208
ADODII_clean,0.0022259203,0.9202325428
ADODOO_clean,0.0023373789,0.9396263218
ADODUU_clean,0.0023752343,0.9464531566
ADUROI_clean,0.0019710947,0.9412099237
ADUWIH_clean,0.0025260227,1.1504870432
