name,He_273_0.01,He_273_0.05,He_273_0.1,He_273_0.5,He_273_1,He_273_5,He_273_15,He_313_0.01,He_313_0.05,He_313_0.1,He_313_0.5,He_313_1,He_313_5,He_313_15
1499489-acs.cgd.6b01265_1499490_clean,0.0003498403,0.0016331485,0.003331892,0.0161212444,0.0322155803,0.1620988298,0.4717495252,0.0002455609,0.0013640406,0.0026406211,0.0128768134,0.0257334436,0.1270307057,0.3772674209
ABAYIO_clean,0.0002786895,0.0015045812,0.0028826407,0.0144724749,0.0291512929,0.1460562411,0.4206625597,0.0002342362,0.0011723208,0.0023993537,0.0119095712,0.0234173504,0.1172018754,0.337595338
ABAYOU_clean,0.0002823017,0.0014411951,0.0029568864,0.0143889857,0.028881066,0.142283584,0.4133277006,0.0002145269,0.0011818584,0.0023502738,0.0115379624,0.0232635917,0.1152240382,0.3315077223
ABEFUL_clean,4.97916e-05,0.000369607,0.0007028279,0.0033685946,0.0070512599,0.0342374865,0.1010386948,6.1282e-05,0.0002719388,0.0005074915,0.0026236356,0.0050691703,0.0251677507,0.0753366417
ABESUX_clean,7.87317e-05,0.000380389,0.0007391047,0.0036765042,0.0072862196,0.0359494194,0.1059299474,6.41354e-05,0.0003029843,0.0005586411,0.0028613217,0.0058159717,0.0287114119,0.0864327969
ABETAE_clean,7.9174e-05,0.0003901199,0.0007638743,0.0036911006,0.0073384125,0.0366986974,0.1082074163,5.30775e-05,0.0003184652,0.0006068532,0.002969246,0.0058540106,0.0292797839,0.0868897061
ABETIN_clean,0.0005824719,0.002763052,0.0053637758,0.0269994368,0.0545474925,0.2679127551,0.7856998665,0.0004505259,0.0022205112,0.0043229655,0.0221070204,0.0444788021,0.2231509636,0.6387554947
ABEXEM_clean,8.95399e-05,0.0004845105,0.000960067,0.0047167643,0.009490238,0.0459797505,0.1371781621,7.85962e-05,0.0003541801,0.0007053756,0.0035238938,0.0071731435,0.0360089815,0.1071464686
ABEXEN_clean,0.0004561995,0.0025725687,0.0051034844,0.025313124,0.0500649288,0.248081332,0.7226122021,0.0003947118,0.0020171954,0.0041474492,0.0206341054,0.0411472187,0.206878576,0.6053312238
ABEXIQ_clean,8.12989e-05,0.0004689558,0.0008744588,0.004446653,0.0089438707,0.0449652331,0.1344931707,7.73331e-05,0.0003212298,0.0007168183,0.0034621432,0.0071592607,0.0348524428,0.1037403737
ABEXOW_clean,7.4191e-05,0.0004540488,0.0009357956,0.0043851816,0.0090344839,0.0438913884,0.1318472776,7.71586e-05,0.000334354,0.0006934384,0.0035384152,0.0068384307,0.0345265073,0.1019037949
ABEXUC_clean,7.83937e-05,0.0004537034,0.00086723,0.0042744148,0.0086076257,0.043775029,0.1276004076,5.78153e-05,0.0003527715,0.0006849647,0.0033542691,0.0066909003,0.0332977142,0.0983193894
ABEYAJ_clean,6.83912e-05,0.0004228694,0.0007889067,0.0041246623,0.0082570314,0.0411242934,0.1231233969,6.45382e-05,0.0003101684,0.0006213001,0.0031806717,0.0063468946,0.0320263394,0.0944096953
ABEYEN_clean,7.76794e-05,0.0003931919,0.0008132359,0.0040479583,0.008234973,0.0404738327,0.1190824858,7.67204e-05,0.0003116765,0.0006502052,0.0031416993,0.0063121687,0.0312165607,0.0931596308
ABEYIR_clean,6.80544e-05,0.0004187238,0.0008327216,0.0039490476,0.0079359039,0.0396955878,0.1183684109,5.38764e-05,0.0002712725,0.0006238323,0.0030416551,0.0061211188,0.0305649504,0.0905331997
ABIXOZ_clean,0.0001245946,0.0005837486,0.0012586358,0.0063081763,0.0124248475,0.0622569076,0.182934825,9.92142e-05,0.0004799198,0.0009644543,0.0051383724,0.0102698229,0.0499831887,0.1475153573
ABIYIV_clean,6.22697e-05,0.0002971466,0.0005800913,0.0029408774,0.0057779723,0.0293388587,0.0859059612,5.46225e-05,0.0002621882,0.0004184086,0.0022722975,0.0045544274,0.0228802896,0.066659163
ABULOB_clean,0.0002041564,0.0009742464,0.0018884467,0.0091585163,0.0184071054,0.0914320643,0.2674914786,0.0001336024,0.0007565796,0.0013465316,0.006854251,0.01378056,0.0687977197,0.2038652218
ABUWOJ_clean,0.0002101852,0.0009696281,0.0021434928,0.0102395901,0.0207865285,0.1021163249,0.3040805601,0.0001447502,0.0008149635,0.0016854476,0.0078442715,0.0160018397,0.0800706677,0.2321535796
ACAJIY_clean,0.000130655,0.0006653093,0.0013443717,0.0064296037,0.0123847237,0.0622812005,0.1852740219,6.01701e-05,0.0004555735,0.0009661597,0.0048256411,0.0095842358,0.0479607191,0.1424277604
ACAJIZ_clean,8.74849e-05,0.0004574729,0.001018834,0.0050504278,0.0099860327,0.0498472352,0.1480043413,8.38397e-05,0.0004082627,0.000861179,0.0039304394,0.007765193,0.0392816153,0.1164459992
ACAJOF_clean,0.0001191891,0.0006137349,0.0012132383,0.0060252758,0.0118246271,0.0602207429,0.1777251956,9.60629e-05,0.00048743,0.0008752394,0.0046341433,0.0095707077,0.0475244342,0.1427209548
ACAKUM_clean,7.55429e-05,0.000376412,0.0007645462,0.0036442935,0.0077157957,0.0366734739,0.112402628,5.73084e-05,0.0003086839,0.0005835037,0.0028055068,0.0058350379,0.0288000801,0.0859183286
ACECIV_ion_b,1.6985e-05,8.10898e-05,0.0001413592,0.0007867898,0.0015538552,0.0075555936,0.0229473075,1.04102e-05,5.97215e-05,0.0001123203,0.0005747511,0.0011599124,0.0057540858,0.0167444884
ACIBIY_clean,9.32339e-05,0.0003962442,0.0007796688,0.0037270267,0.0075566117,0.0380277977,0.1120578856,6.29329e-05,0.0003053412,0.0005349298,0.0030650661,0.0058853932,0.0299001281,0.0876166054
ACIBOE_clean,0.0002918186,0.0012296289,0.0026937103,0.0130220942,0.0262911146,0.1334135018,0.3888620721,0.0002643827,0.0010999317,0.0020302595,0.0102510644,0.0215870977,0.1060798214,0.3121836035
ACOCOM_clean,0.0011474498,0.0058099913,0.0117443484,0.0578347561,0.1149726026,0.5699892839,1.6669983169,0.0011192916,0.0046461162,0.0098835562,0.0486997448,0.098105793,0.483367376,1.3952357199
ACOCUS_clean,0.001194063,0.005598777,0.0113260734,0.0596587539,0.1169457468,0.5787537448,1.6761842037,0.0010538599,0.0047248443,0.0097441151,0.0493047553,0.0986445681,0.4897434667,1.4209491242
ACODAZ_clean,0.00118321,0.0058235747,0.0117253977,0.0590822517,0.1165805749,0.5870120993,1.7026677622,0.0008962994,0.0049272753,0.0099304278,0.0502757548,0.0992639753,0.4937044842,1.4342640242
ACODON_clean,0.0001910911,0.0010952351,0.0022028558,0.0109594286,0.0223842013,0.1108027696,0.3246408086,0.000185783,0.0008298309,0.0017074345,0.0087388799,0.0172459734,0.086829681,0.2575112065
ACODUT_clean,7.62896e-05,0.0004504023,0.0009257454,0.0045098911,0.0089244206,0.0444900634,0.1305169008,6.45528e-05,0.0003433034,0.0006572646,0.0031645529,0.0064684811,0.0321047339,0.0966457683
ACOGAB_clean,0.0001779421,0.0008424097,0.0018875382,0.0086876312,0.0173797681,0.088214261,0.2565430362,0.0001126216,0.0006396908,0.0013717312,0.0068271221,0.0134763028,0.0676653205,0.2004326936
ACOGEF_clean,0.0001594813,0.000740157,0.00164184,0.0080497185,0.0158459033,0.0797222728,0.2289088961,0.0001063209,0.0005663632,0.0012431366,0.006176835,0.0123250458,0.0604577437,0.1782776571
ACOLEL_clean,2.402e-06,5.64471e-05,0.0001201001,0.0005320435,0.001036464,0.0055474245,0.0163588371,1.0809e-05,3.9633e-05,9.60801e-05,0.0004359634,0.0009139619,0.004037766,0.0128507127
ACOLIP_clean,0.0001610883,0.0009818717,0.0017719715,0.00910149,0.0177599883,0.08770876,0.2580385735,0.0001438289,0.0006481888,0.0013500736,0.0066640708,0.0133051289,0.0666675558,0.2004897678
ACOLOV_clean,0.0003397521,0.0016716443,0.0033353132,0.0171359489,0.0339688358,0.1690338781,0.4967830581,0.0002663785,0.0013334874,0.0027945812,0.0138548698,0.0274816431,0.1352484766,0.4047373388
ACUBAB_clean,0.0001024544,0.0004285085,0.0009061675,0.004540529,0.0091232887,0.0449276454,0.1315673906,5.81498e-05,0.0003232851,0.0007095658,0.0033934553,0.0070652011,0.0344772951,0.1025208717
ACUFEK_clean,0.0006616687,0.0032439332,0.0063063467,0.0325359473,0.0639154428,0.32094154,0.946657652,0.0005387037,0.0027052297,0.0052992053,0.0270318027,0.0531677176,0.2653760052,0.7791676308
ACUJOZ_manual,0.0004698547,0.0023999881,0.0048730647,0.0245487908,0.0484636551,0.2430968919,0.6996062954,0.0003684258,0.0020613946,0.0039646793,0.0202186712,0.0396482846,0.2001238254,0.5804541088
ACUTOI_clean,6.74021e-05,0.0003630726,0.0007719787,0.0035821968,0.0072371886,0.0355613501,0.1066031676,5.21243e-05,0.0002974679,0.0005140533,0.0027814599,0.0054712535,0.0277921342,0.0819097328
ADABIS_clean,2.275e-05,0.0001327084,0.0002401389,0.0013131809,0.0026175147,0.0132544068,0.0391274842,1.01111e-05,8.46806e-05,0.0002161251,0.0010288059,0.0019830423,0.0098697113,0.0293626756
ADABUE_clean,5.30833e-05,0.0003241876,0.0005270418,0.0028759799,0.0059567102,0.0291048422,0.0847835884,3.60208e-05,0.0001971667,0.0004663751,0.0020986881,0.0045329389,0.0227215694,0.0660186243
ADARAA_clean,0.0003641095,0.0018350473,0.0034977064,0.0175980871,0.0348594552,0.1743987754,0.5201883952,0.0002690543,0.0014806044,0.0027855985,0.0144403236,0.0287130938,0.1427421948,0.4214180593
ADASAB_charged,0.0010716723,0.0053324934,0.0115592788,0.0562701847,,,,,,,,,,
ADASEF_clean,0.0009003041,0.0046010276,0.009145194,0.0453753252,0.089082724,0.4446317768,1.3248828124,0.0007060279,0.0038570922,0.0079131989,0.0377416943,0.0754075782,0.3726169237,1.110615169
ADASIJ_clean,0.000586081,0.0028897304,0.005631554,0.0290581529,0.0576282192,0.2911251171,0.8232737437,0.0004326276,0.0023609634,0.0049012638,0.0240089822,0.0476278651,0.2387291039,0.6904921887
ADASOP_clean,0.0006024348,0.0028652387,0.0059031263,0.029232781,0.0574847747,0.2884707879,0.8585394635,0.0004481528,0.0022260703,0.0050472286,0.02353904,0.0472948095,0.2373042324,0.6958342985
ADASUV_clean,0.0005458597,0.0027034809,0.0056098151,0.0286318177,0.0567435996,0.2842675458,0.8407826576,0.0004610302,0.0023494097,0.0045365374,0.0232543643,0.0463390695,0.2308618051,0.6891147797
ADATAC_clean,0.0011392526,0.0059434592,0.0117901894,0.0582039843,0.1176009694,0.5888485386,1.6946759685,0.0009941592,0.0051535062,0.0100221992,0.049826183,0.0990451228,0.4925601924,1.4651702932
ADATEG_manual,0.0017919951,0.0083741309,0.0161021097,0.0839954623,0.1673663216,0.8350826895,2.3947517488,0.0014904575,0.0074996718,0.0144048836,0.0713308861,0.1435319238,0.7053999595,2.0457865283
ADATIK_clean,0.0010574397,0.0054382611,0.010272271,0.0525353288,0.1045225225,0.5218572984,1.5126394834,0.0009020608,0.0044369305,0.0091241943,0.0447361748,0.0894162406,0.4410386902,1.3010436348
ADATOQ_clean,0.0004910818,0.0024709068,0.0050377053,0.0243003174,0.0487236491,0.2405216211,0.696326937,0.0003651634,0.0019536727,0.0040012999,0.0198602403,0.0400246234,0.198257587,0.5726566431
ADATUW_clean,0.0004978621,0.0022868722,0.00456987,0.0231002181,0.0469917865,0.2317315466,0.6690985312,0.0003486972,0.0019652959,0.0039315604,0.019320729,0.0385261941,0.1945236215,0.5540662409
ADAVAE_clean,0.0004978621,0.0023537058,0.0046609187,0.0229181207,0.0466953939,0.2289487495,0.6626176068,0.0003932529,0.0019449553,0.0037049074,0.0189487853,0.037825894,0.1893599976,0.539342503
ADAVEI_clean,0.00047849,0.0023527372,0.0046812593,0.0232784411,0.0459224485,0.2307890957,0.6640424222,0.0004116564,0.0019013681,0.0038928164,0.0192093396,0.0383576572,0.1907819071,0.5454989452
ADAVIM_clean,0.0004511231,0.0025968748,0.0048262398,0.0237452164,0.0478559997,0.2354882305,0.6800039851,0.0003733433,0.001884217,0.0038880205,0.019552883,0.0397785618,0.195276046,0.5624533472
