name,N2_293_0.01,N2_293_5
1499489-acs.cgd.6b01265_1499490_clean,0.0066116449,2.3148813551
ABAYIO_clean,0.0039917039,1.3115272096
ABAYOU_clean,0.004146031,1.3273499791
ABESUX_clean,0.001159302,0.4506544309
ABETAE_clean,0.0011150707,0.4518809644
ABETIN_clean,0.003119827,1.4391699376
ABEXEM_clean,0.0022305392,0.7447523729
ABEXEN_clean,0.0041613336,1.673542377
ABEXIQ_clean,0.0024161637,0.8135006115
ABEXOW_clean,0.0023879606,0.7752097619
ABEXUC_clean,0.0023410312,0.7503039194
ABEYAJ_clean,0.0021740691,0.6913934536
ABEYEN_clean,0.0020925482,0.6578819925
ABEYIR_clean,0.0017779222,0.60855131
ABIXOZ_clean,0.0012321019,0.542886233
ABIYIV_clean,0.0012377468,0.4580165531
ABULOB_clean,0.0134397989,2.9615174094
ABUWOJ_clean,0.0053200664,1.821725175
ACAJIZ_clean,0.0017032209,0.624471516
ACAJOF_clean,0.00156369,0.6238553738
ACIBIY_clean,0.0015943006,0.5925658565
ACIBOE_clean,0.0038934095,1.5798538058
ACOCOM_clean,0.0035901807,1.6829875267
ACOCUS_clean,0.0036850049,1.7375604497
ACODAZ_clean,0.0035448879,1.7242311139
ACODON_clean,0.0034307933,1.3777227304
ACOGAB_clean,0.0054486339,1.6882160738
ACOGEF_clean,0.0052076794,1.5375883098
ACOLOV_clean,0.0033113873,1.3951818824
ACUBAB_clean,0.0042788563,1.0161781915
ACUFEK_clean,0.0030770524,1.4451079318
ACUJOZ_manual,0.0029876797,1.4083143489
ACUTOI_clean,0.0026268847,0.7525013535
ADARAA_clean,0.0038988714,1.6309108155
ADASEF_clean,0.0032458333,1.4355396663
ADASIJ_clean,0.0033667304,1.5042019036
ADASOP_clean,0.004044395,1.7147353085
ADASUV_clean,0.0034411296,1.5041276921
ADATAC_clean,0.003836917,1.6894203595
ADATEG_manual,0.0033039912,1.6357039328
ADATIK_clean,0.0027709237,1.4154154531
ADATOQ_clean,0.0023246478,1.0938349294
ADATUW_clean,0.002214227,1.0368345655
ADAVAE_clean,0.0023604861,1.0996920732
ADAVEI_clean,0.0024195709,1.12016544
ADAVIM_clean,0.0023382569,1.0755194039
ADAXEK_clean,0.0054874121,1.5573608263
ADAXIO_clean,0.0047002115,1.3099647074
ADIQEL_clean,0.0139744696,2.9126602984
ADOBIF_clean,0.0060348332,1.8008524985
ADOCEC_clean,0.0058392647,1.7359720542
ADODII_clean,0.0045470939,1.2309614887
ADODOO_clean,0.0048269821,1.2631396958
ADODUU_clean,0.0048597585,1.2675056612
ADUROI_clean,0.0022355369,1.0993419375
ADUWIH_clean,0.0032343782,1.4707198901
ADUWON_clean,0.0041886811,1.8854013509
AFEJOK_ion_b,0.0046150716,1.6603016703
AFIPAH_clean,0.0067004555,1.7387997791
AFITEP_clean,0.0078474613,2.2937151602
AFITUF_clean,0.0029544821,0.9836951941
AFIXAO_clean,0.0023620282,0.8230551623
AFIXES_clean,0.0021926183,0.8199464353
AFOTOF_clean,0.0041603103,1.5450021814
AFOTUL_clean,0.0040754206,1.5589993329
AFOVAT_clean,0.00406048,1.5342458996
AFOVEX_clean,0.004156818,1.5964845579
AFOVIB_clean,0.0039527721,1.4938218238
AFOVOH_clean,0.0044924229,1.67321903
AFOYAW_clean,0.0035245805,1.3187640821
AFOYEB_clean,0.0015671064,0.4520430822
AFOYIE_clean,0.002444973,1.1352352329
AFOYOK_clean,0.0022673881,0.9548281104
AFUKET_clean,0.0066317505,1.6981807878
AFUKIX_clean,0.0034273014,1.4328373736
AFUPEX_clean,0.0042030345,1.5976369309
AGABIU_clean,0.0017230322,0.799720266
AGARUW_clean,0.0018648963,0.6993893079
AGIREP_clean,0.0041849486,1.6233720138
AGOFEJ_clean,0.0023998834,1.1629875508
AGONAM_clean,0.0038051967,1.2737924582
AGONEQ_clean,0.0035437681,1.4322723066
AGOVOJ_clean,0.0029781121,1.40307346
AGUBUA_clean,0.0149683294,2.2256183253
AHAMAY_clean,0.0044036759,0.7288216594
AHEQAH_clean,0.0042292527,1.8604738459
AHIYOH_clean,0.0054586521,1.2155914043
AHUFIU_clean,0.0014236796,0.689204046
AJAKON_clean,0.003201855,1.018595046
AJAYIT_clean,0.0016126502,0.4909953518
AJIGIL_clean,0.0012061442,0.510679347
AJOTEY_clean,0.005825468,1.909320064
AJOVEB_clean,0.0025029051,0.7583289773
AJOXAA_clean,0.005525825,1.5875090315
AKEDIF_clean,0.0060763315,2.0951035311
