,name,1.0 bar,5.0 bar,15.0 bar
0,00958972.2016.1250260_1436516_clean,0.1013492183,0.4704841211,1.1680748728
1,00958972.2016.1250260_1436519_clean,0.2472243669,0.8988187612,1.793717395
2,00958972.2016.1253069_1472494_clean,0.0436078114,0.1980905124,0.5079981379
3,ABAYOU_clean,0.4391740199,1.6997534074,3.7263375094
4,ABETAE_clean,0.1256071193,0.5331537396,1.1852737133
5,ABEXEM_clean,0.2070471668,0.8099682857,1.6419932416
6,ABEYEN_clean,0.1992677425,0.742560186,1.4705396652
7,ABEYIR_clean,0.1953984755,0.7371997222,1.4544765071
8,ABIYIV_clean,0.2031936641,0.7508818563,1.4176340764
9,ABUWOJ_clean,0.5470190228,2.1693656377,4.415984271
10,ac403674p_si_001_clean,0.1287472232,0.6039226794,1.6090523491
11,ACAJIZ_clean,0.1947066779,0.8022516954,1.7333275869
12,ACAKUM_clean,0.2026138774,0.7535117913,1.439865943
13,ACECIV_ion_b,0.0948947488,0.3029798506,0.5004783549
14,ACOCOM_clean,0.3845435468,1.8304430514,5.3346588326
15,ACODAZ_clean,0.3801447703,1.8313934314,5.4105849606
16,ACOGAB_clean,0.5709352926,2.0499747304,3.6508009334
17,ACOGEF_clean,0.5273353034,1.8858873973,3.3390507791
18,ACOLEL_clean,0.0363555068,0.1275247076,0.2470435413
19,ACOLIP_clean,0.5984067075,2.1594887785,3.9693046542
20,ACOLOV_clean,0.32458135,1.4804756257,3.8200281494
21,acs.cgd.5b00681_AJUPEC1449470_clean,0.3679107566,1.2495133941,2.3423301228
22,acs.cgd.5b01178_MAHFOT1419063_clean,0.6839616233,2.4853198186,4.4976958664
23,acs.cgd.5b01554_VAGNUP1452791_clean,0.0415105993,0.200700541,0.5615184029
24,acs.cgd.5b01632_ZAHKOL1438120_clean,0.9980473062,3.8729763216,7.2199321566
25,acs.cgd.5b01684_CUTGIJ1438510_clean,0.5432592273,2.4418518332,6.0325196421
26,acs.cgd.6b00119_OLISUZ1440339_clean,0.1618256855,0.7760827547,2.2707333135
27,acs.cgd.6b00151_AKECEA1449783_clean,0.3004718105,1.2849722567,2.9986066187
28,acs.cgd.6b00151_AKECOK1449785_clean,0.3561667163,1.2360762949,2.1537678834
29,acs.cgd.6b00151_AKEDAX1449787_clean,0.4262145273,1.6592376178,3.4496375764
30,acs.cgd.6b00151_AKEDEB1449788_clean,0.2783084407,1.1291048809,2.4088643432
31,acs.cgd.6b00163_UKEBAP1448505_clean,0.1499406513,0.7282416434,2.1068461388
32,acs.cgd.6b00163_UKEBOD1448508_clean,0.5416805419,1.0336839271,1.4876128424
33,acs.chemmater.5b03723_cm5b03723_si_004_clean,0.7069175247,2.2886723615,4.8632104401
34,acs.chemmater.5b03723_cm5b03723_si_005_clean,0.5462998415,2.2409197607,5.343416386
35,acs.chemrev.6b00346_cr6b00346_si_001_clean,0.397621567,1.8104213253,4.5573000835
36,acs.inorgchem.5b02242_ic5b02242_si_002_clean,0.2238431701,0.9687012531,2.3643452178
37,acs.inorgchem.5b02378_ic5b02378_si_002_clean,1.1164022382,1.942819082,2.3100187659
38,acs.inorgchem.5b02434_ic5b02434_si_007_clean,0.2229203751,1.0287933831,2.6651422914
39,acs.inorgchem.5b02464_ic5b02464_si_002_clean,0.6302581196,2.3921107337,4.5850629004
40,acs.inorgchem.5b02666_ic5b02666_si_002_clean,0.487673003,1.2957272576,1.9266196377
41,acs.inorgchem.5b02786_ic5b02786_si_002_clean,0.2758403024,1.0666148394,2.1184722159
42,acs.inorgchem.5b02973_ic5b02973_si_002_clean,0.5202944561,1.5218553766,2.7918380253
43,acs.inorgchem.6b00001_ic6b00001_si_004_clean,0.031200334,0.1510600429,0.4011825005
44,acs.inorgchem.6b00044_ic6b00044_si_002_clean,0.1272729852,0.5872267658,1.6641140557
45,acs.inorgchem.6b00136_ic6b00136_si_002_clean,0.8036844732,2.4672972352,4.0645800079
46,acs.inorgchem.6b00158_ic6b00158_si_002_clean,0.0654727306,0.3205021416,0.8945046196
47,acs.inorgchem.6b00276_ic6b00276_si_002_clean,0.4205962761,1.7348276914,3.6680789575
48,acs.inorgchem.6b00276_ic6b00276_si_003_clean,1.1690211712,2.9230786626,4.0278037661
49,acs.inorgchem.6b00292_ic6b00292_si_002_clean,0.0538522298,0.2543150422,0.6531476541
50,acs.inorgchem.6b00413_ic6b00413_si_003_clean,0.0374307344,0.1815264581,0.4829267691
51,acs.inorgchem.6b00505_ic6b00505_si_002_clean,0.0857544392,0.3781432047,0.8488267191
52,acs.inorgchem.6b00661_ic6b00661_si_002_clean,0.3121707624,1.4984611326,4.461982683
53,acs.inorgchem.6b00876_ic6b00876_si_002_clean,0.178923877,0.7216885539,1.540366367
54,acs.inorgchem.6b00971_ic6b00971_si_002_clean,0.0282778457,0.1378623787,0.4055016021
55,acs.inorgchem.6b01060_ic6b01060_si_003_clean,0.3060724864,1.218145326,2.4113933783
56,acs.inorgchem.6b01231_ic6b01231_si_003_clean,0.2252071281,1.0650971127,2.9163073452
57,acs.inorgchem.6b01416_ic6b01416_si_001_clean,0.2843961992,1.2825210161,3.2420041419
58,acs.inorgchem.6b01416_ic6b01416_si_004_clean,0.5089170818,1.7323896825,3.0197346503
59,acs.inorgchem.6b01713_ic6b01713_si_002_clean,1.028680232,2.8577161503,4.294300722
60,acs.inorgchem.6b01762_ic6b01762_si_002_clean,0.0448353685,0.2233058869,0.6181131118
61,acs.inorgchem.6b01836_ic6b01836_si_002_clean,0.5343932194,2.4206447708,5.9922790171
62,acs.inorgchem.6b01845_ic6b01845_si_007_clean,0.2464120774,1.0348563914,2.192405698
63,acs.inorgchem.6b02007_delta-Ru_phen_2_4_PF6_2_clean,0.4497365659,1.691201672,3.2498246187
64,acs.inorgchem.6b02160_ic6b02160_si_002_clean,0.1644221966,0.7119505149,1.6939478748
65,acs.inorgchem.6b02332_ic6b02332_si_002_clean,0.3225713129,1.265815594,2.5681561973
66,acs.inorgchem.6b02383_ic6b02383_si_001_clean,0.1928671626,0.7541519861,1.582152566
67,acs.inorgchem.6b02407_ic6b02407_si_003_clean,0.9573681429,3.2297238704,5.3334514065
68,acs.inorgchem.6b02413_ic6b02413_si_002_clean,0.240497563,1.154010963,3.1407457179
69,acs.inorgchem.6b02514_ic6b02514_si_002_clean,0.1460355664,0.6578394746,1.6388683693
70,acs.inorgchem.6b02696_ic6b02696_si_002_clean,0.4485676242,1.9695145069,4.6904393315
71,acs.jpcc.6b04690_jp6b04690_si_004_clean,0.7840428551,1.6016214848,2.2980018117
72,acs.jpcc.6b08594_UiO66_Ce2Zr4_opt_clean,0.3050070561,1.1894423809,2.5982908319
73,acs.jpcc.6b08594_Zn2Cd6MOF5_opt_clean,0.1897412298,0.9275706836,2.7119395714
74,acscombsci.5b00188_3001288_clean,0.3632530221,1.814076478,5.2465417091
75,acscombsci.5b00188_34903_clean,1.3700963875,2.9974851721,3.9540264875
76,acscombsci.5b00188_5020072_clean,0.262660686,1.2645819537,3.6970214427
77,acscombsci.5b00188_5024922_clean,0.2938556682,1.4472817045,4.1692568239
78,acscombsci.5b00188_5036495_clean,0.3005718994,1.4810412718,4.2496184906
79,ACUJOZ_manual,0.3192924197,1.495456747,4.0999840518
80,ADASOP_clean,0.411018527,1.8883798088,5.0534549918
81,ADATIK_clean,0.3101190191,1.4965663995,4.192744225
82,ADATUW_clean,0.2714994901,1.3010792173,3.6228899711
83,ADAVAE_clean,0.2897489439,1.3794711839,3.7663856363
84,ADAVEI_clean,0.2963683785,1.4079326217,3.865821477
85,ADAVIM_clean,0.2764033504,1.3188264542,3.6464906713
86,ADAXEK_clean,0.607773585,1.9972493823,3.366308328
87,ADOBIF_clean,0.259649656,1.0183087022,2.1607662686
88,ADOCEC_clean,0.2466111366,0.9862544972,2.130835897
89,ADODOO_clean,0.4444972849,1.4725929073,2.5337653876
90,ADUROI_clean,0.242711308,1.1681635854,3.4762598807
91,ADUWIH_clean,0.3591269133,1.6785460654,4.427425401
92,ADUWON_clean,0.4381855274,2.1044970603,5.5934209667
93,AFITEP_clean,0.8965788835,2.9436676327,4.8335653002
94,AFITUF_clean,0.3076934733,1.2135130127,2.5335236862
95,AFOVEX_clean,0.4493922021,1.7163849244,3.7857371946
