mof_name,base_atoms,core_atoms
MAGVOG05_clean,52,52
cm503311x_alf100K_clean,56,56
ROQFUA04_clean,80,80
GUJVOX_clean,90,90
DONNIE_clean,72,72
OKAYOQ_clean,63,63
LABJUV_clean,116,116
POKVES_clean,118,118
JAHNEM02_clean,116,116
ja5b02777_si_007_clean,54,54
FEZTIP_clean,112,112
VUCCUT_clean,171,171
MIDRAT_clean,196,196
OSAVEK_clean,68,68
YIJYUN_clean,196,196
JADBIC_clean,74,74
KIRTUC_clean,92,92
MIZPUI_clean,162,162
BIQVII_clean,178,178
HOGJIX_clean,204,204
WAMRIN_clean,162,162
EZOFEF_clean,276,276
RITGUY_clean,116,116
TAKYEL_clean,190,190
SEGMEW_clean,120,120
ja106851d_si_001_clean,304,304
HICZAW_clean,296,296
ENITIF_clean,218,218
IVOLEM_clean,304,304
ICISAP_clean,128,128
PAKXIK_clean,158,158
ic5021302_si_002_clean,296,296
HOGQAX_clean,176,176
HAJYEZ_clean,96,96
COYTEQ_clean,120,120
MIMSUY_clean,272,272
YINXIE_clean,105,105
am301365h_si_002_clean,300,300
WODQUD_clean,68,68
FUDGES_clean,132,132
APAYUN_clean,312,312
LEDCAA_clean,352,352
HIWLOQ_clean,92,92
EKOPOK_clean,144,144
XOMCIN_clean,352,352
VUGXUS_clean,134,134
QEKLID_clean,59,59
JOHQUT_clean,142,142
DITYEM_clean,58,58
VEBHUG_SL,106,106
GITVEL_clean,432,432
XATZOK_clean,214,214
MICNOC_clean,146,146
jp102463p_si_004_clean,36,36
KIXXOG01_clean,92,92
ZARTAP03_clean,68,68
QAJJOB01_clean,104,104
IBITEU_clean,388,388
WIYWOS_clean,288,288
ELEROD_clean,212,212
GOYXEZ_clean,136,136
IXECET_clean,144,144
DITJOH_clean,200,200
QIXNES_clean,164,164
QUJKOX_clean,156,156
VIPZAX_clean,108,108
PYDCUT_clean,44,44
JUFZER_clean,280,280
BELYIC_clean,90,90
BEXQIF_clean,128,128
GUGXOX_clean,108,108
EKOPUQ_clean,230,230
MAKFIQ_clean,212,212
LIVTIT_clean,120,120
FUDHET_clean,264,264
OFODET_clean,140,140
CUXJAI_clean,50,50
DEZCER_clean,248,248
KALGEL_clean,170,170
QOVGOY_clean,38,38
WUDVEY_clean,536,536
VUCDAA_clean,171,171
TIRHIL_clean,80,80
TILBOH_clean,325,325
DONKOI_clean,348,348
RIPKIM_clean,256,256
KOVGOT_clean,358,358
DIKPOD_clean,56,56
BIWSEG_ion_b,16,483
FALVUL01_clean,216,216
GAHXUL_clean,86,86
RUDQUD_clean,176,176
GAJZEY_clean,104,104
TAJXIO04_clean,448,448
XUGROI_clean,248,248
XOFPEP_clean,78,78
OREZES_clean,248,248
EZOBUR_clean,548,548
FAGMEI_clean,600,600
GONTAG_clean,68,68
VUGWUR_clean,134,134
XAKZOZ_clean,736,736
XUFWIF_clean,214,214
jacs.6b08724_ja6b08724_si_013_clean,266,266
HIFTOG01_clean,106,106
FIPWOS_clean,58,58
OZUKUR01_clean,144,144
IJEYON_clean,98,98
KEYMUY_clean,144,144
XAPSIS_clean,76,76
DEBWAK_clean,366,366
KULLAG_clean,676,676
ELERIX_clean,212,212
IBABUL_clean,284,284
YIWNIB_clean,34,34
TUJGAI_clean,456,456
XICNOO02_clean,396,396
XIDSUZ_clean,828,828
REHHUJ_clean,600,600
XITYOP_clean,324,324
XOHTUJ_clean,180,180
NOSTUM01_clean,76,76
MADVUJ_clean,144,144
JIVQOU_clean,100,100
QISNAJ_clean,84,84
ZIMJOW_clean,108,108
RUBTAK05_clean,600,600
acs.inorgchem.6b00136_ic6b00136_si_002_clean,284,284
GEDRAK_clean,128,128
ETEJIX01_clean,48,48
ROQFUA02_clean,80,80
UCOJAZ_clean,648,648
SUCLOT_clean,26,26
MITSAK_clean,152,152
EHAGEB_clean,65,65
TAJXIO01_clean,448,448
WECSAZ01_clean,50,50
MOYZIK_clean,156,156
TUMRUQ_clean,136,136
SOVHOA_clean,40,40
WALBOC_clean,208,208
VAGKOF_clean,436,436
BIQHEQ_clean,178,178
ESURER01_clean,148,148
KOKSIO_clean,104,104
WEVRUK_clean,166,166
VAKNED_clean,209,209
VASFUT_clean,44,44
HAWWAF_clean,108,108
GAXQIH_clean,184,184
VAMQIJ_clean,84,84
IYUHOA_clean,378,378
IWAYEK_clean,114,114
TOHYOF_clean,148,148
AWIBAL_clean,68,68
YEGTAG_clean,58,58
FEYQUW_clean,192,192
WUSXEP_clean,324,324
FOKYEL_clean,204,204
AQIQIC_clean,272,272
HOWROC_clean,420,420
TISJOW_clean,464,464
MAGVOG13_clean,208,208
FUMHEC_clean,128,128
TAFBEJ_clean,140,140
TAJXIO06_clean,896,896
RIFGAQ_clean,624,624
XAMDUM02_clean,156,156
WEYQAU13_clean,152,152
ARINUL_clean,260,260
ZECKID_clean,68,68
ZUTBAR05_clean,28,28
UQOGAK_clean,240,240
IXIPIO_clean,220,220
COWDEZ_clean,764,764
VUHMOC_clean,712,712
BUXZAX_clean,582,582
QUHMOX_clean,148,148
LUQGAG_clean,200,200
RUYQOT_clean,369,369
FALROB_clean,236,236
MAGVOG16_clean,52,52
ROQNES_clean,80,80
CEXHET_clean,996,996
UMODEH_clean,774,774
ILOTOT_clean,152,152
QEPZOB_clean,368,368
MINVUA_SL,76,76
KEYFUR_clean,378,378
MICPEU_clean,146,146
NUYQUU_clean,64,64
LOTDIJ_clean,492,492
FAHQIR_clean,436,436
GAGTAM_clean,224,224
c5gc02393a_c5gc02393a2_clean,330,330
LUDVIP_clean,324,324
IHUTIQ_clean,392,392
HURGUX_clean,178,178
GURPIT_clean,160,160
SUFJIO_clean,256,256
LAQZOV_clean,200,200
QOGZET_clean,156,156
LEDLAJ_clean,464,464
OSAXAI_clean,196,196
DEKPUF_clean,128,128
RUYTIQ_clean,369,369
ENERIY_clean,92,92
OPAMOI_clean,29,29
RUPTED_clean,232,232
EJEHAD_clean,378,378
GONSUZ_clean,116,116
QAWDID_clean,68,68
ROYJUM_clean,224,224
WOPHIU_clean,624,624
ZOXTOX_clean,132,132
KAGWEW_clean,200,200
LUDVOV_clean,656,656
OTEHAY_clean,144,144
LADQOZ_clean,202,202
QIYDOT_clean,484,484
ACECIV_ion_b,228,228
WUTCET_clean,420,420
MAGVOG32_clean,52,52
ALIPEQ_clean,78,78
BELJIL_clean,210,210
MUVHAN_clean,122,122
HAJMIQ_clean,624,624
WODROY_clean,128,128
JADBEY_clean,204,204
ILIFUE_clean,56,56
QARLON_clean,680,680
WEHJOK_clean,664,664
INOMIJ_clean,140,140
VIYMAT_clean,82,82
XADGAM_clean,180,180
ic501849g_si_002_clean,134,134
MUGHED_clean,148,148
MODJOG_clean,88,88
UDAMET_clean,184,184
WUZDOL_clean,384,384
PEMREG_clean,376,376
KOJZOZ_clean,852,852
XUCSAR_clean,72,72
BOQYUD_clean,70,70
CUWXID_clean,256,256
FUSNIR_clean,414,414
BUSNAF_clean,171,171
EGOXII_clean,140,140
MAGVOG09_clean,208,208
YAVVID_clean,120,120
IFUPAC_clean,128,128
AGUWUV_clean,51,51
BIYTAG_clean,188,188
TIDKAS_clean,1296,1296
FOQNOQ02_clean,292,292
WAVQIV_ion_b,675,675
GUQTOB_clean,32,32
XISVUR_clean,216,216
XIGHEB_clean,648,648
ZEVXAB_clean,1264,1264
RINSEM_clean,88,88
QUNVIG_clean,700,700
CUTBOK_clean,216,216
FEJDII01_clean,92,92
KIJPUQ_clean,136,136
HAVYOU_clean,304,304
IZOWAW_clean,192,192
FUSMOW_clean,414,414
j.inoche.2015.01.025_INC05862-mmc2_clean,132,132
BUSGIG_clean,136,136
POFGUO_clean,480,480
