MOF,15bar_AR_313_CORE,5bar_AR_313_CORE,HENRY_AR_313_CORE,time_below_50_313_0.01,time_below_50_313_0.05,time_below_50_313_0.1,time_below_50_313_0.5,time_below_50_313_1
1499489-acs.cgd.6b01265_1499490_clean,3207.4,1377.6,445.7,172.2,279.3,381.2,427.6,418.3
ABAYIO_clean,10225.7,4053.7,732.7,331.0,591.2,688.3,741.2,926.4
ABAYOU_clean,10379.9,4185.9,684.9,332.8,604.9,687.3,729.6,960.4
ABESUX_clean,1008.1,381.7,156.5,51.6,92.3,118.3,166.8,163.2
ABETAE_clean,997.8,385.9,157.9,53.7,89.9,117.9,161.9,162.5
ABETIN_clean,7950.3,2595.3,719.7,274.7,466.0,582.4,677.6,686.6
ABEXEM_clean,825.1,357.1,231.8,74.8,114.6,153.8,231.4,233.7
ABEXEN_clean,1340.5,502.5,248.0,93.0,148.0,184.9,257.0,254.7
ABEXOW_clean,823.9,354.8,229.5,75.3,114.8,212.0,244.3,238.6
ABEXUC_clean,812.3,347.8,228.9,73.1,113.1,153.2,235.3,235.5
ABEYAJ_clean,794.5,347.1,232.1,72.4,115.9,152.5,234.5,238.1
ABEYEN_clean,776.6,345.3,231.7,72.2,115.6,153.2,232.0,236.4
ABEYIR_clean,768.2,340.1,233.7,72.8,114.9,152.3,231.9,237.8
ABIXOZ_clean,374.5,174.2,146.4,45.7,60.5,76.6,145.1,163.6
ABIYIV_clean,1157.1,515.6,411.0,128.2,197.9,254.1,406.2,427.7
ABULOB_clean,1631.2,981.4,190.7,86.0,164.0,188.8,200.7,271.1
ABUWOJ_clean,971.7,405.0,188.0,64.1,110.3,144.4,200.7,204.6
ACAJIY_clean,1688.9,736.1,339.8,119.4,221.6,262.9,361.5,353.0
ACAJIZ_clean,2260.9,948.4,518.9,176.8,290.9,393.0,605.2,581.2
ACAJOF_clean,606.0,296.9,276.2,80.0,110.9,139.4,249.7,278.1
ACIBOE_clean,656.0,241.7,158.3,53.1,79.6,106.0,172.0,178.1
ACOCOM_clean,5317.3,1693.4,1567.3,526.2,658.8,740.8,1025.5,1025.6
ACOCUS_clean,5482.4,1771.9,1629.7,516.2,644.3,780.5,1040.3,1117.9
ACODAZ_clean,5289.4,1758.0,1527.0,495.4,666.8,755.4,1026.8,1071.3
ACODON_clean,1180.6,472.4,235.4,87.0,136.5,180.1,262.8,265.7
ACOGAB_clean,916.9,440.5,225.3,80.5,134.6,177.6,251.3,253.1
ACOGEF_clean,950.4,444.0,235.1,83.0,139.2,183.8,260.3,260.8
ACOLIP_clean,1456.7,672.5,294.2,103.4,180.2,238.6,316.8,323.2
ACOLOV_clean,1793.0,638.9,329.1,113.8,177.5,242.7,338.9,351.0
ACUBAB_clean,1660.1,875.7,234.2,100.6,189.7,240.5,273.7,282.1
ACUFEK_clean,1004.0,379.5,331.2,109.2,140.2,174.2,283.6,305.9
ACUJOZ_manual,3966.7,1274.4,834.3,289.7,370.2,445.6,670.1,687.9
ACUTOI_clean,1411.2,708.1,361.6,124.7,213.5,281.5,376.0,380.9
ADARAA_clean,5446.8,2091.7,1498.6,528.5,671.7,785.9,1022.6,1055.4
ADASAB_charged,,,,175.7,166.2,218.3,313.2,346.6
ADASEF_clean,455.4,236.0,272.0,86.2,101.1,117.5,192.7,221.9
ADASIJ_clean,1797.3,592.1,313.7,109.2,170.7,214.5,327.5,317.2
ADASOP_clean,621.0,229.8,214.6,68.9,92.4,112.9,193.2,203.3
ADASUV_clean,558.3,234.3,225.0,74.0,93.2,112.1,192.8,212.0
ADATAC_clean,537.0,248.5,298.0,95.2,109.3,126.6,205.2,228.0
ADATEG_manual,1235.2,482.1,543.7,162.3,207.7,246.0,398.7,390.2
ADATIK_clean,543.1,290.1,317.4,101.0,120.4,135.8,217.6,240.8
ADATOQ_clean,5520.1,1811.1,657.5,248.2,402.2,514.8,682.3,663.6
ADATUW_clean,5383.6,1806.0,668.2,245.4,393.4,515.0,684.4,670.3
ADAVAE_clean,5628.8,1858.2,752.0,245.7,416.9,536.8,683.8,685.8
ADAVEI_clean,5671.8,1913.5,685.2,249.4,421.1,532.8,682.0,666.3
ADAXEK_clean,808.7,396.0,202.4,75.7,123.8,162.8,229.3,224.9
ADAXIO_clean,1165.6,564.3,280.9,106.6,178.7,229.6,319.4,315.6
ADIQEL_clean,1660.0,1066.9,239.1,119.9,229.8,262.8,286.0,343.9
ADOBAX_charged,,,,70.0,102.4,138.1,222.9,238.4
ADOBEB_charged,,,,72.7,105.5,137.2,225.5,236.3
ADOBIF_clean,589.3,249.2,203.3,61.7,91.6,117.2,193.0,196.7
ADOBOL_charged,,,,67.3,96.5,125.5,212.1,228.2
ADOBUR_charged,,,,72.4,103.9,136.4,230.6,231.1
ADOCEC_clean,539.2,229.4,195.2,57.8,85.3,111.6,184.9,191.5
ADODAA_charged,,,,84.1,124.2,159.8,267.3,280.3
ADODOO_clean,502.1,260.5,192.9,65.1,102.2,135.9,213.0,218.8
ADODUU_clean,508.4,266.4,193.6,66.2,103.6,137.4,214.0,217.9
ADOGEH_clean,19023.3,8072.3,1022.2,632.2,991.1,1046.7,1291.1,2360.8
ADUROI_clean,3830.6,1281.3,1490.6,521.1,608.4,729.8,1077.4,1118.5
ADUWIH_clean,3079.2,1033.2,389.1,149.5,238.0,316.5,434.1,423.4
ADUWON_clean,527.8,247.1,318.2,97.4,114.4,132.2,209.9,230.9
AFEJOK_ion_b,1669.7,692.9,270.6,100.7,171.2,225.6,314.2,317.9
AFEKAX_clean,,,,73.0,137.6,174.5,211.6,216.6
AFENEE_clean,704.2,284.6,232.7,64.3,99.8,128.9,211.9,222.8
AFIPAH_clean,740.1,320.2,183.8,64.1,103.2,135.5,212.0,216.8
AFITEP_clean,1026.4,528.0,206.1,80.3,141.5,184.0,238.6,237.8
AFITUF_clean,796.7,356.5,267.6,87.8,131.2,171.1,265.7,284.2
AFIXAO_clean,2040.3,844.7,451.4,168.4,251.6,342.4,471.6,479.8
AFIXES_clean,2041.2,854.0,449.7,161.2,263.5,346.2,492.4,488.0
AFOTOF_clean,876.9,355.7,187.2,65.6,109.0,143.0,221.2,215.3
AFOTUL_clean,875.7,349.6,189.4,65.5,105.8,142.9,212.4,216.6
AFOVAT_clean,886.8,352.2,188.5,66.0,106.3,141.7,213.1,216.0
AFOVEX_clean,857.1,339.1,186.1,64.8,106.4,140.1,212.6,217.1
AFOVIB_clean,886.2,358.9,188.7,66.4,108.4,145.9,211.4,218.1
AFOVOH_clean,889.7,359.8,192.1,68.3,107.3,143.7,215.6,219.4
AFOYAW_clean,2054.7,839.5,309.2,114.8,204.8,257.6,350.1,349.9
AFOYEB_clean,411.0,258.2,253.6,69.5,100.9,131.3,237.1,245.9
AFOYIE_clean,408.5,158.3,145.0,43.4,57.1,72.0,132.0,145.7
AFOYOK_clean,1516.2,542.0,292.5,98.8,157.5,210.3,321.7,331.3
AFUKET_clean,2525.1,1118.3,427.8,163.6,302.8,383.1,436.6,440.9
AFUKIX_clean,1410.3,502.3,362.9,122.1,177.3,228.7,361.9,386.7
AFUPEX_clean,705.2,275.0,140.1,48.2,76.9,103.8,159.7,162.3
AGABIU_clean,185.7,122.9,103.8,33.2,39.0,47.9,86.8,111.9
AGARUW_clean,612.8,257.8,198.2,61.3,92.1,119.1,198.8,206.8
AGIREP_clean,6457.6,2331.8,493.7,215.8,394.7,496.5,553.8,556.1
AGOFEJ_clean,1040.2,410.6,457.8,144.8,180.4,219.6,337.7,378.7
AGONAM_clean,976.6,438.6,195.9,72.2,122.4,161.7,226.5,226.7
AGONEQ_clean,617.6,224.0,134.4,40.8,65.7,89.2,140.3,139.3
AGOVOJ_clean,184.5,120.5,141.0,42.2,49.9,55.6,92.3,108.4
AGUBUA_clean,1358.4,745.2,151.6,74.1,138.1,159.7,164.2,238.7
AGUVOO_charged,,,,171.6,278.9,357.2,456.0,454.7
AHAMAY_clean,834.1,552.3,279.4,107.9,199.1,261.2,305.8,304.0
AHEQAH_clean,745.6,245.0,163.1,49.2,77.9,100.2,156.7,164.0
AHIYOH_clean,2783.8,1574.0,510.9,201.6,368.2,432.3,487.4,521.0
AHOKIR01_clean,1079.0,608.5,223.6,89.4,158.7,205.4,262.8,259.3
AHOKIR_clean,1010.8,447.5,185.3,67.4,119.2,155.9,214.3,218.0
AHOKOX_clean,1120.6,447.8,174.7,57.6,105.9,136.1,180.5,182.5
AHUFIU_clean,719.9,294.7,272.7,85.9,110.8,138.5,246.3,268.6
AJAKON_clean,1107.4,497.8,296.2,101.7,167.3,221.8,323.9,332.5
AJAYIT_clean,958.9,454.2,342.2,115.0,173.2,230.0,371.0,379.6
AJIGIL_clean,1989.5,761.4,653.9,212.1,288.6,375.8,620.5,647.5
AJOTEY_clean,525.7,192.1,116.1,37.6,57.7,76.4,121.9,124.9
AJOVEB_clean,1964.9,958.5,393.3,140.9,249.2,327.1,434.3,444.7
AJOXAA_clean,1222.7,550.5,223.2,81.7,143.1,187.7,246.0,251.7
AKEDIF_clean,1091.7,472.1,222.8,81.4,135.2,178.0,245.9,250.8
AKOBAF_clean,2231.5,1094.6,432.7,162.5,279.3,369.5,480.2,465.0
AKOHEO_clean,654.1,262.3,209.3,66.9,96.6,124.3,215.6,230.5
AKOXIJ_clean,5071.1,3244.6,435.7,314.4,440.0,451.0,772.9,1261.1
AKUKUO_clean,717.4,357.2,231.3,75.9,123.3,163.1,248.0,249.1
ALAHUS_clean,1479.8,589.3,364.6,116.7,170.8,224.7,402.8,329.2
ALAMUW_clean,589.4,208.7,147.1,48.5,72.2,93.6,161.8,168.1
ALANAD_clean,1091.6,375.1,221.7,73.2,115.0,145.5,222.5,229.5
ALEJAE_clean,1100.0,339.3,216.9,73.7,107.8,143.0,228.4,233.4
ALEJEI_clean,1170.6,449.0,586.2,167.3,214.9,248.6,340.5,369.1
ALEJIM_clean,1186.8,540.0,601.8,167.1,209.5,257.7,361.6,388.2
ALEQIT_clean,742.7,367.5,254.7,88.5,139.9,185.5,290.9,295.5
ALIBUT_clean,3119.8,1221.0,504.9,184.0,305.0,405.6,530.6,528.7
ALICAA_clean,2948.3,1142.9,504.9,176.8,294.0,390.3,538.5,512.2
ALIXAU_clean_h,640.5,288.7,234.3,80.4,109.6,143.3,239.4,255.5
ALIXOJ_clean,814.7,296.2,203.9,67.4,100.3,133.4,222.2,238.3
ALIXUP_clean,357.5,236.9,226.6,62.6,78.0,98.8,174.2,211.8
ALOLES_ion_b,290.0,281.9,248.6,73.3,86.5,98.1,173.8,225.5
ALOLET_charged,,,,201.0,330.5,404.2,514.8,510.0
ALOLIX_charged,,,,177.6,277.9,347.9,472.9,480.5
ALOLIY_clean,294.7,258.1,238.4,70.9,82.6,96.6,170.8,214.9
ALONEV_clean,743.3,420.9,520.7,148.7,182.2,227.8,363.4,379.8
ALUJEX_clean,892.2,407.7,233.1,82.6,132.1,172.1,257.5,261.0
ALUJIB_clean,871.0,389.4,227.8,79.6,126.5,172.3,253.8,250.0
ALUJOH_clean,845.9,366.1,226.9,76.8,121.6,158.5,244.6,242.6
ALUKIC_clean,578.3,203.5,158.1,52.0,72.0,93.3,163.9,178.1
ALUKOI_clean,580.3,203.5,156.9,51.4,73.4,92.8,164.9,177.9
ALUKUO_clean,575.6,201.7,157.0,50.2,70.5,91.0,162.7,174.9
ALULAV_clean,582.5,202.9,156.5,51.7,71.1,92.9,163.7,177.4
ALULEZ_clean,215.3,185.6,216.9,65.1,73.0,80.4,125.8,152.6
ALULID_clean,467.8,186.0,153.9,48.6,67.2,87.8,156.1,167.8
ALURAB_clean,2102.0,816.1,382.2,134.5,222.3,280.1,395.7,406.4
ALUREF_clean,2122.7,854.6,396.5,126.8,218.9,280.8,389.9,389.0
ALURIJ_clean,2114.9,866.0,391.9,136.9,221.9,294.0,403.5,395.4
