MOF,Total time (s)
1499489-acs.cgd.6b01265_1499490_clean,3207.4
ABAYIO_clean,10225.7
ABAYOU_clean,10379.9
ABESUX_clean,1008.1
ABETAE_clean,997.8
ABETIN_clean,7950.3
ABEXEM_clean,825.1
ABEXEN_clean,1340.5
ABEXOW_clean,823.9
ABEXUC_clean,812.3
ABEYAJ_clean,794.5
ABEYEN_clean,776.6
ABEYIR_clean,768.2
ABIXOZ_clean,374.5
ABIYIV_clean,1157.1
ABULOB_clean,1631.2
ABUWOJ_clean,971.7
ACAJIY_clean,1688.9
ACAJIZ_clean,2260.9
ACAJOF_clean,606.0
ACIBOE_clean,656.0
ACOCOM_clean,5317.3
ACOCUS_clean,5482.4
ACODAZ_clean,5289.4
ACODON_clean,1180.6
ACOGAB_clean,916.9
ACOGEF_clean,950.4
ACOLIP_clean,1456.7
ACOLOV_clean,1793.0
ACUBAB_clean,1660.1
ACUFEK_clean,1004.0
ACUJOZ_manual,3966.7
ACUTOI_clean,1411.2
ADARAA_clean,5446.8
ADASEF_clean,455.4
ADASIJ_clean,1797.3
ADASOP_clean,621.0
ADASUV_clean,558.3
ADATAC_clean,537.0
ADATEG_manual,1235.2
ADATIK_clean,543.1
ADATOQ_clean,5520.1
ADATUW_clean,5383.6
ADAVAE_clean,5628.8
ADAVEI_clean,5671.8
ADAXEK_clean,808.7
ADAXIO_clean,1165.6
ADIQEL_clean,1660.0
ADOBIF_clean,589.3
ADOCEC_clean,539.2
ADODOO_clean,502.1
ADODUU_clean,508.4
ADOGEH_clean,19023.3
ADUROI_clean,3830.6
ADUWIH_clean,3079.2
ADUWON_clean,527.8
AFEJOK_ion_b,1669.7
AFENEE_clean,704.2
AFIPAH_clean,740.1
AFITEP_clean,1026.4
AFITUF_clean,796.7
AFIXAO_clean,2040.3
AFIXES_clean,2041.2
AFOTOF_clean,876.9
AFOTUL_clean,875.7
AFOVAT_clean,886.8
AFOVEX_clean,857.1
AFOVIB_clean,886.2
AFOVOH_clean,889.7
AFOYAW_clean,2054.7
AFOYEB_clean,411.0
AFOYIE_clean,408.5
AFOYOK_clean,1516.2
AFUKET_clean,2525.1
AFUKIX_clean,1410.3
AFUPEX_clean,705.2
AGABIU_clean,185.7
AGARUW_clean,612.8
AGIREP_clean,6457.6
AGOFEJ_clean,1040.2
AGONAM_clean,976.6
AGONEQ_clean,617.6
AGOVOJ_clean,184.5
AGUBUA_clean,1358.4
AHAMAY_clean,834.1
AHEQAH_clean,745.6
AHIYOH_clean,2783.8
AHOKIR01_clean,1079.0
AHOKIR_clean,1010.8
AHOKOX_clean,1120.6
AHUFIU_clean,719.9
AJAKON_clean,1107.4
AJAYIT_clean,958.9
AJIGIL_clean,1989.5
AJOTEY_clean,525.7
AJOVEB_clean,1964.9
AJOXAA_clean,1222.7
AKEDIF_clean,1091.7
AKOBAF_clean,2231.5
AKOHEO_clean,654.1
AKOXIJ_clean,5071.1
AKUKUO_clean,717.4
ALAHUS_clean,1479.8
ALAMUW_clean,589.4
ALANAD_clean,1091.6
ALEJAE_clean,1100.0
ALEJEI_clean,1170.6
ALEJIM_clean,1186.8
ALEQIT_clean,742.7
ALIBUT_clean,3119.8
ALICAA_clean,2948.3
ALIXAU_clean_h,640.5
ALIXOJ_clean,814.7
ALIXUP_clean,357.5
ALOLES_ion_b,290.0
ALOLIY_clean,294.7
ALONEV_clean,743.3
ALUJEX_clean,892.2
ALUJIB_clean,871.0
ALUJOH_clean,845.9
ALUKIC_clean,578.3
ALUKOI_clean,580.3
ALUKUO_clean,575.6
ALULAV_clean,582.5
ALULEZ_clean,215.3
ALULID_clean,467.8
ALURAB_clean,2102.0
ALUREF_clean,2122.7
ALURIJ_clean,2114.9
AMAFOK_clean,916.9
