MOF,Total time (s)
1499489-acs.cgd.6b01265_1499490_clean,279.3
ACOCOM_clean,658.8
ACOCUS_clean,644.3
ACODAZ_clean,666.8
acs.cgd.5b01554_VAGNUP1452791_clean,129.6
acs.chemmater.5b03723_cm5b03723_si_004_clean,344.9
acs.chemmater.5b03723_cm5b03723_si_005_clean,157.3
acscombsci.5b00188_34903_clean,214.2
acscombsci.5b00188_5013797_clean,89.8
acs.inorgchem.5b02316_ic5b02316_si_002_clean,451.2
acs.inorgchem.5b02378_ic5b02378_si_002_clean,645.0
acs.inorgchem.6b00136_ic6b00136_si_002_clean,323.6
acs.inorgchem.6b00276_ic6b00276_si_006_clean,2162.2
acs.inorgchem.6b01211_ic6b01211_si_002_clean,135.4
acs.inorgchem.6b01416_ic6b01416_si_004_clean,162.7
acs.inorgchem.6b01762_ic6b01762_si_002_clean,118.0
acs.jpcc.6b04690_jp6b04690_si_005_clean,690.4
ADOBIF_clean,91.6
AFEKAX_clean,137.6
AGUBUA_clean,138.1
AHIYOH_clean,368.2
AHUFIU_clean,110.8
AKOXIJ_clean,440.0
am301365h_si_002_clean,115.9
AMIZIG_clean,145.6
ANOMOG_clean,102.3
APEBII_clean,370.2
APEBOO_clean,399.5
AQEGUY_clean,191.4
AQERUL_clean,1119.7
AQIXUU_clean,247.3
AQOLOJ_clean,210.7
AQOTIK_clean,77.0
ASANAL_clean,166.1
ASEKAM_clean,166.8
ASEXED_clean,392.6
ASIVEF_clean,121.6
ATEJOA_clean,415.1
ATEZEG_clean,108.2
ATEZIK_clean,103.3
ATUZEW_clean,174.8
AVETAY_clean,79.3
AWEJES_clean,222.8
AWEWOP_clean,234.8
AWUPOZ_clean,68.5
AXIGAR_clean,87.3
AXINAX_clean,128.9
BABREE_clean,301.0
BADXAI_clean,323.1
BAKYIY_clean,118.0
BEGDEY_clean,336.1
BERQIA_clean,479.3
BETDOV_clean,136.7
BETFOX_clean,139.8
BEWCUD_clean,71.9
BEWVEG_clean,115.1
BEXTUV_clean,194.0
BEXVAD01_clean,150.1
BEXVAD_clean,167.4
BEXVIL_clean,66.0
BICDAU_clean,61.4
BIHBEB_clean,164.4
BIJFAD_clean,155.7
BINMIW_clean,341.3
BIPBAF_clean,117.9
BIRGIU_clean,133.7
BIWSOQ_clean,193.1
BOHWOM_clean,186.5
BORBEQ_clean,119.7
BOSHIC_clean,286.1
BOWSOW_clean,110.2
BUBDIL_clean,779.8
BUCSAU_clean,275.9
BUCSIC01_clean,303.5
BUKMUQ_clean,52.9
BUPDOH_clean,216.4
BUVVIZ_clean,191.6
BUVVOF_clean,190.8
BUXTUL_clean,426.6
c4dt02048k_c4dt02048k2_clean,131.9
c4ra13058h_c4ra13058h2_clean,266.6
c5cc09935h_c5cc09935h2_clean,148.8
c5ce00923e_c5ce00923e2_clean,292.2
c5ce00931f_c5ce00931f2_clean,168.6
c5ce01790d_c5ce01790d1_clean,302.9
c5ce02503f_c5ce02503f2_clean,1580.1
c5dt01100k_c5dt01100k2_clean,171.1
c5dt02651b_c5dt02651b2_clean,131.4
c5dt03038b_c5dt03038b2_clean,124.1
c5dt03710g_c5dt03710g2_clean,126.5
c5dt04943a_c5dt04943a2_clean,113.6
c5dt05023e_c5dt05023e2_clean,247.8
c5nj02236c_c5nj02236c2_clean,250.2
c5nj03044g_c5nj03044g2_clean,370.8
c5qi00128e_c5qi00128e2_clean,287.6
c5sc00614g_c5sc00614g2_clean,523.1
c5ta03835a_c5ta03835a2_clean,182.1
c5ta05481h_c5ta05481h2_clean,449.5
c5ta09507g_c5ta09507g2_clean,1364.5
c5ta10401g_c5ta10401g2_clean,779.6
c6cc00589f_c6cc00589f2_clean,116.2
c6cc00589f_c6cc00589f3_clean,33.9
c6cc01597b_c6cc01597b2_clean,204.2
c6cc03787a_c6cc03787a2_clean,183.8
c6ce00465b_c6ce00465b2_clean,65.1
c6dt01288d_c6dt01288d2_clean,489.5
c6ta07145g_c6ta07145g2_clean,776.1
CACNOM_clean,203.7
CASWIE_clean,95.5
CAVMIX_clean,339.8
CAXSUR_SL,108.5
CAYQIE_clean,106.5
CAYQOK_clean,243.4
CAYQUQ_clean,132.9
CEDFOI_clean,359.1
CEDFUO_clean,249.0
CEKNIQ_clean,180.3
CEMKOV_clean,133.8
CESFIQ_clean,224.8
CESFOW_clean,129.9
CEYYIQ_clean,108.1
cg050585esi20051105_115011_clean,236.9
cg100357q_si_002_clean,352.7
cg2007167_si_002_clean,190.3
cg3002866_si_001_clean,493.7
cg300979c_si_002_clean,174.0
cg3015354_si_002_clean,152.1
cg4012185_si_002_clean,562.0
