GAS,TEMP,LOW,HIGH,INPUT,SAMPLING,MODEL,R2_MEAN,R2_STD,MAE_MEAN,MAE_STD
He,293,Henry,15,struct+input,random_struct,rf,0.955991737100413,0.047184540155034295,0.018258097145986422,0.0007685524617521941
He,273,Henry,15,struct+input,random_struct,cat,0.9641841087817344,0.05401119037245987,0.00699990817527774,0.0005718268917801241
Ar,293,Henry,1,struct+input,random_struct,gbm,0.9187839224003929,0.014927183160762681,0.051649943991008085,0.001180242402331622
Ar,273,Henry,5,struct+input,random_struct,cat,0.9316785683780193,0.00692187992431432,0.13870012464353393,0.00528981766598184
He,313,Henry,5,struct+input,random_struct,rf,0.9566032887447669,0.040994132863371335,0.0054129809182989,0.0002587206250749107
Ar,293,Henry,15,struct+input,random_struct,rf,0.9582340030382014,0.002574928006776444,0.17853610551101434,0.0052973086804485245
Ar,313,Henry,1,struct+input,random_struct,rf,0.9013018730092949,0.03135740486792101,0.0203188991871575,0.002732878332878113
Ar,273,Henry,1,struct+input,random_struct,rf,0.8838250621669232,0.019478439409878354,0.04559436402002968,0.0025570862603612097
He,293,Henry,1,struct+input,random_struct,rf,0.955305930938651,0.04355275586257226,0.0012572923889896197,5.51779653174732e-05
He,293,Henry,1,struct+input,random_struct,cat,0.9657879703239424,0.051608867782815905,0.00044073894202884,3.25806281268011e-05
Ar,273,Henry,15,struct+input,random_struct,cat,0.9477419790503377,0.005993988010148648,0.2639854484310576,0.010788144510187347
He,293,Henry,5,struct+input,random_struct,cat,0.96736386885503,0.04876664464843384,0.00209495897487944,0.00014901313880653688
Ar,293,Henry,5,struct+input,random_struct,gbm,0.891952935690839,0.00976793261356778,0.17627926069624789,0.004458724312755913
He,313,Henry,5,struct+input,random_struct,cat,0.9669133741364782,0.04897035117763329,0.00196703575721538,0.00015393788470878972
He,273,Henry,1,struct+input,random_struct,rf,0.9564288141646177,0.04448097724161533,0.00148197525945248,6.288742722270251e-05
He,313,Henry,15,struct+input,random_struct,cat,0.9635984738681739,0.05443487784085508,0.0059668023849216,0.00046472664318274306
He,273,Henry,5,struct+input,random_struct,cat,0.9663743842225978,0.04818809491584112,0.00229418943518628,0.00017349587880256936
Ar,273,Henry,5,struct+input,random_struct,gbm,0.8922590010810081,0.00736360382435785,0.2185461592453414,0.005178553075140071
Ar,273,Henry,15,struct+input,random_struct,rf,0.9452341749017321,0.005962213638122467,0.2599623647681783,0.012045102400745616
Ar,313,Henry,15,struct+input,random_struct,rf,0.9608874575689172,0.005625814124237165,0.1322169483891988,0.0034732206202139106
Ar,313,Henry,15,struct+input,random_struct,gbm,0.8980892707905017,0.005734745990743354,0.2730486165430527,0.007781424913829476
Ar,293,Henry,15,struct+input,random_struct,cat,0.9624757925407307,0.003201978818943569,0.17436225433587885,0.00410790583529035
Ar,293,Henry,5,struct+input,random_struct,rf,0.9517022586348023,0.01081716240507417,0.07794491115800777,0.0033382281007441907
