,gas,temperature,low_pressure,high_pressure,struct_info,sampling,model,trial_001_Model,R2_mean,R2_std,MAE_mean,MAE_std,RMSE_mean,RMSE_std,MAPE_percent_mean,MAPE_percent_std,fit_time_sec_mean,fit_time_sec_std,predict_time_sec_mean,predict_time_sec_std
0,Ar,273K,0.01,15,struct+input,qt_then_rd,cat,cat,0.946892784,0.003218677,0.265518674,0.005655113,0.144278623,0.009132341,7.038604125,0.153524316,3.450754976,0.051643933,0.002349138,6.29E-05
1,Ar,273K,0.01,15,struct+input,qt_then_rd,gbm,gbm,0.943353921,0.003907813,0.274633214,0.006778148,0.153864931,0.010469975,7.259229734,0.211590285,15.58318391,0.293691175,0.012451315,8.88E-05
2,Ar,273K,0.01,15,struct+input,qt_then_rd,rf,rf,0.943628766,0.004223746,0.261759896,0.00836683,0.153101279,0.011055983,6.901858099,0.235020637,36.69004607,0.131235337,0.292741013,0.012136853
3,Ar,273K,0.01,15,struct+input,random_struct,cat,cat,0.945273438,0.007504234,0.275067206,0.011232321,0.178021232,0.031129515,7.543422224,0.193693606,3.542475033,0.161342361,0.002111006,0.000190774
4,Ar,273K,0.01,15,struct+input,random_struct,gbm,gbm,0.943916028,0.006183887,0.280397936,0.012097886,0.182328132,0.02737567,7.557032455,0.203880788,15.43661838,0.029866849,0.012784767,0.000127467
5,Ar,273K,0.01,15,struct+input,random_struct,rf,rf,0.940576317,0.00630549,0.273243668,0.013890839,0.193149299,0.027903637,7.294936144,0.254807998,36.79729295,0.139418464,0.283477926,0.00876465
6,Ar,273K,0.01,15,struct,random_struct,cat,cat,0.748705215,0.021054013,0.621909662,0.026885986,0.816039259,0.097602696,19.97845107,0.841979153,3.326019669,0.020909944,0.001948547,3.27E-05
7,Ar,273K,0.01,15,struct,random_struct,gbm,gbm,0.729446691,0.019103841,0.640355406,0.025071576,0.878083738,0.090985806,20.35820694,0.729765232,13.9038867,0.358879455,0.011641598,7.68E-05
8,Ar,273K,0.01,15,struct,random_struct,rf,rf,0.749882165,0.023035702,0.593342937,0.027173307,0.812208025,0.102706166,19.06611944,0.805383508,37.04594669,0.669882552,0.294260216,0.020502859
9,Ar,273K,0.01,1,struct+input,qt_then_rd,cat,cat,0.982536674,0.002399624,0.019908396,0.000700784,0.001226852,0.000167191,3.652608282,0.084859843,3.468044996,0.063469976,0.002334309,6.00E-05
10,Ar,273K,0.01,1,struct+input,qt_then_rd,gbm,gbm,0.982109284,0.002105244,0.019241223,0.00046875,0.00125674,0.000145611,3.378404955,0.061391815,15.44503789,0.04770861,0.011739397,0.000162031
11,Ar,273K,0.01,1,struct+input,qt_then_rd,rf,rf,0.980680193,0.002627655,0.019266679,0.000504838,0.001354856,0.000161411,3.291536077,0.05405001,37.42671061,0.176416645,0.275723934,0.002239841
12,Ar,273K,0.01,1,struct+input,random_struct,cat,cat,0.959935859,0.017864848,0.030927458,0.00300303,0.009396345,0.005174569,4.535763705,0.194888095,3.579722881,0.153771753,0.002376938,2.50E-05
13,Ar,273K,0.01,1,struct+input,random_struct,gbm,gbm,0.95872641,0.016051305,0.03057468,0.003032094,0.009598982,0.004718339,4.015659962,0.18669547,15.39610758,0.048486662,0.012455273,0.000523541
14,Ar,273K,0.01,1,struct+input,random_struct,rf,rf,0.960352477,0.011779345,0.030495932,0.002430611,0.009152061,0.003708704,3.867623987,0.113646404,37.13437562,0.109839376,0.288209152,0.002473603
15,Ar,273K,0.01,1,struct,random_struct,cat,cat,0.392269983,0.037119813,0.212007605,0.007552143,0.137685404,0.024460617,53.26237275,4.207201506,3.153469706,0.036602467,0.002464437,0.000454256
16,Ar,273K,0.01,1,struct,random_struct,gbm,gbm,0.288677376,0.025899722,0.226239667,0.007673912,0.160550438,0.02296257,55.95084672,3.346199166,13.75067129,0.126611006,0.011586905,0.000190358
17,Ar,273K,0.01,1,struct,random_struct,rf,rf,0.368565771,0.04974628,0.204124557,0.010165879,0.143212792,0.027808885,51.3716324,3.234273335,41.47132478,0.560839455,0.327086782,0.031534356
18,Ar,273K,0.01,5,struct+input,qt_then_rd,cat,cat,0.948892364,0.002546908,0.117855299,0.001882719,0.034013241,0.001402127,6.047396362,0.150313296,3.444848776,0.084264129,0.002298164,3.48E-05
19,Ar,273K,0.01,5,struct+input,qt_then_rd,gbm,gbm,0.943950152,0.002337554,0.121627229,0.002319153,0.037310416,0.001460283,6.152639565,0.175878018,15.64959731,0.177628485,0.01198101,0.000206117
20,Ar,273K,0.01,5,struct+input,qt_then_rd,rf,rf,0.945515773,0.004397611,0.114815275,0.004165447,0.036248558,0.002567809,5.791455655,0.217163059,35.90681281,0.096807059,0.286347961,0.004041441
21,Ar,273K,0.01,5,struct+input,random_struct,cat,cat,0.93998246,0.009815396,0.135729772,0.007582831,0.062432587,0.014378474,6.910394473,0.323842113,3.437002611,0.098016092,0.002402496,0.000148405
