,gas,temperature,low_pressure,high_pressure,struct_info,sampling,model,trial_001_Model,R2_mean,R2_std,MAE_mean,MAE_std,RMSE_mean,RMSE_std,MAPE_percent_mean,MAPE_percent_std,fit_time_sec_mean,fit_time_sec_std,predict_time_sec_mean,predict_time_sec_std
2,Ar,273K,0.01,15,struct+input,qt_then_rd,rf,rf,0.943628766,0.004223746,0.261759896,0.00836683,0.153101279,0.011055983,6.901858099,0.235020637,36.69004607,0.131235337,0.292741013,0.012136853
5,Ar,273K,0.01,15,struct+input,random_struct,rf,rf,0.940576317,0.00630549,0.273243668,0.013890839,0.193149299,0.027903637,7.294936144,0.254807998,36.79729295,0.139418464,0.283477926,0.00876465
8,Ar,273K,0.01,15,struct,random_struct,rf,rf,0.749882165,0.023035702,0.593342937,0.027173307,0.812208025,0.102706166,19.06611944,0.805383508,37.04594669,0.669882552,0.294260216,0.020502859
11,Ar,273K,0.01,1,struct+input,qt_then_rd,rf,rf,0.980680193,0.002627655,0.019266679,0.000504838,0.001354856,0.000161411,3.291536077,0.05405001,37.42671061,0.176416645,0.275723934,0.002239841
14,Ar,273K,0.01,1,struct+input,random_struct,rf,rf,0.960352477,0.011779345,0.030495932,0.002430611,0.009152061,0.003708704,3.867623987,0.113646404,37.13437562,0.109839376,0.288209152,0.002473603
17,Ar,273K,0.01,1,struct,random_struct,rf,rf,0.368565771,0.04974628,0.204124557,0.010165879,0.143212792,0.027808885,51.3716324,3.234273335,41.47132478,0.560839455,0.327086782,0.031534356
20,Ar,273K,0.01,5,struct+input,qt_then_rd,rf,rf,0.945515773,0.004397611,0.114815275,0.004165447,0.036248558,0.002567809,5.791455655,0.217163059,35.90681281,0.096807059,0.286347961,0.004041441
23,Ar,273K,0.01,5,struct+input,random_struct,rf,rf,0.933061865,0.007594963,0.136207455,0.008158256,0.069449909,0.012718963,6.508803375,0.364351473,36.02950697,0.130034632,0.307542229,0.032771002
26,Ar,273K,0.01,5,struct,random_struct,rf,rf,0.531827906,0.039540325,0.44721471,0.021846358,0.484481654,0.070997794,30.2847758,1.312545915,39.23553166,0.787774306,0.288918543,0.010691859
29,Ar,273K,0.05,15,struct+input,qt_then_rd,rf,rf,0.941933893,0.005258559,0.257144053,0.006716381,0.154363587,0.015643372,6.733163128,0.236837149,36.59245005,0.091075151,0.302118731,0.029427003
32,Ar,273K,0.05,15,struct+input,random_struct,rf,rf,0.941726031,0.006712445,0.26988916,0.014003283,0.189474143,0.029209446,7.214588913,0.280146946,36.63060312,0.194022558,0.287716675,0.012952559
