Unnamed: 0,gas,temperature,low_pressure,high_pressure,struct_info,sampling,model,R2_mean,R2_std,MAE_mean,MAE_std,RMSE_mean,RMSE_std,MAPE_percent_mean,MAPE_percent_std
1,Ar,273,0.01,15,struct+input,qt_then_rd,gbm,0.85647173,0.103076617,0.28971605,0.005895738,0.454340751,0.354541652,7.367535066,0.210504295
4,Ar,273,0.01,15,struct+input,random_struct,gbm,0.901457,0.075646195,0.297565342,0.010201901,0.345240579,0.29384194,7.938503574,0.182164014
7,Ar,273,0.01,15,struct,random_struct,gbm,0.686296955,0.059769833,0.662577181,0.025456146,1.074279877,0.282526657,21.1994492,1.013756963
10,Ar,273,0.01,1,struct+input,qt_then_rd,gbm,0.981331907,0.003010158,0.019571744,0.000833907,0.001350492,0.000221665,3.351345478,0.105110897
13,Ar,273,0.01,1,struct+input,random_struct,gbm,0.951853761,0.017205742,0.031251687,0.003117491,0.011898076,0.005651632,4.002876519,0.073259638
16,Ar,273,0.01,1,struct,random_struct,gbm,0.306523927,0.029923362,0.226446381,0.0090229,0.164815433,0.027908796,56.41932108,4.293056112
19,Ar,273,0.01,5,struct+input,qt_then_rd,gbm,0.908924869,0.043269487,0.126592849,0.002192109,0.064678807,0.032840793,6.221880983,0.044418852
22,Ar,273,0.01,5,struct+input,random_struct,gbm,0.913754539,0.024938895,0.147630222,0.004829751,0.090987732,0.026523895,7.237037375,0.246709102
25,Ar,273,0.01,5,struct,random_struct,gbm,0.448448693,0.026797826,0.499330505,0.020337652,0.583998784,0.063968941,34.00751122,2.046447163
28,Ar,273,0.05,15,struct+input,qt_then_rd,gbm,0.89165038,0.079621075,0.284061132,0.008570298,0.32744971,0.287457198,7.324373544,0.270044309
31,Ar,273,0.05,15,struct+input,random_struct,gbm,0.902000696,0.074063125,0.292532779,0.008337159,0.342989637,0.287863316,7.766811944,0.256491586
34,Ar,273,0.05,15,struct,random_struct,gbm,0.686296955,0.059769833,0.662577181,0.025456146,1.074279877,0.282526657,21.1994492,1.013756963
37,Ar,273,0.05,1,struct+input,qt_then_rd,gbm,0.982754819,0.002127529,0.017339481,0.000820109,0.001225576,0.000202034,2.839398534,0.051649188
40,Ar,273,0.05,1,struct+input,random_struct,gbm,0.968556807,0.009673051,0.02725381,0.002623537,0.007676115,0.003122065,3.486839559,0.106436207
43,Ar,273,0.05,1,struct,random_struct,gbm,0.306523927,0.029923362,0.226446381,0.0090229,0.164815433,0.027908796,56.41932108,4.293056112
46,Ar,273,0.05,5,struct+input,qt_then_rd,gbm,0.918626705,0.032532766,0.123228153,0.006062843,0.055183037,0.027043612,6.053040103,0.231276965
49,Ar,273,0.05,5,struct+input,random_struct,gbm,0.916406907,0.026881779,0.142261509,0.004887319,0.087966457,0.027966932,6.925322535,0.196923447
52,Ar,273,0.05,5,struct,random_struct,gbm,0.448448693,0.026797826,0.499330505,0.020337652,0.583998784,0.063968941,34.00751122,2.046447163
55,Ar,273,0.1,15,struct+input,qt_then_rd,gbm,0.897252847,0.082996222,0.28114025,0.00693404,0.310296511,0.29977163,7.336636854,0.174308817
58,Ar,273,0.1,15,struct+input,random_struct,gbm,0.903515612,0.074696828,0.290312327,0.007890682,0.338212527,0.290043759,7.696810292,0.222202558
61,Ar,273,0.1,15,struct,random_struct,gbm,0.686296955,0.059769833,0.662577181,0.025456146,1.074279877,0.282526657,21.1994492,1.013756963
64,Ar,273,0.1,1,struct+input,qt_then_rd,gbm,0.984055167,0.001530609,0.016330028,0.000337235,0.001137602,0.000160719,2.693934156,0.035178758
