iter	Passed	Remaining
0	56	28217
1	61	15275
2	69	11485
3	77	9567
4	84	8401
5	92	7630
6	100	7069
7	108	6651
8	116	6334
9	123	6070
10	131	5861
11	139	5692
12	148	5562
13	156	5434
14	164	5311
15	172	5203
16	179	5107
17	187	5020
18	195	4941
19	203	4876
20	210	4810
21	218	4752
22	226	4698
23	234	4648
24	242	4604
25	250	4561
26	258	4520
27	265	4483
28	273	4448
29	281	4416
30	289	4383
31	297	4352
32	305	4326
33	313	4295
34	321	4271
35	329	4244
36	337	4220
37	345	4195
38	353	4172
39	360	4150
40	368	4129
41	376	4110
42	384	4089
43	392	4068
44	400	4051
45	408	4035
46	416	4015
47	424	3994
48	431	3974
49	439	3955
50	447	3936
51	455	3920
52	462	3903
53	470	3887
54	478	3871
55	486	3856
56	494	3840
57	501	3825
58	509	3810
59	517	3796
60	525	3783
61	533	3769
62	541	3754
63	549	3741
64	557	3727
65	564	3713
66	572	3701
67	580	3689
68	588	3676
69	596	3664
70	604	3651
71	612	3640
72	620	3629
73	628	3616
74	636	3605
75	644	3595
76	653	3587
77	661	3577
78	669	3566
79	677	3554
80	685	3543
81	692	3531
82	700	3520
83	708	3509
84	716	3497
85	724	3487
86	732	3476
87	740	3464
88	748	3454
89	755	3443
90	764	3434
91	771	3423
92	779	3411
93	787	3400
94	795	3390
95	802	3379
96	810	3368
97	818	3357
98	826	3346
99	834	3337
100	842	3327
101	849	3316
102	857	3306
103	865	3296
104	873	3286
105	881	3277
106	889	3267
107	897	3256
108	905	3247
109	913	3237
110	921	3228
111	929	3218
112	937	3209
113	944	3199
114	952	3189
115	960	3180
116	968	3170
117	976	3161
118	984	3151
119	992	3141
120	1000	3132
121	1007	3122
122	1015	3113
123	1023	3104
124	1031	3094
125	1039	3084
126	1047	3075
127	1055	3066
128	1063	3057
129	1070	3048
130	1078	3039
131	1087	3030
132	1088	3002
133	1096	2994
134	1104	2986
135	1112	2978
136	1120	2969
137	1122	2943
138	1129	2934
139	1137	2925
140	1145	2917
141	1153	2909
142	1161	2900
143	1169	2891
144	1176	2881
145	1185	2873
146	1193	2865
147	1200	2856
148	1208	2847
149	1216	2839
150	1224	2830
151	1232	2822
152	1240	2813
153	1248	2805
154	1256	2796
155	1263	2787
156	1271	2778
157	1279	2769
158	1287	2760
159	1295	2752
160	1303	2743
161	1312	2738
162	1320	2729
163	1328	2721
164	1336	2712
165	1344	2704
166	1352	2697
167	1361	2689
168	1369	2681
169	1377	2674
170	1385	2666
171	1393	2657
172	1401	2649
173	1409	2641
174	1418	2634
175	1426	2626
176	1435	2618
177	1443	2611
178	1451	2603
179	1459	2595
180	1467	2587
181	1475	2578
182	1483	2569
183	1491	2562
184	1499	2553
185	1508	2546
186	1517	2539
187	1525	2530
188	1533	2523
189	1541	2515
190	1549	2507
191	1557	2498
192	1560	2482
193	1568	2474
194	1577	2466
195	1585	2458
196	1592	2449
197	1601	2442
198	1609	2434
199	1617	2426
200	1626	2418
201	1634	2411
202	1642	2403
203	1650	2394
204	1658	2386
205	1666	2378
206	1674	2370
207	1682	2362
