qt_indices,rd_indices
4348,1265
1692,4144
7312,4907
564,3547
7440,5863
3253,655
3840,4644
6665,2141
1889,3166
2633,3744
7609,1754
7294,872
6014,4007
1190,5040
4614,6692
5892,2987
7099,566
5290,5348
2309,3923
2326,2331
1988,2217
1685,7127
1648,4111
12,2469
7341,5179
1449,5673
2853,562
2914,1994
2148,395
928,4378
5525,6185
2896,6292
6350,1349
6968,4565
2463,5590
1165,2100
3745,1403
162,475
5494,1854
2064,2951
5434,2368
5993,6238
1592,3908
4593,5598
7715,7600
4881,1752
7461,1110
1015,6306
7483,623
4610,6600
5588,5980
6114,5657
3016,2544
1633,2618
5077,99
7242,5711
1485,3922
7528,614
57,2174
3861,1626
183,1398
128,5214
1173,1963
2432,3229
5425,5695
1538,6513
1831,7399
6036,7129
7646,6979
6197,5526
666,5789
2615,4685
7281,1329
2129,7108
7628,7365
6766,3446
4987,4860
6715,364
2062,6195
2982,660
7486,998
6879,5653
5098,6958
2960,6071
3399,6937
5977,6696
6381,4805
979,1738
6304,3586
3277,7355
2950,2734
5552,7678
6815,2790
6983,3106
6062,3918
7022,3450
1155,2569
3659,1119
3120,1453
4368,138
6885,1076
6787,2356
2526,658
3865,3948
7206,3056
854,2132
1887,3348
4250,261
7460,6634
4318,4719
5464,2608
2892,1054
5305,2008
3344,3085
1224,3235
5965,133
1695,2101
5504,6685
7731,1853
3051,2847
4173,755
5517,6233
6579,5036
103,5564
583,2077
3467,3625
3160,5867
5724,2626
7450,2103
5918,4356
1029,6269
2604,5297
7435,3401
7221,1812
3740,6271
256,896
3893,1801
5322,1698
1735,3289
3429,3276
4050,1357
4430,4997
6565,3531
7068,6908
2923,5656
5536,5055
2962,7251
5774,5608
6225,2438
1861,6324
4044,1914
5720,3186
907,7590
5490,608
2216,1663
5734,1392
3991,2756
5381,1376
4639,7359
3715,5852
2644,2052
1865,7220
66,3266
7482,6580
4790,6255
1182,6463
3915,4558
2500,2776
4284,5031
1742,5067
7423,1241
4484,7015
839,47
3967,5175
413,7066
5530,5910
4896,2876
4680,4401
2671,5722
2588,863
3938,7301
5092,4809
7367,2584
7603,7476
502,7239
2049,582
7202,7018
3271,5528
2215,1879
2339,6433
6501,661
98,3373
7295,1896
4081,1958
456,598
5551,1469
4722,1062
2437,6845
4998,6817
6682,1413
3077,1964
2736,5253
4642,7555
3876,2906
4545,3522
3188,5215
4389,4505
6723,4005
5051,5384
4786,3449
3311,4747
628,2717
3577,3773
249,1031
1512,3255
115,4846
526,6105
6229,6000
4628,3052
3914,2342
1442,2730
7665,3314
6026,4344
5554,3070
4283,5255
5157,7292
3452,7385
2504,2587
370,5634
3763,4162
316,2159
670,3329
4294,2379
1396,3718
7547,2491
3232,3093
273,3389
4662,4412
6456,5163
4026,3675
3661,605
5270,7719
3478,2012
119,3799
2602,158
2146,760
1644,2797
4335,6279
4607,6943
7302,7064
6428,5041
2904,7489
7564,1646
758,5017
2581,2915
4186,5833
4816,4569
7433,1240
1976,5369
4067,6205
1077,5251
2535,1681
4148,1333
6574,4261
5755,4109
2137,867
5925,4140
7623,5044
4286,762
5658,2360
5426,3796
2121,5732
3431,901
1233,1000
4681,1594
159,529
3561,5652
3804,451
597,6530
1360,449
1327,2209
3325,1463
4289,2636
1552,3525
4837,4316
616,1422
3927,4507
6838,895
5581,5824
2485,4395
7401,163
5859,7692
4320,3562
6223,2545
4831,5939
1338,7709
3679,4750
7253,1628
5168,4350
3769,3824
1218,4932
2416,6678
5717,7340
3418,134
3046,5354
507,7177
7739,2888
5353,3339
2605,2295
1764,5170
7030,5822
1205,125
4960,4778
1289,4566
4188,3074
1014,1278
4330,2300
5742,7634
3872,1444
5398,2894
4933,5126
6066,7413
2324,105
1947,4424
7373,1207
214,5176
6858,7298
593,7027
2291,4693
6846,5861
1641,6809
5451,2353
53,2402
6936,1201
382,6293
3367,7250
1908,407
6148,7687
5619,3138
464,4388
1946,6986
884,702
5278,1620
5321,3604
3595,3905
5174,4580
2658,4880
3006,2634
2157,1337
2975,10
5155,1378
4861,1763
3971,6734
5616,7670
7536,3935
4709,5585
7008,5972
5979,3841
947,1415
6100,1229
2335,6111
946,6331
