---- START at 2025-09-08 15:20:53, Target=369/369 ----
[3/369] JUTCUW_SL_DDEC_CO2_298.0K_5.0bar_12.5 Done. TimeForThis=484.9s, Completed=1/369, ETA=2025-09-10 17:03:07
[10/369] WIHCUM_clean_DDEC_CO2_298.0K_5.0bar_12.5 Done. TimeForThis=977.2s, Completed=2/369, ETA=2025-09-10 17:25:49
[22/369] YAZYIJ_clean_DDEC_CO2_298.0K_5.0bar_12.5 Done. TimeForThis=1187.5s, Completed=3/369, ETA=2025-09-10 07:55:20
[1/369] RAVWES_clean_DDEC_CO2_298.0K_5.0bar_12.5 Done. TimeForThis=2015.1s, Completed=4/369, ETA=2025-09-10 18:59:07
[4/369] MUXJAQ02_clean_DDEC_CO2_298.0K_5.0bar_12.5 Done. TimeForThis=2598.5s, Completed=5/369, ETA=2025-09-10 20:37:01
[17/369] ARAHIM_clean_DDEC_CO2_298.0K_5.0bar_12.5 Done. TimeForThis=2998.1s, Completed=6/369, ETA=2025-09-10 18:33:56
[15/369] GOYYEA_clean_DDEC_CO2_298.0K_5.0bar_12.5 Done. TimeForThis=3396.2s, Completed=7/369, ETA=2025-09-10 17:04:43
[8/369] VAJTUX_clean_DDEC_CO2_298.0K_5.0bar_12.5 Done. TimeForThis=3658.1s, Completed=8/369, ETA=2025-09-10 14:13:01
[16/369] CUVGOQ_clean_DDEC_CO2_298.0K_5.0bar_12.5 Done. TimeForThis=3843.5s, Completed=9/369, ETA=2025-09-10 11:07:18
[30/369] HAZGOF03_clean_h_DDEC_CO2_298.0K_5.0bar_12.5 Done. TimeForThis=3294.9s, Completed=10/369, ETA=2025-09-10 11:08:12
[14/369] VAZLEP02_clean_DDEC_CO2_298.0K_5.0bar_12.5 Done. TimeForThis=4609.3s, Completed=11/369, ETA=2025-09-10 10:17:54
[20/369] RUWWOW01_clean_DDEC_CO2_298.0K_5.0bar_12.5 Done. TimeForThis=5103.6s, Completed=12/369, ETA=2025-09-10 10:56:28
[7/369] HAMJOW_clean_DDEC_CO2_298.0K_5.0bar_12.5 Done. TimeForThis=5297.7s, Completed=13/369, ETA=2025-09-10 09:07:06
[23/369] DUXKUD_clean_DDEC_CO2_298.0K_5.0bar_12.5 Done. TimeForThis=5539.6s, Completed=14/369, ETA=2025-09-10 07:54:22
[18/369] LAVTUZ_clean_DDEC_CO2_298.0K_5.0bar_12.5 Done. TimeForThis=5656.2s, Completed=15/369, ETA=2025-09-10 05:59:55
[33/369] TUPDOZ_clean_DDEC_CO2_298.0K_5.0bar_12.5 Done. TimeForThis=3661.1s, Completed=16/369, ETA=2025-09-10 07:26:54
[21/369] CAKXUJ_clean_DDEC_CO2_298.0K_5.0bar_12.5 Done. TimeForThis=6496.6s, Completed=17/369, ETA=2025-09-10 06:31:06
