GAS,TEMP,LOW,HIGH,INPUT,SAMPLING,MODEL,R2_MEAN,R2_STD,MAE_MEAN,MAE_STD
Ar,293,0.05,1,struct+input,random_struct,rf,0.9673694633188882,0.012921456326882436,0.016365723417294278,0.0011413652522834794
Ar,313,0.05,5,struct+input,random_struct,rf,0.9336888430135476,0.012862229427631012,0.05628222085941078,0.002145483058294947
Ar,273,0.1,15,struct+input,random_struct,cat,0.9492818634611588,0.0024544637948375396,0.2630501148388623,0.0035562666588600657
He,273,0.1,5,struct+input,random_struct,gbm,0.9874929222472103,0.013751836563157727,0.0027900842916694603,0.0002718466096970387
He,313,0.01,15,struct+input,random_struct,rf,0.9888098677513568,0.00837535465391234,0.0124068971572022,0.0005558050250681813
Ar,273,0.1,15,struct+input,random_struct,rf,0.9459703592043658,0.0022761932727562496,0.2616235087154063,0.0054554913764512615
He,293,Henry,15,struct+input,random_struct,rf,0.9826292743251928,0.01019549532658317,0.01795169013191198,0.0005882006658406041
He,273,0.01,15,struct+input,random_struct,cat,0.9902576056522102,0.0023647344279673346,0.016093238474650738,0.0004759693050889692
Ar,313,0.5,1,struct+input,random_struct,cat,0.9559250032679654,0.020704560004666743,0.00717241358592152,0.0006617223344094011
He,273,0.1,1,struct+input,random_struct,rf,0.9915662914538865,0.008333485582862427,0.0005571893930974599,3.5196369512177244e-05
He,313,0.5,15,struct+input,random_struct,cat,0.9934018817226118,0.003281875399306719,0.006937551877150759,0.00040047716444713727
N2,293,0.01,5,struct+input,random_struct,gbm,0.8940419957194485,0.03317462202925564,0.07669877603218286,0.002379438017716396
Ar,273,0.05,15,struct+input,random_struct,gbm,0.9460802901717266,0.0028122566060065097,0.27220104064391837,0.005625908679094175
Ar,293,0.5,5,struct+input,random_struct,gbm,0.9748686488238913,0.002769378731106748,0.0674472764167699,0.001955437504853575
Ar,273,0.05,5,struct+input,random_struct,rf,0.9325910486823243,0.007281875317295919,0.12909649870948534,0.0032706789381065442
He,293,0.1,1,struct+input,random_struct,rf,0.9916484928571341,0.00959194550681494,0.00047470384221690005,4.3652502461479116e-05
He,293,0.5,15,struct+input,random_struct,cat,0.9939692153494253,0.0028545028291998647,0.00706733145745668,0.00048122722866792203
He,273,0.1,15,struct+input,random_struct,cat,0.9926975260175125,0.0034574291739194775,0.0098217057201062,0.000517004502123491
He,293,0.1,5,struct+input,random_struct,cat,0.9924430423336673,0.004249448177679983,0.00288678838477482,0.0001942367364523682
Ar,273,0.01,1,struct+input,random_struct,rf,0.9555613562085554,0.01763345527510988,0.029491931021954843,0.0023647728389316275
H2,293,0.01,5,struct+input,random_struct,cat,0.7072851511465921,0.13251579630569973,0.05440184073005185,0.0030252813502597096
He,273,0.01,1,struct+input,random_struct,gbm,0.9804189974627654,0.024163255533960943,0.00110645877089178,6.691104781581058e-05
He,313,0.05,5,struct+input,random_struct,gbm,0.9865015232379859,0.017459188879257515,0.0028547368169942002,0.0002527313908860903
He,273,0.5,1,struct+input,random_struct,rf,0.9925947103370139,0.007872827191099292,0.00037765152104336,3.841814806554576e-05
Ar,313,0.1,15,struct+input,random_struct,cat,0.9626586082436462,0.0024287437955894378,0.1332511728567082,0.0019083885544084558
He,313,0.01,15,struct+input,random_struct,cat,0.9904272676696773,0.002762330875307759,0.013011228613870982,0.00046590222668276227
Ar,273,0.01,5,struct+input,random_struct,cat,0.9343385012541319,0.0072639860832867725,0.13406698301844622,0.003987685228468142
Ar,273,0.05,15,struct+input,random_struct,cat,0.9481433952284053,0.0024163479500908477,0.2652078211007026,0.005599689877856548
He,293,0.05,15,struct+input,random_struct,rf,0.990206473301064,0.010884704570657171,0.00868622506726724,0.0006900773331353868
He,273,0.1,5,struct+input,random_struct,cat,0.9914373894496963,0.00454169036070007,0.00335528269526128,0.00019342908928304852
Ar,273,0.01,1,struct+input,random_struct,gbm,0.9591561633208153,0.013330379608474285,0.028807339715753,0.001403763067855846
Ar,293,0.5,5,struct+input,random_struct,cat,0.9739374769168752,0.0019253296081547697,0.0685490874794894,0.002106378445422586
Ar,293,0.05,15,struct+input,random_struct,rf,0.9593475536157744,0.006881411612132862,0.17860908236943282,0.004030626031134301
He,273,0.5,15,struct+input,random_struct,rf,0.989594621131632,0.01280966922164128,0.00569193942193032,0.000744507494994676
Ar,273,0.05,5,struct+input,random_struct,gbm,0.9321446295243737,0.00677301917059892,0.1335233626171533,0.0027589712205813586
Ar,273,0.05,1,struct+input,random_struct,cat,0.9636937756928965,0.017116660022795063,0.026366063910758842,0.0019382238451704928
He,273,0.05,15,struct+input,random_struct,rf,0.9880997878011236,0.013756482295168298,0.00973311239785846,0.0007250600066386272
He,293,0.01,1,struct+input,random_struct,gbm,0.9770203404258577,0.032613078020439376,0.0009603266827083,7.446236757542925e-05
He,313,0.01,1,struct+input,random_struct,rf,0.9895270660563114,0.006881402034428737,0.0008563242065274,4.018107583648316e-05
He,313,0.01,5,struct+input,random_struct,cat,0.9897538314045093,0.0032294779831784077,0.004473573165855201,0.0001734919657898903
He,313,0.1,5,struct+input,random_struct,rf,0.9904392742196514,0.009852684701311976,0.0022689696807585,0.00020851955071115273
Ar,293,0.5,15,struct+input,random_struct,rf,0.9653235345088378,0.0054311058534183216,0.1671870723960663,0.0029202543315435775
He,313,0.1,15,struct+input,random_struct,gbm,0.9867669904974445,0.019445669352246453,0.006969433326220201,0.0007323698589683653
He,273,0.01,5,struct+input,random_struct,gbm,0.9882489546965664,0.008391837677831623,0.00535557608958226,0.00018760524125447967
He,273,0.05,5,struct+input,random_struct,gbm,0.984093047292151,0.019472555940119606,0.00340205984921992,0.00033764927908802995
He,293,0.05,5,struct+input,random_struct,rf,0.9906785971166785,0.009729305071097183,0.0029220099664557,0.00022034126046046118
