GAS,TEMP,LOW,HIGH,INPUT,SAMPLING,MODEL,R2_MEAN,R2_STD,MAE_MEAN,MAE_STD
O2,293,0.01,5,struct,random_struct,cat,0.4231674854711054,0.05046784186963207,0.30930822118865453,0.006334832246861068
N2,293,0.01,5,struct,random_struct,gbm,0.33317992842105176,0.05252572222060934,0.33134934758552637,0.007003996480221062
He,273,0.01,1,struct,random_struct,rf,0.9726671227973828,0.013344067142978387,0.00153088709772608,5.4830693219316025e-05
Ar,293,0.01,1,struct,random_struct,rf,0.32039421414316616,0.02200772622903438,0.14418536455070963,0.0029173451561070704
He,293,0.01,1,struct,random_struct,gbm,0.9754496852238599,0.017379227815687865,0.0013521537083292401,5.236389950483326e-05
Ar,313,0.01,1,struct,random_struct,gbm,0.28729036722386003,0.026801341880169385,0.10705282830547709,0.0029040213446299952
He,313,0.01,5,struct,random_struct,gbm,0.9749081554273497,0.02468591260065934,0.0057247436236061,0.00027431723837248863
Ar,273,0.01,5,struct,random_struct,cat,0.5028333723026727,0.01853708563536756,0.46799227914850966,0.01034864581043644
He,273,0.01,1,struct,random_struct,gbm,0.9670641072447947,0.02290025841816352,0.0016291430131389398,7.546137403985795e-05
Ar,313,0.01,5,struct,random_struct,rf,0.45643852125323364,0.039504118579149546,0.27389846685106994,0.0062982013725355985
He,273,0.01,15,struct,random_struct,cat,0.9812923572439903,0.004319465083926976,0.0234073627526304,0.0009927622141603424
He,293,0.01,1,struct,random_struct,cat,0.9807738065355144,0.0059306997090171586,0.00139406822611174,5.772848414286032e-05
H2,293,0.01,5,struct,random_struct,cat,0.10176800378083602,0.10893781884824638,0.26687241538005596,0.01574503101192827
He,273,0.01,15,struct,random_struct,rf,0.9771853763778328,0.011553026393374171,0.021588087166887256,0.0006872109507679
Ar,273,0.01,15,struct,random_struct,gbm,0.7205886321199644,0.01144937377154455,0.653073128093666,0.010634386682501945
O2,293,0.01,5,struct,random_struct,rf,0.45028045543027356,0.0639781177959214,0.2941889201777091,0.008643162743340016
He,273,0.01,1,struct,random_struct,cat,0.9746363706558616,0.009101357524174156,0.0016687826558289,7.619457535609466e-05
He,313,0.01,1,struct,random_struct,rf,0.981720004573638,0.010168054062411308,0.0010975964398423801,4.1421452970429234e-05
Ar,313,0.01,1,struct,random_struct,rf,0.342191695845005,0.05296356559063611,0.09848583915800961,0.002420440521981237
Ar,293,0.01,5,struct,random_struct,gbm,0.5079261107426112,0.013878339718917483,0.3739876929673393,0.005088794753456457
Ar,273,0.01,5,struct,random_struct,gbm,0.44623805220977425,0.019172910010390558,0.488573111504863,0.010810359022477886
Ar,273,0.01,5,struct,random_struct,rf,0.5162042606200028,0.020324327609479532,0.4446168408545953,0.013809729684540584
Ar,273,0.01,1,struct,random_struct,gbm,0.2883403028004155,0.030143304226181576,0.2213720301898789,0.003991461773149863
He,313,0.01,15,struct,random_struct,gbm,0.9750031045126901,0.026203214118747833,0.016874745707143,0.0007435740495354002
Ar,293,0.01,1,struct,random_struct,gbm,0.28066546855005603,0.020696357235147577,0.15568941503057404,0.001879849567736754
Ar,293,0.01,15,struct,random_struct,rf,0.7649324304120231,0.01730737277672369,0.48731102931814585,0.011019013256148243
He,273,0.01,5,struct,random_struct,gbm,0.9702720003690928,0.021719217325057657,0.0079371883529472,0.00028992904689749237
He,273,0.01,5,struct,random_struct,rf,0.974127422788823,0.012828350703859709,0.00751433188013588,0.00025559638607808034
Ar,293,0.01,5,struct,random_struct,rf,0.5525044532101399,0.02517898154533069,0.3430022459267427,0.006738883497140434
He,313,0.01,15,struct,random_struct,rf,0.9827398359048927,0.009717551204279048,0.01589443601268918,0.0005357491968114062
He,313,0.01,1,struct,random_struct,gbm,0.979052541417657,0.017095659213104103,0.00115253359736532,5.5445835491805035e-05
He,293,0.01,15,struct,random_struct,cat,0.9839417953648564,0.003929141009631304,0.020012191868651077,0.0007781664673306547
H2,293,0.01,5,struct,random_struct,gbm,0.026297577975293824,0.23017107217118335,0.27011356972264744,0.014531771670605171
He,273,0.01,15,struct,random_struct,gbm,0.9679150134665917,0.031689242294835815,0.022904694009403738,0.0010147559238705766
He,293,0.01,5,struct,random_struct,rf,0.9795120559388749,0.010363697963633697,0.006297275733744959,0.00022414973050954162
Ar,273,0.01,1,struct,random_struct,cat,0.3735803843879052,0.029278630733241412,0.20853603878233656,0.004198498139234957
Ar,313,0.01,5,struct,random_struct,cat,0.44652289146217417,0.03634345771317366,0.2862928879150933,0.004204015474152896
Ar,293,0.01,5,struct,random_struct,cat,0.5430152523439753,0.02279339520132578,0.36147809374797424,0.005589752441379411
Ar,313,0.01,5,struct,random_struct,gbm,0.3991691578733224,0.02714556161556945,0.2983971370747194,0.005661585760585349
He,313,0.01,5,struct,random_struct,rf,0.9814384432904024,0.009870359647866664,0.00542944367622918,0.0001921030597702465
Ar,313,0.01,15,struct,random_struct,gbm,0.6501981427455454,0.018232908565324075,0.46907459581638583,0.008551845022180357
He,293,0.01,1,struct,random_struct,rf,0.9785834271643246,0.011313778198484888,0.0012810042062832798,4.189464783373563e-05
Ar,313,0.01,1,struct,random_struct,cat,0.35250924838847286,0.04551802963792014,0.10158036868940448,0.0021577624617804885
Ar,273,0.01,1,struct,random_struct,rf,0.3715429727650955,0.021182192787330637,0.1989087352076424,0.004674922171565258
He,293,0.01,15,struct,random_struct,rf,0.9803020247035412,0.011364748479201138,0.01835973913627206,0.0006214762801125434
H2,293,0.01,5,struct,random_struct,rf,0.179549737054795,0.1257735598753056,0.2502682350828459,0.01445785837212117
He,293,0.01,5,struct,random_struct,cat,0.9820455273155451,0.005058621069967173,0.00686179214243348,0.0002754744731485732
Ar,293,0.01,15,struct,random_struct,cat,0.7587759909900693,0.01572989485869315,0.5151332063559249,0.009082009611052176
Ar,273,0.01,15,struct,random_struct,cat,0.7401870434818991,0.011541273367871977,0.6296506828896969,0.01266392309650134
Ar,273,0.01,15,struct,random_struct,rf,0.7477170895389954,0.013548684349702429,0.5977930621433722,0.013939248105544167
He,313,0.01,15,struct,random_struct,cat,0.9852821443788329,0.0036972975843660243,0.01743780209606112,0.0006883800442232012
N2,293,0.01,5,struct,random_struct,rf,0.3749472914912681,0.04638882663201483,0.3084585556825,0.006724419917462411
O2,293,0.01,5,struct,random_struct,gbm,0.40403972077483863,0.06845051750831864,0.31707619697630285,0.00652849171206719
He,293,0.01,5,struct,random_struct,gbm,0.9660364487795337,0.0372097911232884,0.0067214877236526594,0.00035824358804184314
N2,293,0.01,5,struct,random_struct,cat,0.35715570811886777,0.05049260674728681,0.32620086769070944,0.006323467315409916
He,313,0.01,1,struct,random_struct,cat,0.9844544232306601,0.004188172074396491,0.00120237005910248,4.2979593400709974e-05
Ar,293,0.01,1,struct,random_struct,cat,0.3481256587658371,0.005099238306236169,0.14996857782424092,0.002228091984896435
Ar,293,0.01,15,struct,random_struct,gbm,0.7445925933553283,0.01417917283287127,0.5308105656117426,0.008589841796198181
Ar,313,0.01,15,struct,random_struct,cat,0.6732914859516163,0.01825447017063866,0.4537601468023181,0.00827952879705092
He,313,0.01,5,struct,random_struct,cat,0.9839031818197608,0.004675275872046897,0.0059323113892143006,0.00023574716908333814
Ar,313,0.01,15,struct,random_struct,rf,0.6770539136781408,0.024924535276484163,0.4335360013308702,0.011255049320302727
He,273,0.01,5,struct,random_struct,cat,0.9779336057566402,0.006434061321919116,0.008124386613244,0.00031752165765714795
He,293,0.01,15,struct,random_struct,gbm,0.9837876969294829,0.006060166763118434,0.019190167919433503,0.0004272016815269946
