GAS,TEMP,MODEL,SAMPLING,LOW,R2_MEAN_HIGH_1,R2_MEAN_HIGH_5,R2_MEAN_HIGH_15,R2_STD_HIGH_1,R2_STD_HIGH_5,R2_STD_HIGH_15,MAE_MEAN_HIGH_1,MAE_MEAN_HIGH_5,MAE_MEAN_HIGH_15,MAE_STD_HIGH_1,MAE_STD_HIGH_5,MAE_STD_HIGH_15,INPUT_HIGH_1,INPUT_HIGH_5,INPUT_HIGH_15
Ar,273,cat,qt_then_rd,Henry,0.8069886325798461,0.9150345781684804,0.9451369900314786,0.0209249311398476,0.0120186932867256,0.0019828246328572,0.0405498109284686,0.126007994198639,0.2539940728375925,0.0013386624918722,0.003461922212636,0.0059565684349844,struct+input,struct+input,struct+input
Ar,273,gbm,qt_then_rd,Henry,0.7374479665880587,0.8550395266865287,0.919514181292978,0.0220632329332281,0.0139979628339863,0.0049489495414785,0.0749433942781753,0.2039430766744678,0.3354473099555112,0.0030678760178269,0.0040636497277589,0.0035574776898471,struct+input,struct+input,struct+input
Ar,273,rf,qt_then_rd,Henry,0.8007480657620085,0.9123798604839968,0.943999961848396,0.024826118481336,0.0129795447750837,0.0018484484735646,0.0365773749142737,0.119637251782347,0.2485057439507187,0.0026630881061811,0.0034661418809905,0.0041834067185902,struct+input,struct+input,struct+input
Ar,293,cat,qt_then_rd,Henry,0.9884089516119832,0.9634251342110848,0.9557552339075804,0.0024523234222883,0.0035709099537889,0.0048741277313764,0.0093838485903902,0.0633963259075549,0.1710074088918564,0.0003158966360237,0.0018631074913756,0.0036842917068518,struct+input,struct+input,struct+input
Ar,293,gbm,qt_then_rd,Henry,0.8532158619480963,0.8428482266499746,0.8989284263338198,0.0082189806403772,0.0087807813737978,0.0044723351258011,0.0462059734150401,0.1657286833964304,0.2923712536261246,0.0009559161190792,0.0031975338234354,0.0063078746558315,struct+input,struct+input,struct+input
Ar,293,rf,qt_then_rd,Henry,0.986637986731936,0.956773252701294,0.9532757234330052,0.0033001156564317,0.0068409200416662,0.0048921818394974,0.0094745817198247,0.0646545638636542,0.1696860991528449,0.0003393274248926,0.0022511400104226,0.0047504182944683,struct+input,struct+input,struct+input
Ar,313,cat,qt_then_rd,Henry,0.8046107537827414,0.9100002308451584,0.9670904972763488,0.0384685943142334,0.0155703409897026,0.0083546741163934,0.0174850256532095,0.0530299955899771,0.1150573452201148,0.00097624709212,0.0013305678706387,0.0025787603756342,struct+input,struct+input,struct+input
Ar,313,gbm,qt_then_rd,Henry,0.644239126442438,0.7411152479191531,0.8719078302185741,0.0608606672512482,0.0138316399197664,0.0068974323174499,0.0473234339711814,0.1534820055298073,0.2648394398322342,0.0011565361273354,0.003908926245668,0.0046866461445046,struct+input,struct+input,struct+input
Ar,313,rf,qt_then_rd,Henry,0.7794480567176021,0.9036059851434988,0.9602638221458548,0.0436290185431067,0.0149344784862769,0.0106936275965196,0.0169788323012781,0.0557872724164908,0.1215794531814494,0.0013631507393264,0.0020884561026764,0.0042701033560756,struct+input,struct+input,struct+input
He,273,cat,qt_then_rd,Henry,0.9980102470484976,0.9982307964340724,0.9978875932622284,0.0002459580793384,0.0002017721022186,0.0002319633491256,0.0003669765693366,0.0017326347743833,0.0054001948982853,9.971773872004317e-06,6.422463211477822e-05,0.0002004820662293,struct+input,struct+input,struct+input
He,273,gbm,qt_then_rd,Henry,0.9719162918697772,0.9727621554168546,0.9733934816390896,0.0019671472009505,0.002146359969099,0.0021242436527752,0.0014909721525226,0.0072998160892969,0.021314747304549,1.0381191750188416e-05,5.846574241196026e-05,0.0001904630543486,struct+input,struct+input,struct+input
He,273,rf,qt_then_rd,Henry,0.9728178078812046,0.9734126549296122,0.9741230301167126,0.0027244708038005,0.0028344612301357,0.0025897412941019,0.0014065495138888,0.0069070584601741,0.0201193233656173,1.9063237824990848e-05,9.855708222501994e-05,0.0002797045086587,struct+input,struct+input,struct+input
He,293,cat,qt_then_rd,Henry,0.9973531195382624,0.9976354715668836,0.9975231859609656,0.0008024089312055,0.0006426560039913,0.0005630524412152,0.0003490980789061,0.0016065717976349,0.0050005982813553,9.074176978485111e-06,6.344196109595811e-05,5.590156571722837e-05,struct+input,struct+input,struct+input
He,293,gbm,qt_then_rd,Henry,0.9725545668779478,0.9729612178193298,0.9736791589451984,0.001017689362945,0.0010716029423846,0.0007569585055227,0.0012666606918327,0.0062525233858724,0.0182817655787415,1.920133954518668e-05,9.180871766523914e-05,0.0002327045830144,struct+input,struct+input,struct+input
He,293,rf,qt_then_rd,Henry,0.9734928575745612,0.9735994957536744,0.9740087443742066,0.0010662808926153,0.0006858852323607,0.0006660342596744,0.0011931514222056,0.0058892601277955,0.0172519631462722,1.3682911798859548e-05,4.608062231645813e-05,0.0001803247717051,struct+input,struct+input,struct+input
He,313,cat,qt_then_rd,Henry,0.9980179212242286,0.9981856020541268,0.9980241060699764,0.0002035024323365,0.0001978269148532,0.0002920364683688,0.000318080676816,0.0015120343191172,0.0046042477977123,8.888373355204583e-06,5.100637984883832e-05,0.0001907091084105,struct+input,struct+input,struct+input
He,313,gbm,qt_then_rd,Henry,0.9790390200974244,0.9791047509690988,0.9795357638457852,0.0013121726467064,0.0012275647226267,0.0011934012065371,0.001073126082946,0.0053181665620755,0.0156664237325518,2.85449055481834e-05,0.0001291854662156,0.0003752390404807,struct+input,struct+input,struct+input
He,313,rf,qt_then_rd,Henry,0.9796387523021484,0.9797381811921128,0.9798678509058906,0.0013783878103229,0.0013532018289732,0.0013566476507491,0.0010195999587696,0.0050519195724566,0.0148505101457952,3.087444966470456e-05,0.0001375115471559,0.0003779598114793,struct+input,struct+input,struct+input
