GAS,TEMP,LOW,HIGH,INPUT,SAMPLING,MODEL,R2_MEAN,R2_STD,MAE_MEAN,MAE_STD
He,273,0.1,15,struct+input,qt_then_rd,gbm,0.9964777073312693,0.0004170016018847561,0.007201575864650761,0.0001944675110140289
He,313,0.5,1,struct+input,qt_then_rd,gbm,0.9983896999112384,0.00018318229228350965,0.00025648949668912,5.998895587894168e-06
Ar,313,0.05,1,struct+input,qt_then_rd,cat,0.9943933601172225,0.0005674112735389698,0.005624207496294859,6.920358048764314e-05
He,313,0.01,5,struct+input,qt_then_rd,cat,0.9880351877019509,0.0015792913539585188,0.00414136400561314,0.00010612002651245847
Ar,293,0.01,5,struct+input,qt_then_rd,gbm,0.9607163692153812,0.0017238952578296509,0.07604095366177108,0.001588147563883582
He,313,0.01,15,struct+input,qt_then_rd,cat,0.9880511514351674,0.0013819366764329455,0.012240205812863541,0.0003250041337004747
He,293,0.5,5,struct+input,qt_then_rd,rf,0.9992246613357691,4.7592629940968584e-05,0.0010735799338506202,1.440102803538503e-05
He,273,0.01,1,struct+input,qt_then_rd,rf,0.9876352026539171,0.0006624530378818118,0.00101053159068174,1.8837840723552542e-05
Ar,273,0.1,1,struct+input,qt_then_rd,gbm,0.9855218695651843,0.0019716486913485573,0.015859749877995523,0.0001596179260898683
O2,293,0.01,5,struct+input,qt_then_rd,cat,0.9705343321913421,0.0034685646222433653,0.05528263377523268,0.0012832122914057697
He,313,0.05,15,struct+input,qt_then_rd,gbm,0.9950584835016191,0.0002943053428033401,0.007611523349547659,0.00010282918879046885
He,313,0.01,5,struct+input,qt_then_rd,rf,0.9882729610389005,0.0006958878680020123,0.00406577080576716,6.532336316123494e-05
Ar,293,0.01,5,struct+input,qt_then_rd,cat,0.9628986044844862,0.0015385456723631156,0.07491748206886444,0.0015655553277677794
Ar,273,0.1,1,struct+input,qt_then_rd,rf,0.9845767585423035,0.0018627316026079955,0.015833341737173,0.00047389449574234186
He,293,0.05,5,struct+input,qt_then_rd,gbm,0.9958843088575104,0.00022708543642365454,0.00260847534024278,3.2223512164380086e-05
He,293,0.05,15,struct+input,qt_then_rd,rf,0.9958196305537079,0.00014122918884227267,0.0076349440017177,0.00010429836169975005
Ar,313,0.1,5,struct+input,qt_then_rd,cat,0.9682430166896833,0.0018899107887327892,0.04259519610426934,0.0003722692733073839
He,313,0.1,5,struct+input,qt_then_rd,gbm,0.996724133483067,8.383586745930591e-05,0.00202116172102688,2.8807192240867346e-05
Ar,293,0.1,5,struct+input,qt_then_rd,gbm,0.9675697059068821,0.002029857354459074,0.0689469273232723,0.0013205821493870436
He,273,0.5,1,struct+input,qt_then_rd,gbm,0.9980919996182728,0.0002275089436450669,0.00031969556998052,4.188279276746867e-06
Ar,313,0.01,1,struct+input,qt_then_rd,rf,0.9918568142365374,0.000417626925022665,0.00676987501654964,9.089764918549969e-05
He,273,0.1,5,struct+input,qt_then_rd,gbm,0.9966675586855442,0.00037944310662358993,0.0024172142958497197,5.2319361187236016e-05
Ar,313,0.5,5,struct+input,qt_then_rd,gbm,0.9704575934192109,0.003494846720924027,0.039481520096603856,0.0006719497873925892
Ar,293,0.1,5,struct+input,qt_then_rd,cat,0.9687005374816973,0.002689783038439779,0.06799490110226086,0.0015729684089310519
He,273,0.01,15,struct+input,qt_then_rd,gbm,0.988045804277189,0.0006091880709833537,0.014800407501723059,0.0003477721412651314
Ar,273,0.05,5,struct+input,qt_then_rd,cat,0.9464335513540055,0.0025495434311762414,0.11589123420445309,0.0019201659587502215
He,273,0.01,1,struct+input,qt_then_rd,cat,0.9870546914133843,0.0012764730447603894,0.0010383706248670598,2.2688083446388864e-05
Ar,273,0.01,15,struct+input,qt_then_rd,rf,0.9383258285395225,0.0031823347231231588,0.26379431789205754,0.001001400952253943
He,273,0.05,1,struct+input,qt_then_rd,rf,0.994873056194199,0.00039863674598919377,0.00060975587178602,1.0863411971824677e-05
He,273,0.5,15,struct+input,qt_then_rd,cat,0.9967471337936636,0.00017894261283560078,0.00679227447370878,9.153660151797959e-05
He,273,0.05,15,struct+input,qt_then_rd,cat,0.9940080139473848,0.0005901765451658468,0.009778852067102162,0.00019511742747326918
Ar,313,0.01,5,struct+input,qt_then_rd,gbm,0.9647819142999163,0.0037181979969824934,0.04775683420834018,0.0007381309146792106
He,273,0.5,15,struct+input,qt_then_rd,gbm,0.9980479302133132,0.00019091692521015546,0.00463495981366734,4.688300438760916e-05
He,293,Henry,15,struct+input,qt_then_rd,rf,0.9740087443742066,0.0006660342596744866,0.01725196314627228,0.00018032477170518398
Ar,313,0.01,15,struct+input,qt_then_rd,cat,0.963651089003239,0.0019456658426113384,0.1304591636356775,0.001244884586804643
He,293,0.01,5,struct+input,qt_then_rd,gbm,0.9886153581086898,0.00031588303079695644,0.004487334190295999,7.222940827206353e-05
He,313,0.01,1,struct+input,qt_then_rd,rf,0.9880797694831287,0.0006676771849343756,0.0008246580339953,1.652829767641728e-05
Ar,293,0.1,1,struct+input,qt_then_rd,gbm,0.9912230035881127,0.0013246047170712512,0.0090146842735929,0.00018465614469686452
Ar,313,0.1,1,struct+input,qt_then_rd,gbm,0.9951773757605651,0.0005667905972885438,0.004420750028837521,9.364620299940928e-05
H2,293,0.01,5,struct+input,qt_then_rd,cat,0.9797073951765027,0.000686091961316184,0.03680841082070062,0.0006732219145758353
Ar,313,0.05,15,struct+input,qt_then_rd,gbm,0.9608812119816985,0.0010006681757338972,0.13231736400900368,0.0027855330883394956
Ar,273,0.01,5,struct+input,qt_then_rd,cat,0.9425512826938498,0.002201656961807364,0.1188154472969661,0.002238593784222207
