GAS,TEMP,MODEL,SAMPLING,LOW,R2_MEAN_HIGH_1,R2_STD_HIGH_1,MAE_MEAN_HIGH_1,MAE_STD_HIGH_1,INPUT_HIGH_1
Ar,273,0.05,qt_then_rd__cat_TRAIN_RATIO0.05,0.01,0.9312480210467784,0.0070301660219179,0.0439606037247461,0.0022153789489599,struct+input
Ar,273,0.05,qt_then_rd__gbm_TRAIN_RATIO0.05,0.01,0.931030978963866,0.008180138210283,0.0385667227313561,0.0014166922936939,struct+input
Ar,273,0.05,qt_then_rd__rf_TRAIN_RATIO0.05,0.01,0.9301057769962748,0.0051033079153686,0.0396920412544785,0.0005803932489236,struct+input
Ar,273,0.05,random_struct__cat_TRAIN_RATIO0.05,0.01,0.8472879388358059,0.0194650177791789,0.0526484363001464,0.0019180022870849,struct+input
Ar,273,0.05,random_struct__gbm_TRAIN_RATIO0.05,0.01,0.8657189739492962,0.033077352012596,0.0484892811009076,0.0025144538004518,struct+input
Ar,273,0.05,random_struct__rf_TRAIN_RATIO0.05,0.01,0.8871518105054774,0.0164841160471012,0.0470845582176061,0.0019677766722601,struct+input
Ar,273,0.1,qt_then_rd__cat_TRAIN_RATIO0.1,0.01,0.9508344812190052,0.0034276006226819,0.0362989623206776,0.0012097078343305,struct+input
Ar,273,0.1,qt_then_rd__gbm_TRAIN_RATIO0.1,0.01,0.949772240807415,0.0064352744446615,0.031683671927924,0.000560528721645,struct+input
Ar,273,0.1,qt_then_rd__rf_TRAIN_RATIO0.1,0.01,0.9509677390108396,0.0041166643320881,0.0323781530031565,0.0008286733142113,struct+input
Ar,273,0.1,random_struct__cat_TRAIN_RATIO0.1,0.01,0.9114287760645348,0.0116877470846301,0.0410061998420392,0.0015795584445879,struct+input
Ar,273,0.1,random_struct__gbm_TRAIN_RATIO0.1,0.01,0.8949575105977285,0.0222161243381213,0.0426948837478797,0.0028110474154138,struct+input
Ar,273,0.1,random_struct__rf_TRAIN_RATIO0.1,0.01,0.9001760813974276,0.0153722128716782,0.0432639309976982,0.0020183259983378,struct+input
Ar,273,0.15,qt_then_rd__cat_TRAIN_RATIO0.15,0.01,0.961765750208218,0.0075376970586181,0.0318502682648815,0.0013187686688759,struct+input
Ar,273,0.15,qt_then_rd__gbm_TRAIN_RATIO0.15,0.01,0.9625997163226656,0.0044882977380342,0.0282584021071369,0.0005514412724375,struct+input
Ar,273,0.15,qt_then_rd__rf_TRAIN_RATIO0.15,0.01,0.9611722834207724,0.0054713608510115,0.0282552565525851,0.0006297144227212,struct+input
Ar,273,0.15,random_struct__cat_TRAIN_RATIO0.15,0.01,0.9263462371252998,0.0126358991656371,0.0379340459587984,0.0009229798989457,struct+input
Ar,273,0.15,random_struct__gbm_TRAIN_RATIO0.15,0.01,0.9232591431677852,0.0079416198725256,0.0378277352786456,0.0014832228004867,struct+input
Ar,273,0.15,random_struct__rf_TRAIN_RATIO0.15,0.01,0.9217960298836442,0.0070825641303698,0.0391811303546408,0.001445386950109,struct+input
Ar,273,0.2,qt_then_rd__cat_TRAIN_RATIO0.2,0.01,0.9692713100747372,0.0085025927756627,0.0284984076026519,0.0008011797106821,struct+input
Ar,273,0.2,qt_then_rd__gbm_TRAIN_RATIO0.2,0.01,0.9679760952558926,0.0056309459261717,0.0255091263712088,0.0005866001376549,struct+input
Ar,273,0.2,qt_then_rd__rf_TRAIN_RATIO0.2,0.01,0.9672285227944422,0.0053864394824161,0.0253847634410755,0.000413709351935,struct+input
Ar,273,0.2,random_struct__cat_TRAIN_RATIO0.2,0.01,0.9293615915455644,0.0110248741526628,0.0376435407211417,0.0014456602172597,struct+input
