folder,mean,std,count,GAS,TEMP,SAMPLING,MODEL,TRAIN_RATIO,QT_FRAC,LOW,HIGH
./try09\Ar_273_0.01_to_1__struct+input__qt_then_rd__cat_TRAIN_RATIO0.05_QTFRAC_0.05,0.9312480210467784,0.0078599645590589,5,Ar,273,qt_then_rd,cat,RATIO0.05,0.05,0.01,1
./try09\Ar_273_0.01_to_1__struct+input__qt_then_rd__cat_TRAIN_RATIO0.15_QTFRAC_0.15,0.961765750208218,0.0084274015084352,5,Ar,273,qt_then_rd,cat,RATIO0.15,0.15,0.01,1
./try09\Ar_273_0.01_to_1__struct+input__qt_then_rd__cat_TRAIN_RATIO0.1_QTFRAC_0.1,0.9508344812190052,0.0038321739960187,5,Ar,273,qt_then_rd,cat,RATIO0.1,0.1,0.01,1
./try09\Ar_273_0.01_to_1__struct+input__qt_then_rd__cat_TRAIN_RATIO0.25_QTFRAC_0.25,0.9762586414616776,0.0018502912537859,5,Ar,273,qt_then_rd,cat,RATIO0.25,0.25,0.01,1
./try09\Ar_273_0.01_to_1__struct+input__qt_then_rd__cat_TRAIN_RATIO0.2_QTFRAC_0.2,0.9692713100747372,0.0095061877156903,5,Ar,273,qt_then_rd,cat,RATIO0.2,0.2,0.01,1
./try09\Ar_273_0.01_to_1__struct+input__qt_then_rd__cat_TRAIN_RATIO0.35_QTFRAC_0.35,0.9786862118011618,0.0007390156573256,5,Ar,273,qt_then_rd,cat,RATIO0.35,0.35,0.01,1
./try09\Ar_273_0.01_to_1__struct+input__qt_then_rd__cat_TRAIN_RATIO0.3_QTFRAC_0.3,0.9762717630877358,0.0014025882217246,5,Ar,273,qt_then_rd,cat,RATIO0.3,0.3,0.01,1
./try09\Ar_273_0.01_to_1__struct+input__qt_then_rd__cat_TRAIN_RATIO0.45_QTFRAC_0.45,0.9792602616957692,0.0003352448691124,5,Ar,273,qt_then_rd,cat,RATIO0.45,0.45,0.01,1
./try09\Ar_273_0.01_to_1__struct+input__qt_then_rd__cat_TRAIN_RATIO0.4_QTFRAC_0.4,0.9791933489483642,0.0011379791445579,5,Ar,273,qt_then_rd,cat,RATIO0.4,0.4,0.01,1
./try09\Ar_273_0.01_to_1__struct+input__qt_then_rd__cat_TRAIN_RATIO0.55_QTFRAC_0.55,0.9809071640882022,0.0017142839664606,5,Ar,273,qt_then_rd,cat,RATIO0.55,0.55,0.01,1
./try09\Ar_273_0.01_to_1__struct+input__qt_then_rd__cat_TRAIN_RATIO0.5_QTFRAC_0.5,0.9816280102743644,0.0012701853790123,5,Ar,273,qt_then_rd,cat,RATIO0.5,0.5,0.01,1
./try09\Ar_273_0.01_to_1__struct+input__qt_then_rd__cat_TRAIN_RATIO0.65_QTFRAC_0.65,0.9809881413222844,0.0013502831458918,5,Ar,273,qt_then_rd,cat,RATIO0.65,0.65,0.01,1
./try09\Ar_273_0.01_to_1__struct+input__qt_then_rd__cat_TRAIN_RATIO0.6_QTFRAC_0.6,0.982404156931566,0.0010060215308622,5,Ar,273,qt_then_rd,cat,RATIO0.6,0.6,0.01,1
./try09\Ar_273_0.01_to_1__struct+input__qt_then_rd__cat_TRAIN_RATIO0.75_QTFRAC_0.75,0.9809772608416942,0.0013765807837563,5,Ar,273,qt_then_rd,cat,RATIO0.75,0.75,0.01,1
./try09\Ar_273_0.01_to_1__struct+input__qt_then_rd__cat_TRAIN_RATIO0.7_QTFRAC_0.7,0.9815025586093146,0.0016642115415419,5,Ar,273,qt_then_rd,cat,RATIO0.7,0.7,0.01,1
./try09\Ar_273_0.01_to_1__struct+input__qt_then_rd__cat_TRAIN_RATIO0.8_QTFRAC_0.8,0.9826655498420956,0.0013630386622919,5,Ar,273,qt_then_rd,cat,RATIO0.8,0.8,0.01,1
./try09\Ar_273_0.01_to_1__struct+input__qt_then_rd__gbm_TRAIN_RATIO0.05_QTFRAC_0.05,0.931030978963866,0.0091456725517682,5,Ar,273,qt_then_rd,gbm,RATIO0.05,0.05,0.01,1
./try09\Ar_273_0.01_to_1__struct+input__qt_then_rd__gbm_TRAIN_RATIO0.15_QTFRAC_0.15,0.9625997163226656,0.0050180694227516,5,Ar,273,qt_then_rd,gbm,RATIO0.15,0.15,0.01,1
./try09\Ar_273_0.01_to_1__struct+input__qt_then_rd__gbm_TRAIN_RATIO0.1_QTFRAC_0.1,0.9497722408074148,0.0071948555560652,5,Ar,273,qt_then_rd,gbm,RATIO0.1,0.1,0.01,1
./try09\Ar_273_0.01_to_1__struct+input__qt_then_rd__gbm_TRAIN_RATIO0.25_QTFRAC_0.25,0.9742934432406508,0.0015673310505194,5,Ar,273,qt_then_rd,gbm,RATIO0.25,0.25,0.01,1
./try09\Ar_273_0.01_to_1__struct+input__qt_then_rd__gbm_TRAIN_RATIO0.2_QTFRAC_0.2,0.9679760952558926,0.0062955889342727,5,Ar,273,qt_then_rd,gbm,RATIO0.2,0.2,0.01,1
./try09\Ar_273_0.01_to_1__struct+input__qt_then_rd__gbm_TRAIN_RATIO0.35_QTFRAC_0.35,0.9780525594693936,0.0015154904475249,5,Ar,273,qt_then_rd,gbm,RATIO0.35,0.35,0.01,1
./try09\Ar_273_0.01_to_1__struct+input__qt_then_rd__gbm_TRAIN_RATIO0.3_QTFRAC_0.3,0.976129806847306,0.0012757451730139,5,Ar,273,qt_then_rd,gbm,RATIO0.3,0.3,0.01,1
./try09\Ar_273_0.01_to_1__struct+input__qt_then_rd__gbm_TRAIN_RATIO0.45_QTFRAC_0.45,0.978464046960992,0.0019068742748786,5,Ar,273,qt_then_rd,gbm,RATIO0.45,0.45,0.01,1
./try09\Ar_273_0.01_to_1__struct+input__qt_then_rd__gbm_TRAIN_RATIO0.4_QTFRAC_0.4,0.9785673531654152,0.0014773677046255,5,Ar,273,qt_then_rd,gbm,RATIO0.4,0.4,0.01,1
./try09\Ar_273_0.01_to_1__struct+input__qt_then_rd__gbm_TRAIN_RATIO0.55_QTFRAC_0.55,0.9811390388624488,0.0013027897072167,5,Ar,273,qt_then_rd,gbm,RATIO0.55,0.55,0.01,1
./try09\Ar_273_0.01_to_1__struct+input__qt_then_rd__gbm_TRAIN_RATIO0.5_QTFRAC_0.5,0.9814935231250288,0.0014557909624908,5,Ar,273,qt_then_rd,gbm,RATIO0.5,0.5,0.01,1
./try09\Ar_273_0.01_to_1__struct+input__qt_then_rd__gbm_TRAIN_RATIO0.65_QTFRAC_0.65,0.9808289736568498,0.0022144245902816,5,Ar,273,qt_then_rd,gbm,RATIO0.65,0.65,0.01,1
