GAS,TEMP,LOW,HIGH,INPUT,SAMPLING,MODEL,R2_MEAN,R2_STD,MAE_MEAN,MAE_STD
Ar,293,0.01,5,struct+input,qt_then_rd__cat_TRAIN_RATIO0.2,0.2,0.9561746543994077,0.0020081409541466977,0.08798777931247292,0.0011485039980028658
He,293,0.01,5,struct+input,qt_then_rd__cat_TRAIN_RATIO0.65,0.65,0.9827305371055817,0.00039897005581434757,0.00455437959129344,7.86951370077789e-05
Ar,293,0.01,1,struct,random_struct__cat_TRAIN_RATIO0.3,0.3,0.9084908845022589,0.011653494537116735,0.022305762392969664,0.0007665182638107046
He,293,0.01,1,struct,random_struct__cat_TRAIN_RATIO0.4,0.4,0.9286018245193951,0.02535375671318748,0.00108270561319356,1.7531563993637917e-05
Ar,293,0.01,15,struct+input,qt_then_rd__cat_TRAIN_RATIO0.8,0.8,0.9562681682957141,0.002638031094294906,0.18550139938946675,0.0037919880789096874
He,293,0.01,1,struct+input,qt_then_rd__cat_TRAIN_RATIO0.25,0.25,0.9885539759836593,0.000707020471056451,0.00100585479547878,1.2256553500697335e-05
Ar,293,0.01,15,struct+input,qt_then_rd__cat_TRAIN_RATIO0.55,0.55,0.9541423682195417,0.005316894302973321,0.19162191196376488,0.002191209976713953
Ar,293,0.01,15,struct+input,random_struct__cat_TRAIN_RATIO0.5,0.5,0.9629924011354658,0.0012721046462795375,0.18810231160423982,0.0008240359620686763
Ar,293,0.01,1,struct+input,qt_then_rd__cat_TRAIN_RATIO0.8,0.8,0.9849173448844418,0.0017130862086053248,0.01192980074899494,0.00026542875694939
He,293,0.01,1,struct+input,qt_then_rd__cat_TRAIN_RATIO0.4,0.4,0.9867004529238501,0.000633076224064889,0.00095733120237804,7.198911181252808e-06
Ar,293,0.01,1,struct+input,qt_then_rd__cat_TRAIN_RATIO0.4,0.4,0.9846511608799636,0.0005734856416272784,0.01440451722971984,0.00014203827795725198
He,293,0.01,15,struct,random_struct__cat_TRAIN_RATIO0.25,0.25,0.9164632248645072,0.015012184366776407,0.016218707340303957,0.0004032054197700993
Ar,293,0.01,5,struct+input,qt_then_rd__cat_TRAIN_RATIO0.6,0.6,0.9612776026270143,0.00083806958321312,0.07397134770806457,0.0007784733269610472
Ar,293,0.01,5,struct,random_struct__cat_TRAIN_RATIO0.6,0.6,0.9560119263020039,0.0031700033534113213,0.0837082184147548,0.0008582916424710468
He,293,0.01,5,struct+input,qt_then_rd__cat_TRAIN_RATIO0.35,0.35,0.9876541267793473,0.0005779037401701512,0.00479113921353066,5.2718496144518026e-05
