folder,mean,std,count
./try09_all\Ar_293_0.01_to_15__struct+input__qt_then_rd__cat_TRAIN_RATIO0.05_QTFRAC_0.05,0.9376861377204839,0.003570328366854516,5
./try09_all\Ar_293_0.01_to_15__struct+input__qt_then_rd__cat_TRAIN_RATIO0.15_QTFRAC_0.15,0.9465557052230501,0.0031077662717303067,5
./try09_all\Ar_293_0.01_to_15__struct+input__qt_then_rd__cat_TRAIN_RATIO0.1_QTFRAC_0.1,0.9441946059924424,0.0015703355016679506,5
./try09_all\Ar_293_0.01_to_15__struct+input__qt_then_rd__cat_TRAIN_RATIO0.25_QTFRAC_0.25,0.9523329923940771,0.00448801458977416,5
./try09_all\Ar_293_0.01_to_15__struct+input__qt_then_rd__cat_TRAIN_RATIO0.2_QTFRAC_0.2,0.9499136351416342,0.003381237953169319,5
./try09_all\Ar_293_0.01_to_15__struct+input__qt_then_rd__cat_TRAIN_RATIO0.35_QTFRAC_0.35,0.9531009856413206,0.004426270055786616,5
./try09_all\Ar_293_0.01_to_15__struct+input__qt_then_rd__cat_TRAIN_RATIO0.3_QTFRAC_0.3,0.9516771541288318,0.0030723467844329297,5
./try09_all\Ar_293_0.01_to_15__struct+input__qt_then_rd__cat_TRAIN_RATIO0.45_QTFRAC_0.45,0.9549500994468902,0.003792712638386043,5
./try09_all\Ar_293_0.01_to_15__struct+input__qt_then_rd__cat_TRAIN_RATIO0.4_QTFRAC_0.4,0.9550841841595424,0.002982844514974202,5
./try09_all\Ar_293_0.01_to_15__struct+input__qt_then_rd__cat_TRAIN_RATIO0.55_QTFRAC_0.55,0.9541423682195417,0.0059444685453148545,5
./try09_all\Ar_293_0.01_to_15__struct+input__qt_then_rd__cat_TRAIN_RATIO0.5_QTFRAC_0.5,0.9550390434752749,0.0059043623098968025,5
./try09_all\Ar_293_0.01_to_15__struct+input__qt_then_rd__cat_TRAIN_RATIO0.65_QTFRAC_0.65,0.9573914807653523,0.0014046133523634345,5
./try09_all\Ar_293_0.01_to_15__struct+input__qt_then_rd__cat_TRAIN_RATIO0.6_QTFRAC_0.6,0.9576927661053846,0.0005891666209507654,5
./try09_all\Ar_293_0.01_to_15__struct+input__qt_then_rd__cat_TRAIN_RATIO0.75_QTFRAC_0.75,0.9575022081632065,0.0009618768688201314,5
./try09_all\Ar_293_0.01_to_15__struct+input__qt_then_rd__cat_TRAIN_RATIO0.7_QTFRAC_0.7,0.9570118845826588,0.0016620824682697453,5
./try09_all\Ar_293_0.01_to_15__struct+input__qt_then_rd__cat_TRAIN_RATIO0.8_QTFRAC_0.8,0.9562681682957141,0.00294940842680082,5
./try09_all\Ar_293_0.01_to_15__struct+input__random_with_input__cat_TRAIN_RATIO0.05_QTFRAC_0.05,0.9280605354590415,0.008462235544890914,5
./try09_all\Ar_293_0.01_to_15__struct+input__random_with_input__cat_TRAIN_RATIO0.15_QTFRAC_0.15,0.9511049945986467,0.003111143421456077,5
./try09_all\Ar_293_0.01_to_15__struct+input__random_with_input__cat_TRAIN_RATIO0.1_QTFRAC_0.1,0.9443903968689907,0.006729477214900334,5
./try09_all\Ar_293_0.01_to_15__struct+input__random_with_input__cat_TRAIN_RATIO0.25_QTFRAC_0.25,0.9564881396325859,0.0025017597314694875,5
./try09_all\Ar_293_0.01_to_15__struct+input__random_with_input__cat_TRAIN_RATIO0.2_QTFRAC_0.2,0.9533582833251218,0.0030599330521958027,5
./try09_all\Ar_293_0.01_to_15__struct+input__random_with_input__cat_TRAIN_RATIO0.35_QTFRAC_0.35,0.958843928993917,0.002771302593669438,5
./try09_all\Ar_293_0.01_to_15__struct+input__random_with_input__cat_TRAIN_RATIO0.3_QTFRAC_0.3,0.9573831533626054,0.0033387205156093455,5
