GAS,TEMP,LOW,HIGH,INPUT,SAMPLING,MODEL,R2_MEAN,R2_STD,MAE_MEAN,MAE_STD,MAPE_MEAN,MAPE_STD
Ar,273,0.01,15,struct+input,qt_then_rd__cat_TRAIN_RATIO0.8,cat,0.9422332723045042,0.003101511827671204,0.2650597213679879,0.00296381948916236,6.9062741930986515,0.12275225329371293
Ar,273,0.01,15,struct+input,qt_then_rd__gbm_TRAIN_RATIO0.8,gbm,0.9392760299965788,0.0022309881834162598,0.27437417783803486,0.003435161111579093,7.130835274889402,0.15700473718493926
Ar,273,0.01,15,struct+input,qt_then_rd__rf_TRAIN_RATIO0.8,rf,0.9383258285395225,0.0031823347231231588,0.26379431789205754,0.001001400952253943,6.89019840111568,0.0802792824847868
Ar,273,0.01,15,struct+input,random_with_input__cat_TRAIN_RATIO0.8,cat,0.9452734382047817,0.006711990974556158,0.27506720623258907,0.010046492930475038,7.543422223903145,0.17324482821769893
Ar,273,0.01,15,struct+input,random_with_input__gbm_TRAIN_RATIO0.8,gbm,0.9439160283291368,0.005531036980486963,0.28039793587228146,0.010820678352247622,7.557032455129248,0.1823565206243685
Ar,273,0.01,15,struct+input,random_with_input__rf_TRAIN_RATIO0.8,rf,0.9405763173226159,0.005639801624952409,0.27324366833621555,0.012424343865323663,7.2949361441606015,0.22790720226523586
Ar,273,0.01,15,struct,random_struct__cat_TRAIN_RATIO0.8,cat,0.7487052147223331,0.01883128153698225,0.6219096618568779,0.024047556494109983,19.97845106559181,0.7530890482786694
Ar,273,0.01,15,struct,random_struct__gbm_TRAIN_RATIO0.8,gbm,0.7294466905294312,0.017086995021405545,0.6403554059391904,0.022424699039083375,20.358206941652643,0.652721866835017
Ar,273,0.01,15,struct,random_struct__rf_TRAIN_RATIO0.8,rf,0.7498821648152786,0.020603758045855004,0.5933429369542796,0.024304544528720294,19.066119436669634,0.7203569087872267
Ar,273,0.01,1,struct+input,qt_then_rd__cat_TRAIN_RATIO0.8,cat,0.9805299988199904,0.0015392822094907079,0.01984207243519726,0.0004911284197540261,3.6048843084553504,0.09723526641614748
Ar,273,0.01,1,struct+input,qt_then_rd__gbm_TRAIN_RATIO0.8,gbm,0.980844318055832,0.0018548033779714193,0.018852265414614343,0.00046780032078160184,3.2932839908448672,0.057177136045722214
Ar,273,0.01,1,struct+input,qt_then_rd__rf_TRAIN_RATIO0.8,rf,0.9771458677188093,0.0012480972433286735,0.01930216884555342,0.0005196292819866825,3.2798198308892004,0.04916751874525647
Ar,273,0.01,1,struct+input,random_with_input__cat_TRAIN_RATIO0.8,cat,0.9599358588118386,0.015978806254191468,0.030927458285336863,0.00268599180761191,4.5357637046762225,0.17431321124850482
Ar,273,0.01,1,struct+input,random_with_input__gbm_TRAIN_RATIO0.8,gbm,0.9587264095996517,0.014356723333462277,0.030574679668441594,0.002711987587617526,4.015659961717076,0.16698550497082354
Ar,273,0.01,1,struct+input,random_with_input__rf_TRAIN_RATIO0.8,rf,0.9603524771112447,0.010535766761737016,0.030495931976246882,0.0021740048757205523,3.8676239873261467,0.10164843362408621
Ar,273,0.01,1,struct,random_struct__cat_TRAIN_RATIO0.8,cat,0.3922699828404989,0.0332009696503892,0.2120076051528578,0.006754842406129608,53.26237274804622,3.763035425428226
Ar,273,0.01,1,struct,random_struct__gbm_TRAIN_RATIO0.8,gbm,0.2886773758616358,0.0231654155273406,0.2262396671479896,0.00686375523482149,55.950846720816024,2.9929315206383684
Ar,273,0.01,1,struct,random_struct__rf_TRAIN_RATIO0.8,rf,0.3685657712297831,0.04449442572084345,0.20412455695225126,0.0090926384717815,51.37163240194941,2.892822013543875
Ar,273,0.01,5,struct+input,qt_then_rd__cat_TRAIN_RATIO0.8,cat,0.9425512826938498,0.002201656961807364,0.1188154472969661,0.002238593784222207,6.017871920136533,0.17308798732059755
Ar,273,0.01,5,struct+input,qt_then_rd__gbm_TRAIN_RATIO0.8,gbm,0.9388776263867926,0.0016469149941888727,0.1213845867661851,0.0010486936118206864,6.086537653738147,0.09493636728128393
Ar,273,0.01,5,struct+input,qt_then_rd__rf_TRAIN_RATIO0.8,rf,0.939136288741653,0.0019581528527420067,0.11648707959111664,0.0016274316384217561,5.852172868572768,0.13214385177958723
Ar,273,0.01,5,struct+input,random_with_input__cat_TRAIN_RATIO0.8,cat,0.9399824598420453,0.008779157055375846,0.13572977244279721,0.006782290035347653,6.9103944730945575,0.28965319136041806
Ar,273,0.01,5,struct+input,random_with_input__gbm_TRAIN_RATIO0.8,gbm,0.935277830570256,0.007382983551532057,0.14047220965039126,0.006752980477066676,6.9443396076133155,0.2966619940625287
Ar,273,0.01,5,struct+input,random_with_input__rf_TRAIN_RATIO0.8,rf,0.9330618648958662,0.0067931416317755615,0.13620745520587646,0.007296966048589409,6.508803374922621,0.3258858647924665
Ar,273,0.01,5,struct,random_struct__cat_TRAIN_RATIO0.8,cat,0.5362652394503648,0.029918008438573902,0.46660195103981783,0.01788240315992648,31.425900480394695,1.4833988480522908
Ar,273,0.01,5,struct,random_struct__gbm_TRAIN_RATIO0.8,gbm,0.4820325344905677,0.021857247295297182,0.4860799669965442,0.01763041843437031,32.11065718701449,1.2085865227706332
Ar,273,0.01,5,struct,random_struct__rf_TRAIN_RATIO0.8,rf,0.5318279057573673,0.03536594213617623,0.4472147095310469,0.019539976893195858,30.28477580409209,1.1739767554862928
