GAS,TEMP,LOW,HIGH,INPUT,SAMPLING,MODEL,R2_MEAN,R2_STD,MAE_MEAN,MAE_STD
Ar,313,0.05,1,struct+input,qt_then_rd_,cat,0.9943933601126911,0.0005674112713507684,0.00562420749987732,6.920357972731934e-05
Ar,273,Henry,15,struct+input,qt_then_rd_,cat,0.9531231028833906,0.004055657794241179,0.24890792704604303,0.004940130452111404
Ar,313,0.1,15,struct+input,qt_then_rd_,cat,0.970678302674318,0.0015778507271208997,0.1163150475660133,0.0018655784003592372
Ar,273,0.5,5,struct+input,qt_then_rd_,cat,0.9663131620221366,0.0031174089639659334,0.09643191761065997,0.0020289498645438943
Ar,313,0.1,1,struct+input,qt_then_rd_,cat,0.9942233597640684,0.0007565792898087314,0.00519702636196976,8.483740833990524e-05
Ar,313,Henry,1,struct+input,qt_then_rd_,cat,0.9945734140436789,0.0007456593575278956,0.00507181345425668,0.00016194132954226717
Ar,273,0.5,1,struct+input,qt_then_rd_,cat,0.9951934771410909,0.0004115489291336602,0.01153433047199328,0.0001866139958220493
Ar,273,0.1,15,struct+input,qt_then_rd_,cat,0.9551701285306351,0.0034740122201000626,0.2440067442735702,0.004046670849983064
Ar,313,0.01,5,struct+input,qt_then_rd_,cat,0.9762679168439018,0.0011804390281653014,0.04351311757309202,0.0008559108561021298
Ar,273,0.01,15,struct+input,qt_then_rd_,cat,0.9500303554310129,0.0031215833186422634,0.249314245323024,0.0012386349331385013
Ar,273,0.05,5,struct+input,qt_then_rd_,cat,0.9543345573741554,0.0021249071341272506,0.1091763163722036,0.0025303970900966547
Ar,313,Henry,15,struct+input,qt_then_rd_,cat,0.9713719799320385,0.0006340360288266441,0.11492396722131341,0.0005781402220659753
Ar,273,0.5,15,struct+input,qt_then_rd_,cat,0.9565704834924155,0.0027177660821441916,0.2361771196642108,0.005844697652067544
Ar,313,0.1,5,struct+input,qt_then_rd_,cat,0.9797446222378945,0.000579152259906085,0.037390773629351136,0.00027656586686193666
Ar,273,0.1,1,struct+input,qt_then_rd_,cat,0.986483776780388,0.0028599170659939664,0.0166462608314238,0.00046858304936222645
Ar,273,0.01,5,struct+input,qt_then_rd_,cat,0.9518264654516277,0.002291182120296564,0.11156757200451248,0.002174405775995785
Ar,313,Henry,5,struct+input,qt_then_rd_,cat,0.9808661654290611,0.0008031371199765193,0.03678866598893244,0.00047841790122814135
Ar,313,0.05,5,struct+input,qt_then_rd_,cat,0.9807058989331636,0.0020032275458881747,0.03797615638594616,0.0012156563814704384
Ar,313,0.05,15,struct+input,qt_then_rd_,cat,0.9712184213845273,0.0006219558088652564,0.11670535901846875,0.0016896647572353985
Ar,273,Henry,5,struct+input,qt_then_rd_,cat,0.9542504599568007,0.0018463920048594395,0.10917361276826307,0.002558800093911833
Ar,273,0.01,1,struct+input,qt_then_rd_,cat,0.9805299988228373,0.001539282217894578,0.01984207242669394,0.0004911284175230957
Ar,313,0.5,15,struct+input,qt_then_rd_,cat,0.9733230197054101,0.0019622983266091806,0.10986835554583059,0.0015721849240823902
Ar,313,0.01,1,struct+input,qt_then_rd_,cat,0.9911499475361332,0.0005465796467677294,0.00743287544541246,0.00013022965934175515
Ar,273,0.05,15,struct+input,qt_then_rd_,cat,0.9541472559450499,0.0019840366648917265,0.24790140283707526,0.005247114283435089
Ar,313,0.5,5,struct+input,qt_then_rd_,cat,0.9838537723429761,0.00148456663312169,0.03356482381175287,0.0006154176126905408
Ar,273,0.1,5,struct+input,qt_then_rd_,cat,0.9569303832454279,0.003043774594274152,0.10633265911351338,0.0026834350299235147
Ar,313,0.5,1,struct+input,qt_then_rd_,cat,0.9969390694677202,0.00015820431161934427,0.004210280850289,0.00011060133309399345
Ar,273,Henry,1,struct+input,qt_then_rd_,cat,0.9819798807632016,0.0038668138902558623,0.01849495398854056,0.0007068008130322975
Ar,313,0.01,15,struct+input,qt_then_rd_,cat,0.9671347533911261,0.0024160045078635436,0.12694728140857153,0.0033625231229499853
Ar,273,0.05,1,struct+input,qt_then_rd_,cat,0.981843543229197,0.0007721684237413837,0.0179172384873877,0.0005141866004267612
